"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"AK","W - White","80-89.9","0-9.9","001","26,848"
"AK","W - White","90-100","0-9.9","001","26,260"
"AK","W - White","90-100","90-100","001","26,011"
"AK","W - White","80-89.9","90-100","001","21,127"
"AK","W - White","70-79.9","0-9.9","001","15,269"
"AK","W - White","60-69.9","0-9.9","001","14,278"
"AK","W - White","40-49.9","0-9.9","001","13,909"
"AK","W - White","30-39.9","0-9.9","001","13,852"
"AK","W - White","50-59.9","0-9.9","001","13,324"
"AK","W - White","70-79.9","90-100","001","11,499"
"AK","W - White","10-19.9","0-9.9","001","9,921"
"AK","W - White","20-29.9","0-9.9","001","9,684"
"AK","W - White","60-69.9","90-100","001","9,561"
"AK","W - White","0-9.9","10-19.9","001","8,123"
"AK","W - White","50-59.9","90-100","001","7,664"
"AK","W - White","10-19.9","10-19.9","001","7,552"
"AK","W - White","80-89.9","20-29.9","001","7,199"
"AK","W - White","0-9.9","0-9.9","001","6,869"
"AK","W - White","30-39.9","10-19.9","001","6,710"
"AK","W - White","40-49.9","10-19.9","001","6,709"
"AK","W - White","40-49.9","90-100","001","6,513"
"AK","W - White","50-59.9","10-19.9","001","6,135"
"AK","W - White","80-89.9","30-39.9","001","6,061"
"AK","W - White","0-9.9","20-29.9","001","5,839"
"AK","W - White","80-89.9","10-19.9","001","5,839"
"AK","W - White","10-19.9","20-29.9","001","5,811"
"AK","W - White","90-100","20-29.9","001","5,553"
"AK","W - White","90-100","30-39.9","001","5,421"
"AK","W - White","60-69.9","10-19.9","001","5,301"
"AK","W - White","30-39.9","90-100","001","5,298"
"AK","W - White","10-19.9","90-100","001","5,276"
"AK","W - White","20-29.9","10-19.9","001","5,083"
"AK","W - White","20-29.9","90-100","001","4,646"
"AK","W - White","90-100","10-19.9","001","4,640"
"AK","W - White","70-79.9","10-19.9","001","4,597"
"AK","W - White","60-69.9","20-29.9","001","4,392"
"AK","W - White","90-100","40-49.9","001","4,374"
"AK","W - White","80-89.9","40-49.9","001","4,374"
"AK","W - White","70-79.9","20-29.9","001","4,341"
"AK","W - White","10-19.9","80-89.9","001","3,915"
"AK","W - White","0-9.9","90-100","001","3,908"
"AK","W - White","50-59.9","20-29.9","001","3,881"
"AK","W - White","40-49.9","20-29.9","001","3,746"
"AK","W - White","90-100","50-59.9","001","3,672"
"AK","W - White","10-19.9","30-39.9","001","3,660"
"AK","W - White","0-9.9","30-39.9","001","3,547"
"AK","W - White","20-29.9","20-29.9","001","3,244"
"AK","W - White","90-100","80-89.9","001","3,232"
"AK","W - White","80-89.9","50-59.9","001","3,194"
"AK","W - White","30-39.9","20-29.9","001","3,129"
"AK","W - White","40-49.9","80-89.9","001","3,119"
"AK","W - White","70-79.9","30-39.9","001","3,104"
"AK","W - White","50-59.9","80-89.9","001","3,033"
"AK","W - White","0-9.9","80-89.9","001","2,975"
"AK","W - White","90-100","60-69.9","001","2,968"
"AK","W - White","10-19.9","70-79.9","001","2,900"
"AK","W - White","60-69.9","30-39.9","001","2,877"
"AK","W - White","80-89.9","80-89.9","001","2,816"
"AK","W - White","30-39.9","80-89.9","001","2,736"
"AK","W - White","60-69.9","80-89.9","001","2,721"
"AK","W - White","10-19.9","40-49.9","001","2,682"
"AK","W - White","20-29.9","80-89.9","001","2,521"
"AK","W - White","50-59.9","30-39.9","001","2,471"
"AK","W - White","70-79.9","80-89.9","001","2,421"
"AK","W - White","0-9.9","40-49.9","001","2,350"
"AK","W - White","40-49.9","30-39.9","001","2,316"
"AK","W - White","90-100","70-79.9","001","2,288"
"AK","W - White","80-89.9","60-69.9","001","2,230"
"AK","W - White","10-19.9","60-69.9","001","2,199"
"AK","W - White","10-19.9","50-59.9","001","2,160"
"AK","W - White","70-79.9","40-49.9","001","2,131"
"AK","W - White","20-29.9","30-39.9","001","2,121"
"AK","W - White","0-9.9","70-79.9","001","2,044"
"AK","W - White","40-49.9","70-79.9","001","1,990"
"AK","W - White","30-39.9","70-79.9","001","1,959"
"AK","W - White","30-39.9","30-39.9","001","1,946"
"AK","W - White","60-69.9","40-49.9","001","1,945"
"AK","W - White","50-59.9","70-79.9","001","1,851"
"AK","W - White","0-9.9","50-59.9","001","1,836"
"AK","W - White","80-89.9","70-79.9","001","1,818"
"AK","W - White","50-59.9","40-49.9","001","1,714"
"AK","W - White","20-29.9","70-79.9","001","1,688"
"AK","W - White","60-69.9","70-79.9","001","1,686"
"AK","W - White","70-79.9","50-59.9","001","1,667"
"AK","W - White","40-49.9","40-49.9","001","1,574"
"AK","W - White","0-9.9","60-69.9","001","1,571"
"AK","W - White","20-29.9","40-49.9","001","1,511"
"AK","W - White","70-79.9","70-79.9","001","1,408"
"AK","W - White","70-79.9","60-69.9","001","1,404"
"AK","W - White","60-69.9","50-59.9","001","1,329"
"AK","W - White","30-39.9","40-49.9","001","1,324"
"AK","W - White","40-49.9","60-69.9","001","1,318"
"AK","W - White","50-59.9","50-59.9","001","1,290"
"AK","W - White","30-39.9","60-69.9","001","1,285"
"AK","W - White","50-59.9","60-69.9","001","1,264"
"AK","W - White","60-69.9","60-69.9","001","1,250"
"AK","W - White","20-29.9","50-59.9","001","1,203"
"AK","N - Native American","0-9.9","10-19.9","001","1,175"
"AK","W - White","20-29.9","60-69.9","001","1,173"
"AK","W - White","40-49.9","50-59.9","001","1,167"
"AK","N - Native American","80-89.9","90-100","001","1,165"
"AK","W - White","30-39.9","50-59.9","001","1,113"
"AK","N - Native American","0-9.9","20-29.9","001","982"
"AK","N - Native American","70-79.9","90-100","001","948"
"AK","H - Hispanic or Latino","80-89.9","90-100","001","874"
"AK","A - Asian or Pacific Islander","0-9.9","90-100","001","855"
"AK","U - Uncoded","80-89.9","90-100","001","843"
"AK","N - Native American","60-69.9","90-100","001","829"
"AK","A - Asian or Pacific Islander","80-89.9","90-100","001","827"
"AK","A - Asian or Pacific Islander","10-19.9","90-100","001","752"
