"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"AK","W - White","80-89.9","0-9.9","029","1,375"
"AK","W - White","90-100","0-9.9","024","1,288"
"AK","W - White","90-100","0-9.9","023","1,286"
"AK","W - White","80-89.9","0-9.9","025","1,217"
"AK","W - White","90-100","90-100","021","1,210"
"AK","W - White","80-89.9","0-9.9","026","1,200"
"AK","W - White","90-100","0-9.9","028","1,125"
"AK","W - White","80-89.9","0-9.9","024","1,064"
"AK","W - White","80-89.9","0-9.9","027","1,058"
"AK","W - White","80-89.9","0-9.9","028","1,051"
"AK","W - White","90-100","0-9.9","025","1,034"
"AK","W - White","90-100","0-9.9","029","986"
"AK","W - White","90-100","90-100","020","951"
"AK","W - White","80-89.9","0-9.9","023","907"
"AK","W - White","90-100","0-9.9","026","891"
"AK","W - White","90-100","0-9.9","021","835"
"AK","W - White","80-89.9","90-100","021","819"
"AK","W - White","90-100","90-100","023","812"
"AK","W - White","90-100","0-9.9","027","806"
"AK","W - White","30-39.9","0-9.9","026","718"
"AK","W - White","70-79.9","0-9.9","029","696"
"AK","W - White","60-69.9","0-9.9","029","688"
"AK","W - White","40-49.9","0-9.9","026","687"
"AK","W - White","80-89.9","90-100","020","675"
"AK","W - White","70-79.9","0-9.9","025","662"
"AK","W - White","70-79.9","0-9.9","026","656"
"AK","W - White","30-39.9","0-9.9","029","655"
"AK","W - White","70-79.9","0-9.9","027","655"
"AK","W - White","30-39.9","0-9.9","027","651"
"AK","W - White","40-49.9","0-9.9","027","650"
"AK","W - White","60-69.9","0-9.9","026","649"
"AK","W - White","50-59.9","0-9.9","026","645"
"AK","W - White","40-49.9","0-9.9","029","636"
"AK","W - White","80-89.9","90-100","023","613"
"AK","W - White","60-69.9","0-9.9","027","606"
"AK","W - White","50-59.9","0-9.9","029","585"
"AK","W - White","70-79.9","0-9.9","028","568"
"AK","W - White","50-59.9","0-9.9","027","561"
"AK","W - White","70-79.9","0-9.9","024","551"
"AK","W - White","40-49.9","0-9.9","028","542"
"AK","W - White","50-59.9","0-9.9","028","539"
"AK","W - White","60-69.9","0-9.9","025","535"
"AK","W - White","60-69.9","0-9.9","028","531"
"AK","W - White","40-49.9","0-9.9","025","526"
"AK","W - White","60-69.9","0-9.9","023","523"
"AK","W - White","70-79.9","0-9.9","023","519"
"AK","W - White","10-19.9","0-9.9","026","515"
"AK","W - White","30-39.9","0-9.9","028","508"
"AK","W - White","30-39.9","0-9.9","025","501"
"AK","W - White","90-100","90-100","024","497"
"AK","W - White","50-59.9","0-9.9","025","497"
"AK","W - White","60-69.9","0-9.9","024","495"
"AK","W - White","50-59.9","0-9.9","023","495"
"AK","W - White","20-29.9","0-9.9","027","493"
"AK","W - White","90-100","0-9.9","020","487"
"AK","W - White","20-29.9","0-9.9","026","479"
"AK","W - White","10-19.9","0-9.9","027","476"
"AK","W - White","80-89.9","0-9.9","021","471"
"AK","W - White","10-19.9","10-19.9","027","469"
"AK","W - White","20-29.9","0-9.9","029","453"
"AK","W - White","10-19.9","0-9.9","029","452"
"AK","W - White","70-79.9","90-100","021","451"
"AK","W - White","0-9.9","10-19.9","027","444"
"AK","W - White","50-59.9","0-9.9","024","441"
"AK","W - White","10-19.9","10-19.9","026","436"
"AK","W - White","90-100","90-100","022","429"
"AK","W - White","40-49.9","0-9.9","024","420"
"AK","W - White","0-9.9","10-19.9","026","408"
"AK","W - White","80-89.9","90-100","022","408"
"AK","W - White","40-49.9","0-9.9","023","402"
"AK","W - White","70-79.9","90-100","020","392"
"AK","W - White","80-89.9","90-100","024","391"
"AK","W - White","20-29.9","0-9.9","028","377"
"AK","W - White","30-39.9","0-9.9","024","372"
"AK","W - White","60-69.9","90-100","020","364"
"AK","W - White","30-39.9","0-9.9","023","362"
"AK","W - White","20-29.9","0-9.9","025","358"
"AK","W - White","70-79.9","90-100","023","357"
"AK","W - White","10-19.9","10-19.9","029","354"
"AK","W - White","30-39.9","10-19.9","027","351"
"AK","W - White","80-89.9","0-9.9","020","346"
"AK","W - White","90-100","0-9.9","022","344"
"AK","W - White","10-19.9","0-9.9","028","344"
"AK","W - White","0-9.9","20-29.9","027","344"
"AK","W - White","80-89.9","10-19.9","029","342"
"AK","W - White","40-49.9","10-19.9","027","341"
"AK","W - White","40-49.9","10-19.9","026","338"
"AK","W - White","80-89.9","90-100","025","336"
"AK","W - White","60-69.9","90-100","021","334"
"AK","W - White","30-39.9","10-19.9","025","332"
"AK","W - White","10-19.9","0-9.9","025","332"
"AK","W - White","80-89.9","20-29.9","026","329"
"AK","W - White","30-39.9","10-19.9","029","320"
"AK","W - White","30-39.9","10-19.9","028","319"
"AK","W - White","60-69.9","90-100","023","317"
"AK","W - White","80-89.9","20-29.9","029","316"
"AK","W - White","30-39.9","10-19.9","026","313"
"AK","W - White","90-100","90-100","025","310"
"AK","W - White","40-49.9","10-19.9","025","304"
"AK","W - White","0-9.9","0-9.9","026","302"
"AK","W - White","50-59.9","10-19.9","026","301"
"AK","W - White","10-19.9","10-19.9","028","300"
"AK","W - White","40-49.9","10-19.9","028","300"
"AK","W - White","0-9.9","20-29.9","028","298"
"AK","W - White","0-9.9","10-19.9","029","294"
"AK","W - White","10-19.9","10-19.9","025","294"
"AK","W - White","0-9.9","0-9.9","027","294"
"AK","W - White","10-19.9","20-29.9","027","293"
"AK","W - White","50-59.9","10-19.9","027","290"
"AK","W - White","90-100","20-29.9","029","286"
"AK","W - White","80-89.9","90-100","029","286"
"AK","W - White","50-59.9","90-100","023","286"
"AK","W - White","0-9.9","20-29.9","026","285"
"AK","W - White","80-89.9","10-19.9","026","283"
"AK","W - White","50-59.9","10-19.9","029","283"
"AK","W - White","50-59.9","90-100","021","282"
