"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"AK","W - White","80-89.9","0-9.9","030","1,358"
"AK","W - White","80-89.9","0-9.9","033","998"
"AK","W - White","90-100","0-9.9","033","924"
"AK","W - White","90-100","90-100","035","911"
"AK","W - White","80-89.9","0-9.9","036","884"
"AK","W - White","30-39.9","0-9.9","033","874"
"AK","W - White","90-100","0-9.9","034","873"
"AK","W - White","80-89.9","90-100","035","868"
"AK","W - White","30-39.9","0-9.9","030","852"
"AK","W - White","80-89.9","0-9.9","034","833"
"AK","W - White","40-49.9","0-9.9","030","821"
"AK","W - White","60-69.9","0-9.9","030","795"
"AK","W - White","40-49.9","0-9.9","033","780"
"AK","W - White","50-59.9","0-9.9","033","698"
"AK","W - White","70-79.9","0-9.9","030","689"
"AK","W - White","10-19.9","0-9.9","030","662"
"AK","W - White","50-59.9","0-9.9","030","660"
"AK","W - White","60-69.9","0-9.9","033","652"
"AK","W - White","80-89.9","0-9.9","035","651"
"AK","W - White","30-39.9","0-9.9","036","651"
"AK","W - White","90-100","0-9.9","035","634"
"AK","W - White","30-39.9","0-9.9","034","626"
"AK","W - White","0-9.9","10-19.9","030","616"
"AK","W - White","70-79.9","0-9.9","033","612"
"AK","W - White","20-29.9","0-9.9","033","607"
"AK","W - White","90-100","0-9.9","030","588"
"AK","W - White","10-19.9","0-9.9","033","586"
"AK","W - White","90-100","90-100","034","568"
"AK","W - White","70-79.9","0-9.9","036","549"
"AK","W - White","0-9.9","0-9.9","030","546"
"AK","W - White","20-29.9","0-9.9","030","536"
"AK","W - White","90-100","0-9.9","031","526"
"AK","W - White","0-9.9","10-19.9","036","523"
"AK","W - White","40-49.9","0-9.9","034","517"
"AK","W - White","30-39.9","0-9.9","032","516"
"AK","W - White","70-79.9","0-9.9","034","506"
"AK","W - White","40-49.9","0-9.9","036","497"
"AK","W - White","60-69.9","0-9.9","036","494"
"AK","W - White","80-89.9","90-100","036","487"
"AK","W - White","50-59.9","0-9.9","034","484"
"AK","W - White","60-69.9","0-9.9","034","474"
"AK","W - White","10-19.9","10-19.9","030","473"
"AK","W - White","90-100","90-100","031","470"
"AK","W - White","80-89.9","20-29.9","030","465"
"AK","W - White","50-59.9","0-9.9","036","456"
"AK","W - White","10-19.9","10-19.9","033","455"
"AK","W - White","70-79.9","0-9.9","032","440"
"AK","W - White","80-89.9","90-100","031","438"
"AK","W - White","80-89.9","0-9.9","032","430"
"AK","W - White","80-89.9","0-9.9","031","430"
"AK","W - White","0-9.9","0-9.9","033","424"
"AK","W - White","80-89.9","90-100","034","424"
"AK","W - White","0-9.9","10-19.9","033","415"
"AK","W - White","20-29.9","0-9.9","034","398"
"AK","W - White","70-79.9","90-100","035","392"
"AK","W - White","10-19.9","0-9.9","036","390"
"AK","W - White","60-69.9","90-100","035","388"
"AK","W - White","10-19.9","0-9.9","034","376"
"AK","W - White","80-89.9","10-19.9","030","373"
"AK","W - White","90-100","90-100","036","371"
"AK","W - White","40-49.9","10-19.9","030","357"
"AK","W - White","90-100","0-9.9","032","350"
"AK","W - White","30-39.9","0-9.9","035","349"
"AK","W - White","50-59.9","0-9.9","032","348"
"AK","W - White","40-49.9","0-9.9","032","347"
"AK","W - White","0-9.9","0-9.9","036","347"
"AK","W - White","20-29.9","0-9.9","036","339"
"AK","W - White","90-100","10-19.9","033","339"
"AK","W - White","20-29.9","0-9.9","032","336"
"AK","W - White","50-59.9","10-19.9","030","335"
"AK","W - White","10-19.9","0-9.9","032","331"
"AK","W - White","80-89.9","90-100","030","328"
"AK","W - White","80-89.9","10-19.9","033","326"
"AK","W - White","30-39.9","10-19.9","030","325"
"AK","W - White","60-69.9","10-19.9","030","317"
"AK","W - White","30-39.9","0-9.9","031","316"
"AK","W - White","50-59.9","0-9.9","035","316"
"AK","W - White","80-89.9","30-39.9","030","314"
"AK","W - White","60-69.9","0-9.9","035","311"
"AK","W - White","70-79.9","0-9.9","035","308"
"AK","W - White","90-100","0-9.9","036","308"
"AK","W - White","80-89.9","20-29.9","036","295"
"AK","W - White","40-49.9","0-9.9","035","295"
"AK","W - White","70-79.9","0-9.9","031","294"
"AK","W - White","70-79.9","90-100","031","293"
"AK","W - White","60-69.9","0-9.9","032","289"
"AK","W - White","0-9.9","20-29.9","036","288"
"AK","W - White","50-59.9","10-19.9","033","286"
"AK","W - White","50-59.9","0-9.9","031","283"
"AK","W - White","10-19.9","20-29.9","030","279"
"AK","W - White","80-89.9","20-29.9","034","279"
"AK","W - White","10-19.9","10-19.9","036","279"
"AK","W - White","30-39.9","10-19.9","033","278"
"AK","W - White","70-79.9","10-19.9","030","268"
"AK","W - White","50-59.9","90-100","035","266"
"AK","W - White","10-19.9","0-9.9","031","266"
"AK","W - White","40-49.9","0-9.9","031","265"
"AK","W - White","40-49.9","10-19.9","033","263"
