"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State Senate District","All Record Count"
"AK","W - White","90-100","90-100","E","3,245"
"AK","W - White","90-100","90-100","B","3,218"
"AK","W - White","90-100","90-100","H","3,194"
"AK","W - White","80-89.9","0-9.9","D","2,737"
"AK","W - White","80-89.9","0-9.9","O","2,733"
"AK","W - White","80-89.9","90-100","B","2,705"
"AK","W - White","90-100","0-9.9","E","2,580"
"AK","W - White","90-100","0-9.9","L","2,574"
"AK","W - White","80-89.9","0-9.9","M","2,417"
"AK","W - White","90-100","90-100","F","2,266"
"AK","W - White","90-100","0-9.9","F","2,144"
"AK","W - White","80-89.9","0-9.9","N","2,109"
"AK","W - White","80-89.9","0-9.9","L","1,971"
"AK","W - White","90-100","0-9.9","N","1,931"
"AK","W - White","90-100","0-9.9","M","1,925"
"AK","W - White","90-100","0-9.9","D","1,862"
"AK","W - White","90-100","0-9.9","H","1,849"
"AK","W - White","90-100","90-100","G","1,844"
"AK","W - White","80-89.9","0-9.9","Q","1,831"
"AK","W - White","90-100","0-9.9","Q","1,797"
"AK","W - White","90-100","90-100","I","1,790"
"AK","W - White","80-89.9","90-100","H","1,752"
"AK","W - White","80-89.9","0-9.9","C","1,737"
"AK","W - White","80-89.9","90-100","E","1,656"
"AK","W - White","90-100","90-100","K","1,639"
"AK","W - White","90-100","90-100","J","1,611"
"AK","W - White","90-100","0-9.9","O","1,574"
"AK","W - White","80-89.9","0-9.9","R","1,535"
"AK","W - White","30-39.9","0-9.9","O","1,507"
"AK","W - White","30-39.9","0-9.9","Q","1,500"
"AK","W - White","60-69.9","0-9.9","O","1,483"
"AK","W - White","40-49.9","0-9.9","O","1,457"
"AK","W - White","80-89.9","90-100","G","1,439"
"AK","W - White","80-89.9","0-9.9","E","1,404"
"AK","W - White","80-89.9","0-9.9","A","1,394"
"AK","W - White","70-79.9","0-9.9","O","1,385"
"AK","W - White","80-89.9","90-100","I","1,379"
"AK","W - White","70-79.9","0-9.9","D","1,376"
"AK","W - White","80-89.9","90-100","R","1,355"
"AK","W - White","40-49.9","0-9.9","D","1,318"
"AK","W - White","70-79.9","0-9.9","M","1,318"
"AK","W - White","80-89.9","90-100","F","1,315"
"AK","W - White","90-100","90-100","L","1,309"
