"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"AL","W - White","80-89.9","10-19.9","004","29,651"
"AL","W - White","80-89.9","10-19.9","001","27,120"
"AL","W - White","80-89.9","10-19.9","006","23,531"
"AL","W - White","80-89.9","10-19.9","003","21,953"
"AL","W - White","90-100","10-19.9","004","21,811"
"AL","W - White","80-89.9","20-29.9","001","21,021"
"AL","W - White","80-89.9","20-29.9","006","20,586"
"AL","W - White","90-100","10-19.9","006","20,139"
"AL","W - White","80-89.9","0-9.9","004","20,053"
"AL","W - White","90-100","10-19.9","001","19,739"
"AL","W - White","90-100","20-29.9","006","18,771"
"AL","B - Black","80-89.9","90-100","007","17,179"
"AL","W - White","70-79.9","10-19.9","004","17,107"
"AL","W - White","90-100","20-29.9","001","16,565"
"AL","W - White","80-89.9","20-29.9","004","16,457"
"AL","W - White","10-19.9","10-19.9","004","16,282"
"AL","W - White","70-79.9","10-19.9","001","15,882"
"AL","W - White","80-89.9","10-19.9","005","15,776"
"AL","W - White","90-100","10-19.9","003","15,394"
"AL","W - White","80-89.9","20-29.9","003","15,269"
"AL","W - White","80-89.9","20-29.9","005","14,765"
"AL","W - White","10-19.9","10-19.9","001","14,558"
"AL","B - Black","80-89.9","80-89.9","007","14,551"
"AL","W - White","20-29.9","10-19.9","001","14,551"
"AL","W - White","10-19.9","0-9.9","004","14,383"
"AL","W - White","0-9.9","10-19.9","004","14,322"
"AL","W - White","20-29.9","10-19.9","004","14,237"
"AL","W - White","90-100","10-19.9","005","14,035"
"AL","W - White","90-100","20-29.9","005","13,960"
"AL","W - White","0-9.9","0-9.9","004","13,584"
"AL","W - White","90-100","0-9.9","004","13,465"
"AL","W - White","40-49.9","10-19.9","004","13,304"
"AL","W - White","60-69.9","10-19.9","001","13,006"
"AL","W - White","70-79.9","10-19.9","006","13,002"
"AL","W - White","90-100","20-29.9","004","12,926"
"AL","W - White","40-49.9","10-19.9","001","12,918"
"AL","W - White","60-69.9","10-19.9","004","12,763"
"AL","W - White","70-79.9","10-19.9","003","12,754"
"AL","W - White","10-19.9","10-19.9","003","12,590"
"AL","W - White","70-79.9","0-9.9","004","12,415"
"AL","W - White","80-89.9","30-39.9","006","12,408"
"AL","W - White","80-89.9","0-9.9","003","12,359"
"AL","W - White","70-79.9","20-29.9","001","12,332"
"AL","W - White","50-59.9","10-19.9","004","12,187"
"AL","W - White","50-59.9","10-19.9","001","12,119"
"AL","W - White","20-29.9","20-29.9","001","11,955"
"AL","W - White","40-49.9","10-19.9","003","11,851"
"AL","W - White","70-79.9","20-29.9","006","11,608"
"AL","W - White","0-9.9","10-19.9","001","11,470"
"AL","W - White","30-39.9","10-19.9","004","11,455"
"AL","W - White","20-29.9","0-9.9","004","11,390"
"AL","W - White","80-89.9","30-39.9","005","11,389"
"AL","W - White","40-49.9","0-9.9","004","11,351"
"AL","W - White","90-100","20-29.9","003","11,280"
"AL","B - Black","90-100","90-100","007","11,208"
"AL","W - White","20-29.9","10-19.9","003","11,181"
"AL","W - White","80-89.9","0-9.9","001","10,968"
"AL","W - White","50-59.9","0-9.9","004","10,943"
"AL","W - White","90-100","30-39.9","005","10,897"
"AL","W - White","30-39.9","10-19.9","001","10,887"
"AL","W - White","10-19.9","20-29.9","001","10,853"
"AL","W - White","90-100","30-39.9","006","10,771"
"AL","W - White","50-59.9","10-19.9","003","10,714"
"AL","W - White","40-49.9","20-29.9","001","10,342"
"AL","W - White","60-69.9","0-9.9","004","10,219"
"AL","W - White","0-9.9","10-19.9","003","10,168"
"AL","W - White","80-89.9","30-39.9","001","10,092"
"AL","B - Black","90-100","80-89.9","007","10,089"
"AL","B - Black","70-79.9","90-100","007","9,939"
"AL","W - White","60-69.9","20-29.9","001","9,939"
"AL","W - White","60-69.9","10-19.9","006","9,723"
"AL","W - White","60-69.9","10-19.9","003","9,718"
"AL","W - White","70-79.9","20-29.9","004","9,711"
"AL","B - Black","80-89.9","80-89.9","002","9,692"
"AL","W - White","30-39.9","0-9.9","004","9,627"
"AL","W - White","10-19.9","0-9.9","003","9,547"
"AL","W - White","50-59.9","20-29.9","001","9,508"
"AL","B - Black","10-19.9","80-89.9","007","9,293"
"AL","W - White","30-39.9","20-29.9","001","9,198"
"AL","W - White","70-79.9","10-19.9","005","9,080"
"AL","W - White","10-19.9","10-19.9","005","9,048"
"AL","W - White","80-89.9","0-9.9","006","9,040"
"AL","W - White","10-19.9","10-19.9","006","8,932"
"AL","W - White","10-19.9","20-29.9","004","8,894"
"AL","W - White","70-79.9","20-29.9","003","8,880"
"AL","W - White","80-89.9","40-49.9","005","8,861"
"AL","W - White","40-49.9","10-19.9","006","8,812"
"AL","W - White","50-59.9","10-19.9","006","8,769"
"AL","W - White","70-79.9","20-29.9","005","8,746"
"AL","W - White","60-69.9","20-29.9","006","8,721"
"AL","W - White","20-29.9","10-19.9","006","8,720"
"AL","W - White","0-9.9","0-9.9","003","8,609"
"AL","B - Black","80-89.9","90-100","002","8,597"
"AL","W - White","30-39.9","10-19.9","003","8,593"
"AL","W - White","20-29.9","20-29.9","004","8,554"
"AL","W - White","80-89.9","20-29.9","002","8,549"
"AL","W - White","40-49.9","20-29.9","006","8,434"
"AL","B - Black","70-79.9","80-89.9","007","8,426"
"AL","W - White","90-100","40-49.9","005","8,377"
"AL","W - White","80-89.9","30-39.9","003","8,304"
"AL","W - White","20-29.9","10-19.9","005","8,111"
"AL","W - White","10-19.9","20-29.9","003","8,090"
"AL","B - Black","0-9.9","80-89.9","007","8,070"
"AL","W - White","20-29.9","20-29.9","006","8,004"
"AL","W - White","20-29.9","20-29.9","003","7,956"
"AL","W - White","90-100","0-9.9","003","7,908"
"AL","B - Black","0-9.9","70-79.9","007","7,867"
"AL","W - White","40-49.9","0-9.9","003","7,827"
