"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"AR","W - White","90-100","0-9.9","002","44,810"
"AR","W - White","90-100","0-9.9","003","44,590"
"AR","W - White","80-89.9","0-9.9","003","41,112"
"AR","W - White","80-89.9","0-9.9","002","39,912"
"AR","W - White","80-89.9","0-9.9","001","39,803"
"AR","W - White","80-89.9","0-9.9","004","37,871"
"AR","W - White","90-100","0-9.9","004","32,592"
"AR","W - White","90-100","0-9.9","001","31,951"
"AR","W - White","70-79.9","0-9.9","001","22,249"
"AR","W - White","90-100","90-100","002","22,139"
"AR","W - White","70-79.9","0-9.9","003","20,643"
"AR","W - White","70-79.9","0-9.9","004","19,441"
"AR","W - White","70-79.9","0-9.9","002","18,536"
"AR","W - White","80-89.9","90-100","002","18,359"
"AR","W - White","80-89.9","90-100","003","16,946"
"AR","W - White","60-69.9","0-9.9","001","16,730"
"AR","W - White","50-59.9","0-9.9","001","16,004"
"AR","W - White","90-100","90-100","003","15,349"
"AR","W - White","60-69.9","0-9.9","003","15,247"
"AR","W - White","40-49.9","0-9.9","001","14,538"
"AR","W - White","60-69.9","0-9.9","004","13,498"
"AR","W - White","50-59.9","0-9.9","003","13,403"
"AR","W - White","60-69.9","0-9.9","002","12,383"
"AR","W - White","50-59.9","0-9.9","004","11,964"
"AR","W - White","80-89.9","90-100","004","11,711"
"AR","W - White","40-49.9","0-9.9","003","11,540"
"AR","W - White","90-100","90-100","004","11,000"
"AR","W - White","40-49.9","0-9.9","004","10,732"
"AR","W - White","80-89.9","90-100","001","10,698"
"AR","W - White","50-59.9","0-9.9","002","10,647"
"AR","W - White","30-39.9","0-9.9","001","10,340"
"AR","W - White","20-29.9","0-9.9","001","10,160"
"AR","B - Black","80-89.9","90-100","002","9,435"
"AR","W - White","40-49.9","0-9.9","002","9,161"
"AR","W - White","10-19.9","0-9.9","001","9,088"
"AR","W - White","30-39.9","0-9.9","003","9,085"
"AR","W - White","90-100","90-100","001","8,998"
"AR","B - Black","80-89.9","90-100","004","8,952"
"AR","W - White","20-29.9","0-9.9","003","8,656"
"AR","B - Black","90-100","90-100","002","8,230"
"AR","W - White","70-79.9","90-100","002","8,110"
"AR","W - White","70-79.9","90-100","003","8,055"
"AR","W - White","0-9.9","0-9.9","001","7,770"
"AR","B - Black","90-100","90-100","004","7,689"
"AR","W - White","30-39.9","0-9.9","004","7,682"
"AR","W - White","20-29.9","0-9.9","004","7,629"
"AR","W - White","20-29.9","10-19.9","003","7,416"
"AR","W - White","40-49.9","10-19.9","003","7,331"
"AR","W - White","10-19.9","0-9.9","004","6,989"
"AR","W - White","30-39.9","10-19.9","003","6,883"
"AR","W - White","30-39.9","0-9.9","002","6,838"
"AR","W - White","20-29.9","10-19.9","001","6,590"
"AR","W - White","20-29.9","0-9.9","002","6,523"
"AR","W - White","10-19.9","0-9.9","003","6,501"
"AR","W - White","40-49.9","10-19.9","001","6,393"
"AR","W - White","0-9.9","0-9.9","004","6,318"
"AR","W - White","30-39.9","10-19.9","001","6,219"
"AR","W - White","50-59.9","10-19.9","003","6,206"
"AR","W - White","70-79.9","90-100","004","5,710"
"AR","B - Black","80-89.9","90-100","001","5,707"
"AR","W - White","70-79.9","90-100","001","5,339"
"AR","W - White","10-19.9","0-9.9","002","5,318"
"AR","W - White","60-69.9","10-19.9","003","5,300"
"AR","W - White","60-69.9","90-100","003","5,225"
"AR","W - White","80-89.9","10-19.9","003","5,128"
"AR","W - White","40-49.9","10-19.9","004","5,060"
"AR","W - White","60-69.9","90-100","002","5,058"
"AR","W - White","10-19.9","10-19.9","001","4,930"
"AR","W - White","20-29.9","10-19.9","004","4,922"
"AR","W - White","40-49.9","10-19.9","002","4,917"
"AR","W - White","20-29.9","20-29.9","003","4,737"
"AR","W - White","30-39.9","10-19.9","004","4,715"
"AR","W - White","40-49.9","20-29.9","003","4,707"
"AR","W - White","10-19.9","10-19.9","003","4,706"
"AR","W - White","30-39.9","20-29.9","003","4,676"
"AR","W - White","50-59.9","10-19.9","001","4,593"
"AR","W - White","20-29.9","10-19.9","002","4,483"
"AR","W - White","70-79.9","10-19.9","003","4,477"
"AR","W - White","40-49.9","90-100","002","4,412"
"AR","W - White","10-19.9","10-19.9","004","4,311"
"AR","W - White","0-9.9","0-9.9","002","4,287"
"AR","W - White","30-39.9","10-19.9","002","4,280"
"AR","W - White","80-89.9","10-19.9","001","4,277"
"AR","W - White","0-9.9","0-9.9","003","4,242"
"AR","B - Black","70-79.9","90-100","002","4,228"
"AR","W - White","30-39.9","90-100","003","4,165"
"AR","W - White","80-89.9","10-19.9","002","4,150"
"AR","W - White","50-59.9","10-19.9","002","4,122"
"AR","B - Black","70-79.9","90-100","004","4,115"
"AR","W - White","0-9.9","10-19.9","001","4,082"
"AR","W - White","30-39.9","90-100","002","4,082"
"AR","W - White","50-59.9","90-100","003","4,037"
"AR","W - White","50-59.9","10-19.9","004","4,032"
"AR","W - White","40-49.9","90-100","003","4,031"
"AR","W - White","0-9.9","10-19.9","004","4,028"
"AR","B - Black","90-100","90-100","001","3,976"
"AR","W - White","80-89.9","10-19.9","004","3,952"
"AR","W - White","20-29.9","20-29.9","001","3,799"
"AR","W - White","50-59.9","90-100","002","3,714"
"AR","W - White","60-69.9","10-19.9","001","3,631"
"AR","W - White","20-29.9","30-39.9","003","3,602"
"AR","B - Black","20-29.9","90-100","002","3,568"
"AR","W - White","30-39.9","30-39.9","003","3,536"
"AR","B - Black","0-9.9","90-100","004","3,466"
"AR","W - White","50-59.9","20-29.9","003","3,443"
"AR","B - Black","20-29.9","90-100","004","3,423"
"AR","W - White","60-69.9","90-100","004","3,401"
"AR","W - White","70-79.9","10-19.9","001","3,375"
"AR","W - White","30-39.9","20-29.9","001","3,374"
"AR","W - White","20-29.9","20-29.9","004","3,295"
