"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"AZ","W - White","90-100","0-9.9","001","55,482"
"AZ","W - White","90-100","0-9.9","006","52,197"
"AZ","W - White","80-89.9","0-9.9","002","51,935"
"AZ","W - White","90-100","90-100","006","49,743"
"AZ","W - White","80-89.9","0-9.9","005","49,649"
"AZ","W - White","80-89.9","0-9.9","009","48,198"
"AZ","W - White","90-100","0-9.9","005","47,763"
"AZ","W - White","80-89.9","0-9.9","008","45,355"
"AZ","W - White","80-89.9","0-9.9","001","45,279"
"AZ","W - White","90-100","0-9.9","008","44,683"
"AZ","W - White","90-100","0-9.9","002","43,135"
"AZ","W - White","80-89.9","0-9.9","006","42,505"
"AZ","W - White","80-89.9","90-100","001","42,273"
"AZ","W - White","90-100","90-100","001","40,743"
"AZ","W - White","80-89.9","90-100","006","40,656"
"AZ","W - White","90-100","0-9.9","009","37,952"
"AZ","W - White","90-100","0-9.9","004","32,498"
"AZ","W - White","80-89.9","90-100","004","31,067"
"AZ","W - White","80-89.9","90-100","008","28,632"
"AZ","W - White","80-89.9","0-9.9","004","27,945"
"AZ","W - White","80-89.9","90-100","005","27,772"
"AZ","W - White","80-89.9","90-100","002","26,771"
"AZ","W - White","70-79.9","0-9.9","009","25,107"
"AZ","W - White","70-79.9","0-9.9","005","25,024"
"AZ","H - Hispanic or Latino","80-89.9","90-100","007","24,855"
"AZ","W - White","90-100","90-100","004","24,686"
"AZ","W - White","90-100","90-100","008","24,110"
"AZ","W - White","70-79.9","0-9.9","002","23,978"
"AZ","W - White","90-100","90-100","002","23,113"
"AZ","W - White","90-100","90-100","005","22,661"
"AZ","W - White","70-79.9","0-9.9","008","21,935"
"AZ","W - White","70-79.9","0-9.9","001","21,160"
"AZ","W - White","70-79.9","90-100","001","20,799"
"AZ","H - Hispanic or Latino","40-49.9","90-100","003","20,008"
"AZ","W - White","60-69.9","0-9.9","009","19,808"
"AZ","W - White","80-89.9","90-100","007","19,371"
"AZ","W - White","80-89.9","90-100","009","19,237"
"AZ","W - White","40-49.9","90-100","001","19,182"
"AZ","W - White","60-69.9","0-9.9","005","19,163"
"AZ","W - White","50-59.9","0-9.9","009","19,150"
"AZ","H - Hispanic or Latino","0-9.9","90-100","007","18,794"
"AZ","W - White","40-49.9","90-100","004","18,742"
"AZ","W - White","70-79.9","0-9.9","006","18,380"
"AZ","W - White","90-100","90-100","007","18,248"
"AZ","W - White","40-49.9","0-9.9","009","17,844"
"AZ","W - White","50-59.9","0-9.9","005","17,743"
"AZ","H - Hispanic or Latino","20-29.9","90-100","007","17,673"
"AZ","H - Hispanic or Latino","30-39.9","90-100","003","17,396"
"AZ","H - Hispanic or Latino","40-49.9","90-100","007","17,323"
"AZ","W - White","70-79.9","90-100","004","17,235"
"AZ","W - White","20-29.9","0-9.9","009","17,099"
"AZ","W - White","50-59.9","90-100","001","17,097"
"AZ","W - White","30-39.9","90-100","001","16,668"
"AZ","W - White","70-79.9","90-100","006","16,378"
"AZ","W - White","60-69.9","0-9.9","002","16,326"
"AZ","W - White","30-39.9","90-100","004","16,254"
"AZ","H - Hispanic or Latino","30-39.9","90-100","007","16,182"
"AZ","W - White","30-39.9","0-9.9","009","16,038"
"AZ","H - Hispanic or Latino","70-79.9","90-100","007","15,786"
"AZ","W - White","60-69.9","0-9.9","008","15,727"
"AZ","W - White","50-59.9","90-100","004","15,667"
"AZ","W - White","60-69.9","90-100","001","15,583"
"AZ","H - Hispanic or Latino","80-89.9","90-100","003","15,303"
"AZ","W - White","80-89.9","90-100","003","14,784"
"AZ","H - Hispanic or Latino","70-79.9","90-100","003","14,631"
"AZ","W - White","40-49.9","0-9.9","005","14,503"
"AZ","W - White","40-49.9","90-100","006","14,486"
"AZ","H - Hispanic or Latino","10-19.9","90-100","007","14,439"
"AZ","W - White","70-79.9","90-100","008","14,414"
"AZ","W - White","60-69.9","0-9.9","001","14,405"
"AZ","W - White","50-59.9","0-9.9","008","14,315"
"AZ","W - White","70-79.9","90-100","005","14,292"
"AZ","W - White","50-59.9","0-9.9","002","14,285"
"AZ","W - White","40-49.9","0-9.9","002","14,258"
"AZ","H - Hispanic or Latino","0-9.9","90-100","003","14,242"
"AZ","W - White","90-100","90-100","009","14,098"
"AZ","W - White","40-49.9","90-100","005","14,077"
"AZ","W - White","70-79.9","0-9.9","004","13,993"
"AZ","W - White","30-39.9","90-100","006","13,989"
"AZ","H - Hispanic or Latino","20-29.9","90-100","003","13,962"
"AZ","W - White","60-69.9","90-100","004","13,506"
"AZ","W - White","40-49.9","90-100","008","13,239"
"AZ","W - White","20-29.9","90-100","006","13,042"
"AZ","W - White","50-59.9","0-9.9","001","12,849"
"AZ","W - White","60-69.9","0-9.9","006","12,760"
"AZ","H - Hispanic or Latino","50-59.9","90-100","007","12,742"
"AZ","W - White","70-79.9","90-100","002","12,718"
"AZ","H - Hispanic or Latino","50-59.9","90-100","003","12,623"
"AZ","W - White","50-59.9","90-100","005","12,524"
"AZ","W - White","80-89.9","0-9.9","007","12,390"
"AZ","W - White","30-39.9","0-9.9","002","12,340"
"AZ","W - White","20-29.9","90-100","001","12,188"
"AZ","W - White","90-100","0-9.9","007","12,093"
"AZ","W - White","30-39.9","90-100","005","12,083"
"AZ","W - White","50-59.9","90-100","006","12,060"
