"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"CA","W - White","90-100","90-100","002","80,440"
"CA","W - White","80-89.9","90-100","011","71,954"
"CA","W - White","90-100","90-100","010","67,575"
"CA","W - White","80-89.9","90-100","002","66,494"
"CA","W - White","80-89.9","90-100","036","64,498"
"CA","W - White","80-89.9","90-100","030","64,498"
"CA","W - White","90-100","90-100","019","61,563"
"CA","W - White","80-89.9","90-100","012","60,765"
"CA","W - White","90-100","90-100","016","58,009"
"CA","W - White","90-100","90-100","024","55,057"
"CA","W - White","90-100","90-100","012","54,299"
"CA","W - White","90-100","90-100","036","53,222"
"CA","W - White","90-100","90-100","001","53,018"
"CA","W - White","80-89.9","90-100","019","51,958"
"CA","W - White","80-89.9","90-100","032","51,934"
"CA","W - White","90-100","90-100","049","50,550"
"CA","W - White","90-100","90-100","004","49,594"
"CA","W - White","90-100","90-100","011","48,439"
"CA","W - White","90-100","90-100","003","48,110"
"CA","W - White","80-89.9","90-100","010","47,635"
"CA","W - White","80-89.9","90-100","001","47,629"
"CA","W - White","90-100","0-9.9","005","45,651"
"CA","W - White","80-89.9","90-100","003","45,610"
"CA","W - White","90-100","90-100","050","45,269"
"CA","W - White","80-89.9","90-100","024","45,026"
"CA","W - White","80-89.9","90-100","016","44,726"
"CA","W - White","80-89.9","90-100","051","44,604"
"CA","W - White","90-100","90-100","032","44,118"
"CA","W - White","80-89.9","0-9.9","005","43,939"
"CA","W - White","80-89.9","90-100","050","43,161"
"CA","W - White","90-100","90-100","026","42,843"
"CA","W - White","90-100","90-100","015","42,620"
"CA","W - White","90-100","0-9.9","049","41,002"
"CA","W - White","90-100","0-9.9","040","40,564"
"CA","W - White","80-89.9","90-100","049","40,409"
"CA","W - White","90-100","0-9.9","020","40,405"
"CA","W - White","80-89.9","90-100","004","39,278"
"CA","W - White","90-100","90-100","008","38,593"
"CA","W - White","90-100","0-9.9","003","37,887"
"CA","W - White","80-89.9","90-100","042","36,666"
"CA","W - White","80-89.9","0-9.9","020","36,470"
"CA","W - White","80-89.9","0-9.9","040","36,166"
"CA","W - White","90-100","90-100","007","36,031"
