"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"CO","W - White","90-100","90-100","002","111,200"
"CO","W - White","90-100","90-100","007","86,525"
"CO","W - White","90-100","0-9.9","004","84,502"
"CO","W - White","90-100","90-100","001","79,216"
"CO","W - White","80-89.9","90-100","002","65,930"
"CO","W - White","90-100","90-100","006","64,305"
"CO","W - White","80-89.9","90-100","001","62,501"
"CO","W - White","90-100","0-9.9","005","61,766"
"CO","W - White","90-100","0-9.9","007","58,169"
"CO","W - White","90-100","0-9.9","003","55,100"
"CO","W - White","80-89.9","90-100","007","51,809"
"CO","W - White","90-100","90-100","004","49,604"
"CO","W - White","80-89.9","0-9.9","004","47,631"
"CO","W - White","90-100","90-100","003","47,020"
"CO","W - White","90-100","0-9.9","006","43,217"
"CO","W - White","80-89.9","0-9.9","003","39,115"
"CO","W - White","80-89.9","90-100","006","38,696"
"CO","W - White","90-100","0-9.9","002","38,030"
"CO","W - White","90-100","0-9.9","008","37,449"
"CO","W - White","90-100","90-100","008","36,649"
"CO","W - White","80-89.9","90-100","003","35,810"
"CO","W - White","90-100","90-100","005","35,189"
"CO","W - White","80-89.9","0-9.9","005","31,070"
"CO","W - White","80-89.9","0-9.9","007","28,748"
"CO","W - White","80-89.9","90-100","004","28,604"
"CO","W - White","30-39.9","90-100","002","28,378"
"CO","W - White","70-79.9","90-100","001","27,433"
"CO","W - White","30-39.9","90-100","001","26,934"
"CO","W - White","70-79.9","90-100","002","26,893"
"CO","W - White","80-89.9","90-100","008","25,767"
"CO","W - White","80-89.9","90-100","005","25,327"
"CO","W - White","80-89.9","0-9.9","008","23,959"
"CO","W - White","20-29.9","90-100","002","23,610"
"CO","W - White","20-29.9","90-100","001","22,574"
"CO","W - White","40-49.9","90-100","001","22,330"
