"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"DE","W - White","90-100","90-100","001","51,914"
"DE","W - White","80-89.9","90-100","001","50,414"
"DE","W - White","80-89.9","0-9.9","001","40,864"
"DE","W - White","90-100","0-9.9","001","39,856"
"DE","W - White","70-79.9","90-100","001","24,844"
"DE","W - White","40-49.9","90-100","001","22,030"
"DE","B - Black","80-89.9","90-100","001","21,808"
"DE","W - White","70-79.9","0-9.9","001","20,734"
"DE","W - White","30-39.9","90-100","001","19,671"
"DE","W - White","50-59.9","90-100","001","19,470"
"DE","W - White","60-69.9","90-100","001","19,263"
"DE","W - White","20-29.9","90-100","001","17,449"
"DE","W - White","60-69.9","0-9.9","001","15,808"
"DE","B - Black","20-29.9","90-100","001","15,258"
"DE","W - White","50-59.9","0-9.9","001","14,521"
"DE","B - Black","30-39.9","90-100","001","14,389"
"DE","B - Black","90-100","90-100","001","13,935"
"DE","W - White","40-49.9","0-9.9","001","13,617"
"DE","W - White","0-9.9","90-100","001","12,969"
"DE","B - Black","40-49.9","90-100","001","12,357"
"DE","W - White","10-19.9","90-100","001","12,282"
"DE","B - Black","70-79.9","90-100","001","12,244"
"DE","B - Black","0-9.9","90-100","001","12,159"
"DE","B - Black","10-19.9","90-100","001","11,015"
"DE","B - Black","50-59.9","90-100","001","10,576"
"DE","W - White","30-39.9","0-9.9","001","10,439"
"DE","B - Black","60-69.9","90-100","001","10,427"
"DE","W - White","20-29.9","0-9.9","001","9,475"
"DE","W - White","10-19.9","0-9.9","001","7,739"
"DE","W - White","80-89.9","10-19.9","001","7,007"
"DE","W - White","0-9.9","0-9.9","001","6,615"
"DE","W - White","40-49.9","10-19.9","001","5,679"
"DE","H - Hispanic or Latino","30-39.9","90-100","001","4,978"
"DE","H - Hispanic or Latino","20-29.9","90-100","001","4,869"
"DE","W - White","20-29.9","10-19.9","001","4,848"
"DE","W - White","90-100","10-19.9","001","4,810"
"DE","W - White","30-39.9","10-19.9","001","4,714"
"DE","W - White","70-79.9","10-19.9","001","4,576"
"DE","W - White","50-59.9","10-19.9","001","4,368"
"DE","H - Hispanic or Latino","0-9.9","90-100","001","4,243"
"DE","W - White","60-69.9","10-19.9","001","4,125"
"DE","H - Hispanic or Latino","40-49.9","90-100","001","4,024"
"DE","W - White","10-19.9","10-19.9","001","3,736"
"DE","W - White","40-49.9","20-29.9","001","3,320"
"DE","H - Hispanic or Latino","10-19.9","90-100","001","3,309"
"DE","W - White","80-89.9","20-29.9","001","2,866"
"DE","H - Hispanic or Latino","80-89.9","90-100","001","2,821"
"DE","W - White","20-29.9","20-29.9","001","2,805"
"DE","H - Hispanic or Latino","50-59.9","90-100","001","2,749"
"DE","W - White","0-9.9","10-19.9","001","2,679"
"DE","W - White","30-39.9","20-29.9","001","2,612"
"DE","W - White","40-49.9","30-39.9","001","2,457"
"DE","W - White","50-59.9","20-29.9","001","2,322"
"DE","H - Hispanic or Latino","70-79.9","90-100","001","2,258"
"DE","W - White","70-79.9","20-29.9","001","2,186"
"DE","H - Hispanic or Latino","60-69.9","90-100","001","2,180"
"DE","W - White","10-19.9","20-29.9","001","2,110"
"DE","W - White","30-39.9","30-39.9","001","2,040"
"DE","W - White","20-29.9","30-39.9","001","2,016"
"DE","W - White","60-69.9","20-29.9","001","1,984"
"DE","A - Asian or Pacific Islander","80-89.9","90-100","001","1,911"
