"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"FL","W - White","90-100","0-9.9","019","71,368"
"FL","W - White","90-100","0-9.9","008","71,133"
"FL","W - White","90-100","0-9.9","017","69,943"
"FL","W - White","90-100","0-9.9","001","69,495"
"FL","W - White","90-100","0-9.9","005","68,750"
"FL","W - White","80-89.9","0-9.9","017","67,362"
"FL","W - White","80-89.9","0-9.9","019","66,413"
"FL","W - White","80-89.9","0-9.9","012","62,307"
"FL","W - White","80-89.9","0-9.9","001","62,109"
"FL","W - White","90-100","0-9.9","013","61,818"
"FL","W - White","80-89.9","0-9.9","008","61,657"
"FL","W - White","90-100","0-9.9","011","61,062"
"FL","W - White","90-100","0-9.9","012","60,223"
"FL","W - White","90-100","0-9.9","006","58,083"
"FL","W - White","90-100","0-9.9","021","57,326"
"FL","W - White","80-89.9","0-9.9","006","56,699"
"FL","W - White","80-89.9","0-9.9","011","56,146"
"FL","W - White","90-100","0-9.9","007","55,109"
"FL","W - White","80-89.9","0-9.9","005","54,658"
"FL","W - White","80-89.9","0-9.9","021","53,911"
"FL","W - White","90-100","0-9.9","004","52,185"
"FL","W - White","80-89.9","0-9.9","013","48,161"
"FL","W - White","80-89.9","0-9.9","003","47,201"
"FL","W - White","80-89.9","0-9.9","004","45,209"
"FL","W - White","90-100","0-9.9","002","45,060"
"FL","W - White","90-100","0-9.9","003","44,968"
"FL","W - White","90-100","90-100","013","44,081"
"FL","W - White","80-89.9","0-9.9","007","43,807"
"FL","W - White","80-89.9","0-9.9","018","43,565"
"FL","W - White","90-100","0-9.9","018","42,825"
"FL","W - White","80-89.9","0-9.9","002","39,589"
"FL","W - White","90-100","90-100","017","37,815"
"FL","W - White","90-100","90-100","022","37,596"
"FL","W - White","90-100","90-100","023","36,615"
"FL","W - White","90-100","0-9.9","016","36,287"
"FL","W - White","80-89.9","90-100","022","34,612"
"FL","W - White","90-100","90-100","021","34,522"
"FL","W - White","80-89.9","90-100","013","34,096"
"FL","W - White","90-100","90-100","008","33,360"
"FL","W - White","80-89.9","90-100","023","33,033"
"FL","W - White","70-79.9","0-9.9","017","32,682"
"FL","W - White","70-79.9","0-9.9","001","32,011"
"FL","W - White","90-100","0-9.9","023","31,993"
"FL","W - White","80-89.9","0-9.9","016","31,963"
"FL","W - White","80-89.9","90-100","017","31,843"
"FL","W - White","70-79.9","0-9.9","012","31,283"
"FL","W - White","80-89.9","0-9.9","023","30,886"
"FL","W - White","70-79.9","0-9.9","019","30,664"
"FL","W - White","90-100","90-100","007","30,585"
"FL","W - White","20-29.9","0-9.9","001","29,385"
"FL","W - White","70-79.9","0-9.9","008","28,996"
"FL","W - White","80-89.9","90-100","021","28,671"
"FL","W - White","40-49.9","0-9.9","001","28,215"
"FL","W - White","70-79.9","0-9.9","006","28,052"
"FL","W - White","80-89.9","0-9.9","022","27,996"
"FL","W - White","30-39.9","0-9.9","001","27,696"
"FL","W - White","90-100","90-100","019","27,668"
"FL","W - White","80-89.9","90-100","008","27,510"
"FL","W - White","90-100","90-100","006","27,174"
"FL","W - White","70-79.9","0-9.9","021","26,890"
"FL","W - White","90-100","90-100","003","26,880"
"FL","W - White","90-100","90-100","012","26,850"
"FL","W - White","90-100","0-9.9","022","26,357"
"FL","W - White","90-100","90-100","002","26,351"
"FL","W - White","90-100","90-100","005","26,283"
"FL","W - White","70-79.9","0-9.9","005","26,064"
"FL","W - White","90-100","90-100","011","25,860"
"FL","W - White","80-89.9","90-100","007","25,795"
"FL","W - White","80-89.9","90-100","012","25,231"
"FL","W - White","60-69.9","0-9.9","001","25,215"
"FL","W - White","80-89.9","90-100","011","25,032"
"FL","W - White","50-59.9","0-9.9","001","25,014"
"FL","W - White","90-100","90-100","025","24,403"
"FL","W - White","70-79.9","0-9.9","011","24,364"
"FL","W - White","80-89.9","90-100","003","24,311"
"FL","W - White","60-69.9","0-9.9","017","24,261"
"FL","W - White","80-89.9","90-100","019","24,228"
"FL","W - White","80-89.9","90-100","006","23,903"
"FL","W - White","60-69.9","0-9.9","012","23,736"
"FL","W - White","30-39.9","0-9.9","017","23,702"
"FL","W - White","70-79.9","0-9.9","003","23,549"
"FL","W - White","80-89.9","90-100","005","23,538"
"FL","W - White","40-49.9","0-9.9","012","22,699"
"FL","W - White","70-79.9","0-9.9","004","22,669"
"FL","W - White","70-79.9","0-9.9","013","22,666"
"FL","W - White","50-59.9","0-9.9","012","22,324"
"FL","W - White","40-49.9","0-9.9","017","22,254"
"FL","W - White","70-79.9","0-9.9","018","22,203"
"FL","W - White","50-59.9","0-9.9","017","21,660"
