"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"GA","W - White","90-100","0-9.9","011","79,425"
"GA","W - White","90-100","0-9.9","007","78,080"
"GA","W - White","90-100","0-9.9","003","73,924"
"GA","W - White","90-100","0-9.9","009","69,614"
"GA","W - White","90-100","0-9.9","010","68,049"
"GA","W - White","90-100","0-9.9","014","67,351"
"GA","W - White","90-100","0-9.9","008","56,403"
"GA","W - White","80-89.9","0-9.9","009","52,611"
"GA","W - White","80-89.9","0-9.9","003","52,282"
"GA","W - White","80-89.9","0-9.9","014","51,548"
"GA","W - White","80-89.9","0-9.9","010","51,478"
"GA","B - Black","90-100","90-100","013","50,557"
"GA","W - White","90-100","0-9.9","012","48,165"
"GA","B - Black","80-89.9","90-100","006","47,835"
"GA","B - Black","90-100","90-100","006","47,472"
"GA","W - White","90-100","0-9.9","001","46,924"
"GA","W - White","80-89.9","0-9.9","011","46,485"
"GA","W - White","80-89.9","0-9.9","008","45,980"
"GA","B - Black","80-89.9","90-100","013","44,812"
"GA","W - White","80-89.9","0-9.9","007","40,713"
"GA","B - Black","90-100","90-100","004","39,549"
"GA","B - Black","80-89.9","90-100","005","39,532"
"GA","W - White","80-89.9","0-9.9","001","39,124"
"GA","B - Black","80-89.9","90-100","004","37,929"
"GA","W - White","80-89.9","0-9.9","012","36,148"
"GA","B - Black","80-89.9","90-100","002","34,866"
"GA","B - Black","90-100","90-100","002","33,771"
"GA","W - White","90-100","0-9.9","002","31,812"
"GA","B - Black","90-100","90-100","005","31,535"
"GA","B - Black","0-9.9","90-100","005","31,224"
"GA","W - White","90-100","90-100","005","30,667"
"GA","W - White","80-89.9","90-100","005","30,472"
"GA","B - Black","20-29.9","90-100","005","28,076"
"GA","B - Black","80-89.9","90-100","012","26,666"
"GA","W - White","90-100","0-9.9","013","26,380"
"GA","B - Black","10-19.9","90-100","005","26,046"
"GA","W - White","80-89.9","0-9.9","002","24,930"
"GA","W - White","90-100","0-9.9","006","24,777"
"GA","B - Black","90-100","90-100","012","24,651"
"GA","B - Black","30-39.9","90-100","005","24,339"
"GA","B - Black","70-79.9","90-100","006","23,467"
"GA","B - Black","20-29.9","90-100","006","22,569"
"GA","W - White","70-79.9","0-9.9","009","21,865"
"GA","B - Black","0-9.9","90-100","004","21,533"
"GA","W - White","70-79.9","0-9.9","014","21,533"
"GA","B - Black","70-79.9","90-100","005","21,183"
"GA","B - Black","10-19.9","90-100","006","21,181"
"GA","B - Black","70-79.9","90-100","013","20,944"
"GA","W - White","70-79.9","0-9.9","003","20,434"
"GA","W - White","70-79.9","0-9.9","010","19,994"
"GA","B - Black","30-39.9","90-100","006","19,944"
"GA","B - Black","20-29.9","90-100","004","19,893"
"GA","B - Black","80-89.9","90-100","010","19,848"
"GA","B - Black","10-19.9","90-100","004","19,716"
"GA","B - Black","70-79.9","90-100","004","19,708"
"GA","B - Black","0-9.9","90-100","006","19,467"
"GA","B - Black","20-29.9","90-100","013","19,298"
"GA","B - Black","60-69.9","90-100","006","19,256"
"GA","B - Black","80-89.9","90-100","008","18,984"
"GA","B - Black","80-89.9","90-100","001","18,704"
"GA","B - Black","90-100","90-100","003","18,669"
"GA","B - Black","30-39.9","90-100","004","18,384"
"GA","B - Black","80-89.9","90-100","003","18,302"
"GA","W - White","70-79.9","0-9.9","011","18,238"
"GA","B - Black","90-100","90-100","001","18,233"
"GA","W - White","70-79.9","0-9.9","008","18,076"
"GA","B - Black","90-100","90-100","008","18,013"
"GA","W - White","90-100","0-9.9","004","17,976"
"GA","B - Black","60-69.9","90-100","005","17,855"
