"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"IA","W - White","90-100","0-9.9","004","66,434"
"IA","W - White","80-89.9","0-9.9","004","59,514"
"IA","W - White","90-100","0-9.9","002","58,121"
"IA","W - White","90-100","90-100","002","57,638"
"IA","W - White","90-100","90-100","003","56,954"
"IA","W - White","90-100","0-9.9","003","56,100"
"IA","W - White","80-89.9","0-9.9","002","48,370"
"IA","W - White","90-100","90-100","001","46,190"
"IA","W - White","80-89.9","90-100","003","44,689"
"IA","W - White","80-89.9","90-100","002","43,767"
"IA","W - White","80-89.9","0-9.9","003","43,641"
"IA","W - White","90-100","0-9.9","001","39,577"
"IA","W - White","80-89.9","90-100","001","37,870"
"IA","W - White","80-89.9","0-9.9","001","35,288"
"IA","W - White","90-100","90-100","004","31,558"
"IA","W - White","70-79.9","0-9.9","004","29,128"
"IA","W - White","80-89.9","90-100","004","27,697"
"IA","W - White","70-79.9","0-9.9","002","23,022"
"IA","W - White","70-79.9","0-9.9","003","20,614"
"IA","W - White","70-79.9","90-100","002","20,207"
"IA","W - White","70-79.9","90-100","003","20,033"
"IA","W - White","60-69.9","0-9.9","004","19,326"
"IA","W - White","70-79.9","0-9.9","001","16,932"
"IA","W - White","50-59.9","0-9.9","004","16,761"
"IA","W - White","70-79.9","90-100","001","16,750"
"IA","W - White","40-49.9","0-9.9","004","16,127"
"IA","W - White","60-69.9","0-9.9","002","14,874"
"IA","W - White","60-69.9","90-100","003","14,480"
"IA","W - White","60-69.9","90-100","002","14,176"
"IA","W - White","60-69.9","0-9.9","003","13,803"
"IA","W - White","70-79.9","90-100","004","13,208"
"IA","W - White","60-69.9","90-100","001","12,697"
"IA","W - White","50-59.9","0-9.9","002","12,600"
"IA","W - White","30-39.9","0-9.9","004","12,439"
"IA","W - White","50-59.9","90-100","003","12,192"
"IA","W - White","40-49.9","90-100","003","12,162"
"IA","W - White","20-29.9","0-9.9","004","12,048"
"IA","W - White","50-59.9","0-9.9","003","11,768"
"IA","W - White","50-59.9","90-100","002","11,552"
"IA","W - White","40-49.9","0-9.9","002","11,513"
"IA","W - White","60-69.9","0-9.9","001","11,401"
"IA","W - White","40-49.9","90-100","002","11,355"
"IA","W - White","90-100","80-89.9","001","10,881"
"IA","W - White","30-39.9","90-100","003","10,393"
"IA","W - White","30-39.9","90-100","002","10,288"
"IA","W - White","40-49.9","0-9.9","003","10,175"
"IA","W - White","50-59.9","90-100","001","10,072"
"IA","W - White","40-49.9","90-100","001","10,014"
"IA","W - White","50-59.9","0-9.9","001","9,741"
"IA","W - White","30-39.9","90-100","001","9,632"
"IA","W - White","60-69.9","90-100","004","9,255"
"IA","W - White","20-29.9","90-100","002","9,174"
"IA","W - White","80-89.9","10-19.9","002","9,042"
"IA","W - White","40-49.9","0-9.9","001","8,890"
"IA","W - White","80-89.9","80-89.9","001","8,779"
"IA","W - White","80-89.9","10-19.9","004","8,633"
"IA","W - White","30-39.9","0-9.9","002","8,519"
"IA","W - White","80-89.9","10-19.9","003","8,368"
"IA","W - White","10-19.9","0-9.9","004","8,349"
"IA","W - White","20-29.9","90-100","003","7,984"
"IA","W - White","30-39.9","0-9.9","003","7,793"
"IA","W - White","20-29.9","0-9.9","002","7,765"
"IA","W - White","20-29.9","90-100","001","7,746"
"IA","W - White","50-59.9","90-100","004","7,706"
"IA","W - White","40-49.9","90-100","004","7,691"
"IA","W - White","90-100","70-79.9","001","7,437"
"IA","W - White","10-19.9","90-100","002","7,307"
"IA","W - White","30-39.9","90-100","004","7,244"
"IA","W - White","20-29.9","0-9.9","003","7,115"
"IA","W - White","10-19.9","90-100","003","6,768"
"IA","W - White","30-39.9","0-9.9","001","6,578"
"IA","W - White","90-100","10-19.9","002","6,560"
"IA","W - White","70-79.9","10-19.9","002","6,481"
"IA","W - White","70-79.9","10-19.9","004","6,442"
"IA","W - White","80-89.9","70-79.9","001","6,429"
"IA","W - White","20-29.9","90-100","004","6,373"
"IA","W - White","80-89.9","10-19.9","001","6,341"
"IA","W - White","90-100","10-19.9","003","6,065"
"IA","W - White","20-29.9","0-9.9","001","6,059"
"IA","W - White","0-9.9","90-100","002","5,929"
"IA","W - White","10-19.9","90-100","001","5,896"
"IA","W - White","70-79.9","10-19.9","003","5,832"
"IA","W - White","10-19.9","0-9.9","002","5,802"
"IA","W - White","50-59.9","10-19.9","004","5,683"
"IA","W - White","40-49.9","10-19.9","004","5,682"
"IA","W - White","0-9.9","0-9.9","004","5,471"
"IA","W - White","60-69.9","10-19.9","004","5,446"
"IA","W - White","40-49.9","10-19.9","002","5,420"
"IA","W - White","10-19.9","0-9.9","003","5,367"
"IA","W - White","40-49.9","10-19.9","003","5,249"
"IA","W - White","10-19.9","90-100","004","4,986"
"IA","W - White","90-100","10-19.9","004","4,958"
"IA","W - White","60-69.9","10-19.9","002","4,936"
"IA","W - White","50-59.9","10-19.9","002","4,824"
"IA","W - White","90-100","60-69.9","001","4,814"
"IA","W - White","0-9.9","90-100","003","4,742"
"IA","W - White","60-69.9","10-19.9","003","4,684"
"IA","W - White","20-29.9","10-19.9","004","4,664"
"IA","W - White","70-79.9","10-19.9","001","4,652"
"IA","W - White","80-89.9","60-69.9","001","4,588"
"IA","W - White","50-59.9","10-19.9","003","4,552"
"IA","W - White","10-19.9","0-9.9","001","4,538"
"IA","W - White","70-79.9","80-89.9","001","4,534"
"IA","W - White","30-39.9","10-19.9","004","4,464"
"IA","W - White","0-9.9","0-9.9","002","4,205"
"IA","W - White","40-49.9","10-19.9","001","4,134"
"IA","W - White","0-9.9","90-100","001","4,084"
"IA","W - White","0-9.9","90-100","004","4,080"
"IA","W - White","30-39.9","10-19.9","002","4,025"
"IA","W - White","50-59.9","10-19.9","001","4,025"
"IA","W - White","90-100","10-19.9","001","4,025"
"IA","W - White","10-19.9","10-19.9","004","3,911"
"IA","W - White","60-69.9","10-19.9","001","3,883"
"IA","W - White","30-39.9","10-19.9","003","3,881"
"IA","W - White","20-29.9","10-19.9","002","3,804"
"IA","W - White","0-9.9","10-19.9","004","3,747"
"IA","W - White","20-29.9","10-19.9","003","3,602"
"IA","W - White","80-89.9","20-29.9","003","3,542"
"IA","W - White","70-79.9","70-79.9","001","3,465"
"IA","W - White","60-69.9","80-89.9","001","3,388"
"IA","W - White","40-49.9","20-29.9","004","3,387"
"IA","W - White","0-9.9","0-9.9","003","3,339"
"IA","W - White","30-39.9","10-19.9","001","3,296"
"IA","W - White","80-89.9","20-29.9","002","3,274"
"IA","W - White","10-19.9","10-19.9","002","3,203"
"IA","W - White","20-29.9","10-19.9","001","3,200"
"IA","W - White","80-89.9","50-59.9","001","3,188"
"IA","W - White","40-49.9","20-29.9","002","3,169"
"IA","W - White","0-9.9","0-9.9","001","3,083"
"IA","W - White","0-9.9","10-19.9","002","3,066"
"IA","W - White","10-19.9","10-19.9","003","2,929"
"IA","W - White","40-49.9","80-89.9","001","2,905"
"IA","W - White","90-100","50-59.9","001","2,890"
"IA","W - White","50-59.9","80-89.9","001","2,879"
"IA","W - White","30-39.9","80-89.9","001","2,841"
"IA","W - White","20-29.9","20-29.9","004","2,804"
"IA","W - White","70-79.9","60-69.9","001","2,780"
"IA","W - White","60-69.9","70-79.9","001","2,780"
"IA","W - White","10-19.9","10-19.9","001","2,749"
"IA","W - White","30-39.9","20-29.9","004","2,688"
"IA","W - White","40-49.9","20-29.9","001","2,677"
"IA","W - White","70-79.9","20-29.9","003","2,574"
"IA","W - White","40-49.9","20-29.9","003","2,504"
"IA","W - White","70-79.9","20-29.9","002","2,471"
"IA","W - White","80-89.9","20-29.9","001","2,450"
"IA","W - White","90-100","20-29.9","003","2,443"
"IA","W - White","30-39.9","70-79.9","001","2,440"
"IA","W - White","20-29.9","20-29.9","002","2,427"
"IA","W - White","40-49.9","70-79.9","001","2,412"
"IA","W - White","30-39.9","20-29.9","002","2,386"
"IA","W - White","80-89.9","40-49.9","001","2,384"
"IA","W - White","0-9.9","10-19.9","003","2,372"
"IA","W - White","80-89.9","20-29.9","004","2,367"
"IA","W - White","50-59.9","70-79.9","001","2,364"
"IA","W - White","0-9.9","10-19.9","001","2,337"
"IA","W - White","40-49.9","60-69.9","001","2,290"
"IA","H - Hispanic or Latino","80-89.9","90-100","003","2,290"
"IA","W - White","50-59.9","20-29.9","004","2,231"
"IA","W - White","60-69.9","60-69.9","001","2,228"
"IA","W - White","90-100","20-29.9","002","2,194"
"IA","W - White","30-39.9","20-29.9","003","2,156"
"IA","W - White","60-69.9","20-29.9","003","2,155"
"IA","W - White","50-59.9","20-29.9","002","2,152"
"IA","W - White","50-59.9","60-69.9","001","2,145"
"IA","W - White","30-39.9","20-29.9","001","2,142"
"IA","W - White","30-39.9","60-69.9","001","2,135"
"IA","W - White","20-29.9","80-89.9","001","2,131"
"IA","W - White","70-79.9","50-59.9","001","2,115"
"IA","W - White","20-29.9","20-29.9","001","2,112"
"IA","W - White","50-59.9","20-29.9","003","2,104"
"IA","W - White","40-49.9","50-59.9","001","2,104"
"IA","W - White","40-49.9","30-39.9","001","2,094"
"IA","W - White","70-79.9","20-29.9","004","2,053"
"IA","W - White","80-89.9","30-39.9","001","2,045"
"IA","W - White","20-29.9","20-29.9","003","2,030"
"IA","W - White","20-29.9","50-59.9","001","2,015"
"IA","W - White","90-100","40-49.9","001","2,014"
"IA","W - White","60-69.9","20-29.9","002","1,996"
"IA","W - White","50-59.9","20-29.9","001","1,974"
"IA","W - White","10-19.9","20-29.9","004","1,969"
"IA","W - White","40-49.9","30-39.9","003","1,966"
"IA","W - White","70-79.9","20-29.9","001","1,949"
"IA","W - White","0-9.9","20-29.9","004","1,947"
"IA","W - White","30-39.9","50-59.9","001","1,939"
"IA","W - White","80-89.9","30-39.9","003","1,928"
"IA","W - White","20-29.9","60-69.9","001","1,917"
"IA","W - White","20-29.9","70-79.9","001","1,886"
"IA","W - White","40-49.9","40-49.9","001","1,882"
"IA","W - White","40-49.9","30-39.9","004","1,811"
"IA","W - White","40-49.9","30-39.9","002","1,811"
"IA","W - White","60-69.9","50-59.9","001","1,801"
"IA","W - White","20-29.9","30-39.9","001","1,800"
"IA","W - White","50-59.9","50-59.9","001","1,788"
"IA","W - White","10-19.9","80-89.9","001","1,744"
"IA","W - White","20-29.9","40-49.9","001","1,742"
"IA","W - White","60-69.9","20-29.9","004","1,739"
"IA","W - White","80-89.9","30-39.9","002","1,710"
"IA","W - White","30-39.9","30-39.9","001","1,708"
"IA","B - Black","80-89.9","90-100","003","1,703"
"IA","W - White","30-39.9","40-49.9","001","1,696"
"IA","W - White","60-69.9","20-29.9","001","1,688"
"IA","W - White","90-100","20-29.9","001","1,682"
"IA","W - White","90-100","80-89.9","002","1,650"
"IA","W - White","20-29.9","30-39.9","004","1,635"
"IA","W - White","10-19.9","20-29.9","002","1,628"
"IA","H - Hispanic or Latino","80-89.9","90-100","004","1,623"
"IA","W - White","50-59.9","40-49.9","001","1,620"
"IA","W - White","10-19.9","20-29.9","003","1,593"
"IA","W - White","70-79.9","40-49.9","001","1,593"
"IA","A - Asian or Pacific Islander","80-89.9","90-100","003","1,583"
"IA","W - White","30-39.9","30-39.9","004","1,583"
"IA","W - White","10-19.9","70-79.9","001","1,562"
"IA","W - White","80-89.9","80-89.9","002","1,557"
"IA","W - White","0-9.9","20-29.9","002","1,532"
"IA","W - White","10-19.9","60-69.9","001","1,532"
"IA","W - White","90-100","30-39.9","001","1,528"
"IA","H - Hispanic or Latino","70-79.9","90-100","003","1,512"
"IA","W - White","30-39.9","30-39.9","003","1,512"
"IA","W - White","70-79.9","30-39.9","003","1,510"
"IA","W - White","10-19.9","50-59.9","001","1,505"
"IA","W - White","70-79.9","30-39.9","001","1,504"
"IA","W - White","10-19.9","20-29.9","001","1,504"
"IA","W - White","60-69.9","40-49.9","001","1,502"
"IA","W - White","50-59.9","30-39.9","001","1,483"
"IA","B - Black","80-89.9","90-100","002","1,462"
"IA","H - Hispanic or Latino","40-49.9","90-100","003","1,449"
"IA","W - White","30-39.9","30-39.9","002","1,417"
"IA","W - White","20-29.9","30-39.9","003","1,406"
"IA","W - White","50-59.9","30-39.9","003","1,395"
"IA","W - White","0-9.9","20-29.9","001","1,394"
"IA","W - White","0-9.9","20-29.9","003","1,386"
"IA","W - White","10-19.9","40-49.9","001","1,364"
"IA","W - White","20-29.9","30-39.9","002","1,355"
"IA","W - White","60-69.9","30-39.9","001","1,349"
"IA","W - White","40-49.9","40-49.9","003","1,344"
"IA","H - Hispanic or Latino","70-79.9","90-100","004","1,343"
"IA","H - Hispanic or Latino","20-29.9","90-100","004","1,334"
"IA","W - White","80-89.9","40-49.9","003","1,315"
"IA","H - Hispanic or Latino","80-89.9","90-100","001","1,315"
"IA","W - White","90-100","20-29.9","004","1,314"
"IA","H - Hispanic or Latino","30-39.9","90-100","003","1,314"
"IA","W - White","60-69.9","30-39.9","003","1,313"
"IA","W - White","0-9.9","50-59.9","001","1,301"
"IA","W - White","10-19.9","30-39.9","001","1,297"
"IA","W - White","80-89.9","80-89.9","003","1,262"
"IA","W - White","90-100","80-89.9","003","1,256"
"IA","H - Hispanic or Latino","30-39.9","90-100","004","1,253"
"IA","H - Hispanic or Latino","60-69.9","90-100","003","1,250"
"IA","W - White","70-79.9","30-39.9","002","1,249"
"IA","W - White","0-9.9","40-49.9","001","1,237"
