"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"ID","W - White","80-89.9","0-9.9","001","68,937"
"ID","W - White","90-100","0-9.9","001","55,746"
"ID","W - White","80-89.9","0-9.9","002","53,710"
"ID","W - White","90-100","0-9.9","002","44,541"
"ID","W - White","70-79.9","0-9.9","001","38,465"
"ID","W - White","70-79.9","0-9.9","002","32,970"
"ID","W - White","60-69.9","0-9.9","001","23,679"
"ID","W - White","90-100","90-100","002","22,192"
"ID","W - White","80-89.9","90-100","002","22,078"
"ID","W - White","50-59.9","0-9.9","001","20,635"
"ID","W - White","60-69.9","0-9.9","002","19,934"
"ID","W - White","40-49.9","0-9.9","001","18,601"
"ID","W - White","50-59.9","0-9.9","002","16,183"
"ID","W - White","80-89.9","90-100","001","14,707"
"ID","W - White","30-39.9","0-9.9","001","14,687"
"ID","W - White","40-49.9","0-9.9","002","14,604"
"ID","W - White","90-100","80-89.9","002","12,982"
"ID","W - White","90-100","90-100","001","12,654"
"ID","W - White","20-29.9","0-9.9","001","12,468"
"ID","W - White","80-89.9","80-89.9","002","11,673"
"ID","W - White","30-39.9","0-9.9","002","9,971"
"ID","W - White","70-79.9","90-100","002","9,784"
"ID","W - White","20-29.9","0-9.9","002","8,731"
"ID","W - White","70-79.9","90-100","001","7,476"
"ID","W - White","80-89.9","10-19.9","001","7,471"
"ID","W - White","80-89.9","70-79.9","002","7,284"
"ID","W - White","90-100","70-79.9","002","7,169"
"ID","W - White","90-100","50-59.9","001","7,055"
"ID","W - White","80-89.9","40-49.9","001","6,795"
"ID","W - White","70-79.9","10-19.9","002","6,772"
"ID","W - White","80-89.9","50-59.9","001","6,726"
"ID","W - White","70-79.9","10-19.9","001","6,695"
"ID","W - White","90-100","60-69.9","001","6,559"
"ID","W - White","90-100","40-49.9","001","6,327"
"ID","W - White","80-89.9","60-69.9","001","6,258"
"ID","W - White","80-89.9","30-39.9","001","6,130"
"ID","W - White","80-89.9","10-19.9","002","5,673"
"ID","W - White","80-89.9","70-79.9","001","5,514"
"ID","W - White","90-100","70-79.9","001","5,475"
"ID","W - White","80-89.9","20-29.9","001","5,447"
"ID","W - White","70-79.9","80-89.9","002","5,255"
"ID","W - White","60-69.9","90-100","002","5,002"
"ID","W - White","90-100","30-39.9","001","4,848"
"ID","W - White","80-89.9","60-69.9","002","4,701"
"ID","W - White","40-49.9","90-100","002","4,576"
"ID","W - White","90-100","10-19.9","001","4,320"
"ID","W - White","50-59.9","90-100","002","4,198"
"ID","W - White","60-69.9","10-19.9","001","4,194"
"ID","W - White","60-69.9","90-100","001","4,140"
"ID","W - White","80-89.9","80-89.9","001","4,055"
"ID","W - White","40-49.9","10-19.9","001","3,975"
"ID","W - White","50-59.9","10-19.9","001","3,846"
"ID","W - White","70-79.9","50-59.9","001","3,747"
"ID","W - White","90-100","60-69.9","002","3,735"
"ID","W - White","70-79.9","30-39.9","001","3,689"
"ID","W - White","30-39.9","90-100","002","3,683"
"ID","W - White","70-79.9","70-79.9","002","3,677"
"ID","W - White","70-79.9","40-49.9","001","3,661"
"ID","W - White","70-79.9","20-29.9","001","3,655"
"ID","W - White","60-69.9","10-19.9","002","3,539"
"ID","W - White","40-49.9","10-19.9","002","3,533"
"ID","W - White","40-49.9","90-100","001","3,494"
"ID","W - White","90-100","80-89.9","001","3,417"
"ID","W - White","70-79.9","60-69.9","001","3,354"
"ID","W - White","50-59.9","90-100","001","3,332"
"ID","W - White","30-39.9","10-19.9","001","3,304"
"ID","W - White","90-100","20-29.9","001","3,292"
"ID","W - White","30-39.9","90-100","001","3,201"
"ID","W - White","60-69.9","80-89.9","002","3,160"
"ID","W - White","50-59.9","10-19.9","002","3,157"
"ID","W - White","20-29.9","10-19.9","001","3,127"
"ID","W - White","10-19.9","0-9.9","001","3,028"
"ID","W - White","40-49.9","80-89.9","002","2,989"
"ID","W - White","80-89.9","50-59.9","002","2,898"
"ID","W - White","70-79.9","70-79.9","001","2,781"
"ID","W - White","50-59.9","80-89.9","002","2,777"
"ID","W - White","90-100","10-19.9","002","2,762"
"ID","W - White","20-29.9","10-19.9","002","2,738"
"ID","W - White","70-79.9","60-69.9","002","2,721"
"ID","W - White","60-69.9","20-29.9","001","2,667"
"ID","W - White","40-49.9","20-29.9","001","2,663"
"ID","W - White","30-39.9","10-19.9","002","2,637"
"ID","W - White","40-49.9","30-39.9","001","2,549"
"ID","W - White","60-69.9","30-39.9","001","2,543"
"ID","W - White","20-29.9","90-100","002","2,505"
"ID","W - White","50-59.9","20-29.9","001","2,486"
"ID","W - White","30-39.9","80-89.9","002","2,443"
"ID","W - White","50-59.9","30-39.9","001","2,356"
"ID","W - White","20-29.9","90-100","001","2,350"
"ID","W - White","60-69.9","40-49.9","001","2,347"
"ID","W - White","60-69.9","70-79.9","002","2,331"
"ID","W - White","10-19.9","0-9.9","002","2,321"
