"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"IL","W - White","90-100","0-9.9","015","75,246"
"IL","W - White","90-100","0-9.9","016","71,406"
"IL","W - White","90-100","0-9.9","012","67,849"
"IL","W - White","80-89.9","90-100","005","63,881"
"IL","W - White","90-100","90-100","006","60,622"
"IL","W - White","90-100","90-100","009","57,496"
"IL","W - White","80-89.9","0-9.9","012","56,860"
"IL","W - White","80-89.9","0-9.9","015","54,990"
"IL","W - White","90-100","90-100","010","54,394"
"IL","W - White","90-100","90-100","005","53,761"
"IL","B - Black","80-89.9","90-100","001","53,601"
"IL","W - White","80-89.9","90-100","009","52,285"
"IL","W - White","90-100","0-9.9","011","49,010"
"IL","W - White","80-89.9","0-9.9","016","47,146"
"IL","B - Black","90-100","90-100","002","45,672"
"IL","B - Black","90-100","90-100","001","44,575"
"IL","B - Black","80-89.9","90-100","002","43,872"
"IL","W - White","90-100","90-100","011","43,400"
"IL","W - White","90-100","0-9.9","006","41,966"
"IL","W - White","90-100","0-9.9","010","39,120"
"IL","W - White","90-100","0-9.9","013","39,008"
"IL","B - Black","80-89.9","90-100","007","38,430"
"IL","W - White","90-100","0-9.9","014","37,514"
"IL","W - White","90-100","90-100","013","37,496"
"IL","W - White","70-79.9","90-100","005","37,327"
"IL","W - White","80-89.9","90-100","006","37,319"
"IL","W - White","90-100","90-100","014","34,398"
"IL","W - White","90-100","0-9.9","017","34,258"
"IL","W - White","90-100","90-100","008","34,225"
"IL","W - White","90-100","0-9.9","008","33,451"
"IL","W - White","90-100","90-100","017","32,456"
"IL","W - White","80-89.9","90-100","007","32,026"
"IL","W - White","90-100","90-100","016","31,518"
"IL","W - White","80-89.9","90-100","003","31,228"
"IL","W - White","80-89.9","90-100","010","30,341"
"IL","W - White","70-79.9","0-9.9","012","28,368"
"IL","W - White","80-89.9","90-100","011","27,531"
"IL","B - Black","20-29.9","90-100","001","27,436"
"IL","B - Black","70-79.9","90-100","001","27,001"
"IL","W - White","90-100","90-100","015","26,939"
"IL","W - White","60-69.9","90-100","005","26,816"
"IL","W - White","70-79.9","0-9.9","015","26,641"
"IL","W - White","90-100","90-100","012","26,600"
"IL","W - White","70-79.9","90-100","009","26,422"
"IL","W - White","80-89.9","90-100","013","25,983"
"IL","W - White","90-100","0-9.9","001","24,918"
"IL","W - White","80-89.9","90-100","014","24,590"
"IL","B - Black","20-29.9","90-100","007","24,092"
"IL","W - White","80-89.9","0-9.9","011","23,867"
"IL","H - Hispanic or Latino","80-89.9","90-100","004","23,850"
"IL","W - White","50-59.9","90-100","005","23,289"
"IL","B - Black","10-19.9","90-100","001","23,210"
"IL","W - White","80-89.9","0-9.9","013","23,120"
"IL","W - White","90-100","90-100","003","23,080"
"IL","W - White","90-100","90-100","007","23,043"
"IL","W - White","80-89.9","90-100","008","22,983"
"IL","W - White","80-89.9","90-100","017","22,979"
"IL","W - White","80-89.9","90-100","016","22,753"
"IL","W - White","80-89.9","0-9.9","014","22,654"
"IL","B - Black","70-79.9","90-100","002","22,553"
"IL","B - Black","10-19.9","90-100","007","22,526"
"IL","W - White","90-100","0-9.9","005","22,506"
"IL","W - White","90-100","0-9.9","009","22,494"
"IL","B - Black","20-29.9","90-100","002","22,444"
"IL","W - White","90-100","90-100","001","22,374"
"IL","W - White","70-79.9","0-9.9","016","22,186"
"IL","W - White","80-89.9","0-9.9","017","21,958"
"IL","B - Black","70-79.9","90-100","007","21,345"
"IL","W - White","90-100","0-9.9","002","21,256"
"IL","W - White","80-89.9","0-9.9","006","21,104"
"IL","W - White","60-69.9","0-9.9","012","20,725"
"IL","B - Black","90-100","90-100","007","20,650"
"IL","B - Black","60-69.9","90-100","001","20,490"
"IL","B - Black","0-9.9","90-100","001","20,283"
"IL","H - Hispanic or Latino","70-79.9","90-100","004","20,169"
"IL","W - White","80-89.9","90-100","012","19,715"
"IL","W - White","80-89.9","90-100","015","19,580"
"IL","B - Black","50-59.9","90-100","001","19,262"
"IL","W - White","90-100","90-100","004","19,243"
"IL","W - White","70-79.9","90-100","007","19,209"
"IL","B - Black","0-9.9","90-100","007","19,151"
"IL","B - Black","30-39.9","90-100","001","18,723"
"IL","W - White","60-69.9","0-9.9","015","18,508"
"IL","W - White","80-89.9","0-9.9","010","18,259"
"IL","W - White","70-79.9","90-100","003","17,524"
"IL","W - White","70-79.9","90-100","006","17,443"
"IL","W - White","30-39.9","90-100","005","17,327"
"IL","W - White","60-69.9","90-100","009","17,306"
"IL","B - Black","60-69.9","90-100","002","17,275"
"IL","B - Black","30-39.9","90-100","002","17,181"
"IL","W - White","90-100","0-9.9","003","17,059"
"IL","W - White","40-49.9","90-100","005","16,985"
"IL","H - Hispanic or Latino","80-89.9","90-100","003","16,698"
"IL","W - White","80-89.9","0-9.9","008","16,572"
"IL","B - Black","10-19.9","90-100","002","16,422"
"IL","W - White","50-59.9","0-9.9","012","16,264"
"IL","W - White","20-29.9","90-100","005","16,097"
"IL","W - White","80-89.9","0-9.9","002","15,979"
"IL","B - Black","50-59.9","90-100","007","15,969"
"IL","W - White","80-89.9","90-100","001","15,938"
"IL","B - Black","40-49.9","90-100","001","15,692"
"IL","B - Black","60-69.9","90-100","007","15,649"
"IL","B - Black","50-59.9","90-100","002","15,586"
"IL","W - White","90-100","90-100","002","15,416"
"IL","H - Hispanic or Latino","70-79.9","90-100","003","15,074"
"IL","B - Black","30-39.9","90-100","007","15,069"
"IL","W - White","60-69.9","0-9.9","016","15,048"
"IL","W - White","80-89.9","0-9.9","005","14,620"
"IL","W - White","80-89.9","90-100","004","14,610"
"IL","H - Hispanic or Latino","20-29.9","90-100","004","14,432"
"IL","W - White","80-89.9","0-9.9","001","14,226"
"IL","W - White","50-59.9","0-9.9","015","14,176"
"IL","B - Black","0-9.9","90-100","002","14,174"
"IL","W - White","50-59.9","90-100","009","14,088"
"IL","W - White","70-79.9","90-100","010","13,874"
"IL","W - White","60-69.9","90-100","007","13,860"
"IL","B - Black","40-49.9","90-100","007","13,794"
"IL","H - Hispanic or Latino","60-69.9","90-100","004","13,636"
"IL","B - Black","40-49.9","90-100","002","13,432"
"IL","W - White","80-89.9","0-9.9","009","13,072"
"IL","W - White","0-9.9","0-9.9","012","12,766"
"IL","W - White","50-59.9","90-100","007","12,678"
"IL","W - White","40-49.9","0-9.9","012","12,532"
"IL","W - White","70-79.9","90-100","011","12,518"
"IL","H - Hispanic or Latino","50-59.9","90-100","004","12,446"
"IL","W - White","80-89.9","90-100","002","12,388"
"IL","W - White","0-9.9","0-9.9","015","12,328"
"IL","H - Hispanic or Latino","40-49.9","90-100","004","11,929"
"IL","W - White","60-69.9","90-100","003","11,868"
"IL","W - White","20-29.9","0-9.9","012","11,649"
"IL","W - White","70-79.9","90-100","013","11,608"
"IL","W - White","40-49.9","90-100","009","11,517"
"IL","W - White","70-79.9","90-100","014","11,498"
"IL","W - White","70-79.9","90-100","017","11,407"
"IL","H - Hispanic or Latino","20-29.9","90-100","003","11,365"
"IL","W - White","10-19.9","0-9.9","012","11,310"
"IL","W - White","30-39.9","90-100","009","11,248"
"IL","H - Hispanic or Latino","30-39.9","90-100","004","11,212"
"IL","B - Black","80-89.9","90-100","013","11,134"
"IL","W - White","60-69.9","90-100","006","10,930"
"IL","W - White","70-79.9","0-9.9","014","10,896"
"IL","H - Hispanic or Latino","60-69.9","90-100","003","10,807"
"IL","W - White","70-79.9","0-9.9","017","10,720"
"IL","W - White","50-59.9","0-9.9","016","10,713"
"IL","W - White","70-79.9","90-100","008","10,601"
"IL","W - White","70-79.9","0-9.9","006","10,414"
"IL","W - White","70-79.9","90-100","016","10,392"
"IL","W - White","20-29.9","90-100","009","10,357"
"IL","W - White","40-49.9","0-9.9","015","10,351"
"IL","W - White","70-79.9","0-9.9","011","10,300"
"IL","H - Hispanic or Latino","50-59.9","90-100","003","10,283"
"IL","W - White","70-79.9","0-9.9","013","10,269"
"IL","H - Hispanic or Latino","40-49.9","90-100","003","10,144"
"IL","W - White","50-59.9","90-100","003","9,941"
"IL","W - White","90-100","0-9.9","004","9,812"
"IL","W - White","10-19.9","0-9.9","015","9,762"
"IL","W - White","0-9.9","10-19.9","015","9,675"
"IL","B - Black","90-100","90-100","013","9,652"
"IL","W - White","0-9.9","10-19.9","012","9,602"
"IL","W - White","50-59.9","90-100","006","9,490"
"IL","W - White","60-69.9","90-100","010","9,446"
"IL","W - White","20-29.9","0-9.9","015","9,332"
"IL","H - Hispanic or Latino","30-39.9","90-100","003","9,267"
"IL","W - White","30-39.9","90-100","007","9,244"
"IL","W - White","0-9.9","0-9.9","017","9,232"
"IL","W - White","30-39.9","0-9.9","012","9,219"
"IL","W - White","80-89.9","0-9.9","003","8,961"
"IL","W - White","40-49.9","90-100","007","8,872"
"IL","W - White","20-29.9","90-100","007","8,813"
"IL","W - White","10-19.9","0-9.9","017","8,614"
"IL","W - White","70-79.9","90-100","012","8,584"
"IL","W - White","20-29.9","10-19.9","012","8,577"
"IL","W - White","70-79.9","90-100","015","8,564"
"IL","W - White","60-69.9","90-100","011","8,554"
"IL","W - White","70-79.9","0-9.9","010","8,486"
"IL","B - Black","20-29.9","90-100","013","8,366"
"IL","W - White","10-19.9","10-19.9","012","8,350"
"IL","W - White","70-79.9","90-100","001","8,274"
"IL","W - White","40-49.9","90-100","006","8,201"
"IL","W - White","30-39.9","90-100","013","8,196"
"IL","W - White","70-79.9","0-9.9","002","8,024"
"IL","W - White","0-9.9","10-19.9","017","7,922"
"IL","W - White","10-19.9","10-19.9","015","7,910"
"IL","W - White","60-69.9","90-100","013","7,831"
"IL","W - White","70-79.9","0-9.9","008","7,701"
"IL","W - White","50-59.9","90-100","010","7,659"
"IL","W - White","40-49.9","0-9.9","016","7,610"
"IL","W - White","40-49.9","90-100","011","7,589"
"IL","W - White","70-79.9","0-9.9","005","7,556"
"IL","W - White","20-29.9","90-100","017","7,542"
"IL","W - White","20-29.9","10-19.9","015","7,515"
"IL","W - White","20-29.9","90-100","013","7,512"
"IL","W - White","80-89.9","10-19.9","016","7,509"
"IL","H - Hispanic or Latino","90-100","90-100","004","7,481"
"IL","H - Hispanic or Latino","10-19.9","90-100","004","7,434"
"IL","W - White","70-79.9","90-100","004","7,379"
"IL","W - White","30-39.9","90-100","003","7,376"
"IL","W - White","60-69.9","10-19.9","016","7,354"
"IL","W - White","30-39.9","0-9.9","015","7,336"
"IL","W - White","40-49.9","90-100","010","7,334"
"IL","W - White","40-49.9","90-100","003","7,332"
"IL","W - White","60-69.9","90-100","014","7,322"
"IL","W - White","30-39.9","90-100","017","7,312"
"IL","W - White","50-59.9","90-100","011","7,284"
"IL","W - White","20-29.9","90-100","003","7,234"
"IL","W - White","70-79.9","0-9.9","001","7,158"
"IL","W - White","50-59.9","10-19.9","016","7,156"
"IL","H - Hispanic or Latino","10-19.9","90-100","003","7,078"
"IL","W - White","40-49.9","10-19.9","012","7,070"
"IL","W - White","60-69.9","0-9.9","017","6,999"
"IL","W - White","60-69.9","90-100","017","6,985"
"IL","W - White","60-69.9","0-9.9","014","6,982"
"IL","B - Black","30-39.9","90-100","013","6,948"
"IL","W - White","50-59.9","10-19.9","015","6,857"
"IL","W - White","70-79.9","10-19.9","016","6,813"
"IL","W - White","80-89.9","10-19.9","015","6,810"
"IL","W - White","30-39.9","90-100","006","6,788"
"IL","W - White","60-69.9","0-9.9","013","6,738"
"IL","W - White","60-69.9","90-100","008","6,707"
"IL","W - White","40-49.9","90-100","013","6,694"
"IL","W - White","50-59.9","10-19.9","012","6,524"
"IL","B - Black","0-9.9","90-100","013","6,503"
"IL","W - White","60-69.9","90-100","016","6,460"
"IL","W - White","60-69.9","10-19.9","015","6,458"
"IL","W - White","30-39.9","90-100","010","6,430"
"IL","W - White","10-19.9","10-19.9","017","6,429"
"IL","W - White","40-49.9","10-19.9","015","6,359"
"IL","W - White","30-39.9","90-100","011","6,321"
"IL","H - Hispanic or Latino","80-89.9","90-100","006","6,320"
"IL","W - White","20-29.9","0-9.9","016","6,289"
"IL","W - White","40-49.9","10-19.9","016","6,284"
"IL","W - White","0-9.9","10-19.9","016","6,267"
"IL","W - White","80-89.9","10-19.9","012","6,263"
"IL","W - White","60-69.9","0-9.9","006","6,255"
"IL","W - White","50-59.9","90-100","013","6,243"
"IL","W - White","20-29.9","10-19.9","016","6,230"
"IL","A - Asian or Pacific Islander","80-89.9","90-100","009","6,219"
