"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"IN","W - White","90-100","0-9.9","005","58,903"
"IN","W - White","90-100","0-9.9","004","53,860"
"IN","W - White","90-100","0-9.9","003","53,691"
"IN","W - White","90-100","0-9.9","006","51,404"
"IN","W - White","80-89.9","0-9.9","004","50,646"
"IN","W - White","80-89.9","0-9.9","003","48,324"
"IN","W - White","80-89.9","0-9.9","006","46,273"
"IN","W - White","80-89.9","0-9.9","005","45,935"
"IN","W - White","80-89.9","0-9.9","009","45,541"
"IN","W - White","90-100","0-9.9","009","44,903"
"IN","W - White","90-100","0-9.9","008","43,139"
"IN","W - White","80-89.9","0-9.9","008","42,789"
"IN","W - White","90-100","0-9.9","002","41,131"
"IN","W - White","80-89.9","0-9.9","002","39,888"
"IN","W - White","90-100","90-100","001","29,815"
"IN","W - White","80-89.9","90-100","007","28,251"
"IN","W - White","90-100","90-100","009","28,176"
"IN","W - White","80-89.9","90-100","001","28,148"
"IN","W - White","80-89.9","90-100","009","27,249"
"IN","W - White","90-100","90-100","008","26,141"
"IN","W - White","90-100","0-9.9","001","25,559"
"IN","W - White","80-89.9","90-100","005","24,985"
"IN","W - White","80-89.9","90-100","008","24,447"
"IN","W - White","90-100","90-100","007","24,146"
"IN","W - White","80-89.9","0-9.9","001","23,818"
"IN","W - White","90-100","90-100","005","23,691"
"IN","W - White","70-79.9","0-9.9","004","22,234"
"IN","W - White","70-79.9","0-9.9","003","21,624"
"IN","W - White","70-79.9","0-9.9","009","21,588"
"IN","W - White","70-79.9","0-9.9","006","20,946"
"IN","W - White","90-100","0-9.9","007","20,562"
"IN","W - White","80-89.9","90-100","002","20,004"
"IN","W - White","90-100","90-100","002","19,920"
"IN","W - White","70-79.9","0-9.9","008","19,891"
"IN","W - White","70-79.9","0-9.9","005","19,575"
"IN","B - Black","80-89.9","90-100","007","19,102"
"IN","W - White","80-89.9","90-100","004","18,538"
"IN","W - White","70-79.9","0-9.9","002","18,246"
"IN","W - White","80-89.9","90-100","006","18,194"
"IN","W - White","80-89.9","90-100","003","17,220"
"IN","W - White","90-100","90-100","003","15,460"
"IN","W - White","90-100","90-100","004","15,153"
"IN","W - White","90-100","90-100","006","14,835"
"IN","B - Black","90-100","90-100","007","14,337"
"IN","W - White","60-69.9","0-9.9","009","13,786"
"IN","W - White","80-89.9","0-9.9","007","13,636"
"IN","W - White","60-69.9","0-9.9","004","13,559"
"IN","W - White","60-69.9","0-9.9","003","13,181"
"IN","B - Black","80-89.9","90-100","001","12,802"
"IN","W - White","60-69.9","0-9.9","006","12,539"
"IN","B - Black","20-29.9","90-100","007","12,373"
"IN","B - Black","0-9.9","90-100","007","12,156"
"IN","W - White","70-79.9","90-100","007","12,026"
"IN","W - White","60-69.9","0-9.9","008","11,935"
"IN","B - Black","10-19.9","90-100","007","11,850"
"IN","W - White","70-79.9","90-100","001","11,628"
"IN","W - White","70-79.9","90-100","009","11,576"
"IN","W - White","60-69.9","0-9.9","002","11,418"
"IN","W - White","60-69.9","0-9.9","005","11,138"
"IN","B - Black","30-39.9","90-100","007","11,111"
"IN","W - White","70-79.9","90-100","008","10,695"
"IN","W - White","70-79.9","90-100","005","10,677"
"IN","W - White","70-79.9","0-9.9","001","10,499"
"IN","W - White","0-9.9","10-19.9","008","10,339"
"IN","W - White","50-59.9","0-9.9","009","10,120"
"IN","B - Black","70-79.9","90-100","007","10,107"
"IN","W - White","0-9.9","10-19.9","009","9,808"
"IN","W - White","0-9.9","10-19.9","003","9,742"
"IN","W - White","0-9.9","10-19.9","004","9,345"
"IN","W - White","0-9.9","10-19.9","006","9,318"
"IN","B - Black","90-100","90-100","001","9,317"
"IN","B - Black","40-49.9","90-100","007","9,204"
"IN","W - White","50-59.9","0-9.9","003","8,891"
"IN","W - White","60-69.9","90-100","007","8,748"
"IN","W - White","70-79.9","90-100","002","8,677"
"IN","W - White","10-19.9","10-19.9","009","8,510"
"IN","W - White","50-59.9","0-9.9","004","8,465"
"IN","W - White","0-9.9","10-19.9","002","8,453"
"IN","B - Black","60-69.9","90-100","007","8,378"
"IN","W - White","0-9.9","0-9.9","003","8,367"
"IN","W - White","70-79.9","90-100","004","8,248"
"IN","W - White","50-59.9","0-9.9","008","8,199"
"IN","B - Black","20-29.9","90-100","001","8,198"
"IN","W - White","10-19.9","10-19.9","008","8,167"
"IN","W - White","10-19.9","10-19.9","006","7,987"
"IN","W - White","40-49.9","90-100","007","7,933"
"IN","B - Black","50-59.9","90-100","007","7,910"
"IN","W - White","70-79.9","90-100","006","7,890"
"IN","W - White","10-19.9","10-19.9","004","7,847"
"IN","W - White","50-59.9","0-9.9","006","7,793"
"IN","W - White","0-9.9","0-9.9","009","7,777"
"IN","W - White","10-19.9","10-19.9","003","7,762"
"IN","B - Black","10-19.9","90-100","001","7,661"
"IN","W - White","10-19.9","0-9.9","009","7,637"
"IN","W - White","50-59.9","0-9.9","002","7,616"
"IN","W - White","70-79.9","90-100","003","7,477"
"IN","W - White","0-9.9","10-19.9","005","7,438"
"IN","W - White","50-59.9","90-100","007","7,345"
"IN","W - White","60-69.9","90-100","009","7,268"
"IN","W - White","30-39.9","90-100","007","7,222"
"IN","B - Black","0-9.9","90-100","001","7,214"
"IN","W - White","10-19.9","10-19.9","002","7,158"
"IN","W - White","40-49.9","0-9.9","009","7,147"
"IN","W - White","60-69.9","90-100","001","7,042"
"IN","W - White","10-19.9","0-9.9","003","6,962"
"IN","W - White","50-59.9","0-9.9","005","6,958"
"IN","W - White","80-89.9","10-19.9","009","6,951"
"IN","W - White","20-29.9","10-19.9","009","6,857"
"IN","W - White","0-9.9","20-29.9","008","6,849"
"IN","W - White","0-9.9","0-9.9","008","6,803"
"IN","W - White","50-59.9","10-19.9","009","6,803"
"IN","W - White","60-69.9","90-100","005","6,731"
"IN","W - White","80-89.9","10-19.9","006","6,681"
"IN","W - White","20-29.9","0-9.9","009","6,642"
"IN","W - White","50-59.9","10-19.9","004","6,637"
"IN","W - White","40-49.9","10-19.9","009","6,606"
"IN","W - White","80-89.9","10-19.9","008","6,575"
"IN","W - White","10-19.9","10-19.9","005","6,525"
"IN","W - White","60-69.9","0-9.9","001","6,523"
"IN","W - White","0-9.9","0-9.9","006","6,516"
"IN","W - White","30-39.9","90-100","009","6,504"
"IN","W - White","50-59.9","10-19.9","006","6,458"
"IN","W - White","60-69.9","10-19.9","006","6,444"
"IN","W - White","0-9.9","0-9.9","002","6,442"
"IN","W - White","50-59.9","10-19.9","003","6,375"
"IN","W - White","0-9.9","20-29.9","006","6,307"
"IN","W - White","60-69.9","10-19.9","004","6,286"
"IN","W - White","40-49.9","10-19.9","003","6,220"
"IN","B - Black","70-79.9","90-100","001","6,205"
"IN","W - White","10-19.9","0-9.9","006","6,201"
"IN","W - White","10-19.9","0-9.9","008","6,180"
"IN","W - White","60-69.9","10-19.9","009","6,176"
"IN","W - White","20-29.9","10-19.9","008","6,165"
"IN","W - White","20-29.9","90-100","007","6,154"
"IN","W - White","0-9.9","0-9.9","004","6,149"
"IN","W - White","60-69.9","90-100","008","6,140"
"IN","W - White","80-89.9","10-19.9","004","6,126"
"IN","W - White","40-49.9","0-9.9","003","6,109"
"IN","B - Black","30-39.9","90-100","001","6,097"
"IN","W - White","50-59.9","10-19.9","008","6,048"
"IN","W - White","30-39.9","90-100","005","6,042"
"IN","W - White","70-79.9","10-19.9","006","5,980"
"IN","W - White","40-49.9","90-100","009","5,929"
"IN","W - White","70-79.9","10-19.9","009","5,920"
"IN","W - White","40-49.9","0-9.9","008","5,892"
"IN","W - White","20-29.9","10-19.9","006","5,892"
"IN","W - White","0-9.9","20-29.9","009","5,866"
"IN","W - White","10-19.9","0-9.9","004","5,864"
"IN","W - White","0-9.9","20-29.9","004","5,864"
"IN","W - White","10-19.9","0-9.9","002","5,852"
"IN","W - White","10-19.9","20-29.9","008","5,851"
"IN","W - White","60-69.9","10-19.9","003","5,818"
"IN","W - White","80-89.9","10-19.9","005","5,816"
"IN","H - Hispanic or Latino","80-89.9","90-100","001","5,814"
"IN","W - White","80-89.9","10-19.9","003","5,794"
"IN","W - White","20-29.9","90-100","009","5,788"
"IN","W - White","60-69.9","10-19.9","008","5,786"
"IN","W - White","50-59.9","10-19.9","002","5,776"
"IN","W - White","70-79.9","10-19.9","004","5,766"
"IN","W - White","20-29.9","10-19.9","003","5,741"
"IN","W - White","40-49.9","90-100","005","5,713"
"IN","W - White","0-9.9","20-29.9","005","5,706"
"IN","W - White","10-19.9","20-29.9","006","5,705"
"IN","W - White","30-39.9","0-9.9","009","5,704"
"IN","W - White","40-49.9","90-100","001","5,695"
"IN","W - White","40-49.9","10-19.9","008","5,649"
"IN","W - White","30-39.9","10-19.9","009","5,631"
"IN","W - White","0-9.9","20-29.9","003","5,629"
"IN","W - White","40-49.9","0-9.9","004","5,607"
"IN","W - White","30-39.9","90-100","001","5,591"
"IN","W - White","40-49.9","10-19.9","004","5,581"
"IN","W - White","70-79.9","0-9.9","007","5,579"
"IN","W - White","20-29.9","10-19.9","004","5,519"
"IN","W - White","20-29.9","0-9.9","003","5,516"
"IN","W - White","70-79.9","10-19.9","003","5,497"
"IN","W - White","40-49.9","10-19.9","002","5,485"
"IN","W - White","70-79.9","10-19.9","008","5,480"
"IN","W - White","40-49.9","0-9.9","006","5,470"
