"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"KS","W - White","90-100","0-9.9","003","62,097"
"KS","W - White","90-100","0-9.9","001","55,040"
"KS","W - White","90-100","0-9.9","004","53,431"
"KS","W - White","80-89.9","0-9.9","001","46,474"
"KS","W - White","80-89.9","90-100","003","45,319"
"KS","W - White","90-100","90-100","003","44,376"
"KS","W - White","90-100","0-9.9","002","44,196"
"KS","W - White","80-89.9","0-9.9","003","41,996"
"KS","W - White","80-89.9","0-9.9","004","40,281"
"KS","W - White","80-89.9","0-9.9","002","37,735"
"KS","W - White","70-79.9","0-9.9","001","24,703"
"KS","W - White","70-79.9","90-100","003","23,321"
"KS","W - White","90-100","90-100","002","23,283"
"KS","W - White","80-89.9","90-100","002","21,708"
"KS","W - White","90-100","90-100","001","21,669"
"KS","W - White","90-100","90-100","004","21,501"
"KS","W - White","80-89.9","90-100","004","21,194"
"KS","W - White","70-79.9","0-9.9","004","20,813"
"KS","W - White","40-49.9","90-100","003","20,268"
"KS","W - White","80-89.9","90-100","001","19,924"
"KS","W - White","40-49.9","0-9.9","001","19,849"
"KS","W - White","70-79.9","0-9.9","003","19,638"
"KS","W - White","70-79.9","0-9.9","002","18,708"
"KS","W - White","50-59.9","90-100","003","18,374"
"KS","W - White","60-69.9","0-9.9","001","18,314"
"KS","W - White","60-69.9","90-100","003","17,622"
"KS","W - White","20-29.9","0-9.9","001","17,397"
"KS","W - White","50-59.9","0-9.9","001","16,917"
"KS","W - White","30-39.9","0-9.9","001","16,473"
"KS","W - White","40-49.9","0-9.9","004","15,799"
"KS","W - White","30-39.9","90-100","003","15,684"
"KS","W - White","60-69.9","0-9.9","004","15,280"
"KS","W - White","40-49.9","0-9.9","002","14,916"
"KS","W - White","50-59.9","0-9.9","004","14,540"
"KS","W - White","10-19.9","0-9.9","001","14,147"
"KS","W - White","60-69.9","0-9.9","003","13,883"
"KS","W - White","40-49.9","0-9.9","003","13,436"
"KS","W - White","60-69.9","0-9.9","002","13,323"
"KS","W - White","50-59.9","0-9.9","002","13,096"
"KS","W - White","50-59.9","0-9.9","003","13,073"
"KS","W - White","20-29.9","0-9.9","002","12,842"
"KS","W - White","20-29.9","90-100","003","12,808"
"KS","W - White","40-49.9","90-100","004","12,464"
"KS","W - White","20-29.9","0-9.9","004","12,328"
"KS","W - White","30-39.9","0-9.9","002","12,272"
"KS","W - White","30-39.9","0-9.9","004","12,211"
"KS","W - White","70-79.9","90-100","004","12,151"
"KS","W - White","30-39.9","90-100","004","11,325"
"KS","W - White","70-79.9","90-100","002","11,238"
"KS","W - White","0-9.9","0-9.9","001","11,097"
"KS","W - White","70-79.9","90-100","001","10,616"
"KS","W - White","50-59.9","90-100","004","10,249"
"KS","W - White","10-19.9","0-9.9","002","10,239"
"KS","W - White","20-29.9","90-100","004","10,235"
"KS","W - White","30-39.9","0-9.9","003","9,939"
"KS","W - White","40-49.9","90-100","002","9,814"
