"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"KY","W - White","90-100","0-9.9","004","60,437"
"KY","W - White","90-100","0-9.9","002","52,617"
"KY","W - White","10-19.9","0-9.9","005","50,855"
"KY","W - White","80-89.9","0-9.9","004","50,506"
"KY","W - White","0-9.9","0-9.9","005","48,206"
"KY","W - White","90-100","0-9.9","006","48,119"
"KY","W - White","90-100","0-9.9","001","47,353"
"KY","W - White","80-89.9","0-9.9","005","45,899"
"KY","W - White","80-89.9","0-9.9","002","45,165"
"KY","W - White","90-100","90-100","003","44,555"
"KY","W - White","80-89.9","0-9.9","001","43,334"
"KY","W - White","90-100","0-9.9","005","41,633"
"KY","W - White","20-29.9","0-9.9","005","40,802"
"KY","W - White","80-89.9","0-9.9","006","39,265"
"KY","W - White","90-100","0-9.9","003","37,947"
"KY","W - White","90-100","90-100","006","37,826"
"KY","W - White","10-19.9","0-9.9","002","37,707"
"KY","W - White","10-19.9","0-9.9","001","36,888"
"KY","W - White","10-19.9","0-9.9","004","35,838"
"KY","W - White","40-49.9","0-9.9","004","35,153"
"KY","W - White","20-29.9","0-9.9","004","34,148"
"KY","W - White","20-29.9","0-9.9","002","33,942"
"KY","W - White","20-29.9","0-9.9","001","32,927"
"KY","W - White","0-9.9","0-9.9","002","32,906"
"KY","W - White","0-9.9","0-9.9","001","32,706"
"KY","W - White","30-39.9","0-9.9","005","31,146"
"KY","W - White","40-49.9","0-9.9","002","30,461"
"KY","W - White","70-79.9","0-9.9","004","30,225"
"KY","W - White","0-9.9","0-9.9","004","29,645"
"KY","W - White","30-39.9","0-9.9","004","29,616"
"KY","W - White","10-19.9","0-9.9","006","29,500"
"KY","W - White","50-59.9","0-9.9","004","28,770"
"KY","W - White","40-49.9","0-9.9","005","28,535"
"KY","W - White","20-29.9","0-9.9","006","28,438"
"KY","W - White","40-49.9","0-9.9","001","28,045"
"KY","W - White","80-89.9","90-100","003","27,847"
"KY","W - White","70-79.9","0-9.9","005","27,600"
"KY","W - White","30-39.9","0-9.9","002","26,991"
"KY","W - White","60-69.9","0-9.9","004","26,422"
"KY","W - White","70-79.9","0-9.9","002","25,851"
"KY","W - White","90-100","90-100","004","25,647"
"KY","W - White","80-89.9","90-100","006","25,278"
"KY","W - White","30-39.9","0-9.9","001","25,258"
"KY","W - White","80-89.9","0-9.9","003","24,593"
"KY","W - White","40-49.9","0-9.9","006","24,398"
"KY","W - White","70-79.9","0-9.9","001","23,759"
"KY","W - White","30-39.9","0-9.9","006","23,532"
"KY","W - White","50-59.9","0-9.9","002","23,378"
"KY","W - White","0-9.9","0-9.9","006","23,050"
"KY","W - White","90-100","90-100","001","22,254"
"KY","W - White","70-79.9","0-9.9","006","22,082"
"KY","W - White","50-59.9","0-9.9","005","21,906"
"KY","W - White","60-69.9","0-9.9","005","21,103"
"KY","W - White","60-69.9","0-9.9","002","20,849"
"KY","W - White","90-100","90-100","002","20,312"
"KY","W - White","50-59.9","0-9.9","001","20,302"
"KY","W - White","80-89.9","90-100","004","19,594"
"KY","W - White","50-59.9","0-9.9","006","18,716"
"KY","W - White","60-69.9","0-9.9","001","18,517"
"KY","W - White","10-19.9","0-9.9","003","18,237"
"KY","W - White","60-69.9","0-9.9","006","17,539"
"KY","W - White","0-9.9","0-9.9","003","16,044"
"KY","W - White","80-89.9","90-100","001","14,855"
"KY","W - White","40-49.9","0-9.9","003","14,659"
"KY","W - White","70-79.9","0-9.9","003","14,257"
"KY","W - White","20-29.9","0-9.9","003","14,135"
"KY","W - White","80-89.9","90-100","002","14,117"
"KY","W - White","50-59.9","0-9.9","003","13,021"
"KY","W - White","70-79.9","90-100","003","12,468"
"KY","W - White","60-69.9","0-9.9","003","12,445"
"KY","W - White","30-39.9","0-9.9","003","12,328"
"KY","W - White","0-9.9","80-89.9","003","12,283"
"KY","W - White","90-100","90-100","005","11,735"
"KY","W - White","80-89.9","90-100","005","11,320"
"KY","W - White","0-9.9","80-89.9","005","11,003"
"KY","W - White","70-79.9","90-100","006","10,694"
"KY","W - White","10-19.9","80-89.9","003","10,323"
"KY","W - White","0-9.9","80-89.9","006","10,160"
"KY","B - Black","80-89.9","90-100","003","9,983"
"KY","W - White","70-79.9","90-100","004","9,962"
"KY","B - Black","90-100","90-100","003","9,943"
"KY","W - White","10-19.9","80-89.9","005","9,876"
"KY","W - White","0-9.9","80-89.9","001","9,559"
"KY","W - White","10-19.9","80-89.9","006","9,292"
"KY","W - White","60-69.9","90-100","003","8,924"
"KY","W - White","90-100","80-89.9","001","8,870"
"KY","W - White","0-9.9","70-79.9","005","8,683"
"KY","W - White","0-9.9","80-89.9","004","8,415"
"KY","W - White","20-29.9","80-89.9","006","8,400"
"KY","W - White","0-9.9","80-89.9","002","8,306"
"KY","W - White","80-89.9","80-89.9","001","8,207"
"KY","B - Black","0-9.9","80-89.9","003","8,100"
"KY","W - White","10-19.9","80-89.9","001","7,610"
"KY","W - White","80-89.9","80-89.9","005","7,552"
"KY","W - White","60-69.9","90-100","004","7,503"
"KY","W - White","10-19.9","90-100","003","7,347"
"KY","W - White","20-29.9","80-89.9","003","7,306"
"KY","W - White","20-29.9","80-89.9","005","7,226"
"KY","W - White","10-19.9","80-89.9","002","7,214"
"KY","W - White","50-59.9","90-100","003","7,129"
"KY","W - White","60-69.9","90-100","006","7,073"
"KY","W - White","10-19.9","80-89.9","004","6,920"
"KY","W - White","90-100","80-89.9","006","6,859"
"KY","W - White","80-89.9","80-89.9","006","6,794"
"KY","W - White","10-19.9","70-79.9","005","6,621"
"KY","B - Black","0-9.9","90-100","003","6,591"
"KY","W - White","0-9.9","90-100","003","6,568"
"KY","W - White","70-79.9","90-100","002","6,556"
"KY","W - White","70-79.9","90-100","001","6,509"
"KY","W - White","30-39.9","80-89.9","006","6,308"
"KY","W - White","90-100","80-89.9","003","6,199"
"KY","W - White","50-59.9","90-100","004","6,148"
"KY","W - White","20-29.9","80-89.9","004","6,111"
"KY","W - White","20-29.9","80-89.9","002","6,110"
"KY","W - White","90-100","80-89.9","005","6,110"
"KY","W - White","90-100","80-89.9","002","6,110"
"KY","W - White","80-89.9","80-89.9","004","6,094"
"KY","W - White","20-29.9","80-89.9","001","6,089"
"KY","W - White","40-49.9","90-100","003","6,038"
"KY","W - White","90-100","80-89.9","004","5,969"
"KY","W - White","80-89.9","80-89.9","002","5,932"
"KY","W - White","80-89.9","80-89.9","003","5,843"
"KY","W - White","20-29.9","90-100","003","5,840"
"KY","B - Black","10-19.9","80-89.9","003","5,726"
"KY","W - White","70-79.9","90-100","005","5,711"
"KY","W - White","50-59.9","90-100","006","5,591"
"KY","B - Black","10-19.9","90-100","003","5,575"
"KY","W - White","40-49.9","80-89.9","006","5,339"
"KY","W - White","30-39.9","80-89.9","003","5,316"
"KY","W - White","40-49.9","90-100","004","5,296"
"KY","W - White","20-29.9","90-100","004","5,245"
"KY","W - White","10-19.9","90-100","004","5,167"
"KY","W - White","40-49.9","80-89.9","003","5,097"
"KY","W - White","30-39.9","90-100","003","5,094"
"KY","W - White","10-19.9","90-100","006","5,089"
"KY","W - White","0-9.9","70-79.9","001","5,085"
"KY","W - White","40-49.9","90-100","006","5,077"
"KY","W - White","30-39.9","90-100","004","4,997"
"KY","W - White","50-59.9","80-89.9","003","4,971"
"KY","W - White","0-9.9","90-100","004","4,911"
"KY","W - White","20-29.9","90-100","006","4,893"
"KY","W - White","70-79.9","80-89.9","005","4,844"
"KY","W - White","70-79.9","80-89.9","001","4,731"
"KY","W - White","20-29.9","70-79.9","005","4,719"
"KY","W - White","60-69.9","90-100","002","4,663"
"KY","W - White","50-59.9","80-89.9","006","4,598"
"KY","W - White","30-39.9","80-89.9","004","4,596"
"KY","B - Black","70-79.9","90-100","003","4,578"
"KY","W - White","40-49.9","80-89.9","004","4,514"
"KY","W - White","40-49.9","80-89.9","005","4,508"
"KY","W - White","70-79.9","80-89.9","006","4,474"
"KY","W - White","50-59.9","80-89.9","005","4,471"
"KY","B - Black","20-29.9","90-100","003","4,408"
"KY","W - White","30-39.9","90-100","006","4,354"
"KY","W - White","0-9.9","90-100","006","4,322"
"KY","W - White","30-39.9","80-89.9","005","4,311"
"KY","W - White","60-69.9","80-89.9","005","4,249"
"KY","W - White","40-49.9","80-89.9","001","4,210"
"KY","W - White","90-100","10-19.9","001","4,170"
"KY","W - White","10-19.9","70-79.9","001","4,155"
"KY","W - White","70-79.9","80-89.9","003","4,145"
"KY","W - White","0-9.9","60-69.9","005","4,114"
"KY","W - White","60-69.9","80-89.9","003","4,088"
"KY","W - White","90-100","10-19.9","002","4,053"
"KY","W - White","60-69.9","80-89.9","006","4,022"
"KY","W - White","50-59.9","80-89.9","004","4,017"
"KY","W - White","30-39.9","80-89.9","002","3,955"
"KY","W - White","70-79.9","80-89.9","004","3,926"
