"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"LA","W - White","90-100","0-9.9","001","40,447"
"LA","W - White","90-100","10-19.9","003","31,052"
"LA","B - Black","90-100","90-100","002","30,681"
"LA","B - Black","80-89.9","90-100","002","29,205"
"LA","W - White","80-89.9","0-9.9","001","26,500"
"LA","W - White","90-100","10-19.9","004","25,353"
"LA","W - White","90-100","10-19.9","005","24,458"
"LA","W - White","90-100","0-9.9","005","23,037"
"LA","W - White","80-89.9","10-19.9","003","21,998"
"LA","W - White","80-89.9","10-19.9","004","21,011"
"LA","W - White","90-100","20-29.9","003","20,654"
"LA","W - White","90-100","10-19.9","001","19,050"
"LA","W - White","80-89.9","10-19.9","005","17,522"
"LA","W - White","90-100","20-29.9","004","16,839"
"LA","W - White","80-89.9","0-9.9","005","16,163"
"LA","W - White","90-100","0-9.9","004","16,079"
"LA","B - Black","70-79.9","90-100","002","14,893"
"LA","W - White","90-100","20-29.9","005","14,732"
"LA","W - White","90-100","20-29.9","001","14,448"
"LA","W - White","80-89.9","20-29.9","003","14,346"
"LA","W - White","70-79.9","0-9.9","001","14,138"
"LA","B - Black","90-100","80-89.9","006","13,820"
"LA","W - White","90-100","0-9.9","003","13,352"
"LA","W - White","80-89.9","20-29.9","004","13,247"
"LA","W - White","90-100","90-100","001","13,108"
"LA","W - White","80-89.9","10-19.9","001","12,808"
"LA","B - Black","80-89.9","80-89.9","006","12,740"
"LA","W - White","80-89.9","0-9.9","004","12,681"
"LA","W - White","70-79.9","10-19.9","003","12,322"
"LA","W - White","90-100","10-19.9","006","12,212"
"LA","B - Black","20-29.9","90-100","002","12,143"
"LA","W - White","40-49.9","0-9.9","001","11,866"
"LA","W - White","70-79.9","10-19.9","004","11,426"
"LA","B - Black","0-9.9","90-100","002","11,371"
"LA","W - White","60-69.9","0-9.9","001","11,300"
"LA","W - White","80-89.9","90-100","002","11,250"
"LA","B - Black","60-69.9","90-100","002","11,003"
"LA","W - White","50-59.9","0-9.9","001","10,721"
"LA","W - White","90-100","30-39.9","003","10,637"
"LA","W - White","80-89.9","20-29.9","005","10,579"
"LA","B - Black","40-49.9","90-100","002","10,259"
"LA","W - White","90-100","20-29.9","006","10,238"
"LA","W - White","60-69.9","10-19.9","003","10,178"
"LA","B - Black","50-59.9","90-100","002","10,054"
"LA","W - White","90-100","90-100","002","9,780"
"LA","W - White","90-100","30-39.9","001","9,739"
"LA","W - White","20-29.9","0-9.9","001","9,731"
"LA","W - White","20-29.9","10-19.9","003","9,712"
"LA","W - White","70-79.9","10-19.9","005","9,605"
"LA","B - Black","10-19.9","90-100","002","9,527"
