"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"MA","W - White","90-100","90-100","006","72,784"
"MA","W - White","90-100","90-100","005","70,536"
"MA","W - White","90-100","90-100","009","66,657"
"MA","W - White","90-100","90-100","004","62,614"
"MA","W - White","80-89.9","90-100","005","62,114"
"MA","W - White","80-89.9","90-100","009","60,932"
"MA","W - White","80-89.9","90-100","006","59,896"
"MA","W - White","90-100","90-100","002","58,985"
"MA","W - White","90-100","90-100","008","58,957"
"MA","W - White","80-89.9","90-100","008","53,600"
"MA","W - White","80-89.9","90-100","004","51,229"
"MA","W - White","80-89.9","90-100","002","50,037"
"MA","W - White","90-100","90-100","003","49,178"
"MA","W - White","90-100","90-100","001","47,210"
"MA","W - White","90-100","0-9.9","009","46,356"
"MA","W - White","80-89.9","90-100","001","44,650"
"MA","W - White","80-89.9","90-100","007","38,889"
"MA","W - White","80-89.9","90-100","003","38,219"
"MA","W - White","80-89.9","0-9.9","009","37,383"
"MA","W - White","90-100","0-9.9","006","36,274"
"MA","W - White","90-100","0-9.9","002","31,069"
"MA","W - White","90-100","0-9.9","004","29,941"
"MA","W - White","70-79.9","90-100","005","28,891"
"MA","W - White","90-100","0-9.9","003","28,704"
"MA","W - White","70-79.9","90-100","009","28,638"
"MA","W - White","90-100","0-9.9","001","27,304"
"MA","W - White","70-79.9","90-100","006","27,128"
"MA","W - White","70-79.9","90-100","008","26,824"
"MA","W - White","90-100","0-9.9","008","25,576"
"MA","W - White","80-89.9","0-9.9","001","24,881"
"MA","W - White","80-89.9","0-9.9","006","24,667"
"MA","W - White","70-79.9","90-100","004","24,408"
"MA","W - White","40-49.9","90-100","005","23,730"
"MA","W - White","70-79.9","90-100","007","23,141"
"MA","W - White","80-89.9","0-9.9","002","23,109"
"MA","W - White","70-79.9","90-100","001","22,542"
"MA","W - White","70-79.9","90-100","002","22,492"
"MA","W - White","40-49.9","90-100","006","22,387"
"MA","W - White","40-49.9","90-100","004","22,348"
"MA","W - White","80-89.9","0-9.9","004","21,995"
"MA","W - White","40-49.9","90-100","008","21,653"
"MA","W - White","90-100","90-100","007","21,342"
"MA","W - White","30-39.9","90-100","005","21,166"
"MA","W - White","30-39.9","90-100","004","21,041"
"MA","W - White","20-29.9","90-100","004","20,158"
"MA","W - White","50-59.9","90-100","005","20,003"
"MA","W - White","60-69.9","90-100","005","19,549"
"MA","W - White","20-29.9","90-100","005","19,544"
"MA","W - White","80-89.9","0-9.9","003","19,448"
"MA","W - White","40-49.9","90-100","009","19,408"
"MA","W - White","30-39.9","90-100","006","19,229"
"MA","W - White","50-59.9","90-100","008","19,124"
"MA","W - White","60-69.9","90-100","006","18,888"
"MA","W - White","60-69.9","90-100","009","18,672"
"MA","W - White","60-69.9","90-100","008","18,659"
"MA","W - White","50-59.9","90-100","006","18,652"
"MA","W - White","70-79.9","0-9.9","009","18,015"
"MA","W - White","20-29.9","90-100","006","17,856"
