"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"MD","W - White","90-100","90-100","008","77,577"
"MD","W - White","90-100","0-9.9","001","67,575"
"MD","B - Black","80-89.9","90-100","004","61,637"
"MD","W - White","90-100","90-100","003","61,453"
"MD","B - Black","90-100","90-100","005","59,083"
"MD","W - White","80-89.9","90-100","008","56,957"
"MD","W - White","90-100","90-100","002","55,350"
"MD","W - White","80-89.9","0-9.9","001","55,121"
"MD","B - Black","90-100","90-100","004","55,019"
"MD","B - Black","80-89.9","90-100","005","51,760"
"MD","B - Black","80-89.9","90-100","007","51,293"
"MD","W - White","90-100","0-9.9","003","45,380"
"MD","W - White","90-100","0-9.9","002","42,914"
"MD","W - White","90-100","0-9.9","006","42,208"
"MD","W - White","90-100","90-100","006","41,793"
"MD","W - White","80-89.9","90-100","003","41,255"
"MD","W - White","80-89.9","90-100","002","40,254"
"MD","W - White","90-100","90-100","001","39,169"
"MD","B - Black","90-100","90-100","007","37,608"
"MD","W - White","80-89.9","90-100","006","36,007"
"MD","W - White","80-89.9","0-9.9","006","34,824"
"MD","B - Black","70-79.9","90-100","004","33,698"
"MD","B - Black","0-9.9","90-100","007","33,277"
"MD","W - White","80-89.9","90-100","001","31,458"
"MD","W - White","90-100","90-100","005","30,714"
"MD","W - White","80-89.9","0-9.9","002","30,428"
"MD","B - Black","20-29.9","90-100","007","29,921"
"MD","W - White","90-100","0-9.9","005","29,801"
"MD","B - Black","70-79.9","90-100","007","28,806"
"MD","W - White","80-89.9","0-9.9","003","28,247"
"MD","W - White","80-89.9","90-100","007","27,982"
"MD","W - White","70-79.9","0-9.9","001","27,618"
"MD","B - Black","60-69.9","90-100","004","26,973"
"MD","B - Black","70-79.9","90-100","005","26,950"
"MD","W - White","80-89.9","90-100","005","26,120"
"MD","B - Black","30-39.9","90-100","007","26,049"
"MD","W - White","70-79.9","90-100","008","25,910"
"MD","W - White","80-89.9","0-9.9","005","25,576"
"MD","B - Black","10-19.9","90-100","007","25,003"
"MD","B - Black","20-29.9","90-100","004","24,957"
"MD","B - Black","60-69.9","90-100","007","24,163"
"MD","B - Black","30-39.9","90-100","004","23,698"
"MD","W - White","90-100","90-100","007","23,583"
"MD","B - Black","80-89.9","90-100","002","21,787"
"MD","B - Black","40-49.9","90-100","004","21,608"
"MD","B - Black","50-59.9","90-100","004","21,285"
"MD","B - Black","40-49.9","90-100","007","21,124"
"MD","W - White","60-69.9","0-9.9","001","20,642"
"MD","B - Black","60-69.9","90-100","005","20,570"
"MD","B - Black","90-100","90-100","002","20,128"
"MD","B - Black","50-59.9","90-100","007","19,624"
"MD","W - White","70-79.9","90-100","003","19,469"
"MD","W - White","70-79.9","90-100","002","19,267"
"MD","W - White","40-49.9","0-9.9","001","19,184"
"MD","B - Black","0-9.9","90-100","004","19,034"
"MD","W - White","50-59.9","0-9.9","001","18,728"
"MD","W - White","40-49.9","90-100","008","18,596"
"MD","W - White","70-79.9","0-9.9","006","18,365"
"MD","B - Black","10-19.9","90-100","004","18,328"
"MD","W - White","60-69.9","90-100","008","17,749"
"MD","W - White","70-79.9","90-100","006","17,644"
"MD","B - Black","20-29.9","90-100","005","17,594"
"MD","B - Black","30-39.9","90-100","005","17,437"
"MD","W - White","50-59.9","90-100","008","17,010"
"MD","B - Black","80-89.9","90-100","003","15,743"
"MD","B - Black","40-49.9","90-100","005","15,684"
"MD","W - White","30-39.9","90-100","008","15,665"
"MD","W - White","70-79.9","0-9.9","002","15,626"
"MD","W - White","70-79.9","90-100","001","15,489"
"MD","W - White","90-100","0-9.9","008","15,102"
"MD","W - White","30-39.9","0-9.9","001","15,049"
"MD","W - White","60-69.9","90-100","003","14,711"
"MD","W - White","70-79.9","90-100","007","14,597"
"MD","B - Black","50-59.9","90-100","005","14,462"
"MD","W - White","40-49.9","90-100","003","14,303"
"MD","B - Black","90-100","90-100","003","14,247"
"MD","W - White","60-69.9","90-100","002","14,227"
"MD","W - White","20-29.9","0-9.9","001","14,081"
"MD","W - White","70-79.9","0-9.9","003","13,940"
"MD","B - Black","80-89.9","90-100","008","13,886"
"MD","W - White","70-79.9","0-9.9","005","13,841"
"MD","W - White","60-69.9","0-9.9","006","13,815"
"MD","W - White","70-79.9","90-100","005","13,537"
"MD","W - White","60-69.9","90-100","006","13,300"
"MD","W - White","50-59.9","0-9.9","006","13,134"
"MD","A - Asian or Pacific Islander","80-89.9","90-100","008","13,021"
"MD","W - White","40-49.9","90-100","002","12,802"
"MD","W - White","30-39.9","90-100","003","12,737"
"MD","W - White","40-49.9","90-100","006","12,691"
"MD","W - White","50-59.9","90-100","002","12,690"
"MD","W - White","40-49.9","0-9.9","006","12,580"
"MD","W - White","50-59.9","90-100","003","12,578"
"MD","W - White","30-39.9","90-100","006","12,574"
"MD","B - Black","70-79.9","90-100","002","12,251"
"MD","W - White","60-69.9","0-9.9","002","11,478"
"MD","W - White","60-69.9","90-100","001","11,445"
"MD","W - White","50-59.9","90-100","006","11,274"
"MD","B - Black","10-19.9","90-100","005","10,764"
"MD","W - White","80-89.9","90-100","004","10,758"
"MD","W - White","60-69.9","0-9.9","003","10,739"
"MD","W - White","60-69.9","90-100","007","10,626"
"MD","W - White","30-39.9","90-100","002","10,606"
"MD","W - White","60-69.9","0-9.9","005","10,507"
"MD","W - White","40-49.9","90-100","001","10,475"
"MD","W - White","50-59.9","0-9.9","002","10,320"
"MD","W - White","80-89.9","0-9.9","008","10,270"
"MD","W - White","60-69.9","90-100","005","10,181"
"MD","B - Black","20-29.9","90-100","002","10,133"
"MD","W - White","20-29.9","90-100","006","10,115"
"MD","W - White","30-39.9","0-9.9","006","10,091"
"MD","B - Black","30-39.9","90-100","002","10,083"
"MD","W - White","30-39.9","90-100","001","10,060"
"MD","W - White","40-49.9","90-100","007","10,017"
"MD","W - White","10-19.9","0-9.9","001","10,013"
"MD","B - Black","90-100","90-100","008","9,992"
"MD","W - White","20-29.9","90-100","001","9,943"
"MD","W - White","90-100","90-100","004","9,925"
"MD","B - Black","60-69.9","90-100","002","9,894"
"MD","W - White","50-59.9","90-100","001","9,810"
"MD","W - White","30-39.9","90-100","007","9,757"
"MD","W - White","20-29.9","0-9.9","006","9,755"
"MD","W - White","40-49.9","0-9.9","002","9,599"
"MD","B - Black","0-9.9","90-100","005","9,542"
"MD","H - Hispanic or Latino","80-89.9","90-100","008","9,474"
"MD","W - White","50-59.9","0-9.9","005","9,355"
"MD","W - White","20-29.9","90-100","008","9,278"
"MD","W - White","20-29.9","90-100","003","9,062"
"MD","W - White","50-59.9","90-100","007","9,060"
"MD","W - White","50-59.9","0-9.9","003","9,040"
"MD","W - White","20-29.9","90-100","002","9,034"
"MD","B - Black","80-89.9","90-100","001","8,936"
"MD","W - White","40-49.9","90-100","005","8,906"
"MD","W - White","40-49.9","0-9.9","005","8,898"
"MD","B - Black","40-49.9","90-100","002","8,889"
"MD","W - White","20-29.9","90-100","007","8,737"
"MD","W - White","30-39.9","90-100","005","8,627"
"MD","B - Black","70-79.9","90-100","003","8,563"
"MD","B - Black","80-89.9","90-100","006","8,464"
"MD","W - White","20-29.9","90-100","005","8,340"
"MD","W - White","50-59.9","90-100","005","8,224"
"MD","W - White","40-49.9","0-9.9","003","8,141"
"MD","A - Asian or Pacific Islander","70-79.9","90-100","008","8,140"
"MD","B - Black","50-59.9","90-100","002","8,065"
"MD","B - Black","70-79.9","90-100","008","7,904"
"MD","H - Hispanic or Latino","30-39.9","90-100","004","7,428"
"MD","B - Black","0-9.9","90-100","002","7,408"
"MD","W - White","90-100","0-9.9","007","7,388"
"MD","W - White","0-9.9","90-100","007","7,357"
"MD","W - White","30-39.9","0-9.9","002","7,237"
"MD","W - White","10-19.9","0-9.9","006","7,192"
"MD","W - White","0-9.9","0-9.9","001","7,173"
"MD","W - White","80-89.9","0-9.9","007","7,136"
"MD","W - White","30-39.9","0-9.9","005","7,122"
"MD","W - White","20-29.9","0-9.9","005","7,117"
"MD","W - White","0-9.9","90-100","001","7,094"
"MD","A - Asian or Pacific Islander","80-89.9","90-100","003","7,070"
"MD","B - Black","30-39.9","90-100","003","7,030"
"MD","A - Asian or Pacific Islander","40-49.9","90-100","008","7,006"
"MD","B - Black","10-19.9","90-100","002","7,001"
"MD","A - Asian or Pacific Islander","60-69.9","90-100","008","6,993"
"MD","W - White","20-29.9","0-9.9","002","6,946"
"MD","B - Black","90-100","90-100","001","6,936"
"MD","W - White","10-19.9","90-100","001","6,931"
"MD","H - Hispanic or Latino","40-49.9","90-100","004","6,914"
"MD","W - White","10-19.9","90-100","006","6,888"
"MD","B - Black","60-69.9","90-100","003","6,873"
"MD","W - White","0-9.9","90-100","006","6,778"
"MD","B - Black","60-69.9","90-100","008","6,715"
"MD","B - Black","30-39.9","90-100","008","6,586"
"MD","A - Asian or Pacific Islander","50-59.9","90-100","008","6,551"
"MD","H - Hispanic or Latino","30-39.9","90-100","008","6,406"
"MD","H - Hispanic or Latino","70-79.9","90-100","008","6,363"
"MD","H - Hispanic or Latino","40-49.9","90-100","008","6,345"
"MD","W - White","30-39.9","0-9.9","003","6,281"
"MD","W - White","0-9.9","90-100","002","6,278"
"MD","A - Asian or Pacific Islander","90-100","90-100","008","6,266"
"MD","B - Black","20-29.9","90-100","003","6,262"
"MD","W - White","10-19.9","90-100","002","6,231"
"MD","B - Black","40-49.9","90-100","003","6,224"
"MD","A - Asian or Pacific Islander","30-39.9","90-100","008","6,197"
"MD","W - White","80-89.9","10-19.9","001","6,171"
