"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"ME","W - White","90-100","90-100","001","81,881"
"ME","W - White","80-89.9","90-100","001","69,917"
"ME","W - White","80-89.9","0-9.9","002","38,397"
"ME","W - White","90-100","0-9.9","001","37,301"
"ME","W - White","80-89.9","90-100","002","34,744"
"ME","W - White","80-89.9","0-9.9","001","34,218"
"ME","W - White","90-100","90-100","002","31,594"
"ME","W - White","70-79.9","90-100","001","31,275"
"ME","W - White","90-100","0-9.9","002","29,555"
"ME","W - White","70-79.9","0-9.9","002","22,589"
"ME","W - White","60-69.9","90-100","001","20,914"
"ME","W - White","70-79.9","0-9.9","001","18,001"
"ME","W - White","70-79.9","90-100","002","15,435"
"ME","W - White","50-59.9","90-100","001","15,417"
"ME","W - White","60-69.9","0-9.9","002","13,154"
"ME","W - White","40-49.9","90-100","001","12,488"
"ME","W - White","50-59.9","0-9.9","002","11,881"
"ME","W - White","30-39.9","90-100","001","11,874"
"ME","W - White","40-49.9","0-9.9","002","11,687"
"ME","W - White","20-29.9","90-100","001","11,671"
"ME","W - White","60-69.9","0-9.9","001","11,264"
"ME","W - White","20-29.9","0-9.9","002","9,999"
"ME","W - White","60-69.9","90-100","002","9,986"
"ME","W - White","30-39.9","0-9.9","002","9,983"
"ME","W - White","50-59.9","0-9.9","001","9,879"
"ME","W - White","40-49.9","0-9.9","001","9,146"
"ME","W - White","80-89.9","10-19.9","002","8,396"
"ME","W - White","50-59.9","90-100","002","7,507"
"ME","W - White","20-29.9","0-9.9","001","7,442"
"ME","W - White","30-39.9","0-9.9","001","7,318"
"ME","W - White","10-19.9","0-9.9","002","7,131"
"ME","W - White","10-19.9","90-100","001","6,596"
"ME","W - White","90-100","80-89.9","002","6,525"
"ME","W - White","80-89.9","80-89.9","002","6,454"
"ME","W - White","90-100","70-79.9","002","6,438"
"ME","W - White","80-89.9","20-29.9","002","5,984"
"ME","W - White","80-89.9","10-19.9","001","5,960"
"ME","W - White","40-49.9","90-100","002","5,884"
"ME","W - White","80-89.9","70-79.9","002","5,805"
"ME","W - White","90-100","10-19.9","002","5,701"
"ME","W - White","90-100","60-69.9","002","5,701"
"ME","W - White","70-79.9","10-19.9","002","5,553"
"ME","W - White","80-89.9","60-69.9","002","5,330"
"ME","W - White","90-100","10-19.9","001","5,263"
"ME","W - White","20-29.9","90-100","002","5,023"
"ME","W - White","80-89.9","30-39.9","002","4,937"
"ME","W - White","80-89.9","50-59.9","002","4,875"
"ME","W - White","90-100","50-59.9","002","4,796"
"ME","W - White","30-39.9","90-100","002","4,708"
"ME","W - White","10-19.9","0-9.9","001","4,699"
"ME","W - White","80-89.9","40-49.9","002","4,621"
"ME","W - White","90-100","20-29.9","002","4,571"
"ME","W - White","80-89.9","80-89.9","001","4,500"
"ME","W - White","80-89.9","20-29.9","001","4,431"
"ME","W - White","90-100","30-39.9","002","4,090"
"ME","W - White","90-100","40-49.9","002","4,055"
"ME","W - White","90-100","20-29.9","001","3,929"
"ME","W - White","60-69.9","10-19.9","002","3,837"
"ME","W - White","90-100","80-89.9","001","3,792"
"ME","W - White","70-79.9","20-29.9","002","3,584"
"ME","W - White","50-59.9","10-19.9","002","3,545"
"ME","W - White","10-19.9","90-100","002","3,531"
"ME","W - White","70-79.9","10-19.9","001","3,465"
"ME","W - White","70-79.9","80-89.9","002","3,356"
"ME","W - White","40-49.9","10-19.9","002","3,248"
"ME","W - White","70-79.9","80-89.9","001","3,236"
"ME","W - White","80-89.9","30-39.9","001","3,214"
"ME","W - White","70-79.9","70-79.9","002","3,193"
"ME","W - White","20-29.9","10-19.9","002","3,174"
"ME","W - White","90-100","30-39.9","001","2,992"
"ME","W - White","70-79.9","30-39.9","002","2,973"
"ME","W - White","0-9.9","0-9.9","002","2,941"
"ME","W - White","70-79.9","60-69.9","002","2,904"
"ME","W - White","70-79.9","50-59.9","002","2,837"
"ME","W - White","30-39.9","10-19.9","002","2,819"
"ME","W - White","70-79.9","40-49.9","002","2,714"
"ME","W - White","60-69.9","20-29.9","002","2,654"
"ME","W - White","60-69.9","10-19.9","001","2,518"
"ME","W - White","10-19.9","10-19.9","002","2,419"
"ME","W - White","20-29.9","80-89.9","001","2,416"
"ME","W - White","0-9.9","90-100","001","2,410"
"ME","W - White","70-79.9","20-29.9","001","2,378"
"ME","W - White","50-59.9","20-29.9","002","2,330"
"ME","W - White","80-89.9","40-49.9","001","2,312"
"ME","W - White","40-49.9","20-29.9","002","2,201"
"ME","W - White","50-59.9","10-19.9","001","2,196"
"ME","W - White","60-69.9","80-89.9","001","2,190"
"ME","W - White","60-69.9","30-39.9","002","2,117"
"ME","W - White","90-100","40-49.9","001","2,102"
"ME","W - White","50-59.9","80-89.9","001","2,095"
"ME","W - White","20-29.9","10-19.9","001","2,025"
"ME","W - White","60-69.9","70-79.9","002","2,020"
"ME","W - White","40-49.9","10-19.9","001","2,020"
"ME","W - White","60-69.9","80-89.9","002","2,003"
"ME","W - White","60-69.9","40-49.9","002","2,000"
"ME","W - White","50-59.9","30-39.9","002","1,997"
"ME","W - White","0-9.9","0-9.9","001","1,972"
"ME","W - White","60-69.9","50-59.9","002","1,953"
"ME","W - White","80-89.9","70-79.9","001","1,943"
"ME","W - White","20-29.9","20-29.9","002","1,899"
"ME","W - White","80-89.9","50-59.9","001","1,890"
"ME","W - White","40-49.9","80-89.9","001","1,867"
"ME","W - White","70-79.9","30-39.9","001","1,851"
"ME","W - White","60-69.9","60-69.9","002","1,819"
"ME","W - White","30-39.9","80-89.9","001","1,802"
"ME","W - White","90-100","50-59.9","001","1,772"
"ME","W - White","90-100","70-79.9","001","1,763"
"ME","W - White","60-69.9","20-29.9","001","1,759"
"ME","W - White","30-39.9","20-29.9","002","1,744"
"ME","W - White","80-89.9","60-69.9","001","1,728"
"ME","W - White","50-59.9","40-49.9","002","1,714"
"ME","W - White","40-49.9","30-39.9","002","1,697"
"ME","W - White","50-59.9","80-89.9","002","1,691"
"ME","W - White","30-39.9","10-19.9","001","1,667"
"ME","W - White","50-59.9","60-69.9","002","1,640"
"ME","W - White","50-59.9","70-79.9","002","1,629"
"ME","W - White","20-29.9","30-39.9","002","1,614"
"ME","W - White","50-59.9","50-59.9","002","1,614"
"ME","W - White","90-100","60-69.9","001","1,608"
"ME","W - White","40-49.9","40-49.9","002","1,523"
"ME","W - White","20-29.9","80-89.9","002","1,517"
"ME","W - White","10-19.9","80-89.9","001","1,501"
"ME","W - White","10-19.9","20-29.9","002","1,470"
"ME","W - White","20-29.9","70-79.9","002","1,425"
"ME","W - White","20-29.9","40-49.9","002","1,423"
"ME","W - White","40-49.9","50-59.9","002","1,414"
"ME","W - White","30-39.9","30-39.9","002","1,409"
"ME","W - White","20-29.9","50-59.9","002","1,407"
"ME","W - White","50-59.9","20-29.9","001","1,387"
"ME","W - White","40-49.9","80-89.9","002","1,366"
"ME","W - White","40-49.9","70-79.9","002","1,356"
"ME","W - White","0-9.9","90-100","002","1,355"
"ME","W - White","70-79.9","40-49.9","001","1,341"
"ME","W - White","40-49.9","60-69.9","002","1,324"
"ME","W - White","30-39.9","80-89.9","002","1,301"
"ME","W - White","20-29.9","60-69.9","002","1,274"
"ME","W - White","30-39.9","40-49.9","002","1,260"
"ME","W - White","70-79.9","70-79.9","001","1,256"
"ME","W - White","30-39.9","70-79.9","002","1,208"
"ME","W - White","60-69.9","30-39.9","001","1,204"
"ME","W - White","10-19.9","10-19.9","001","1,181"
"ME","W - White","40-49.9","20-29.9","001","1,152"
"ME","W - White","10-19.9","30-39.9","002","1,136"
"ME","W - White","30-39.9","50-59.9","002","1,130"
"ME","W - White","0-9.9","10-19.9","002","1,124"
"ME","W - White","10-19.9","80-89.9","002","1,114"
"ME","W - White","70-79.9","50-59.9","001","1,113"
"ME","W - White","20-29.9","20-29.9","001","1,097"
"ME","W - White","30-39.9","60-69.9","002","1,094"
"ME","W - White","10-19.9","70-79.9","002","1,036"
"ME","W - White","10-19.9","50-59.9","002","1,028"
