"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"MI","W - White","90-100","90-100","006","77,886"
"MI","W - White","90-100","0-9.9","009","71,967"
"MI","W - White","90-100","90-100","011","68,982"
"MI","W - White","90-100","90-100","007","59,115"
"MI","W - White","90-100","0-9.9","004","53,955"
"MI","W - White","90-100","0-9.9","002","53,527"
"MI","W - White","90-100","0-9.9","001","52,988"
"MI","W - White","90-100","0-9.9","007","51,528"
"MI","W - White","90-100","0-9.9","005","50,242"
"MI","W - White","90-100","0-9.9","003","49,309"
"MI","W - White","90-100","90-100","003","48,756"
"MI","W - White","90-100","90-100","010","48,500"
"MI","W - White","80-89.9","90-100","006","48,087"
"MI","W - White","90-100","0-9.9","010","47,302"
"MI","W - White","90-100","90-100","008","45,968"
"MI","W - White","90-100","90-100","001","45,678"
"MI","W - White","90-100","90-100","009","45,030"
"MI","W - White","90-100","0-9.9","011","44,359"
"MI","W - White","90-100","90-100","004","44,057"
"MI","W - White","80-89.9","0-9.9","001","43,835"
"MI","W - White","80-89.9","0-9.9","009","43,622"
"MI","W - White","80-89.9","0-9.9","002","42,901"
"MI","B - Black","90-100","90-100","012","41,630"
"MI","W - White","80-89.9","90-100","011","41,318"
"MI","W - White","90-100","0-9.9","006","40,737"
"MI","B - Black","80-89.9","90-100","012","40,478"
"MI","W - White","90-100","0-9.9","008","39,456"
"MI","W - White","80-89.9","90-100","007","37,336"
"MI","W - White","80-89.9","0-9.9","005","35,724"
"MI","W - White","80-89.9","90-100","003","35,229"
"MI","W - White","80-89.9","90-100","001","34,866"
"MI","B - Black","80-89.9","90-100","013","34,038"
"MI","W - White","90-100","90-100","002","33,944"
"MI","W - White","90-100","90-100","012","32,630"
"MI","W - White","90-100","90-100","005","32,507"
"MI","W - White","80-89.9","90-100","004","30,485"
"MI","B - Black","90-100","90-100","013","30,099"
"MI","W - White","80-89.9","90-100","010","29,788"
"MI","W - White","80-89.9","0-9.9","004","28,991"
"MI","W - White","80-89.9","90-100","008","28,767"
"MI","W - White","80-89.9","0-9.9","007","27,683"
"MI","W - White","80-89.9","90-100","009","26,842"
"MI","W - White","80-89.9","90-100","002","26,263"
"MI","W - White","90-100","90-100","013","24,345"
"MI","W - White","80-89.9","0-9.9","008","24,090"
"MI","W - White","0-9.9","0-9.9","002","23,901"
"MI","W - White","80-89.9","90-100","005","23,465"
"MI","W - White","70-79.9","90-100","006","22,398"
"MI","W - White","80-89.9","90-100","012","22,328"
"MI","W - White","80-89.9","0-9.9","003","22,308"
"MI","W - White","70-79.9","0-9.9","002","21,643"
"MI","W - White","80-89.9","10-19.9","001","21,542"
"MI","W - White","80-89.9","0-9.9","010","20,762"
"MI","B - Black","70-79.9","90-100","012","20,204"
"MI","W - White","70-79.9","0-9.9","001","20,088"
"MI","W - White","90-100","0-9.9","012","19,347"
"MI","W - White","0-9.9","0-9.9","001","19,293"
"MI","W - White","70-79.9","0-9.9","009","19,057"
"MI","B - Black","20-29.9","90-100","013","18,834"
"MI","W - White","80-89.9","10-19.9","002","18,762"
"MI","W - White","10-19.9","0-9.9","002","18,634"
"MI","B - Black","20-29.9","90-100","012","18,455"
