"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"MN","W - White","90-100","90-100","005","57,217"
"MN","W - White","80-89.9","90-100","005","51,373"
"MN","W - White","90-100","60-69.9","003","31,995"
"MN","W - White","90-100","90-100","004","31,212"
"MN","W - White","90-100","70-79.9","003","29,417"
"MN","W - White","90-100","50-59.9","003","26,584"
"MN","W - White","90-100","60-69.9","002","26,378"
"MN","W - White","90-100","80-89.9","005","26,375"
"MN","W - White","90-100","20-29.9","007","25,629"
"MN","W - White","90-100","50-59.9","002","25,478"
"MN","W - White","80-89.9","20-29.9","007","25,434"
"MN","W - White","90-100","40-49.9","006","24,106"
"MN","W - White","80-89.9","90-100","004","23,915"
"MN","W - White","80-89.9","80-89.9","005","23,470"
"MN","W - White","90-100","30-39.9","006","23,167"
"MN","W - White","90-100","30-39.9","007","23,035"
"MN","W - White","90-100","30-39.9","008","22,831"
"MN","W - White","90-100","40-49.9","008","21,922"
"MN","W - White","80-89.9","10-19.9","007","21,914"
"MN","W - White","90-100","80-89.9","004","21,846"
"MN","W - White","90-100","70-79.9","004","21,766"
"MN","W - White","80-89.9","30-39.9","008","21,688"
"MN","W - White","80-89.9","30-39.9","007","21,541"
"MN","W - White","80-89.9","60-69.9","003","21,131"
"MN","W - White","90-100","50-59.9","006","20,730"
"MN","W - White","80-89.9","20-29.9","008","20,491"
"MN","W - White","90-100","40-49.9","002","20,466"
"MN","W - White","90-100","70-79.9","002","20,367"
"MN","W - White","90-100","60-69.9","004","20,067"
"MN","W - White","80-89.9","30-39.9","006","20,027"
"MN","W - White","90-100","10-19.9","007","19,814"
"MN","W - White","80-89.9","40-49.9","008","19,791"
"MN","W - White","90-100","20-29.9","006","19,584"
"MN","W - White","80-89.9","70-79.9","003","19,566"
"MN","W - White","80-89.9","40-49.9","006","19,301"
"MN","W - White","80-89.9","60-69.9","002","19,155"
"MN","W - White","90-100","20-29.9","008","19,053"
"MN","W - White","80-89.9","50-59.9","002","18,990"
"MN","W - White","80-89.9","50-59.9","003","18,224"
"MN","W - White","90-100","50-59.9","008","18,065"
"MN","W - White","90-100","30-39.9","001","17,886"
"MN","W - White","80-89.9","20-29.9","006","17,743"
"MN","W - White","90-100","40-49.9","001","17,742"
"MN","W - White","90-100","40-49.9","003","17,680"
"MN","W - White","80-89.9","80-89.9","004","17,546"
"MN","W - White","90-100","80-89.9","003","17,188"
"MN","W - White","80-89.9","30-39.9","001","16,708"
"MN","W - White","90-100","50-59.9","001","16,534"
"MN","W - White","90-100","40-49.9","007","16,494"
"MN","W - White","90-100","20-29.9","001","16,469"
"MN","W - White","80-89.9","70-79.9","002","16,287"
"MN","W - White","80-89.9","50-59.9","006","16,200"
"MN","W - White","80-89.9","40-49.9","002","15,975"
"MN","W - White","80-89.9","40-49.9","001","15,869"
"MN","W - White","80-89.9","20-29.9","001","15,842"
"MN","W - White","80-89.9","50-59.9","008","15,593"
"MN","W - White","80-89.9","70-79.9","004","15,575"
"MN","W - White","80-89.9","40-49.9","007","15,276"
"MN","W - White","70-79.9","20-29.9","007","15,263"
"MN","W - White","90-100","50-59.9","004","14,838"
"MN","W - White","90-100","60-69.9","006","14,166"
"MN","W - White","80-89.9","80-89.9","003","14,089"
"MN","W - White","80-89.9","50-59.9","001","14,034"
"MN","W - White","70-79.9","90-100","005","13,910"
"MN","W - White","90-100","60-69.9","001","13,562"
"MN","W - White","70-79.9","10-19.9","007","13,507"
"MN","W - White","90-100","30-39.9","002","13,396"
"MN","W - White","80-89.9","60-69.9","004","13,360"
