"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"MO","W - White","80-89.9","10-19.9","008","31,058"
"MO","W - White","90-100","40-49.9","002","28,676"
"MO","W - White","90-100","30-39.9","002","28,151"
"MO","W - White","80-89.9","10-19.9","007","26,939"
"MO","W - White","90-100","10-19.9","008","26,759"
"MO","W - White","90-100","20-29.9","006","25,543"
"MO","B - Black","80-89.9","90-100","001","25,279"
"MO","W - White","80-89.9","10-19.9","004","25,273"
"MO","W - White","90-100","20-29.9","003","24,558"
"MO","W - White","80-89.9","20-29.9","006","24,432"
"MO","W - White","80-89.9","20-29.9","007","24,335"
"MO","W - White","80-89.9","20-29.9","004","23,844"
"MO","W - White","90-100","10-19.9","007","23,244"
"MO","W - White","80-89.9","10-19.9","006","23,132"
"MO","W - White","90-100","20-29.9","002","23,109"
"MO","W - White","90-100","50-59.9","002","23,079"
"MO","W - White","90-100","30-39.9","003","22,853"
"MO","W - White","90-100","20-29.9","007","22,751"
"MO","W - White","80-89.9","20-29.9","008","22,616"
"MO","W - White","90-100","20-29.9","004","22,059"
"MO","W - White","80-89.9","20-29.9","003","21,873"
"MO","W - White","90-100","10-19.9","006","21,582"
"MO","W - White","90-100","10-19.9","004","21,562"
"MO","W - White","90-100","20-29.9","008","20,985"
"MO","W - White","80-89.9","30-39.9","002","20,695"
"MO","W - White","80-89.9","40-49.9","002","19,724"
"MO","W - White","90-100","30-39.9","006","18,887"
"MO","W - White","80-89.9","30-39.9","003","18,667"
"MO","B - Black","90-100","90-100","001","18,512"
"MO","W - White","80-89.9","20-29.9","002","18,289"
"MO","W - White","80-89.9","30-39.9","006","17,901"
"MO","W - White","90-100","10-19.9","003","17,677"
"MO","W - White","80-89.9","10-19.9","003","17,672"
"MO","W - White","90-100","40-49.9","003","17,572"
"MO","W - White","70-79.9","10-19.9","008","17,525"
"MO","W - White","80-89.9","50-59.9","002","16,559"
"MO","W - White","80-89.9","30-39.9","004","15,773"
"MO","W - White","20-29.9","10-19.9","008","15,615"
"MO","W - White","80-89.9","0-9.9","008","15,350"
"MO","W - White","80-89.9","30-39.9","007","15,283"
"MO","B - Black","20-29.9","90-100","001","15,156"
"MO","W - White","70-79.9","10-19.9","007","14,685"
"MO","W - White","80-89.9","40-49.9","003","14,637"
"MO","W - White","90-100","30-39.9","004","14,452"
"MO","W - White","90-100","60-69.9","002","14,415"
"MO","W - White","90-100","30-39.9","007","14,380"
"MO","W - White","70-79.9","10-19.9","004","14,197"
"MO","W - White","70-79.9","10-19.9","006","13,219"
"MO","W - White","20-29.9","10-19.9","007","13,134"
"MO","W - White","70-79.9","20-29.9","006","13,126"
"MO","W - White","70-79.9","20-29.9","007","13,045"
"MO","W - White","80-89.9","90-100","001","13,014"
"MO","W - White","90-100","10-19.9","002","12,886"
"MO","W - White","70-79.9","20-29.9","004","12,872"
"MO","W - White","70-79.9","20-29.9","008","12,702"
"MO","W - White","10-19.9","10-19.9","008","12,692"
"MO","W - White","20-29.9","20-29.9","007","12,692"
"MO","W - White","20-29.9","10-19.9","004","12,375"
"MO","W - White","80-89.9","30-39.9","008","12,330"
"MO","W - White","60-69.9","10-19.9","008","12,125"
"MO","B - Black","70-79.9","90-100","001","12,118"
"MO","W - White","80-89.9","80-89.9","001","12,068"
"MO","W - White","40-49.9","10-19.9","008","12,024"
"MO","W - White","80-89.9","60-69.9","002","11,982"
"MO","W - White","90-100","30-39.9","008","11,944"
"MO","W - White","90-100","40-49.9","005","11,891"
"MO","W - White","90-100","40-49.9","006","11,815"
"MO","W - White","90-100","70-79.9","001","11,679"
"MO","W - White","20-29.9","20-29.9","008","11,655"
"MO","W - White","90-100","80-89.9","001","11,639"
"MO","W - White","20-29.9","20-29.9","004","11,556"
"MO","W - White","70-79.9","20-29.9","003","11,448"
"MO","W - White","90-100","0-9.9","008","11,441"
"MO","W - White","80-89.9","40-49.9","006","11,412"
"MO","B - Black","30-39.9","90-100","001","11,398"
"MO","W - White","30-39.9","10-19.9","008","11,311"
"MO","W - White","20-29.9","10-19.9","006","11,297"
"MO","W - White","90-100","50-59.9","003","11,289"
"MO","W - White","20-29.9","20-29.9","006","11,215"
"MO","W - White","90-100","30-39.9","005","11,079"
