"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"MS","W - White","80-89.9","0-9.9","003","48,676"
"MS","W - White","80-89.9","0-9.9","004","46,108"
"MS","W - White","90-100","0-9.9","004","44,691"
"MS","W - White","80-89.9","0-9.9","001","44,502"
"MS","W - White","90-100","0-9.9","003","41,776"
"MS","B - Black","80-89.9","90-100","002","41,713"
"MS","W - White","90-100","0-9.9","001","39,471"
"MS","W - White","10-19.9","10-19.9","Not Available","30,219"
"MS","W - White","20-29.9","10-19.9","Not Available","29,863"
"MS","B - Black","90-100","90-100","002","25,891"
"MS","B - Black","70-79.9","90-100","002","25,148"
"MS","W - White","20-29.9","0-9.9","Not Available","25,058"
"MS","W - White","70-79.9","0-9.9","004","24,154"
"MS","W - White","70-79.9","0-9.9","003","23,311"
"MS","W - White","70-79.9","0-9.9","001","22,392"
"MS","B - Black","0-9.9","90-100","002","20,737"
"MS","W - White","80-89.9","0-9.9","002","19,855"
"MS","B - Black","80-89.9","90-100","003","19,749"
"MS","W - White","10-19.9","0-9.9","Not Available","18,789"
"MS","B - Black","10-19.9","90-100","Not Available","18,349"
"MS","B - Black","60-69.9","90-100","002","18,349"
"MS","W - White","60-69.9","0-9.9","004","17,600"
"MS","W - White","90-100","0-9.9","002","17,504"
"MS","W - White","60-69.9","0-9.9","001","16,628"
"MS","B - Black","10-19.9","90-100","002","16,169"
"MS","W - White","60-69.9","0-9.9","003","16,075"
"MS","B - Black","10-19.9","80-89.9","Not Available","15,616"
"MS","B - Black","20-29.9","90-100","002","14,892"
"MS","B - Black","50-59.9","90-100","002","14,421"
"MS","W - White","10-19.9","20-29.9","Not Available","13,448"
"MS","B - Black","80-89.9","90-100","001","13,393"
"MS","W - White","50-59.9","0-9.9","004","12,664"
"MS","W - White","50-59.9","0-9.9","001","12,158"
"MS","B - Black","0-9.9","80-89.9","002","12,147"
"MS","W - White","20-29.9","20-29.9","Not Available","12,132"
"MS","B - Black","70-79.9","90-100","003","11,208"
"MS","B - Black","40-49.9","90-100","002","11,206"
