"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Current Address/TargetSmart Address - State House District","All Record Count"
"MS","W - White","90-100","0-9.9","074","3,335"
"MS","W - White","90-100","0-9.9","073","3,150"
"MS","W - White","90-100","0-9.9","058","2,863"
"MS","W - White","80-89.9","0-9.9","088","2,811"
"MS","W - White","80-89.9","0-9.9","028","2,699"
"MS","W - White","80-89.9","0-9.9","104","2,561"
"MS","W - White","80-89.9","0-9.9","092","2,497"
"MS","W - White","80-89.9","0-9.9","109","2,493"
"MS","W - White","90-100","0-9.9","028","2,428"
"MS","W - White","80-89.9","0-9.9","107","2,424"
"MS","W - White","80-89.9","0-9.9","077","2,408"
"MS","W - White","90-100","0-9.9","059","2,405"
"MS","W - White","80-89.9","0-9.9","074","2,396"
"MS","W - White","90-100","0-9.9","037","2,376"
"MS","W - White","80-89.9","0-9.9","060","2,327"
"MS","W - White","80-89.9","0-9.9","001","2,296"
"MS","W - White","80-89.9","0-9.9","058","2,245"
"MS","W - White","80-89.9","0-9.9","059","2,236"
"MS","W - White","80-89.9","0-9.9","095","2,230"
"MS","W - White","80-89.9","0-9.9","079","2,210"
"MS","W - White","80-89.9","0-9.9","100","2,193"
"MS","W - White","80-89.9","0-9.9","062","2,192"
"MS","W - White","90-100","0-9.9","087","2,165"
"MS","W - White","90-100","0-9.9","060","2,106"
"MS","W - White","90-100","0-9.9","101","2,100"
"MS","W - White","90-100","0-9.9","088","2,094"
"MS","W - White","90-100","0-9.9","095","2,093"
"MS","W - White","80-89.9","0-9.9","003","2,092"
"MS","W - White","80-89.9","0-9.9","087","2,089"
"MS","W - White","80-89.9","0-9.9","105","2,088"
"MS","W - White","80-89.9","0-9.9","044","2,069"
"MS","W - White","80-89.9","0-9.9","002","2,055"
"MS","W - White","80-89.9","0-9.9","083","2,031"
"MS","W - White","80-89.9","0-9.9","004","2,013"
"MS","W - White","80-89.9","0-9.9","081","2,012"
"MS","W - White","80-89.9","0-9.9","089","2,011"
"MS","W - White","80-89.9","0-9.9","099","2,004"
"MS","W - White","80-89.9","0-9.9","019","1,993"
"MS","W - White","90-100","0-9.9","056","1,988"
"MS","W - White","80-89.9","0-9.9","018","1,987"
"MS","W - White","80-89.9","0-9.9","084","1,972"
"MS","W - White","90-100","0-9.9","024","1,967"
"MS","W - White","80-89.9","0-9.9","021","1,954"
"MS","B - Black","80-89.9","90-100","051","1,953"
"MS","W - White","80-89.9","0-9.9","073","1,946"
"MS","B - Black","80-89.9","90-100","057","1,933"
"MS","B - Black","80-89.9","90-100","070","1,932"
"MS","W - White","80-89.9","0-9.9","090","1,931"
"MS","W - White","90-100","0-9.9","083","1,925"
"MS","W - White","80-89.9","0-9.9","093","1,911"
"MS","W - White","90-100","0-9.9","111","1,895"
"MS","W - White","80-89.9","0-9.9","024","1,893"
"MS","W - White","80-89.9","0-9.9","023","1,876"
"MS","W - White","90-100","0-9.9","089","1,864"
"MS","W - White","80-89.9","0-9.9","053","1,843"
"MS","W - White","80-89.9","0-9.9","075","1,843"
"MS","W - White","80-89.9","0-9.9","054","1,842"
"MS","W - White","90-100","0-9.9","039","1,834"
"MS","W - White","90-100","0-9.9","062","1,817"
"MS","W - White","90-100","0-9.9","120","1,815"
"MS","W - White","80-89.9","0-9.9","014","1,815"
"MS","B - Black","80-89.9","90-100","063","1,813"
"MS","W - White","90-100","0-9.9","118","1,802"
"MS","W - White","90-100","0-9.9","018","1,800"
"MS","W - White","90-100","0-9.9","109","1,791"
"MS","B - Black","80-89.9","90-100","042","1,774"
"MS","W - White","80-89.9","0-9.9","035","1,773"
"MS","B - Black","80-89.9","90-100","065","1,770"
"MS","W - White","90-100","0-9.9","046","1,768"
"MS","W - White","90-100","0-9.9","106","1,765"
"MS","W - White","90-100","0-9.9","097","1,755"
"MS","W - White","80-89.9","0-9.9","078","1,753"
"MS","W - White","90-100","0-9.9","021","1,750"
"MS","W - White","90-100","0-9.9","116","1,744"
"MS","W - White","90-100","0-9.9","113","1,742"
"MS","W - White","90-100","0-9.9","108","1,731"
"MS","W - White","80-89.9","0-9.9","048","1,730"
"MS","W - White","80-89.9","0-9.9","106","1,727"
"MS","B - Black","80-89.9","90-100","085","1,715"
"MS","W - White","80-89.9","0-9.9","116","1,712"
"MS","W - White","80-89.9","0-9.9","039","1,711"
"MS","W - White","80-89.9","0-9.9","037","1,709"
"MS","B - Black","80-89.9","90-100","080","1,703"
"MS","W - White","90-100","0-9.9","104","1,695"
"MS","W - White","90-100","0-9.9","093","1,694"
"MS","W - White","80-89.9","0-9.9","108","1,687"
"MS","W - White","80-89.9","0-9.9","015","1,683"
"MS","B - Black","80-89.9","90-100","091","1,680"
"MS","W - White","90-100","0-9.9","054","1,676"
"MS","B - Black","80-89.9","90-100","027","1,674"
"MS","W - White","80-89.9","0-9.9","111","1,669"
"MS","W - White","90-100","0-9.9","023","1,664"
"MS","W - White","80-89.9","0-9.9","008","1,663"
"MS","B - Black","90-100","90-100","070","1,657"
"MS","W - White","90-100","0-9.9","017","1,643"
"MS","W - White","80-89.9","0-9.9","056","1,641"
"MS","W - White","80-89.9","0-9.9","034","1,639"
"MS","W - White","90-100","0-9.9","105","1,630"
"MS","B - Black","0-9.9","90-100","067","1,629"
"MS","W - White","90-100","0-9.9","100","1,611"
"MS","B - Black","80-89.9","90-100","076","1,605"
"MS","W - White","90-100","0-9.9","061","1,603"
"MS","W - White","90-100","0-9.9","121","1,601"
"MS","B - Black","90-100","90-100","072","1,590"
"MS","W - White","90-100","0-9.9","077","1,587"
"MS","B - Black","90-100","90-100","063","1,585"
"MS","W - White","80-89.9","0-9.9","097","1,585"
"MS","W - White","80-89.9","0-9.9","046","1,573"
"MS","W - White","90-100","0-9.9","092","1,573"
"MS","B - Black","0-9.9","90-100","065","1,571"
"MS","B - Black","0-9.9","90-100","069","1,570"
"MS","B - Black","80-89.9","90-100","029","1,566"
"MS","W - White","90-100","0-9.9","010","1,566"
"MS","W - White","90-100","0-9.9","019","1,558"
