"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"MS","B - Black","80-89.9","90-100","051","1,977"
"MS","B - Black","80-89.9","90-100","070","1,968"
"MS","W - White","80-89.9","0-9.9","054","1,883"
"MS","B - Black","80-89.9","90-100","063","1,815"
"MS","W - White","90-100","0-9.9","046","1,745"
"MS","W - White","80-89.9","0-9.9","048","1,736"
"MS","B - Black","80-89.9","90-100","085","1,718"
"MS","B - Black","80-89.9","90-100","057","1,693"
"MS","B - Black","90-100","90-100","070","1,690"
"MS","W - White","90-100","0-9.9","054","1,681"
"MS","B - Black","0-9.9","90-100","067","1,659"
"MS","B - Black","80-89.9","90-100","065","1,657"
"MS","B - Black","80-89.9","90-100","076","1,632"
"MS","B - Black","0-9.9","90-100","069","1,610"
"MS","B - Black","90-100","90-100","063","1,596"
"MS","W - White","80-89.9","0-9.9","034","1,588"
"MS","B - Black","80-89.9","90-100","029","1,576"
"MS","B - Black","0-9.9","90-100","070","1,551"
"MS","B - Black","80-89.9","90-100","094","1,540"
"MS","B - Black","0-9.9","90-100","065","1,536"
"MS","B - Black","80-89.9","90-100","069","1,533"
"MS","W - White","80-89.9","0-9.9","046","1,516"
"MS","B - Black","80-89.9","90-100","047","1,490"
"MS","B - Black","80-89.9","90-100","032","1,463"
"MS","B - Black","80-89.9","90-100","071","1,461"
"MS","B - Black","80-89.9","90-100","066","1,451"
"MS","B - Black","0-9.9","90-100","026","1,447"
"MS","B - Black","80-89.9","90-100","050","1,426"
"MS","W - White","90-100","0-9.9","056","1,394"
"MS","B - Black","80-89.9","90-100","049","1,392"
"MS","B - Black","80-89.9","90-100","027","1,365"
"MS","B - Black","90-100","90-100","066","1,363"
"MS","B - Black","80-89.9","90-100","067","1,350"
"MS","B - Black","80-89.9","90-100","055","1,329"
"MS","B - Black","80-89.9","90-100","031","1,307"
"MS","B - Black","90-100","90-100","072","1,296"
"MS","B - Black","70-79.9","90-100","029","1,281"
"MS","B - Black","80-89.9","90-100","030","1,262"
"MS","B - Black","70-79.9","90-100","085","1,249"
"MS","B - Black","90-100","90-100","071","1,203"
"MS","B - Black","70-79.9","90-100","051","1,191"
"MS","B - Black","80-89.9","90-100","011","1,190"
"MS","B - Black","90-100","90-100","069","1,171"
"MS","B - Black","90-100","90-100","065","1,160"
"MS","B - Black","70-79.9","90-100","070","1,157"
"MS","B - Black","80-89.9","90-100","096","1,140"
"MS","B - Black","90-100","90-100","055","1,139"
"MS","W - White","90-100","0-9.9","034","1,123"
"MS","B - Black","20-29.9","90-100","067","1,108"
"MS","W - White","90-100","0-9.9","097","1,085"
"MS","B - Black","20-29.9","90-100","069","1,084"
"MS","B - Black","10-19.9","90-100","067","1,069"
"MS","B - Black","80-89.9","90-100","072","1,058"
"MS","B - Black","10-19.9","90-100","070","1,047"
"MS","B - Black","70-79.9","90-100","065","1,032"
"MS","B - Black","90-100","90-100","094","1,029"
"MS","B - Black","20-29.9","90-100","070","1,028"
"MS","W - White","80-89.9","0-9.9","056","1,017"
"MS","B - Black","10-19.9","90-100","065","1,016"
"MS","B - Black","20-29.9","90-100","065","1,010"
"MS","B - Black","10-19.9","90-100","069","1,003"
"MS","B - Black","70-79.9","90-100","057","979"
"MS","B - Black","90-100","90-100","047","976"
"MS","B - Black","70-79.9","90-100","067","974"
"MS","B - Black","70-79.9","90-100","069","970"
"MS","B - Black","0-9.9","90-100","032","967"
"MS","B - Black","0-9.9","80-89.9","069","964"
"MS","B - Black","80-89.9","90-100","009","962"
"MS","B - Black","60-69.9","90-100","051","954"
"MS","B - Black","70-79.9","90-100","076","947"
"MS","B - Black","0-9.9","90-100","030","941"
"MS","W - White","80-89.9","0-9.9","097","929"
"MS","B - Black","0-9.9","90-100","057","917"
"MS","B - Black","70-79.9","90-100","063","914"
"MS","B - Black","60-69.9","90-100","065","912"
"MS","B - Black","80-89.9","90-100","026","911"
"MS","B - Black","90-100","90-100","031","904"
"MS","B - Black","70-79.9","90-100","031","900"
"MS","B - Black","0-9.9","90-100","051","896"
"MS","B - Black","10-19.9","90-100","026","892"
"MS","B - Black","60-69.9","90-100","067","886"
"MS","B - Black","70-79.9","90-100","071","885"
"MS","B - Black","90-100","90-100","011","882"
"MS","B - Black","90-100","90-100","076","880"
"MS","B - Black","60-69.9","90-100","085","879"
"MS","B - Black","0-9.9","80-89.9","032","875"
"MS","B - Black","60-69.9","90-100","070","875"
"MS","W - White","90-100","0-9.9","048","869"
"MS","B - Black","0-9.9","80-89.9","051","868"
"MS","B - Black","60-69.9","90-100","029","864"
"MS","B - Black","90-100","90-100","032","858"
"MS","W - White","80-89.9","0-9.9","063","841"
"MS","B - Black","90-100","90-100","067","839"
"MS","B - Black","70-79.9","90-100","094","837"
"MS","W - White","70-79.9","0-9.9","048","830"
"MS","B - Black","10-19.9","90-100","051","829"
"MS","B - Black","70-79.9","90-100","027","828"
"MS","B - Black","70-79.9","90-100","050","824"
