"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State Senate District","All Record Count"
"MS","W - White","80-89.9","0-9.9","042","6,624"
"MS","W - White","80-89.9","0-9.9","036","5,864"
"MS","W - White","90-100","0-9.9","020","5,723"
"MS","W - White","90-100","0-9.9","044","5,617"
"MS","W - White","80-89.9","0-9.9","041","5,444"
"MS","W - White","90-100","0-9.9","025","5,427"
"MS","W - White","80-89.9","0-9.9","004","5,301"
"MS","W - White","80-89.9","0-9.9","001","5,292"
"MS","W - White","80-89.9","0-9.9","044","5,154"
"MS","W - White","80-89.9","0-9.9","039","5,124"
"MS","W - White","80-89.9","0-9.9","020","5,023"
"MS","W - White","90-100","0-9.9","042","4,909"
"MS","W - White","90-100","0-9.9","001","4,697"
"MS","W - White","80-89.9","0-9.9","005","4,640"
"MS","W - White","80-89.9","0-9.9","047","4,606"
"MS","W - White","80-89.9","0-9.9","006","4,527"
"MS","W - White","80-89.9","0-9.9","033","4,516"
"MS","W - White","80-89.9","0-9.9","046","4,491"
"MS","W - White","80-89.9","0-9.9","043","4,424"
"MS","W - White","90-100","0-9.9","040","4,330"
"MS","W - White","90-100","0-9.9","006","4,326"
"MS","W - White","80-89.9","0-9.9","040","4,299"
"MS","W - White","90-100","0-9.9","046","4,187"
"MS","W - White","90-100","0-9.9","036","4,139"
"MS","W - White","90-100","0-9.9","017","4,059"
"MS","W - White","90-100","0-9.9","005","4,046"
"MS","W - White","80-89.9","0-9.9","018","4,046"
"MS","B - Black","80-89.9","90-100","026","4,044"
"MS","B - Black","80-89.9","90-100","021","4,006"
"MS","B - Black","80-89.9","90-100","037","3,985"
"MS","W - White","80-89.9","0-9.9","031","3,968"
"MS","W - White","90-100","0-9.9","047","3,928"
"MS","W - White","80-89.9","0-9.9","035","3,832"
"MS","W - White","80-89.9","0-9.9","003","3,828"
"MS","B - Black","80-89.9","90-100","028","3,819"
"MS","W - White","90-100","0-9.9","041","3,681"
"MS","W - White","90-100","0-9.9","039","3,662"
"MS","W - White","90-100","0-9.9","019","3,591"
"MS","W - White","80-89.9","0-9.9","025","3,545"
"MS","B - Black","80-89.9","90-100","027","3,515"
"MS","W - White","90-100","0-9.9","030","3,512"
"MS","W - White","80-89.9","0-9.9","008","3,511"
"MS","B - Black","90-100","90-100","026","3,464"
"MS","W - White","70-79.9","0-9.9","042","3,457"
"MS","W - White","90-100","0-9.9","033","3,452"
"MS","W - White","80-89.9","0-9.9","030","3,424"
"MS","W - White","90-100","0-9.9","052","3,411"
"MS","W - White","90-100","0-9.9","049","3,405"
"MS","W - White","80-89.9","0-9.9","051","3,310"
"MS","B - Black","80-89.9","90-100","038","3,259"
"MS","W - White","90-100","0-9.9","048","3,226"
"MS","W - White","90-100","0-9.9","008","3,211"
"MS","B - Black","80-89.9","90-100","012","3,201"
"MS","B - Black","90-100","90-100","028","3,175"
"MS","W - White","90-100","0-9.9","051","3,173"
"MS","W - White","80-89.9","0-9.9","017","3,169"
"MS","W - White","90-100","0-9.9","043","3,156"
"MS","W - White","80-89.9","0-9.9","014","3,149"
"MS","W - White","90-100","0-9.9","014","3,087"
"MS","B - Black","0-9.9","90-100","027","3,085"
"MS","W - White","80-89.9","0-9.9","010","3,051"
"MS","B - Black","80-89.9","90-100","032","3,037"
"MS","B - Black","80-89.9","90-100","034","3,026"
"MS","B - Black","80-89.9","90-100","016","3,014"
"MS","W - White","70-79.9","0-9.9","036","2,974"
"MS","W - White","80-89.9","0-9.9","023","2,960"
"MS","W - White","70-79.9","0-9.9","001","2,958"
"MS","B - Black","80-89.9","90-100","013","2,944"
"MS","W - White","90-100","0-9.9","003","2,942"
"MS","B - Black","80-89.9","90-100","024","2,941"
"MS","W - White","80-89.9","0-9.9","019","2,934"
"MS","B - Black","90-100","90-100","027","2,916"
"MS","B - Black","0-9.9","90-100","028","2,914"
"MS","W - White","80-89.9","0-9.9","015","2,863"
"MS","B - Black","80-89.9","90-100","022","2,859"
"MS","W - White","90-100","0-9.9","009","2,850"
"MS","W - White","80-89.9","0-9.9","052","2,813"
"MS","W - White","90-100","0-9.9","023","2,793"
"MS","B - Black","80-89.9","90-100","029","2,747"
"MS","W - White","70-79.9","0-9.9","041","2,715"
"MS","B - Black","90-100","90-100","016","2,706"
"MS","W - White","70-79.9","0-9.9","004","2,674"
"MS","W - White","80-89.9","0-9.9","007","2,658"
"MS","W - White","90-100","0-9.9","010","2,636"
"MS","W - White","80-89.9","0-9.9","048","2,602"
"MS","W - White","70-79.9","0-9.9","044","2,545"
"MS","B - Black","70-79.9","90-100","037","2,542"
"MS","W - White","90-100","0-9.9","015","2,537"
"MS","W - White","80-89.9","0-9.9","049","2,517"
"MS","W - White","70-79.9","0-9.9","046","2,511"
"MS","W - White","60-69.9","0-9.9","042","2,475"
"MS","B - Black","80-89.9","90-100","035","2,408"
"MS","W - White","70-79.9","0-9.9","039","2,399"
"MS","W - White","70-79.9","0-9.9","047","2,386"
"MS","W - White","70-79.9","0-9.9","040","2,367"
"MS","W - White","60-69.9","0-9.9","001","2,361"
"MS","W - White","70-79.9","0-9.9","005","2,360"
"MS","B - Black","70-79.9","90-100","028","2,345"
"MS","W - White","90-100","0-9.9","050","2,341"
"MS","W - White","70-79.9","0-9.9","020","2,323"
"MS","B - Black","70-79.9","90-100","026","2,301"
"MS","B - Black","70-79.9","90-100","021","2,300"
"MS","W - White","80-89.9","0-9.9","009","2,259"
"MS","W - White","90-100","0-9.9","031","2,251"
"MS","W - White","80-89.9","0-9.9","050","2,240"
"MS","B - Black","90-100","90-100","029","2,227"
"MS","W - White","60-69.9","0-9.9","036","2,222"
"MS","W - White","90-100","0-9.9","035","2,220"
"MS","B - Black","80-89.9","90-100","045","2,183"
"MS","W - White","80-89.9","0-9.9","034","2,148"
"MS","W - White","70-79.9","0-9.9","006","2,126"
"MS","W - White","90-100","0-9.9","007","2,124"
"MS","W - White","70-79.9","0-9.9","043","2,118"
"MS","B - Black","70-79.9","90-100","013","2,114"
"MS","B - Black","70-79.9","90-100","027","2,108"
"MS","B - Black","20-29.9","90-100","028","2,066"
"MS","B - Black","90-100","90-100","021","2,064"
"MS","W - White","70-79.9","0-9.9","003","2,046"
"MS","W - White","70-79.9","0-9.9","018","2,040"
"MS","B - Black","0-9.9","90-100","026","2,039"
"MS","W - White","60-69.9","0-9.9","004","2,023"
"MS","W - White","60-69.9","0-9.9","046","2,023"
"MS","W - White","70-79.9","0-9.9","033","2,009"
"MS","B - Black","10-19.9","90-100","027","1,987"
"MS","B - Black","20-29.9","90-100","027","1,960"
"MS","B - Black","70-79.9","90-100","012","1,958"
"MS","W - White","60-69.9","0-9.9","041","1,958"
"MS","W - White","80-89.9","0-9.9","022","1,957"
"MS","B - Black","70-79.9","90-100","038","1,952"
"MS","W - White","50-59.9","0-9.9","001","1,938"
"MS","B - Black","0-9.9","80-89.9","028","1,915"
"MS","W - White","90-100","0-9.9","022","1,902"
"MS","W - White","90-100","0-9.9","018","1,896"
"MS","B - Black","80-89.9","90-100","010","1,895"
"MS","B - Black","80-89.9","90-100","023","1,891"
"MS","B - Black","80-89.9","90-100","011","1,886"
"MS","B - Black","10-19.9","90-100","028","1,881"
"MS","B - Black","0-9.9","90-100","011","1,875"
"MS","W - White","70-79.9","0-9.9","035","1,861"
"MS","W - White","60-69.9","0-9.9","005","1,859"
"MS","W - White","50-59.9","0-9.9","042","1,859"
"MS","W - White","90-100","0-9.9","026","1,827"
"MS","B - Black","90-100","90-100","038","1,821"
"MS","W - White","60-69.9","0-9.9","040","1,819"
"MS","B - Black","70-79.9","90-100","016","1,789"
"MS","B - Black","80-89.9","90-100","007","1,787"
"MS","W - White","70-79.9","0-9.9","031","1,784"
"MS","B - Black","90-100","90-100","024","1,776"
"MS","W - White","60-69.9","0-9.9","047","1,770"
"MS","B - Black","90-100","90-100","037","1,769"
"MS","B - Black","70-79.9","90-100","032","1,764"
"MS","W - White","60-69.9","0-9.9","044","1,759"
"MS","B - Black","0-9.9","90-100","016","1,753"
"MS","W - White","70-79.9","0-9.9","030","1,748"
"MS","W - White","90-100","0-9.9","034","1,748"
"MS","B - Black","60-69.9","90-100","028","1,730"
"MS","B - Black","70-79.9","90-100","024","1,727"
"MS","W - White","70-79.9","0-9.9","008","1,705"
"MS","W - White","90-100","0-9.9","004","1,704"
"MS","W - White","70-79.9","0-9.9","051","1,704"
"MS","B - Black","60-69.9","90-100","037","1,703"
"MS","B - Black","70-79.9","90-100","034","1,702"
"MS","B - Black","60-69.9","90-100","027","1,697"
"MS","W - White","80-89.9","0-9.9","037","1,681"
"MS","B - Black","70-79.9","90-100","022","1,675"
"MS","B - Black","60-69.9","90-100","026","1,668"
"MS","B - Black","80-89.9","90-100","014","1,661"
"MS","W - White","60-69.9","0-9.9","043","1,660"
"MS","W - White","70-79.9","0-9.9","025","1,653"
"MS","B - Black","60-69.9","90-100","021","1,643"
"MS","W - White","60-69.9","0-9.9","039","1,638"
"MS","B - Black","70-79.9","90-100","029","1,627"
"MS","W - White","80-89.9","0-9.9","038","1,611"
"MS","W - White","70-79.9","0-9.9","010","1,606"
"MS","B - Black","60-69.9","90-100","038","1,592"
"MS","W - White","50-59.9","0-9.9","046","1,568"
"MS","B - Black","10-19.9","90-100","026","1,565"
"MS","W - White","90-100","0-9.9","037","1,554"
"MS","B - Black","20-29.9","90-100","026","1,549"
"MS","W - White","40-49.9","0-9.9","001","1,545"
"MS","B - Black","80-89.9","90-100","039","1,537"
"MS","W - White","60-69.9","0-9.9","020","1,536"
"MS","W - White","70-79.9","0-9.9","019","1,536"
"MS","W - White","70-79.9","0-9.9","017","1,528"
"MS","W - White","60-69.9","0-9.9","003","1,528"
"MS","W - White","70-79.9","0-9.9","048","1,522"
"MS","B - Black","90-100","90-100","034","1,518"
"MS","W - White","90-100","0-9.9","027","1,517"
"MS","B - Black","60-69.9","90-100","013","1,516"
"MS","W - White","50-59.9","0-9.9","036","1,514"
"MS","W - White","50-59.9","0-9.9","004","1,511"
"MS","B - Black","80-89.9","90-100","008","1,505"
"MS","B - Black","90-100","90-100","023","1,503"
"MS","W - White","60-69.9","0-9.9","006","1,500"
"MS","B - Black","10-19.9","90-100","021","1,463"
"MS","B - Black","50-59.9","90-100","027","1,456"
"MS","W - White","90-100","0-9.9","038","1,454"
"MS","B - Black","80-89.9","90-100","031","1,453"
"MS","W - White","60-69.9","0-9.9","018","1,431"
"MS","B - Black","0-9.9","90-100","013","1,423"
"MS","B - Black","0-9.9","90-100","024","1,422"
"MS","B - Black","90-100","90-100","032","1,421"
"MS","W - White","10-19.9","0-9.9","001","1,420"
"MS","B - Black","0-9.9","90-100","021","1,412"
"MS","W - White","70-79.9","0-9.9","052","1,411"
"MS","W - White","90-100","0-9.9","029","1,411"
"MS","B - Black","50-59.9","90-100","028","1,395"
"MS","B - Black","60-69.9","90-100","024","1,393"
"MS","W - White","80-89.9","0-9.9","021","1,391"
"MS","B - Black","10-19.9","90-100","016","1,386"
"MS","B - Black","0-9.9","80-89.9","012","1,379"
"MS","W - White","70-79.9","0-9.9","014","1,370"
"MS","B - Black","70-79.9","90-100","035","1,369"
"MS","B - Black","50-59.9","90-100","026","1,361"
"MS","W - White","60-69.9","0-9.9","033","1,353"
"MS","B - Black","40-49.9","90-100","028","1,352"
"MS","W - White","70-79.9","0-9.9","049","1,345"
"MS","B - Black","60-69.9","90-100","016","1,345"
"MS","B - Black","30-39.9","90-100","028","1,343"
"MS","W - White","50-59.9","0-9.9","040","1,339"
"MS","B - Black","50-59.9","90-100","037","1,334"
"MS","W - White","90-100","0-9.9","016","1,325"
"MS","W - White","80-89.9","0-9.9","026","1,323"
"MS","W - White","50-59.9","0-9.9","041","1,322"
"MS","B - Black","60-69.9","90-100","022","1,322"
"MS","W - White","90-100","0-9.9","011","1,321"
"MS","B - Black","0-9.9","90-100","012","1,321"
"MS","W - White","0-9.9","0-9.9","004","1,320"
"MS","B - Black","40-49.9","90-100","027","1,311"
"MS","W - White","50-59.9","0-9.9","047","1,309"
"MS","W - White","90-100","0-9.9","021","1,309"
"MS","B - Black","90-100","90-100","012","1,307"
"MS","W - White","20-29.9","0-9.9","001","1,301"
"MS","W - White","60-69.9","0-9.9","031","1,300"
"MS","B - Black","30-39.9","90-100","027","1,299"
"MS","B - Black","10-19.9","90-100","011","1,298"
"MS","B - Black","70-79.9","90-100","045","1,293"
"MS","W - White","70-79.9","0-9.9","023","1,293"
"MS","B - Black","60-69.9","90-100","012","1,291"
"MS","W - White","60-69.9","0-9.9","035","1,286"
"MS","W - White","40-49.9","0-9.9","042","1,281"
"MS","W - White","70-79.9","0-9.9","050","1,279"
"MS","W - White","50-59.9","0-9.9","005","1,277"
"MS","W - White","0-9.9","10-19.9","046","1,277"
"MS","B - Black","0-9.9","90-100","022","1,276"
"MS","W - White","10-19.9","0-9.9","042","1,271"
"MS","W - White","60-69.9","0-9.9","008","1,270"
"MS","B - Black","40-49.9","90-100","026","1,264"
"MS","W - White","10-19.9","0-9.9","036","1,263"
"MS","B - Black","60-69.9","90-100","034","1,256"
"MS","B - Black","50-59.9","90-100","021","1,254"
"MS","B - Black","60-69.9","90-100","032","1,243"
"MS","B - Black","20-29.9","90-100","016","1,242"
"MS","W - White","50-59.9","0-9.9","043","1,242"
"MS","B - Black","0-9.9","80-89.9","024","1,241"
"MS","B - Black","90-100","90-100","011","1,239"
"MS","B - Black","10-19.9","90-100","024","1,237"
"MS","W - White","10-19.9","0-9.9","004","1,235"
"MS","B - Black","0-9.9","90-100","045","1,234"
"MS","W - White","60-69.9","0-9.9","010","1,233"
"MS","W - White","80-89.9","90-100","009","1,232"
"MS","B - Black","80-89.9","90-100","002","1,229"
"MS","W - White","10-19.9","0-9.9","046","1,229"
"MS","W - White","70-79.9","0-9.9","015","1,226"
"MS","W - White","60-69.9","0-9.9","019","1,218"
"MS","W - White","70-79.9","0-9.9","007","1,215"
"MS","B - Black","90-100","90-100","013","1,208"
"MS","W - White","80-89.9","0-9.9","027","1,203"
"MS","W - White","60-69.9","0-9.9","051","1,201"
"MS","B - Black","80-89.9","90-100","051","1,198"
"MS","W - White","80-89.9","0-9.9","011","1,198"
"MS","W - White","90-100","0-9.9","002","1,195"
"MS","B - Black","80-89.9","90-100","048","1,185"
"MS","W - White","60-69.9","0-9.9","030","1,181"
"MS","B - Black","50-59.9","90-100","038","1,180"
"MS","W - White","80-89.9","0-9.9","029","1,176"
"MS","B - Black","50-59.9","90-100","013","1,176"
"MS","W - White","80-89.9","0-9.9","032","1,174"
"MS","B - Black","80-89.9","90-100","041","1,173"
"MS","W - White","50-59.9","0-9.9","003","1,170"
"MS","B - Black","90-100","90-100","017","1,167"
"MS","W - White","50-59.9","0-9.9","044","1,164"
"MS","B - Black","90-100","90-100","022","1,164"
"MS","W - White","20-29.9","0-9.9","036","1,158"
"MS","B - Black","70-79.9","90-100","011","1,153"
"MS","W - White","10-19.9","10-19.9","046","1,152"
"MS","W - White","50-59.9","0-9.9","039","1,147"
"MS","B - Black","90-100","90-100","051","1,147"
"MS","B - Black","90-100","90-100","014","1,147"
"MS","W - White","10-19.9","0-9.9","040","1,138"
"MS","W - White","90-100","90-100","009","1,137"
"MS","B - Black","90-100","90-100","010","1,135"
"MS","B - Black","80-89.9","90-100","017","1,126"
"MS","W - White","60-69.9","0-9.9","048","1,118"
"MS","B - Black","50-59.9","90-100","016","1,117"
"MS","W - White","20-29.9","0-9.9","042","1,116"
"MS","W - White","80-89.9","0-9.9","045","1,113"
"MS","W - White","10-19.9","0-9.9","005","1,110"
"MS","B - Black","10-19.9","90-100","037","1,108"
"MS","B - Black","90-100","90-100","045","1,103"
"MS","W - White","40-49.9","0-9.9","036","1,103"
"MS","B - Black","60-69.9","90-100","029","1,100"
"MS","B - Black","10-19.9","90-100","013","1,098"
"MS","W - White","70-79.9","0-9.9","009","1,095"
"MS","W - White","50-59.9","0-9.9","010","1,092"
"MS","W - White","80-89.9","0-9.9","024","1,092"
"MS","B - Black","90-100","90-100","008","1,090"
"MS","W - White","10-19.9","10-19.9","040","1,088"
"MS","B - Black","30-39.9","90-100","026","1,087"
"MS","B - Black","10-19.9","90-100","022","1,083"
"MS","B - Black","90-100","90-100","035","1,073"
"MS","W - White","40-49.9","0-9.9","040","1,072"
"MS","B - Black","0-9.9","90-100","038","1,070"
"MS","B - Black","0-9.9","80-89.9","045","1,069"
"MS","B - Black","20-29.9","90-100","024","1,067"
"MS","W - White","60-69.9","0-9.9","017","1,064"
"MS","W - White","30-39.9","0-9.9","001","1,063"
"MS","W - White","40-49.9","0-9.9","046","1,061"
