"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State Senate District","All Record Count"
"MS","W - White","80-89.9","0-9.9","042","6,624"
"MS","W - White","80-89.9","0-9.9","036","5,864"
"MS","W - White","90-100","0-9.9","020","5,723"
"MS","W - White","90-100","0-9.9","044","5,617"
"MS","W - White","80-89.9","0-9.9","041","5,444"
"MS","W - White","90-100","0-9.9","025","5,427"
"MS","W - White","80-89.9","0-9.9","044","5,154"
"MS","W - White","80-89.9","0-9.9","020","5,023"
"MS","W - White","90-100","0-9.9","042","4,909"
"MS","W - White","80-89.9","0-9.9","047","4,606"
"MS","W - White","80-89.9","0-9.9","033","4,516"
"MS","W - White","80-89.9","0-9.9","046","4,491"
"MS","W - White","80-89.9","0-9.9","039","4,435"
"MS","W - White","80-89.9","0-9.9","043","4,424"
"MS","W - White","90-100","0-9.9","040","4,330"
"MS","W - White","80-89.9","0-9.9","040","4,299"
"MS","W - White","90-100","0-9.9","046","4,187"
"MS","W - White","90-100","0-9.9","036","4,139"
"MS","W - White","80-89.9","0-9.9","031","3,968"
"MS","W - White","90-100","0-9.9","047","3,928"
"MS","W - White","90-100","0-9.9","041","3,681"
"MS","W - White","80-89.9","0-9.9","025","3,545"
"MS","W - White","90-100","0-9.9","030","3,512"
"MS","W - White","70-79.9","0-9.9","042","3,457"
"MS","W - White","90-100","0-9.9","033","3,452"
"MS","W - White","80-89.9","0-9.9","030","3,424"
"MS","W - White","90-100","0-9.9","052","3,411"
"MS","W - White","90-100","0-9.9","049","3,405"
"MS","W - White","80-89.9","0-9.9","051","3,310"
"MS","W - White","90-100","0-9.9","048","3,226"
"MS","W - White","90-100","0-9.9","051","3,173"
"MS","W - White","90-100","0-9.9","043","3,156"
"MS","W - White","80-89.9","0-9.9","035","3,070"
"MS","B - Black","80-89.9","90-100","032","3,037"
"MS","B - Black","80-89.9","90-100","034","3,026"
"MS","W - White","70-79.9","0-9.9","036","2,974"
"MS","W - White","90-100","0-9.9","039","2,895"
"MS","W - White","80-89.9","0-9.9","052","2,813"
"MS","W - White","70-79.9","0-9.9","041","2,715"
"MS","W - White","80-89.9","0-9.9","018","2,652"
"MS","W - White","80-89.9","0-9.9","048","2,602"
"MS","W - White","70-79.9","0-9.9","044","2,545"
"MS","W - White","80-89.9","0-9.9","049","2,517"
"MS","W - White","70-79.9","0-9.9","046","2,511"
"MS","W - White","60-69.9","0-9.9","042","2,475"
"MS","W - White","70-79.9","0-9.9","047","2,386"
"MS","W - White","70-79.9","0-9.9","040","2,367"
"MS","W - White","90-100","0-9.9","050","2,341"
"MS","W - White","70-79.9","0-9.9","020","2,323"
"MS","W - White","90-100","0-9.9","031","2,251"
"MS","W - White","80-89.9","0-9.9","050","2,240"
"MS","W - White","60-69.9","0-9.9","036","2,222"
"MS","B - Black","80-89.9","90-100","045","2,183"
"MS","W - White","80-89.9","0-9.9","034","2,148"
"MS","W - White","70-79.9","0-9.9","043","2,118"
"MS","W - White","70-79.9","0-9.9","039","2,069"
"MS","W - White","60-69.9","0-9.9","046","2,023"
"MS","B - Black","80-89.9","90-100","035","2,017"
"MS","W - White","70-79.9","0-9.9","033","2,009"
"MS","W - White","60-69.9","0-9.9","041","1,958"
"MS","W - White","50-59.9","0-9.9","042","1,859"
"MS","W - White","60-69.9","0-9.9","040","1,819"
"MS","W - White","70-79.9","0-9.9","031","1,784"
"MS","W - White","60-69.9","0-9.9","047","1,770"
"MS","B - Black","70-79.9","90-100","032","1,764"
"MS","W - White","90-100","0-9.9","035","1,761"
"MS","W - White","60-69.9","0-9.9","044","1,759"
"MS","W - White","90-100","0-9.9","034","1,748"
"MS","W - White","70-79.9","0-9.9","030","1,748"
"MS","W - White","70-79.9","0-9.9","051","1,704"
"MS","B - Black","70-79.9","90-100","034","1,702"
"MS","W - White","60-69.9","0-9.9","043","1,660"
"MS","W - White","70-79.9","0-9.9","025","1,653"
"MS","W - White","90-100","0-9.9","018","1,633"
"MS","W - White","50-59.9","0-9.9","046","1,568"
"MS","W - White","60-69.9","0-9.9","020","1,536"
"MS","W - White","70-79.9","0-9.9","048","1,522"
"MS","B - Black","80-89.9","90-100","038","1,521"
"MS","B - Black","90-100","90-100","034","1,518"
"MS","W - White","50-59.9","0-9.9","036","1,514"
"MS","W - White","70-79.9","0-9.9","035","1,496"
"MS","B - Black","80-89.9","90-100","031","1,453"
"MS","W - White","60-69.9","0-9.9","039","1,427"
"MS","B - Black","90-100","90-100","032","1,421"
"MS","W - White","70-79.9","0-9.9","052","1,411"
"MS","B - Black","80-89.9","90-100","039","1,408"
"MS","W - White","60-69.9","0-9.9","033","1,353"
"MS","W - White","70-79.9","0-9.9","049","1,345"
"MS","W - White","50-59.9","0-9.9","040","1,339"
"MS","W - White","70-79.9","0-9.9","018","1,335"
"MS","W - White","50-59.9","0-9.9","041","1,322"
"MS","W - White","50-59.9","0-9.9","047","1,309"
"MS","W - White","60-69.9","0-9.9","031","1,300"
"MS","B - Black","70-79.9","90-100","045","1,293"
"MS","W - White","90-100","0-9.9","015","1,285"
"MS","W - White","40-49.9","0-9.9","042","1,281"
"MS","W - White","70-79.9","0-9.9","050","1,279"
"MS","W - White","0-9.9","10-19.9","046","1,277"
"MS","W - White","10-19.9","0-9.9","042","1,271"
"MS","W - White","10-19.9","0-9.9","036","1,263"
"MS","B - Black","60-69.9","90-100","034","1,256"
"MS","B - Black","60-69.9","90-100","032","1,243"
"MS","W - White","50-59.9","0-9.9","043","1,242"
"MS","B - Black","0-9.9","90-100","045","1,234"
"MS","W - White","90-100","0-9.9","026","1,234"
"MS","W - White","90-100","0-9.9","022","1,232"
"MS","W - White","10-19.9","0-9.9","046","1,229"
"MS","W - White","60-69.9","0-9.9","051","1,201"
"MS","B - Black","80-89.9","90-100","051","1,198"
"MS","B - Black","80-89.9","90-100","048","1,185"
"MS","W - White","80-89.9","0-9.9","022","1,183"
"MS","W - White","60-69.9","0-9.9","030","1,181"
"MS","W - White","80-89.9","0-9.9","032","1,174"
"MS","B - Black","80-89.9","90-100","041","1,173"
"MS","W - White","50-59.9","0-9.9","044","1,164"
"MS","W - White","20-29.9","0-9.9","036","1,158"
"MS","W - White","10-19.9","10-19.9","046","1,152"
"MS","B - Black","90-100","90-100","051","1,147"
"MS","B - Black","80-89.9","90-100","016","1,144"
"MS","W - White","10-19.9","0-9.9","040","1,138"
"MS","B - Black","70-79.9","90-100","035","1,120"
"MS","W - White","60-69.9","0-9.9","048","1,118"
"MS","W - White","20-29.9","0-9.9","042","1,116"
"MS","W - White","80-89.9","0-9.9","045","1,113"
"MS","B - Black","90-100","90-100","045","1,103"
"MS","W - White","40-49.9","0-9.9","036","1,103"
"MS","W - White","10-19.9","10-19.9","040","1,088"
"MS","W - White","40-49.9","0-9.9","040","1,072"
"MS","B - Black","0-9.9","80-89.9","045","1,069"
"MS","W - White","40-49.9","0-9.9","046","1,061"
"MS","W - White","40-49.9","0-9.9","041","1,059"
"MS","B - Black","80-89.9","90-100","033","1,053"
"MS","W - White","90-100","0-9.9","045","1,052"
"MS","W - White","10-19.9","0-9.9","047","1,051"
"MS","W - White","20-29.9","0-9.9","046","1,049"
"MS","W - White","90-100","0-9.9","032","1,048"
"MS","B - Black","0-9.9","90-100","048","1,038"
"MS","W - White","90-100","90-100","025","1,034"
"MS","W - White","60-69.9","0-9.9","035","1,028"
"MS","W - White","70-79.9","0-9.9","034","1,019"
"MS","W - White","80-89.9","90-100","025","1,013"
"MS","W - White","20-29.9","0-9.9","040","1,009"
"MS","W - White","0-9.9","0-9.9","042","1,009"
"MS","W - White","60-69.9","0-9.9","025","1,008"
"MS","W - White","50-59.9","0-9.9","039","1,002"
"MS","W - White","40-49.9","0-9.9","047","998"
"MS","W - White","10-19.9","0-9.9","041","976"
"MS","W - White","20-29.9","0-9.9","047","972"
"MS","W - White","10-19.9","10-19.9","047","960"
"MS","W - White","80-89.9","0-9.9","038","956"
"MS","W - White","60-69.9","0-9.9","050","951"
"MS","W - White","60-69.9","0-9.9","018","934"
"MS","B - Black","50-59.9","90-100","032","933"
"MS","B - Black","90-100","90-100","048","930"
"MS","B - Black","80-89.9","90-100","030","926"
"MS","B - Black","80-89.9","90-100","025","923"
"MS","B - Black","60-69.9","90-100","045","923"
"MS","W - White","60-69.9","0-9.9","049","921"
"MS","W - White","50-59.9","0-9.9","020","917"
"MS","W - White","30-39.9","0-9.9","042","913"
"MS","W - White","50-59.9","0-9.9","031","898"
"MS","B - Black","70-79.9","90-100","038","895"
"MS","B - Black","10-19.9","90-100","045","882"
"MS","W - White","80-89.9","90-100","020","882"
"MS","B - Black","20-29.9","90-100","032","880"
"MS","W - White","50-59.9","0-9.9","051","880"
"MS","W - White","60-69.9","0-9.9","052","877"
"MS","B - Black","90-100","90-100","038","874"
"MS","W - White","0-9.9","10-19.9","040","873"
"MS","W - White","50-59.9","0-9.9","033","872"
"MS","B - Black","90-100","90-100","016","872"
"MS","W - White","40-49.9","0-9.9","043","869"
"MS","W - White","0-9.9","0-9.9","036","865"
"MS","W - White","10-19.9","0-9.9","043","862"
"MS","B - Black","90-100","90-100","025","862"
"MS","B - Black","20-29.9","90-100","045","859"
"MS","W - White","0-9.9","10-19.9","047","851"
"MS","B - Black","80-89.9","90-100","043","850"
"MS","B - Black","70-79.9","90-100","031","849"
"MS","W - White","0-9.9","0-9.9","046","837"
"MS","B - Black","80-89.9","90-100","036","834"
"MS","B - Black","90-100","90-100","035","834"
"MS","W - White","20-29.9","10-19.9","046","828"
"MS","W - White","30-39.9","0-9.9","046","825"
"MS","W - White","30-39.9","0-9.9","036","825"
"MS","W - White","10-19.9","0-9.9","044","820"
"MS","B - Black","50-59.9","90-100","034","819"
"MS","W - White","40-49.9","10-19.9","046","817"
"MS","W - White","20-29.9","0-9.9","041","817"
"MS","B - Black","0-9.9","80-89.9","032","816"
"MS","W - White","50-59.9","0-9.9","048","811"
"MS","B - Black","10-19.9","90-100","032","810"
"MS","W - White","0-9.9","0-9.9","047","808"
"MS","W - White","40-49.9","0-9.9","044","802"
"MS","B - Black","80-89.9","90-100","049","799"
"MS","B - Black","70-79.9","90-100","016","796"
"MS","W - White","0-9.9","10-19.9","042","789"
"MS","W - White","90-100","0-9.9","038","786"
"MS","B - Black","0-9.9","80-89.9","048","784"
"MS","B - Black","90-100","90-100","049","776"
"MS","W - White","30-39.9","10-19.9","046","774"
"MS","W - White","80-89.9","0-9.9","015","774"
"MS","W - White","0-9.9","0-9.9","040","772"
"MS","W - White","50-59.9","0-9.9","030","771"
"MS","B - Black","0-9.9","90-100","032","770"
"MS","W - White","30-39.9","0-9.9","047","767"
"MS","W - White","10-19.9","10-19.9","050","767"
"MS","W - White","30-39.9","0-9.9","041","762"
"MS","B - Black","30-39.9","90-100","045","759"
"MS","W - White","80-89.9","0-9.9","026","748"
"MS","W - White","60-69.9","0-9.9","034","740"
"MS","B - Black","40-49.9","90-100","032","738"
"MS","W - White","0-9.9","10-19.9","048","737"
"MS","B - Black","60-69.9","90-100","035","737"
"MS","W - White","30-39.9","0-9.9","040","733"
"MS","W - White","0-9.9","10-19.9","036","732"
"MS","W - White","20-29.9","0-9.9","043","730"
"MS","B - Black","50-59.9","90-100","045","728"
"MS","W - White","50-59.9","10-19.9","046","722"
"MS","W - White","10-19.9","10-19.9","036","721"
"MS","W - White","20-29.9","0-9.9","044","720"
"MS","B - Black","60-69.9","90-100","038","718"
"MS","W - White","10-19.9","10-19.9","042","716"
"MS","W - White","20-29.9","10-19.9","040","708"
"MS","W - White","50-59.9","0-9.9","035","707"
"MS","B - Black","40-49.9","90-100","045","706"
"MS","W - White","90-100","0-9.9","021","705"
"MS","W - White","0-9.9","20-29.9","046","704"
"MS","W - White","20-29.9","10-19.9","047","700"
"MS","W - White","80-89.9","90-100","036","699"
"MS","W - White","10-19.9","20-29.9","046","696"
"MS","B - Black","10-19.9","90-100","048","695"
"MS","W - White","80-89.9","90-100","033","694"
"MS","W - White","40-49.9","0-9.9","039","690"
"MS","W - White","80-89.9","90-100","048","688"
"MS","B - Black","70-79.9","90-100","039","687"
"MS","W - White","30-39.9","10-19.9","040","686"
"MS","W - White","40-49.9","10-19.9","047","684"
"MS","W - White","80-89.9","90-100","049","683"
"MS","B - Black","90-100","90-100","039","679"
"MS","W - White","50-59.9","0-9.9","050","678"
"MS","B - Black","70-79.9","90-100","048","678"
"MS","B - Black","0-9.9","80-89.9","034","676"
"MS","W - White","40-49.9","10-19.9","040","675"
"MS","W - White","0-9.9","0-9.9","041","673"
"MS","W - White","90-100","90-100","020","671"
"MS","W - White","30-39.9","0-9.9","043","664"
"MS","W - White","70-79.9","0-9.9","022","661"
"MS","W - White","80-89.9","90-100","052","661"
"MS","W - White","80-89.9","90-100","034","659"
"MS","B - Black","30-39.9","90-100","032","656"
"MS","W - White","0-9.9","0-9.9","043","654"
"MS","W - White","0-9.9","10-19.9","050","651"
"MS","W - White","80-89.9","0-9.9","021","648"
"MS","W - White","80-89.9","90-100","044","648"
"MS","B - Black","0-9.9","90-100","034","646"
"MS","B - Black","20-29.9","90-100","048","642"
"MS","B - Black","0-9.9","90-100","016","640"
"MS","W - White","50-59.9","0-9.9","049","640"
"MS","W - White","20-29.9","0-9.9","051","640"
"MS","B - Black","80-89.9","90-100","052","635"
"MS","B - Black","70-79.9","90-100","041","635"
"MS","W - White","30-39.9","10-19.9","047","634"
"MS","W - White","10-19.9","10-19.9","048","633"
"MS","W - White","40-49.9","0-9.9","048","633"
"MS","W - White","10-19.9","10-19.9","020","628"
"MS","W - White","10-19.9","0-9.9","051","627"
"MS","W - White","70-79.9","10-19.9","046","627"
"MS","W - White","60-69.9","10-19.9","020","627"
"MS","W - White","90-100","90-100","048","626"
"MS","W - White","50-59.9","0-9.9","018","614"
"MS","W - White","40-49.9","0-9.9","020","602"
"MS","W - White","10-19.9","10-19.9","051","602"
"MS","W - White","80-89.9","90-100","030","599"
"MS","W - White","50-59.9","10-19.9","047","598"
"MS","W - White","50-59.9","10-19.9","020","595"
"MS","W - White","30-39.9","0-9.9","044","594"
"MS","W - White","10-19.9","0-9.9","039","591"
"MS","W - White","0-9.9","10-19.9","051","591"
"MS","W - White","50-59.9","0-9.9","025","589"
"MS","W - White","10-19.9","10-19.9","043","585"
"MS","W - White","20-29.9","0-9.9","020","583"
"MS","W - White","10-19.9","10-19.9","049","583"
"MS","W - White","70-79.9","10-19.9","020","582"
"MS","W - White","50-59.9","10-19.9","040","582"
"MS","B - Black","70-79.9","90-100","033","580"
"MS","B - Black","10-19.9","90-100","034","579"
"MS","W - White","10-19.9","20-29.9","040","578"
"MS","B - Black","10-19.9","90-100","016","576"
"MS","W - White","60-69.9","10-19.9","046","576"
"MS","B - Black","90-100","90-100","043","576"
"MS","W - White","80-89.9","90-100","032","573"
"MS","W - White","80-89.9","90-100","045","573"
"MS","B - Black","80-89.9","90-100","020","571"
"MS","B - Black","60-69.9","90-100","031","570"
"MS","W - White","50-59.9","0-9.9","052","568"
"MS","B - Black","80-89.9","90-100","044","568"
"MS","W - White","20-29.9","0-9.9","039","566"
"MS","W - White","10-19.9","0-9.9","030","565"
"MS","W - White","10-19.9","20-29.9","047","564"
"MS","W - White","40-49.9","0-9.9","033","563"
"MS","W - White","80-89.9","90-100","050","561"
"MS","W - White","20-29.9","0-9.9","030","561"
"MS","W - White","70-79.9","0-9.9","032","560"
"MS","W - White","50-59.9","10-19.9","048","557"
"MS","B - Black","40-49.9","90-100","034","556"
"MS","B - Black","10-19.9","80-89.9","032","555"
"MS","B - Black","20-29.9","90-100","034","554"
"MS","B - Black","60-69.9","90-100","016","552"
"MS","W - White","20-29.9","0-9.9","048","552"
"MS","W - White","40-49.9","0-9.9","030","552"
"MS","W - White","20-29.9","10-19.9","036","552"
"MS","W - White","40-49.9","0-9.9","051","550"
"MS","W - White","20-29.9","10-19.9","020","550"
"MS","W - White","40-49.9","10-19.9","048","547"
"MS","B - Black","10-19.9","80-89.9","045","547"
"MS","B - Black","70-79.9","90-100","025","547"
"MS","W - White","10-19.9","10-19.9","030","542"
"MS","W - White","50-59.9","10-19.9","050","541"
"MS","B - Black","90-100","90-100","030","541"
"MS","W - White","40-49.9","10-19.9","042","538"
"MS","W - White","80-89.9","90-100","039","538"
"MS","W - White","80-89.9","90-100","046","538"
"MS","W - White","10-19.9","20-29.9","050","535"
"MS","W - White","80-89.9","10-19.9","020","533"
"MS","W - White","0-9.9","10-19.9","041","531"
"MS","W - White","0-9.9","10-19.9","044","530"
"MS","W - White","40-49.9","0-9.9","031","530"
"MS","W - White","0-9.9","20-29.9","040","530"
