"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"MT","W - White","90-100","20-29.9","002","20,341"
"MT","W - White","90-100","30-39.9","002","19,085"
"MT","W - White","80-89.9","20-29.9","002","17,680"
"MT","W - White","80-89.9","20-29.9","001","17,168"
"MT","W - White","80-89.9","30-39.9","001","15,842"
"MT","W - White","80-89.9","30-39.9","002","15,193"
"MT","W - White","90-100","20-29.9","001","14,758"
"MT","W - White","90-100","10-19.9","002","14,683"
"MT","W - White","90-100","30-39.9","001","14,542"
"MT","W - White","80-89.9","10-19.9","002","14,417"
"MT","W - White","90-100","40-49.9","002","13,502"
"MT","W - White","80-89.9","40-49.9","001","13,334"
"MT","W - White","90-100","40-49.9","001","12,069"
"MT","W - White","80-89.9","40-49.9","002","11,633"
"MT","W - White","80-89.9","10-19.9","001","10,862"
"MT","W - White","80-89.9","50-59.9","001","10,446"
"MT","W - White","90-100","50-59.9","001","10,250"
"MT","W - White","90-100","60-69.9","001","8,962"
"MT","W - White","90-100","50-59.9","002","8,823"
"MT","W - White","90-100","10-19.9","001","8,779"
"MT","W - White","80-89.9","60-69.9","001","8,480"
"MT","W - White","80-89.9","50-59.9","002","7,936"
"MT","W - White","70-79.9","20-29.9","001","7,683"
"MT","W - White","70-79.9","20-29.9","002","7,464"
"MT","W - White","90-100","70-79.9","001","7,253"
"MT","W - White","90-100","90-100","001","7,172"
"MT","W - White","70-79.9","30-39.9","001","7,105"
"MT","W - White","80-89.9","70-79.9","001","6,957"
"MT","W - White","70-79.9","10-19.9","002","6,795"
"MT","W - White","20-29.9","20-29.9","001","6,702"
"MT","W - White","70-79.9","30-39.9","002","6,558"
"MT","W - White","90-100","80-89.9","001","6,041"
"MT","W - White","60-69.9","20-29.9","001","5,997"
"MT","W - White","80-89.9","90-100","001","5,896"
"MT","W - White","80-89.9","80-89.9","001","5,845"
"MT","W - White","20-29.9","10-19.9","001","5,794"
"MT","W - White","70-79.9","40-49.9","001","5,778"
"MT","W - White","60-69.9","20-29.9","002","5,726"
"MT","W - White","70-79.9","10-19.9","001","5,627"
"MT","W - White","20-29.9","30-39.9","001","5,542"
"MT","W - White","80-89.9","60-69.9","002","5,454"
"MT","W - White","60-69.9","10-19.9","002","5,426"
"MT","W - White","20-29.9","10-19.9","002","5,418"
"MT","W - White","20-29.9","20-29.9","002","5,415"
"MT","W - White","90-100","0-9.9","002","5,293"
"MT","W - White","90-100","60-69.9","002","5,267"
"MT","W - White","50-59.9","20-29.9","001","5,232"
"MT","W - White","60-69.9","30-39.9","001","5,201"
"MT","W - White","70-79.9","40-49.9","002","4,833"
"MT","W - White","60-69.9","10-19.9","001","4,818"
"MT","W - White","50-59.9","30-39.9","001","4,702"
"MT","W - White","70-79.9","50-59.9","001","4,639"
"MT","W - White","60-69.9","30-39.9","002","4,634"
"MT","W - White","20-29.9","40-49.9","001","4,386"
"MT","W - White","50-59.9","10-19.9","002","4,363"
"MT","W - White","50-59.9","10-19.9","001","4,344"
"MT","W - White","50-59.9","20-29.9","002","4,322"
"MT","W - White","20-29.9","30-39.9","002","4,300"
"MT","W - White","60-69.9","40-49.9","001","4,270"
"MT","W - White","80-89.9","0-9.9","002","4,186"
"MT","W - White","30-39.9","20-29.9","001","4,172"
"MT","W - White","30-39.9","20-29.9","002","3,909"
"MT","W - White","70-79.9","60-69.9","001","3,795"
"MT","W - White","50-59.9","30-39.9","002","3,757"
"MT","W - White","50-59.9","40-49.9","001","3,719"
"MT","W - White","30-39.9","30-39.9","001","3,719"
"MT","W - White","10-19.9","20-29.9","001","3,669"
