"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"NC","W - White","80-89.9","0-9.9","011","57,424"
"NC","W - White","90-100","0-9.9","010","55,900"
"NC","W - White","80-89.9","0-9.9","010","51,563"
"NC","W - White","80-89.9","0-9.9","005","51,430"
"NC","W - White","90-100","0-9.9","008","50,930"
"NC","W - White","90-100","0-9.9","006","50,876"
"NC","W - White","90-100","0-9.9","007","50,628"
"NC","W - White","90-100","0-9.9","011","50,424"
"NC","W - White","90-100","0-9.9","005","50,185"
"NC","W - White","90-100","0-9.9","014","48,308"
"NC","W - White","80-89.9","0-9.9","006","47,450"
"NC","W - White","80-89.9","0-9.9","007","47,108"
"NC","W - White","90-100","90-100","004","47,044"
"NC","W - White","80-89.9","0-9.9","014","46,843"
"NC","W - White","80-89.9","0-9.9","001","46,550"
"NC","W - White","90-100","0-9.9","009","45,772"
"NC","W - White","80-89.9","0-9.9","009","45,013"
"NC","W - White","80-89.9","90-100","011","44,244"
"NC","W - White","90-100","90-100","011","44,139"
"NC","W - White","80-89.9","0-9.9","008","44,037"
"NC","W - White","90-100","0-9.9","001","43,082"
"NC","W - White","80-89.9","90-100","004","35,139"
"NC","W - White","80-89.9","0-9.9","003","35,045"
"NC","W - White","80-89.9","0-9.9","013","34,908"
"NC","W - White","90-100","0-9.9","003","32,848"
"NC","B - Black","80-89.9","90-100","001","31,943"
"NC","B - Black","80-89.9","90-100","012","31,186"
"NC","W - White","90-100","0-9.9","013","30,714"
"NC","W - White","70-79.9","0-9.9","011","29,377"
"NC","B - Black","90-100","90-100","012","28,294"
"NC","W - White","70-79.9","0-9.9","010","27,473"
"NC","W - White","70-79.9","0-9.9","005","26,322"
"NC","W - White","70-79.9","0-9.9","014","25,546"
"NC","W - White","70-79.9","0-9.9","006","24,809"
"NC","B - Black","80-89.9","90-100","003","24,574"
"NC","W - White","90-100","90-100","007","24,528"
"NC","W - White","70-79.9","0-9.9","001","24,193"
"NC","W - White","70-79.9","0-9.9","007","24,047"
"NC","W - White","70-79.9","0-9.9","009","23,499"
"NC","W - White","70-79.9","0-9.9","008","22,938"
"NC","W - White","90-100","90-100","005","22,491"
"NC","B - Black","90-100","90-100","001","22,444"
"NC","W - White","60-69.9","0-9.9","011","21,177"
"NC","W - White","90-100","80-89.9","002","20,946"
"NC","W - White","60-69.9","0-9.9","010","20,937"
"NC","W - White","50-59.9","0-9.9","010","20,730"
"NC","W - White","90-100","90-100","014","20,193"
"NC","W - White","90-100","90-100","012","20,113"
"NC","W - White","80-89.9","90-100","007","20,102"
"NC","W - White","90-100","90-100","010","20,034"
"NC","W - White","60-69.9","0-9.9","014","19,959"
"NC","W - White","50-59.9","0-9.9","014","19,942"
"NC","W - White","50-59.9","0-9.9","005","19,807"
"NC","W - White","90-100","0-9.9","012","19,799"
"NC","W - White","40-49.9","0-9.9","010","19,674"
"NC","B - Black","80-89.9","90-100","009","19,536"
"NC","W - White","60-69.9","0-9.9","005","19,444"
"NC","W - White","50-59.9","0-9.9","011","19,375"
"NC","W - White","40-49.9","0-9.9","005","19,317"
"NC","W - White","70-79.9","0-9.9","003","19,252"
"NC","B - Black","90-100","90-100","003","19,112"
"NC","W - White","70-79.9","0-9.9","013","19,107"
"NC","W - White","80-89.9","90-100","005","19,093"
"NC","W - White","80-89.9","90-100","012","19,087"
"NC","W - White","90-100","90-100","001","19,083"
"NC","W - White","70-79.9","90-100","011","18,996"
"NC","W - White","60-69.9","0-9.9","006","18,959"
"NC","W - White","40-49.9","0-9.9","014","18,926"
"NC","W - White","60-69.9","0-9.9","007","18,923"
"NC","W - White","40-49.9","0-9.9","011","18,787"
"NC","W - White","80-89.9","90-100","014","18,443"
"NC","B - Black","90-100","90-100","004","18,326"
"NC","W - White","50-59.9","0-9.9","006","18,231"
"NC","W - White","90-100","90-100","008","18,117"
"NC","W - White","50-59.9","0-9.9","007","17,640"
"NC","W - White","90-100","90-100","002","17,588"
"NC","W - White","60-69.9","0-9.9","009","17,574"
"NC","W - White","50-59.9","0-9.9","009","17,537"
"NC","W - White","60-69.9","0-9.9","001","17,525"
"NC","B - Black","90-100","90-100","009","17,490"
"NC","W - White","80-89.9","90-100","010","17,373"
"NC","B - Black","70-79.9","90-100","012","17,276"
"NC","W - White","80-89.9","90-100","001","17,202"
"NC","W - White","40-49.9","0-9.9","009","17,200"
"NC","W - White","50-59.9","0-9.9","001","17,132"
"NC","W - White","40-49.9","0-9.9","006","17,075"
"NC","W - White","40-49.9","0-9.9","007","17,038"
"NC","W - White","60-69.9","0-9.9","008","17,006"
"NC","B - Black","80-89.9","90-100","004","16,950"
"NC","W - White","40-49.9","0-9.9","001","16,915"
"NC","W - White","90-100","70-79.9","002","16,680"
"NC","B - Black","80-89.9","90-100","007","16,425"
"NC","B - Black","80-89.9","90-100","006","16,384"
"NC","W - White","40-49.9","0-9.9","003","16,198"
"NC","B - Black","70-79.9","90-100","001","16,119"
"NC","W - White","90-100","90-100","006","16,091"
"NC","W - White","50-59.9","0-9.9","008","16,003"
"NC","B - Black","80-89.9","90-100","013","15,763"
"NC","W - White","40-49.9","0-9.9","008","15,708"
"NC","B - Black","40-49.9","90-100","012","15,686"
"NC","W - White","30-39.9","0-9.9","011","15,586"
"NC","W - White","80-89.9","80-89.9","002","15,456"
"NC","W - White","50-59.9","0-9.9","003","15,445"
"NC","W - White","30-39.9","0-9.9","010","15,254"
"NC","B - Black","80-89.9","90-100","005","15,202"
"NC","W - White","80-89.9","90-100","008","15,181"
"NC","B - Black","50-59.9","90-100","012","15,171"
"NC","W - White","50-59.9","0-9.9","013","14,965"
"NC","W - White","90-100","90-100","009","14,861"
"NC","B - Black","80-89.9","90-100","008","14,835"
"NC","W - White","60-69.9","0-9.9","003","14,818"
"NC","B - Black","20-29.9","90-100","012","14,803"
"NC","W - White","40-49.9","0-9.9","013","14,715"
"NC","W - White","30-39.9","0-9.9","014","14,656"
"NC","W - White","60-69.9","0-9.9","013","14,567"
"NC","W - White","80-89.9","90-100","002","14,527"
"NC","B - Black","80-89.9","90-100","014","14,519"
"NC","B - Black","60-69.9","90-100","012","14,439"
"NC","B - Black","90-100","90-100","006","14,412"
"NC","W - White","30-39.9","0-9.9","005","14,347"
"NC","B - Black","80-89.9","90-100","010","14,319"
"NC","W - White","90-100","0-9.9","004","14,293"
"NC","W - White","20-29.9","0-9.9","011","14,228"
"NC","W - White","70-79.9","90-100","004","14,170"
"NC","B - Black","30-39.9","90-100","012","14,159"
"NC","W - White","30-39.9","0-9.9","007","14,031"
"NC","B - Black","90-100","90-100","007","13,864"
"NC","W - White","80-89.9","90-100","006","13,747"
"NC","W - White","80-89.9","0-9.9","012","13,597"
"NC","B - Black","90-100","90-100","005","13,535"
"NC","B - Black","90-100","90-100","014","13,483"
"NC","W - White","30-39.9","0-9.9","001","13,392"
"NC","W - White","80-89.9","90-100","009","13,279"
"NC","W - White","20-29.9","0-9.9","010","13,214"
"NC","W - White","30-39.9","0-9.9","003","13,085"
"NC","W - White","20-29.9","0-9.9","001","12,947"
"NC","W - White","90-100","90-100","013","12,908"
"NC","W - White","30-39.9","0-9.9","009","12,845"
"NC","W - White","20-29.9","0-9.9","007","12,821"
"NC","W - White","30-39.9","0-9.9","006","12,701"
"NC","W - White","80-89.9","90-100","013","12,689"
"NC","B - Black","70-79.9","90-100","003","12,616"
"NC","B - Black","90-100","90-100","008","12,484"
"NC","W - White","20-29.9","0-9.9","003","12,428"
"NC","W - White","60-69.9","90-100","011","12,334"
"NC","W - White","20-29.9","0-9.9","005","12,284"
"NC","W - White","20-29.9","0-9.9","014","12,238"
"NC","B - Black","90-100","90-100","010","12,055"
"NC","B - Black","10-19.9","90-100","012","11,967"
"NC","W - White","30-39.9","0-9.9","008","11,901"
"NC","B - Black","90-100","90-100","013","11,874"
"NC","W - White","90-100","90-100","003","11,654"
"NC","B - Black","60-69.9","90-100","001","11,641"
"NC","W - White","20-29.9","0-9.9","009","11,545"
"NC","B - Black","80-89.9","90-100","002","11,536"
"NC","B - Black","50-59.9","90-100","001","11,372"
"NC","W - White","90-100","60-69.9","002","11,290"
"NC","W - White","80-89.9","70-79.9","002","11,108"
"NC","W - White","20-29.9","0-9.9","006","11,069"
"NC","W - White","30-39.9","0-9.9","013","11,031"
