"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"ND","W - White","80-89.9","10-19.9","001","26,138"
"ND","W - White","80-89.9","20-29.9","001","25,453"
"ND","W - White","70-79.9","10-19.9","001","21,456"
"ND","W - White","70-79.9","20-29.9","001","20,784"
"ND","W - White","80-89.9","30-39.9","001","19,157"
"ND","W - White","90-100","20-29.9","001","18,692"
"ND","W - White","90-100","30-39.9","001","16,308"
"ND","W - White","70-79.9","30-39.9","001","16,257"
"ND","W - White","90-100","10-19.9","001","15,288"
"ND","W - White","80-89.9","40-49.9","001","13,383"
"ND","W - White","70-79.9","40-49.9","001","11,977"
"ND","W - White","90-100","40-49.9","001","11,971"
"ND","W - White","80-89.9","0-9.9","001","11,158"
"ND","W - White","60-69.9","10-19.9","001","9,819"
"ND","W - White","60-69.9","20-29.9","001","9,294"
"ND","W - White","80-89.9","50-59.9","001","8,935"
"ND","W - White","90-100","50-59.9","001","8,106"
"ND","W - White","70-79.9","0-9.9","001","8,078"
"ND","W - White","70-79.9","50-59.9","001","8,067"
"ND","W - White","50-59.9","10-19.9","001","7,244"
"ND","W - White","60-69.9","30-39.9","001","6,865"
"ND","W - White","40-49.9","10-19.9","001","6,342"
"ND","W - White","50-59.9","20-29.9","001","6,333"
"ND","W - White","90-100","0-9.9","001","5,905"
"ND","W - White","40-49.9","20-29.9","001","5,464"
"ND","W - White","70-79.9","60-69.9","001","5,319"
"ND","W - White","80-89.9","60-69.9","001","5,274"
"ND","W - White","60-69.9","40-49.9","001","5,040"
"ND","W - White","50-59.9","30-39.9","001","4,842"
"ND","W - White","90-100","60-69.9","001","4,749"
"ND","W - White","40-49.9","30-39.9","001","4,256"
"ND","W - White","60-69.9","0-9.9","001","4,047"
"ND","W - White","30-39.9","10-19.9","001","3,989"
"ND","W - White","50-59.9","0-9.9","001","3,832"
"ND","W - White","60-69.9","50-59.9","001","3,505"
"ND","W - White","40-49.9","0-9.9","001","3,465"
"ND","W - White","50-59.9","40-49.9","001","3,380"
"ND","W - White","30-39.9","20-29.9","001","3,252"
"ND","W - White","40-49.9","40-49.9","001","2,845"
"ND","W - White","80-89.9","70-79.9","001","2,438"
"ND","W - White","30-39.9","30-39.9","001","2,420"
"ND","W - White","70-79.9","70-79.9","001","2,290"
"ND","W - White","50-59.9","50-59.9","001","2,166"
"ND","W - White","90-100","70-79.9","001","2,058"
"ND","W - White","60-69.9","60-69.9","001","2,031"
"ND","W - White","30-39.9","0-9.9","001","1,994"
"ND","W - White","40-49.9","50-59.9","001","1,879"
"ND","W - White","20-29.9","10-19.9","001","1,667"
"ND","W - White","30-39.9","40-49.9","001","1,606"
"ND","W - White","20-29.9","20-29.9","001","1,273"
"ND","W - White","50-59.9","60-69.9","001","1,263"
"ND","W - White","40-49.9","60-69.9","001","1,159"
"ND","W - White","90-100","90-100","001","1,077"
"ND","W - White","30-39.9","50-59.9","001","971"
"ND","W - White","80-89.9","80-89.9","001","952"
"ND","W - White","60-69.9","70-79.9","001","887"
