"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"NE","W - White","80-89.9","0-9.9","003","56,108"
"NE","W - White","90-100","0-9.9","003","48,777"
"NE","W - White","90-100","0-9.9","001","41,496"
"NE","W - White","90-100","0-9.9","002","36,194"
"NE","W - White","80-89.9","0-9.9","001","35,803"
"NE","W - White","80-89.9","90-100","002","33,192"
"NE","W - White","70-79.9","0-9.9","003","30,846"
"NE","W - White","80-89.9","0-9.9","002","29,928"
"NE","W - White","90-100","90-100","002","29,451"
"NE","W - White","90-100","90-100","001","28,062"
"NE","W - White","80-89.9","90-100","001","28,057"
"NE","W - White","40-49.9","0-9.9","003","22,944"
"NE","W - White","60-69.9","0-9.9","003","21,357"
"NE","W - White","50-59.9","0-9.9","003","20,578"
"NE","W - White","20-29.9","0-9.9","003","19,148"
"NE","W - White","70-79.9","0-9.9","001","18,950"
"NE","W - White","30-39.9","0-9.9","003","17,639"
"NE","W - White","10-19.9","0-9.9","003","16,460"
"NE","W - White","70-79.9","90-100","002","16,175"
"NE","W - White","40-49.9","0-9.9","001","15,608"
"NE","W - White","70-79.9","0-9.9","002","15,208"
"NE","W - White","70-79.9","90-100","001","14,321"
"NE","W - White","50-59.9","0-9.9","001","14,294"
"NE","W - White","60-69.9","0-9.9","001","13,993"
"NE","W - White","80-89.9","90-100","003","13,708"
"NE","W - White","0-9.9","0-9.9","003","12,968"
"NE","W - White","50-59.9","90-100","002","12,569"
"NE","W - White","40-49.9","90-100","002","12,301"
"NE","W - White","60-69.9","90-100","002","12,147"
"NE","W - White","20-29.9","0-9.9","001","11,877"
"NE","W - White","90-100","90-100","003","11,751"
"NE","W - White","30-39.9","0-9.9","001","11,645"
"NE","W - White","30-39.9","90-100","002","11,483"
"NE","W - White","60-69.9","0-9.9","002","11,396"
"NE","W - White","50-59.9","0-9.9","002","11,097"
"NE","W - White","40-49.9","90-100","001","11,063"
"NE","W - White","50-59.9","90-100","001","10,991"
"NE","W - White","40-49.9","0-9.9","002","10,892"
"NE","W - White","60-69.9","90-100","001","10,534"
"NE","W - White","20-29.9","90-100","002","9,933"
"NE","W - White","30-39.9","90-100","001","9,448"
"NE","W - White","20-29.9","90-100","001","9,130"
"NE","W - White","10-19.9","0-9.9","001","9,098"
"NE","W - White","30-39.9","0-9.9","002","8,754"
"NE","W - White","20-29.9","0-9.9","002","8,223"
"NE","W - White","10-19.9","90-100","002","7,559"
"NE","W - White","70-79.9","90-100","003","7,359"
"NE","W - White","10-19.9","90-100","001","7,343"
"NE","W - White","0-9.9","0-9.9","001","6,669"
"NE","W - White","0-9.9","90-100","001","6,661"
"NE","W - White","0-9.9","90-100","002","6,303"
"NE","W - White","10-19.9","0-9.9","002","6,005"
"NE","W - White","60-69.9","90-100","003","4,832"
"NE","W - White","0-9.9","90-100","003","4,571"
"NE","W - White","50-59.9","90-100","003","4,546"
"NE","W - White","40-49.9","90-100","003","4,344"
"NE","W - White","20-29.9","90-100","003","4,270"
"NE","B - Black","80-89.9","90-100","002","4,176"
"NE","W - White","0-9.9","0-9.9","002","4,172"
"NE","W - White","10-19.9","90-100","003","3,919"
"NE","B - Black","0-9.9","90-100","002","3,460"
"NE","W - White","30-39.9","90-100","003","3,347"
"NE","B - Black","20-29.9","90-100","002","3,175"
"NE","W - White","80-89.9","10-19.9","003","2,943"
"NE","W - White","20-29.9","10-19.9","003","2,664"
"NE","B - Black","10-19.9","90-100","002","2,583"
"NE","W - White","0-9.9","10-19.9","003","2,524"
"NE","B - Black","30-39.9","90-100","002","2,500"
"NE","B - Black","70-79.9","90-100","002","2,495"
"NE","W - White","80-89.9","10-19.9","001","2,486"
"NE","H - Hispanic or Latino","40-49.9","90-100","002","2,444"
"NE","W - White","40-49.9","10-19.9","003","2,404"
"NE","W - White","10-19.9","10-19.9","003","2,401"
"NE","W - White","90-100","10-19.9","001","2,358"
"NE","W - White","90-100","10-19.9","002","2,286"
"NE","H - Hispanic or Latino","20-29.9","90-100","002","2,274"
"NE","W - White","80-89.9","10-19.9","002","2,271"
"NE","B - Black","50-59.9","90-100","002","2,258"
"NE","B - Black","90-100","90-100","002","2,240"
"NE","B - Black","40-49.9","90-100","002","2,216"
"NE","H - Hispanic or Latino","30-39.9","90-100","002","2,205"
"NE","W - White","30-39.9","10-19.9","003","2,082"
"NE","B - Black","60-69.9","90-100","002","2,036"
"NE","W - White","70-79.9","10-19.9","003","2,015"
"NE","W - White","90-100","10-19.9","003","1,956"
"NE","W - White","50-59.9","10-19.9","003","1,818"
"NE","H - Hispanic or Latino","20-29.9","90-100","001","1,795"
"NE","W - White","40-49.9","10-19.9","001","1,789"
"NE","H - Hispanic or Latino","80-89.9","90-100","002","1,778"
"NE","H - Hispanic or Latino","50-59.9","90-100","002","1,760"
"NE","W - White","60-69.9","10-19.9","003","1,737"
"NE","H - Hispanic or Latino","0-9.9","90-100","002","1,734"
"NE","H - Hispanic or Latino","70-79.9","90-100","002","1,725"
"NE","W - White","80-89.9","80-89.9","002","1,669"
"NE","W - White","70-79.9","10-19.9","001","1,659"
"NE","H - Hispanic or Latino","0-9.9","90-100","003","1,657"
"NE","W - White","20-29.9","10-19.9","001","1,652"
"NE","H - Hispanic or Latino","40-49.9","90-100","001","1,635"
"NE","W - White","80-89.9","20-29.9","003","1,632"
"NE","H - Hispanic or Latino","10-19.9","90-100","002","1,609"
"NE","W - White","50-59.9","10-19.9","001","1,570"
"NE","H - Hispanic or Latino","30-39.9","90-100","001","1,506"
"NE","W - White","20-29.9","80-89.9","001","1,486"
"NE","H - Hispanic or Latino","20-29.9","90-100","003","1,483"
"NE","W - White","30-39.9","10-19.9","001","1,443"
"NE","W - White","0-9.9","20-29.9","003","1,416"
"NE","H - Hispanic or Latino","0-9.9","90-100","001","1,402"
"NE","W - White","70-79.9","10-19.9","002","1,390"
"NE","H - Hispanic or Latino","60-69.9","90-100","002","1,390"
"NE","W - White","40-49.9","10-19.9","002","1,384"
"NE","W - White","80-89.9","80-89.9","001","1,369"
"NE","W - White","80-89.9","20-29.9","001","1,353"
