"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"NH","W - White","80-89.9","90-100","002","54,009"
"NH","W - White","80-89.9","90-100","001","52,711"
"NH","W - White","90-100","90-100","001","47,229"
"NH","W - White","90-100","90-100","002","46,134"
"NH","W - White","80-89.9","0-9.9","001","39,567"
"NH","W - White","90-100","0-9.9","001","39,213"
"NH","W - White","70-79.9","90-100","001","39,205"
"NH","W - White","70-79.9","90-100","002","37,795"
"NH","W - White","80-89.9","0-9.9","002","33,288"
"NH","W - White","90-100","0-9.9","002","31,126"
"NH","W - White","70-79.9","0-9.9","001","24,560"
"NH","W - White","70-79.9","0-9.9","002","21,213"
"NH","W - White","60-69.9","90-100","002","20,966"
"NH","W - White","60-69.9","90-100","001","20,641"
"NH","W - White","60-69.9","0-9.9","001","16,624"
"NH","W - White","50-59.9","90-100","001","14,630"
"NH","W - White","60-69.9","0-9.9","002","14,414"
"NH","W - White","40-49.9","90-100","001","13,144"
"NH","W - White","50-59.9","90-100","002","12,980"
"NH","W - White","40-49.9","90-100","002","11,677"
"NH","W - White","50-59.9","0-9.9","001","11,621"
"NH","W - White","30-39.9","90-100","002","10,153"
"NH","W - White","80-89.9","10-19.9","001","9,956"
"NH","W - White","50-59.9","0-9.9","002","9,937"
"NH","W - White","30-39.9","90-100","001","9,516"
"NH","W - White","40-49.9","0-9.9","001","9,356"
"NH","W - White","90-100","10-19.9","001","9,048"
"NH","W - White","80-89.9","10-19.9","002","8,713"
"NH","W - White","70-79.9","10-19.9","001","8,518"
"NH","W - White","40-49.9","0-9.9","002","8,054"
"NH","W - White","90-100","10-19.9","002","7,725"
"NH","W - White","70-79.9","10-19.9","002","7,209"
"NH","W - White","30-39.9","0-9.9","001","7,185"
"NH","W - White","30-39.9","0-9.9","002","6,368"
"NH","W - White","80-89.9","80-89.9","002","5,087"
"NH","W - White","60-69.9","10-19.9","001","4,965"
"NH","W - White","60-69.9","10-19.9","002","4,504"
"NH","W - White","20-29.9","90-100","002","4,325"
"NH","W - White","70-79.9","80-89.9","002","4,069"
"NH","W - White","80-89.9","20-29.9","001","3,854"
"NH","W - White","50-59.9","10-19.9","001","3,670"
"NH","W - White","90-100","80-89.9","002","3,571"
"NH","W - White","20-29.9","90-100","001","3,554"
"NH","W - White","70-79.9","20-29.9","001","3,469"
"NH","W - White","50-59.9","10-19.9","002","3,391"
"NH","W - White","80-89.9","20-29.9","002","3,319"
"NH","W - White","40-49.9","10-19.9","001","3,110"
"NH","W - White","70-79.9","20-29.9","002","2,978"
"NH","W - White","90-100","20-29.9","001","2,944"
"NH","W - White","60-69.9","20-29.9","001","2,869"
"NH","W - White","80-89.9","70-79.9","002","2,764"
"NH","W - White","40-49.9","10-19.9","002","2,717"
"NH","W - White","20-29.9","0-9.9","001","2,650"
"NH","W - White","60-69.9","80-89.9","002","2,562"
"NH","W - White","50-59.9","20-29.9","001","2,527"
"NH","W - White","70-79.9","70-79.9","002","2,511"
"NH","W - White","60-69.9","20-29.9","002","2,494"
"NH","W - White","20-29.9","0-9.9","002","2,459"
"NH","W - White","90-100","20-29.9","002","2,438"
"NH","W - White","50-59.9","20-29.9","002","2,254"
"NH","W - White","30-39.9","10-19.9","001","2,123"
"NH","W - White","40-49.9","20-29.9","001","2,036"
"NH","W - White","80-89.9","30-39.9","001","1,978"
"NH","W - White","30-39.9","10-19.9","002","1,967"
"NH","W - White","40-49.9","20-29.9","002","1,944"
"NH","W - White","80-89.9","60-69.9","002","1,929"
"NH","W - White","70-79.9","30-39.9","001","1,917"
"NH","W - White","70-79.9","60-69.9","002","1,908"
"NH","W - White","60-69.9","70-79.9","002","1,779"
"NH","W - White","80-89.9","30-39.9","002","1,778"
"NH","W - White","70-79.9","30-39.9","002","1,763"
"NH","W - White","50-59.9","80-89.9","002","1,738"
"NH","W - White","30-39.9","80-89.9","002","1,702"
"NH","H - Hispanic or Latino","70-79.9","90-100","002","1,690"
"NH","W - White","40-49.9","80-89.9","002","1,677"
"NH","W - White","10-19.9","90-100","001","1,670"
"NH","W - White","70-79.9","50-59.9","002","1,654"
"NH","W - White","80-89.9","40-49.9","002","1,644"
"NH","W - White","80-89.9","40-49.9","001","1,641"
"NH","W - White","90-100","70-79.9","002","1,612"
"NH","W - White","80-89.9","50-59.9","002","1,575"
"NH","W - White","70-79.9","40-49.9","001","1,571"
"NH","W - White","70-79.9","40-49.9","002","1,562"
"NH","W - White","10-19.9","90-100","002","1,554"
"NH","H - Hispanic or Latino","80-89.9","90-100","002","1,532"
"NH","W - White","60-69.9","30-39.9","001","1,522"
"NH","W - White","50-59.9","30-39.9","001","1,432"
"NH","W - White","50-59.9","70-79.9","002","1,383"
