"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"NJ","W - White","90-100","0-9.9","007","76,719"
"NJ","W - White","90-100","0-9.9","004","74,278"
"NJ","W - White","90-100","90-100","001","67,575"
"NJ","W - White","90-100","0-9.9","002","65,695"
"NJ","W - White","90-100","90-100","003","61,295"
"NJ","W - White","90-100","90-100","011","59,748"
"NJ","W - White","90-100","90-100","007","55,507"
"NJ","W - White","90-100","0-9.9","003","54,729"
"NJ","W - White","90-100","0-9.9","011","53,322"
"NJ","W - White","90-100","90-100","005","52,565"
"NJ","W - White","90-100","0-9.9","005","51,465"
"NJ","W - White","80-89.9","0-9.9","004","49,980"
"NJ","W - White","90-100","90-100","012","46,059"
"NJ","W - White","90-100","90-100","004","45,117"
"NJ","W - White","80-89.9","0-9.9","007","44,755"
"NJ","W - White","90-100","90-100","002","44,516"
"NJ","W - White","80-89.9","90-100","011","43,181"
"NJ","B - Black","80-89.9","90-100","010","42,337"
"NJ","W - White","80-89.9","0-9.9","002","42,335"
"NJ","W - White","80-89.9","90-100","001","42,141"
"NJ","W - White","90-100","90-100","006","39,664"
"NJ","W - White","80-89.9","90-100","007","37,645"
"NJ","W - White","80-89.9","90-100","003","36,560"
"NJ","W - White","80-89.9","90-100","005","33,180"
"NJ","W - White","80-89.9","0-9.9","003","32,420"
"NJ","W - White","80-89.9","0-9.9","011","31,416"
"NJ","W - White","90-100","0-9.9","001","31,360"
"NJ","W - White","80-89.9","0-9.9","005","30,026"
"NJ","W - White","80-89.9","90-100","004","29,308"
"NJ","W - White","80-89.9","90-100","002","28,330"
"NJ","W - White","80-89.9","90-100","012","27,384"
"NJ","W - White","70-79.9","0-9.9","004","27,308"
"NJ","W - White","90-100","0-9.9","006","26,673"
"NJ","W - White","90-100","0-9.9","012","26,076"
"NJ","W - White","80-89.9","90-100","006","25,468"
"NJ","B - Black","20-29.9","90-100","010","25,263"
"NJ","B - Black","90-100","90-100","010","24,719"
"NJ","B - Black","70-79.9","90-100","010","24,204"
"NJ","H - Hispanic or Latino","80-89.9","90-100","008","23,487"
"NJ","W - White","70-79.9","0-9.9","007","22,276"
"NJ","W - White","70-79.9","90-100","001","21,808"
"NJ","B - Black","60-69.9","90-100","010","21,507"
"NJ","B - Black","10-19.9","90-100","010","21,494"
"NJ","W - White","90-100","90-100","009","21,488"
"NJ","B - Black","0-9.9","90-100","010","21,442"
"NJ","W - White","70-79.9","0-9.9","002","21,323"
"NJ","W - White","70-79.9","90-100","011","20,854"
"NJ","W - White","80-89.9","0-9.9","001","20,852"
"NJ","B - Black","50-59.9","90-100","010","20,426"
"NJ","W - White","80-89.9","90-100","008","19,988"
"NJ","W - White","60-69.9","0-9.9","004","19,940"
"NJ","W - White","90-100","0-9.9","009","19,626"
"NJ","W - White","80-89.9","90-100","009","19,420"
"NJ","W - White","90-100","90-100","010","18,176"
"NJ","W - White","70-79.9","90-100","003","18,118"
"NJ","W - White","70-79.9","90-100","007","17,967"
"NJ","H - Hispanic or Latino","70-79.9","90-100","008","17,960"
"NJ","H - Hispanic or Latino","80-89.9","90-100","009","17,247"
"NJ","W - White","70-79.9","0-9.9","003","17,109"
"NJ","W - White","60-69.9","90-100","001","17,052"
"NJ","W - White","80-89.9","0-9.9","006","16,867"
"NJ","W - White","70-79.9","90-100","005","16,854"
"NJ","W - White","60-69.9","0-9.9","002","16,542"
"NJ","W - White","60-69.9","90-100","011","16,497"
