"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"NM","W - White","90-100","90-100","001","39,384"
"NM","W - White","80-89.9","90-100","001","33,656"
"NM","W - White","90-100","0-9.9","001","32,918"
"NM","W - White","80-89.9","0-9.9","001","26,155"
"NM","W - White","80-89.9","90-100","003","26,091"
"NM","W - White","90-100","90-100","003","23,375"
"NM","H - Hispanic or Latino","80-89.9","90-100","002","20,272"
"NM","W - White","80-89.9","0-9.9","003","19,949"
"NM","W - White","80-89.9","0-9.9","002","19,443"
"NM","H - Hispanic or Latino","80-89.9","90-100","001","17,980"
"NM","W - White","90-100","0-9.9","003","17,496"
"NM","H - Hispanic or Latino","80-89.9","90-100","003","16,590"
"NM","W - White","70-79.9","90-100","001","15,572"
"NM","W - White","80-89.9","90-100","002","15,383"
"NM","W - White","90-100","0-9.9","002","15,268"
"NM","H - Hispanic or Latino","70-79.9","90-100","002","13,597"
"NM","W - White","90-100","90-100","002","13,495"
"NM","W - White","70-79.9","0-9.9","001","13,218"
"NM","W - White","70-79.9","90-100","003","12,568"
"NM","H - Hispanic or Latino","20-29.9","90-100","002","12,437"
"NM","H - Hispanic or Latino","10-19.9","90-100","002","11,380"
"NM","W - White","70-79.9","0-9.9","003","11,145"
"NM","W - White","60-69.9","90-100","001","10,888"
"NM","W - White","70-79.9","0-9.9","002","10,887"
"NM","H - Hispanic or Latino","70-79.9","90-100","003","10,820"
"NM","H - Hispanic or Latino","40-49.9","90-100","002","10,758"
"NM","H - Hispanic or Latino","0-9.9","90-100","002","10,734"
"NM","H - Hispanic or Latino","90-100","90-100","001","10,567"
"NM","H - Hispanic or Latino","70-79.9","90-100","001","10,201"
"NM","H - Hispanic or Latino","60-69.9","90-100","002","10,165"
"NM","H - Hispanic or Latino","30-39.9","90-100","002","10,111"
"NM","H - Hispanic or Latino","50-59.9","90-100","002","10,078"
"NM","W - White","30-39.9","90-100","001","9,791"
"NM","W - White","60-69.9","0-9.9","001","9,726"
"NM","H - Hispanic or Latino","90-100","90-100","002","9,285"
"NM","W - White","40-49.9","90-100","001","9,092"
"NM","W - White","50-59.9","90-100","001","8,787"
"NM","W - White","50-59.9","0-9.9","001","8,206"
"NM","W - White","60-69.9","90-100","003","8,160"
"NM","W - White","60-69.9","0-9.9","003","7,985"
"NM","W - White","20-29.9","90-100","001","7,981"
"NM","W - White","70-79.9","90-100","002","7,862"
"NM","W - White","60-69.9","0-9.9","002","7,794"
"NM","H - Hispanic or Latino","60-69.9","90-100","001","7,774"
"NM","H - Hispanic or Latino","20-29.9","90-100","003","7,731"
"NM","H - Hispanic or Latino","10-19.9","90-100","003","7,659"
"NM","W - White","50-59.9","0-9.9","003","7,622"
"NM","W - White","20-29.9","90-100","003","7,531"
