"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"NV","W - White","80-89.9","0-9.9","002","43,025"
"NV","W - White","90-100","0-9.9","002","38,180"
"NV","W - White","80-89.9","90-100","002","27,678"
"NV","W - White","90-100","90-100","002","25,906"
"NV","W - White","80-89.9","90-100","003","24,220"
"NV","W - White","80-89.9","0-9.9","003","23,998"
"NV","W - White","80-89.9","0-9.9","004","23,088"
"NV","W - White","80-89.9","0-9.9","001","21,836"
"NV","W - White","70-79.9","0-9.9","002","21,786"
"NV","W - White","80-89.9","90-100","001","20,550"
"NV","W - White","90-100","0-9.9","003","19,710"
"NV","W - White","90-100","0-9.9","001","19,155"
"NV","W - White","60-69.9","0-9.9","002","18,943"
"NV","W - White","20-29.9","0-9.9","002","18,730"
"NV","W - White","90-100","90-100","003","18,386"
"NV","W - White","90-100","0-9.9","004","18,047"
"NV","W - White","50-59.9","0-9.9","002","17,838"
"NV","W - White","80-89.9","90-100","004","17,441"
"NV","W - White","30-39.9","0-9.9","002","16,948"
"NV","W - White","40-49.9","0-9.9","002","16,942"
"NV","W - White","90-100","90-100","001","16,340"
"NV","W - White","10-19.9","0-9.9","002","16,317"
"NV","W - White","70-79.9","90-100","002","14,023"
"NV","W - White","90-100","90-100","004","13,574"
"NV","W - White","70-79.9","0-9.9","003","13,275"
"NV","W - White","70-79.9","90-100","003","12,745"
"NV","W - White","70-79.9","0-9.9","004","12,589"
"NV","W - White","30-39.9","90-100","002","12,215"
"NV","W - White","60-69.9","90-100","002","12,032"
"NV","W - White","50-59.9","0-9.9","003","11,894"
"NV","W - White","70-79.9","0-9.9","001","11,576"
"NV","W - White","60-69.9","0-9.9","003","11,545"
"NV","W - White","20-29.9","0-9.9","004","11,356"
"NV","W - White","10-19.9","0-9.9","004","10,834"
"NV","W - White","70-79.9","90-100","001","10,753"
"NV","W - White","40-49.9","0-9.9","003","10,743"
"NV","W - White","60-69.9","90-100","003","10,684"
"NV","W - White","30-39.9","0-9.9","004","10,681"
"NV","W - White","60-69.9","0-9.9","004","10,663"
"NV","W - White","0-9.9","0-9.9","002","10,587"
"NV","W - White","40-49.9","0-9.9","004","10,464"
"NV","W - White","50-59.9","0-9.9","004","10,371"
"NV","W - White","30-39.9","0-9.9","003","10,337"
"NV","W - White","20-29.9","90-100","002","10,334"
"NV","W - White","10-19.9","0-9.9","003","10,304"
"NV","W - White","50-59.9","90-100","002","9,761"
"NV","W - White","50-59.9","0-9.9","001","9,681"
"NV","W - White","20-29.9","0-9.9","003","9,621"
"NV","W - White","40-49.9","90-100","002","9,587"
"NV","W - White","60-69.9","0-9.9","001","9,551"
"NV","W - White","10-19.9","0-9.9","001","9,292"
"NV","W - White","70-79.9","90-100","004","9,215"
"NV","W - White","40-49.9","0-9.9","001","9,183"
"NV","W - White","60-69.9","90-100","001","8,671"
"NV","W - White","30-39.9","0-9.9","001","8,665"
"NV","W - White","20-29.9","0-9.9","001","8,651"
"NV","H - Hispanic or Latino","80-89.9","90-100","001","8,582"
"NV","W - White","10-19.9","90-100","002","8,403"
"NV","B - Black","80-89.9","90-100","004","8,365"
"NV","W - White","50-59.9","90-100","003","8,244"
"NV","W - White","10-19.9","90-100","003","8,097"
"NV","B - Black","10-19.9","90-100","004","8,054"
"NV","H - Hispanic or Latino","80-89.9","90-100","004","7,890"
"NV","H - Hispanic or Latino","40-49.9","90-100","004","7,766"
"NV","H - Hispanic or Latino","10-19.9","90-100","004","7,744"
"NV","W - White","40-49.9","90-100","003","7,640"
"NV","W - White","30-39.9","90-100","003","7,598"
"NV","W - White","10-19.9","90-100","001","7,528"
"NV","H - Hispanic or Latino","50-59.9","90-100","004","7,477"
"NV","W - White","60-69.9","90-100","004","7,461"
"NV","H - Hispanic or Latino","70-79.9","90-100","001","7,376"
"NV","H - Hispanic or Latino","20-29.9","90-100","004","7,343"
"NV","H - Hispanic or Latino","40-49.9","90-100","001","7,340"
"NV","H - Hispanic or Latino","70-79.9","90-100","004","7,258"
"NV","H - Hispanic or Latino","10-19.9","90-100","001","7,241"
"NV","W - White","20-29.9","90-100","003","7,235"
"NV","B - Black","0-9.9","90-100","004","7,210"
"NV","H - Hispanic or Latino","50-59.9","90-100","001","7,183"
"NV","W - White","20-29.9","10-19.9","002","7,156"
"NV","W - White","10-19.9","90-100","004","6,954"
"NV","H - Hispanic or Latino","60-69.9","90-100","001","6,929"
"NV","H - Hispanic or Latino","30-39.9","90-100","004","6,921"
"NV","H - Hispanic or Latino","60-69.9","90-100","004","6,907"
"NV","H - Hispanic or Latino","80-89.9","90-100","003","6,811"
"NV","W - White","30-39.9","10-19.9","002","6,779"
"NV","B - Black","20-29.9","90-100","004","6,776"
"NV","W - White","30-39.9","90-100","001","6,764"
"NV","W - White","50-59.9","90-100","001","6,722"
"NV","W - White","40-49.9","90-100","001","6,687"
"NV","H - Hispanic or Latino","20-29.9","90-100","001","6,623"
"NV","W - White","20-29.9","90-100","001","6,568"
"NV","W - White","0-9.9","0-9.9","004","6,527"
"NV","W - White","0-9.9","0-9.9","003","6,391"
"NV","W - White","0-9.9","0-9.9","001","6,336"
"NV","H - Hispanic or Latino","0-9.9","90-100","001","6,321"
"NV","W - White","0-9.9","90-100","001","6,260"
"NV","H - Hispanic or Latino","30-39.9","90-100","001","6,235"
"NV","H - Hispanic or Latino","0-9.9","90-100","004","6,178"
"NV","W - White","20-29.9","90-100","004","5,992"
"NV","W - White","30-39.9","90-100","004","5,864"
"NV","W - White","0-9.9","90-100","003","5,702"
"NV","W - White","50-59.9","90-100","004","5,690"
"NV","W - White","30-39.9","10-19.9","003","5,591"
"NV","H - Hispanic or Latino","50-59.9","90-100","002","5,525"
"NV","H - Hispanic or Latino","80-89.9","90-100","002","5,512"
"NV","B - Black","30-39.9","90-100","004","5,453"
"NV","W - White","40-49.9","90-100","004","5,452"
"NV","W - White","0-9.9","90-100","004","5,404"
"NV","B - Black","70-79.9","90-100","004","5,315"
"NV","H - Hispanic or Latino","70-79.9","90-100","003","5,207"
"NV","W - White","80-89.9","10-19.9","002","5,182"
"NV","W - White","0-9.9","90-100","002","5,170"
"NV","B - Black","60-69.9","90-100","004","5,097"
"NV","W - White","20-29.9","10-19.9","004","5,092"
"NV","W - White","40-49.9","10-19.9","002","5,044"
"NV","W - White","30-39.9","10-19.9","004","5,044"
"NV","H - Hispanic or Latino","20-29.9","90-100","002","4,998"
"NV","W - White","10-19.9","10-19.9","002","4,903"
