"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"NY","W - White","80-89.9","90-100","012","72,114"
"NY","W - White","90-100","0-9.9","023","59,262"
"NY","W - White","80-89.9","90-100","010","57,050"
"NY","W - White","90-100","90-100","020","56,841"
"NY","W - White","90-100","0-9.9","024","56,023"
"NY","W - White","70-79.9","90-100","012","51,974"
"NY","W - White","90-100","90-100","026","50,739"
"NY","W - White","90-100","90-100","025","49,767"
"NY","W - White","90-100","0-9.9","001","48,741"
"NY","W - White","90-100","0-9.9","021","48,359"
"NY","W - White","80-89.9","0-9.9","024","44,757"
"NY","W - White","90-100","0-9.9","022","44,410"
"NY","W - White","80-89.9","0-9.9","023","43,867"
"NY","W - White","90-100","90-100","022","43,432"
"NY","W - White","90-100","90-100","019","43,161"
"NY","W - White","90-100","0-9.9","019","43,039"
"NY","W - White","90-100","0-9.9","025","41,737"
"NY","W - White","80-89.9","90-100","019","41,485"
"NY","W - White","80-89.9","0-9.9","001","41,145"
"NY","W - White","80-89.9","90-100","020","40,826"
"NY","W - White","90-100","0-9.9","002","40,289"
"NY","W - White","90-100","90-100","023","40,111"
"NY","W - White","80-89.9","0-9.9","021","39,259"
"NY","W - White","90-100","90-100","001","39,047"
"NY","W - White","90-100","0-9.9","020","38,867"
"NY","W - White","80-89.9","90-100","025","38,773"
"NY","W - White","70-79.9","90-100","010","38,481"
"NY","W - White","80-89.9","90-100","026","37,843"
"NY","W - White","90-100","90-100","018","37,302"
"NY","W - White","60-69.9","90-100","012","36,638"
"NY","W - White","90-100","0-9.9","018","36,239"
"NY","W - White","80-89.9","90-100","001","36,177"
"NY","W - White","90-100","90-100","017","34,985"
"NY","B - Black","80-89.9","90-100","009","34,798"
"NY","W - White","90-100","0-9.9","004","34,770"
"NY","W - White","80-89.9","90-100","018","34,712"
"NY","W - White","80-89.9","0-9.9","019","34,128"
"NY","W - White","40-49.9","90-100","012","34,128"
"NY","B - Black","80-89.9","90-100","005","34,032"
"NY","W - White","80-89.9","90-100","022","34,003"
"NY","W - White","90-100","90-100","016","33,964"
"NY","W - White","80-89.9","0-9.9","002","33,585"
"NY","W - White","90-100","90-100","003","32,850"
"NY","B - Black","80-89.9","90-100","008","32,707"
"NY","W - White","50-59.9","90-100","012","32,251"
"NY","W - White","90-100","90-100","012","31,796"
"NY","W - White","90-100","0-9.9","003","31,748"
"NY","W - White","80-89.9","90-100","023","31,470"
"NY","W - White","80-89.9","90-100","016","30,601"
"NY","W - White","90-100","0-9.9","026","30,360"
"NY","W - White","80-89.9","0-9.9","022","29,698"
"NY","W - White","80-89.9","0-9.9","004","29,591"
"NY","W - White","80-89.9","90-100","003","29,183"
"NY","W - White","90-100","90-100","021","29,062"
"NY","W - White","80-89.9","90-100","007","28,965"
"NY","W - White","90-100","90-100","024","28,604"
"NY","B - Black","70-79.9","90-100","009","28,055"
"NY","W - White","20-29.9","90-100","012","27,907"
"NY","W - White","80-89.9","0-9.9","003","26,933"
"NY","B - Black","70-79.9","90-100","008","26,831"
"NY","W - White","80-89.9","0-9.9","018","26,711"
"NY","W - White","80-89.9","90-100","021","26,628"
"NY","W - White","60-69.9","90-100","010","26,373"
"NY","W - White","80-89.9","90-100","017","26,113"
"NY","W - White","90-100","90-100","004","25,939"
"NY","W - White","80-89.9","0-9.9","025","25,860"
"NY","W - White","80-89.9","90-100","024","25,688"
"NY","W - White","90-100","0-9.9","017","25,421"
"NY","B - Black","70-79.9","90-100","005","25,419"
"NY","W - White","70-79.9","0-9.9","024","25,294"
"NY","W - White","80-89.9","90-100","004","25,055"
"NY","H - Hispanic or Latino","70-79.9","90-100","013","24,286"
"NY","W - White","40-49.9","90-100","010","24,261"
"NY","W - White","30-39.9","90-100","012","24,220"
"NY","W - White","90-100","90-100","010","24,105"
"NY","W - White","70-79.9","90-100","007","24,001"
"NY","W - White","80-89.9","0-9.9","020","23,908"
"NY","W - White","70-79.9","0-9.9","023","23,880"
"NY","W - White","40-49.9","0-9.9","024","23,658"
"NY","W - White","40-49.9","0-9.9","023","23,597"
"NY","H - Hispanic or Latino","20-29.9","90-100","013","23,584"
"NY","H - Hispanic or Latino","0-9.9","90-100","013","23,375"
"NY","W - White","90-100","90-100","002","23,275"
"NY","H - Hispanic or Latino","40-49.9","90-100","013","23,019"
"NY","W - White","40-49.9","0-9.9","021","22,998"
"NY","W - White","80-89.9","90-100","002","22,982"
"NY","W - White","70-79.9","0-9.9","021","22,881"
"NY","H - Hispanic or Latino","10-19.9","90-100","013","22,631"
"NY","W - White","70-79.9","0-9.9","001","22,398"
"NY","W - White","50-59.9","90-100","010","22,365"
"NY","W - White","20-29.9","90-100","010","21,723"
"NY","H - Hispanic or Latino","0-9.9","90-100","015","21,383"
"NY","W - White","70-79.9","90-100","019","21,108"
"NY","W - White","20-29.9","0-9.9","021","20,956"
"NY","W - White","70-79.9","90-100","020","20,913"
"NY","B - Black","40-49.9","90-100","005","20,905"
"NY","H - Hispanic or Latino","50-59.9","90-100","013","20,475"
"NY","B - Black","60-69.9","90-100","009","20,416"
"NY","B - Black","10-19.9","90-100","008","20,338"
"NY","H - Hispanic or Latino","40-49.9","90-100","015","20,273"
"NY","W - White","20-29.9","90-100","007","20,234"
"NY","W - White","40-49.9","0-9.9","001","20,174"
"NY","B - Black","60-69.9","90-100","008","20,024"
"NY","H - Hispanic or Latino","60-69.9","90-100","013","19,870"
"NY","W - White","80-89.9","90-100","009","19,835"
"NY","W - White","80-89.9","0-9.9","011","19,810"
"NY","B - Black","60-69.9","90-100","005","19,627"
"NY","B - Black","40-49.9","90-100","008","19,615"
"NY","H - Hispanic or Latino","20-29.9","90-100","015","19,485"
"NY","W - White","80-89.9","0-9.9","026","19,476"
"NY","B - Black","10-19.9","90-100","005","19,374"
"NY","W - White","10-19.9","0-9.9","021","19,346"
"NY","W - White","70-79.9","90-100","026","19,321"
"NY","H - Hispanic or Latino","10-19.9","90-100","015","19,274"
"NY","B - Black","20-29.9","90-100","005","19,138"
"NY","B - Black","50-59.9","90-100","005","19,116"
"NY","W - White","70-79.9","90-100","001","19,059"
"NY","B - Black","20-29.9","90-100","008","18,974"
"NY","W - White","60-69.9","90-100","007","18,892"
"NY","B - Black","50-59.9","90-100","008","18,869"
"NY","B - Black","80-89.9","90-100","013","18,842"
"NY","W - White","70-79.9","0-9.9","019","18,821"
"NY","B - Black","40-49.9","90-100","009","18,791"
"NY","W - White","30-39.9","0-9.9","021","18,783"
"NY","W - White","20-29.9","0-9.9","024","18,758"
"NY","W - White","50-59.9","0-9.9","024","18,701"
"NY","W - White","70-79.9","0-9.9","002","18,675"
"NY","W - White","50-59.9","0-9.9","001","18,617"
"NY","B - Black","0-9.9","90-100","008","18,526"
"NY","W - White","70-79.9","90-100","025","18,520"
"NY","W - White","50-59.9","0-9.9","023","18,411"
"NY","H - Hispanic or Latino","40-49.9","90-100","014","18,404"
"NY","W - White","40-49.9","90-100","020","18,386"
"NY","W - White","50-59.9","90-100","007","18,384"
"NY","W - White","70-79.9","90-100","018","18,344"
"NY","W - White","60-69.9","0-9.9","001","18,338"
"NY","B - Black","50-59.9","90-100","009","18,295"
"NY","W - White","50-59.9","0-9.9","021","18,198"
"NY","W - White","80-89.9","90-100","013","18,048"
"NY","B - Black","10-19.9","90-100","009","18,037"
"NY","W - White","30-39.9","0-9.9","024","18,007"
"NY","W - White","40-49.9","90-100","007","17,883"
"NY","W - White","80-89.9","90-100","011","17,817"
"NY","W - White","60-69.9","0-9.9","024","17,791"
"NY","B - Black","80-89.9","90-100","016","17,727"
"NY","W - White","60-69.9","0-9.9","023","17,690"
"NY","W - White","80-89.9","0-9.9","017","17,659"
"NY","H - Hispanic or Latino","0-9.9","90-100","014","17,527"
"NY","B - Black","20-29.9","90-100","009","17,445"
"NY","W - White","50-59.9","0-9.9","002","17,424"
"NY","W - White","30-39.9","90-100","010","17,335"
"NY","W - White","20-29.9","0-9.9","023","17,225"
"NY","W - White","70-79.9","0-9.9","004","17,007"
"NY","H - Hispanic or Latino","30-39.9","90-100","013","16,986"
"NY","W - White","90-100","0-9.9","011","16,980"
"NY","B - Black","0-9.9","90-100","005","16,924"
"NY","W - White","70-79.9","90-100","022","16,895"
"NY","H - Hispanic or Latino","80-89.9","90-100","013","16,894"
"NY","W - White","30-39.9","0-9.9","023","16,886"
"NY","B - Black","80-89.9","90-100","015","16,883"
"NY","W - White","60-69.9","0-9.9","021","16,863"
"NY","H - Hispanic or Latino","70-79.9","90-100","014","16,809"
"NY","W - White","40-49.9","90-100","025","16,703"
"NY","W - White","90-100","0-9.9","016","16,578"
"NY","H - Hispanic or Latino","70-79.9","90-100","015","16,505"
"NY","W - White","40-49.9","0-9.9","002","16,493"
"NY","W - White","70-79.9","90-100","023","16,491"
"NY","B - Black","80-89.9","90-100","004","16,459"
"NY","B - Black","90-100","90-100","005","16,399"
"NY","H - Hispanic or Latino","50-59.9","90-100","015","16,329"
"NY","W - White","40-49.9","0-9.9","019","16,312"
"NY","W - White","10-19.9","0-9.9","024","16,232"
"NY","W - White","50-59.9","90-100","020","16,149"
"NY","W - White","60-69.9","0-9.9","002","16,076"
"NY","B - Black","70-79.9","90-100","013","16,047"
"NY","H - Hispanic or Latino","20-29.9","90-100","014","16,038"
"NY","H - Hispanic or Latino","10-19.9","90-100","014","15,893"
"NY","W - White","60-69.9","90-100","020","15,881"
"NY","B - Black","0-9.9","90-100","009","15,672"
"NY","W - White","70-79.9","90-100","003","15,645"
"NY","W - White","70-79.9","0-9.9","003","15,539"
"NY","W - White","50-59.9","90-100","026","15,518"
"NY","W - White","70-79.9","0-9.9","022","15,470"
"NY","W - White","50-59.9","0-9.9","004","15,381"
"NY","B - Black","10-19.9","90-100","015","15,351"
"NY","W - White","50-59.9","0-9.9","011","15,293"
"NY","W - White","60-69.9","90-100","026","15,249"
"NY","W - White","40-49.9","90-100","022","15,179"
"NY","W - White","90-100","90-100","011","15,168"
"NY","H - Hispanic or Latino","50-59.9","90-100","014","15,140"
"NY","W - White","40-49.9","0-9.9","004","15,102"
"NY","W - White","50-59.9","90-100","001","15,094"
"NY","W - White","50-59.9","90-100","025","15,039"
"NY","W - White","70-79.9","90-100","009","15,015"
"NY","B - Black","20-29.9","90-100","015","14,999"
"NY","B - Black","70-79.9","90-100","015","14,987"
"NY","B - Black","40-49.9","90-100","015","14,949"
"NY","W - White","60-69.9","90-100","001","14,901"
"NY","H - Hispanic or Latino","60-69.9","90-100","015","14,866"
"NY","W - White","40-49.9","90-100","018","14,726"
"NY","W - White","70-79.9","0-9.9","018","14,673"
"NY","W - White","70-79.9","90-100","021","14,620"
"NY","H - Hispanic or Latino","60-69.9","90-100","014","14,584"
"NY","H - Hispanic or Latino","70-79.9","90-100","007","14,576"
"NY","H - Hispanic or Latino","10-19.9","90-100","007","14,546"
"NY","W - White","40-49.9","90-100","019","14,544"
"NY","W - White","40-49.9","0-9.9","022","14,525"
"NY","W - White","70-79.9","90-100","016","14,525"
"NY","W - White","60-69.9","90-100","025","14,458"
"NY","H - Hispanic or Latino","40-49.9","90-100","007","14,446"
"NY","W - White","20-29.9","0-9.9","019","14,390"
"NY","W - White","70-79.9","0-9.9","011","14,316"
"NY","H - Hispanic or Latino","30-39.9","90-100","015","14,299"
"NY","W - White","40-49.9","90-100","001","14,260"
"NY","W - White","10-19.9","0-9.9","023","14,177"
"NY","W - White","40-49.9","0-9.9","011","14,150"
"NY","W - White","70-79.9","90-100","004","14,100"
"NY","B - Black","0-9.9","90-100","015","13,989"
"NY","W - White","40-49.9","90-100","026","13,945"
"NY","B - Black","30-39.9","90-100","005","13,931"
"NY","W - White","70-79.9","90-100","024","13,914"
"NY","W - White","80-89.9","0-9.9","016","13,766"
"NY","W - White","40-49.9","0-9.9","003","13,700"
"NY","W - White","60-69.9","90-100","019","13,698"
"NY","W - White","0-9.9","0-9.9","021","13,656"
"NY","W - White","50-59.9","0-9.9","003","13,594"
"NY","W - White","60-69.9","90-100","018","13,465"
"NY","W - White","40-49.9","0-9.9","018","13,445"
"NY","B - Black","10-19.9","90-100","013","13,335"
"NY","B - Black","20-29.9","90-100","013","13,329"
"NY","W - White","60-69.9","0-9.9","011","13,295"
"NY","A - Asian or Pacific Islander","40-49.9","90-100","006","13,222"
"NY","W - White","50-59.9","0-9.9","019","13,212"
"NY","H - Hispanic or Latino","0-9.9","90-100","007","13,184"
"NY","W - White","30-39.9","90-100","007","13,047"
"NY","W - White","50-59.9","90-100","022","12,986"
"NY","W - White","60-69.9","0-9.9","004","12,976"
"NY","W - White","10-19.9","0-9.9","019","12,968"
"NY","W - White","10-19.9","90-100","012","12,960"
"NY","W - White","80-89.9","90-100","008","12,944"
"NY","W - White","30-39.9","90-100","020","12,943"
"NY","W - White","50-59.9","90-100","018","12,880"
"NY","W - White","80-89.9","90-100","006","12,847"
"NY","W - White","40-49.9","90-100","023","12,840"
"NY","W - White","80-89.9","90-100","014","12,830"
"NY","H - Hispanic or Latino","80-89.9","90-100","014","12,804"
"NY","W - White","70-79.9","90-100","002","12,794"
"NY","W - White","70-79.9","0-9.9","025","12,790"
"NY","B - Black","60-69.9","90-100","013","12,762"
"NY","W - White","60-69.9","0-9.9","003","12,743"
"NY","B - Black","50-59.9","90-100","015","12,743"
"NY","H - Hispanic or Latino","20-29.9","90-100","007","12,709"
"NY","W - White","50-59.9","90-100","019","12,668"
"NY","W - White","30-39.9","0-9.9","019","12,651"
"NY","W - White","60-69.9","0-9.9","019","12,641"
"NY","W - White","60-69.9","90-100","022","12,601"
"NY","W - White","70-79.9","90-100","013","12,594"
"NY","W - White","20-29.9","90-100","020","12,528"
"NY","H - Hispanic or Latino","60-69.9","90-100","007","12,514"
"NY","B - Black","60-69.9","90-100","015","12,502"
"NY","B - Black","30-39.9","90-100","008","12,386"
"NY","H - Hispanic or Latino","30-39.9","90-100","014","12,380"
"NY","W - White","70-79.9","0-9.9","020","12,333"
"NY","B - Black","90-100","90-100","008","12,329"
"NY","H - Hispanic or Latino","50-59.9","90-100","007","12,310"
"NY","W - White","70-79.9","90-100","017","12,259"
"NY","W - White","40-49.9","90-100","021","12,210"
"NY","B - Black","40-49.9","90-100","013","12,183"
"NY","W - White","50-59.9","0-9.9","022","12,159"
"NY","W - White","60-69.9","90-100","023","12,135"
"NY","B - Black","30-39.9","90-100","009","12,077"
"NY","W - White","50-59.9","90-100","003","12,014"
"NY","B - Black","50-59.9","90-100","013","11,975"
"NY","W - White","40-49.9","0-9.9","025","11,963"
"NY","W - White","70-79.9","90-100","011","11,923"
"NY","W - White","30-39.9","0-9.9","001","11,902"
"NY","W - White","20-29.9","0-9.9","001","11,868"
"NY","W - White","20-29.9","90-100","019","11,848"
"NY","W - White","60-69.9","90-100","003","11,838"
"NY","B - Black","70-79.9","90-100","016","11,838"
"NY","B - Black","90-100","90-100","009","11,747"
"NY","B - Black","0-9.9","90-100","013","11,728"
"NY","W - White","50-59.9","90-100","023","11,707"
"NY","W - White","40-49.9","0-9.9","020","11,693"
"NY","A - Asian or Pacific Islander","0-9.9","90-100","006","11,647"
"NY","W - White","0-9.9","0-9.9","024","11,511"
"NY","W - White","50-59.9","90-100","016","11,496"
"NY","W - White","40-49.9","90-100","024","11,474"
"NY","W - White","20-29.9","90-100","018","11,453"
"NY","W - White","30-39.9","90-100","019","11,358"
"NY","W - White","60-69.9","90-100","009","11,340"
"NY","H - Hispanic or Latino","80-89.9","90-100","015","11,328"
"NY","W - White","50-59.9","90-100","004","11,315"
"NY","W - White","50-59.9","0-9.9","018","11,254"
"NY","W - White","60-69.9","0-9.9","022","11,253"
"NY","W - White","50-59.9","90-100","002","11,092"
"NY","H - Hispanic or Latino","80-89.9","90-100","007","11,058"
"NY","W - White","60-69.9","90-100","002","10,907"
"NY","W - White","20-29.9","90-100","026","10,783"
"NY","W - White","30-39.9","90-100","018","10,733"
"NY","W - White","60-69.9","0-9.9","018","10,732"
"NY","W - White","40-49.9","90-100","016","10,729"
"NY","B - Black","70-79.9","90-100","004","10,721"
"NY","W - White","30-39.9","90-100","025","10,714"
"NY","W - White","70-79.9","0-9.9","026","10,661"
"NY","W - White","20-29.9","0-9.9","022","10,618"
"NY","B - Black","80-89.9","90-100","026","10,603"
"NY","W - White","60-69.9","90-100","021","10,544"
"NY","A - Asian or Pacific Islander","70-79.9","90-100","006","10,487"
"NY","W - White","60-69.9","90-100","016","10,449"
"NY","W - White","40-49.9","0-9.9","026","10,427"
"NY","W - White","10-19.9","90-100","007","10,419"
"NY","A - Asian or Pacific Islander","50-59.9","90-100","006","10,390"
"NY","W - White","50-59.9","90-100","021","10,380"
"NY","W - White","20-29.9","0-9.9","018","10,359"
"NY","W - White","70-79.9","90-100","008","10,327"
"NY","W - White","30-39.9","90-100","022","10,311"
"NY","W - White","50-59.9","0-9.9","025","10,292"
"NY","W - White","60-69.9","90-100","004","10,283"
"NY","W - White","20-29.9","0-9.9","011","10,254"
"NY","W - White","60-69.9","90-100","024","10,242"
"NY","W - White","20-29.9","90-100","022","10,223"
"NY","W - White","40-49.9","90-100","003","10,158"
"NY","W - White","20-29.9","90-100","009","10,153"
"NY","W - White","10-19.9","90-100","010","10,141"
"NY","W - White","20-29.9","0-9.9","002","10,133"
"NY","W - White","50-59.9","90-100","024","10,130"
"NY","W - White","20-29.9","90-100","025","10,074"
"NY","W - White","60-69.9","0-9.9","025","9,992"
"NY","W - White","30-39.9","0-9.9","022","9,988"
"NY","A - Asian or Pacific Islander","10-19.9","90-100","006","9,979"
