"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"OH","W - White","90-100","0-9.9","004","87,422"
"OH","W - White","90-100","0-9.9","012","81,966"
"OH","W - White","90-100","0-9.9","008","81,760"
"OH","W - White","90-100","0-9.9","007","76,273"
"OH","W - White","90-100","0-9.9","002","72,612"
"OH","W - White","90-100","0-9.9","014","71,096"
"OH","W - White","90-100","0-9.9","001","70,298"
"OH","W - White","90-100","0-9.9","005","69,121"
"OH","W - White","90-100","0-9.9","010","68,242"
"OH","W - White","90-100","0-9.9","009","62,397"
"OH","W - White","90-100","0-9.9","006","61,826"
"OH","W - White","90-100","0-9.9","013","58,861"
"OH","W - White","90-100","0-9.9","015","57,050"
"OH","W - White","90-100","90-100","007","56,514"
"OH","W - White","90-100","90-100","014","55,758"
"OH","W - White","90-100","90-100","013","51,186"
"OH","W - White","80-89.9","0-9.9","004","47,060"
"OH","W - White","90-100","90-100","003","46,041"
"OH","W - White","90-100","90-100","006","43,880"
"OH","W - White","80-89.9","0-9.9","002","43,872"
"OH","W - White","90-100","90-100","009","42,854"
"OH","W - White","80-89.9","0-9.9","012","41,257"
"OH","W - White","90-100","90-100","011","40,813"
"OH","W - White","90-100","90-100","005","39,197"
"OH","W - White","90-100","0-9.9","003","36,297"
"OH","W - White","80-89.9","0-9.9","006","35,864"
"OH","W - White","80-89.9","0-9.9","005","35,601"
"OH","B - Black","90-100","90-100","011","35,332"
"OH","W - White","80-89.9","0-9.9","008","34,939"
"OH","W - White","80-89.9","0-9.9","014","34,630"
"OH","W - White","80-89.9","0-9.9","007","33,646"
"OH","W - White","90-100","90-100","001","32,791"
"OH","W - White","90-100","90-100","012","32,548"
"OH","W - White","90-100","90-100","010","32,286"
"OH","B - Black","80-89.9","90-100","011","31,846"
"OH","W - White","80-89.9","90-100","003","31,053"
"OH","W - White","90-100","90-100","008","30,605"
"OH","W - White","80-89.9","0-9.9","001","30,493"
"OH","W - White","80-89.9","0-9.9","010","30,448"
"OH","W - White","80-89.9","0-9.9","009","30,342"
"OH","W - White","90-100","90-100","015","30,146"
"OH","W - White","90-100","90-100","002","28,600"
"OH","W - White","80-89.9","0-9.9","015","28,571"
"OH","W - White","80-89.9","90-100","007","26,635"
"OH","W - White","80-89.9","90-100","011","26,495"
"OH","W - White","80-89.9","90-100","013","26,139"
"OH","W - White","90-100","90-100","004","25,449"
"OH","W - White","80-89.9","90-100","014","25,417"
"OH","W - White","80-89.9","0-9.9","013","24,894"
"OH","B - Black","0-9.9","90-100","011","24,063"
"OH","W - White","80-89.9","90-100","009","21,259"
"OH","W - White","80-89.9","90-100","001","21,244"
"OH","B - Black","30-39.9","90-100","011","20,726"
"OH","W - White","80-89.9","90-100","006","20,563"
"OH","W - White","70-79.9","0-9.9","004","20,365"
"OH","W - White","70-79.9","0-9.9","002","20,109"
"OH","W - White","80-89.9","90-100","015","19,772"
"OH","B - Black","20-29.9","90-100","011","19,764"
"OH","W - White","80-89.9","90-100","005","19,387"
"OH","W - White","80-89.9","90-100","010","18,303"
"OH","W - White","80-89.9","90-100","012","17,061"
"OH","W - White","80-89.9","90-100","008","16,853"
"OH","B - Black","70-79.9","90-100","011","16,796"
"OH","W - White","70-79.9","0-9.9","012","16,704"
"OH","B - Black","10-19.9","90-100","011","16,615"
"OH","W - White","90-100","0-9.9","011","16,574"
"OH","W - White","40-49.9","90-100","003","16,308"
"OH","W - White","80-89.9","90-100","002","16,251"
"OH","W - White","70-79.9","0-9.9","006","16,159"
"OH","B - Black","90-100","90-100","003","15,444"
"OH","W - White","70-79.9","90-100","003","15,227"
"OH","W - White","70-79.9","0-9.9","005","15,026"
"OH","B - Black","80-89.9","90-100","003","14,878"
"OH","B - Black","40-49.9","90-100","011","14,832"
"OH","W - White","60-69.9","0-9.9","002","14,317"
"OH","W - White","70-79.9","0-9.9","014","14,286"
"OH","W - White","30-39.9","90-100","003","14,064"
"OH","W - White","60-69.9","0-9.9","004","14,053"
"OH","W - White","80-89.9","0-9.9","003","13,855"
"OH","W - White","80-89.9","90-100","004","13,625"
"OH","W - White","70-79.9","0-9.9","007","13,120"
"OH","W - White","70-79.9","0-9.9","009","13,036"
"OH","W - White","70-79.9","0-9.9","008","12,888"
"OH","B - Black","30-39.9","90-100","003","12,668"
"OH","B - Black","60-69.9","90-100","011","12,643"
"OH","W - White","40-49.9","90-100","011","12,331"
"OH","W - White","70-79.9","0-9.9","015","12,133"
"OH","B - Black","0-9.9","90-100","001","11,981"
"OH","B - Black","20-29.9","90-100","003","11,966"
"OH","B - Black","50-59.9","90-100","011","11,867"
"OH","W - White","70-79.9","90-100","011","11,849"
"OH","W - White","70-79.9","0-9.9","010","11,776"
"OH","W - White","50-59.9","0-9.9","002","11,593"
"OH","B - Black","0-9.9","90-100","003","11,382"
"OH","W - White","70-79.9","0-9.9","001","11,342"
"OH","W - White","60-69.9","0-9.9","006","11,232"
"OH","W - White","50-59.9","0-9.9","004","11,191"
"OH","W - White","30-39.9","90-100","011","11,056"
"OH","W - White","20-29.9","90-100","003","10,517"
"OH","W - White","60-69.9","0-9.9","012","10,433"
"OH","B - Black","90-100","90-100","010","10,393"
"OH","B - Black","90-100","90-100","001","10,237"
"OH","B - Black","80-89.9","90-100","001","10,051"
"OH","W - White","70-79.9","90-100","007","10,037"
"OH","W - White","60-69.9","0-9.9","005","10,020"
"OH","W - White","40-49.9","90-100","001","9,875"
"OH","W - White","70-79.9","90-100","013","9,871"
"OH","W - White","70-79.9","90-100","014","9,853"
"OH","B - Black","10-19.9","90-100","003","9,703"
"OH","W - White","50-59.9","90-100","003","9,594"
"OH","W - White","60-69.9","90-100","003","9,568"
"OH","B - Black","40-49.9","90-100","003","9,528"
"OH","W - White","50-59.9","0-9.9","006","9,433"
"OH","W - White","40-49.9","0-9.9","002","9,414"
"OH","W - White","30-39.9","90-100","001","9,370"
"OH","W - White","40-49.9","0-9.9","004","9,154"
"OH","B - Black","70-79.9","90-100","003","9,148"
"OH","W - White","70-79.9","90-100","001","9,075"
"OH","W - White","70-79.9","0-9.9","013","9,013"
"OH","W - White","60-69.9","0-9.9","014","8,797"
"OH","W - White","20-29.9","10-19.9","002","8,749"
"OH","W - White","70-79.9","90-100","009","8,643"
"OH","W - White","70-79.9","90-100","015","8,600"
"OH","W - White","40-49.9","90-100","013","8,594"
"OH","W - White","30-39.9","90-100","013","8,579"
"OH","W - White","40-49.9","90-100","007","8,485"
"OH","B - Black","90-100","90-100","008","8,383"
"OH","W - White","40-49.9","10-19.9","002","8,349"
"OH","W - White","60-69.9","0-9.9","009","8,345"
"OH","W - White","40-49.9","10-19.9","004","8,333"
"OH","W - White","20-29.9","10-19.9","004","8,215"
"OH","B - Black","80-89.9","90-100","010","8,185"
"OH","W - White","20-29.9","0-9.9","002","7,919"
"OH","W - White","10-19.9","10-19.9","002","7,893"
"OH","B - Black","20-29.9","90-100","001","7,840"
"OH","W - White","70-79.9","90-100","006","7,802"
"OH","W - White","50-59.9","10-19.9","002","7,778"
"OH","W - White","50-59.9","0-9.9","012","7,755"
"OH","W - White","60-69.9","90-100","011","7,730"
"OH","W - White","60-69.9","0-9.9","015","7,711"
"OH","B - Black","30-39.9","90-100","001","7,700"
"OH","W - White","70-79.9","90-100","005","7,678"
"OH","W - White","50-59.9","0-9.9","005","7,645"
"OH","W - White","50-59.9","90-100","011","7,638"
"OH","W - White","60-69.9","0-9.9","008","7,605"
"OH","W - White","50-59.9","10-19.9","004","7,461"
"OH","W - White","40-49.9","90-100","015","7,434"
"OH","W - White","60-69.9","0-9.9","007","7,415"
"OH","W - White","80-89.9","0-9.9","011","7,316"
"OH","W - White","40-49.9","0-9.9","006","7,282"
"OH","W - White","70-79.9","90-100","010","7,243"
"OH","W - White","10-19.9","0-9.9","002","7,212"
"OH","W - White","20-29.9","0-9.9","004","7,145"
"OH","W - White","40-49.9","10-19.9","006","7,120"
"OH","B - Black","10-19.9","90-100","001","7,081"
"OH","W - White","20-29.9","90-100","011","6,984"
"OH","B - Black","90-100","90-100","013","6,933"
"OH","W - White","10-19.9","10-19.9","004","6,895"
"OH","B - Black","60-69.9","90-100","003","6,887"
"OH","W - White","80-89.9","10-19.9","004","6,880"
"OH","W - White","70-79.9","90-100","002","6,849"
"OH","W - White","60-69.9","0-9.9","010","6,822"
"OH","B - Black","50-59.9","90-100","003","6,807"
"OH","B - Black","80-89.9","90-100","008","6,796"
"OH","W - White","50-59.9","10-19.9","006","6,735"
"OH","W - White","70-79.9","90-100","008","6,718"
"OH","W - White","80-89.9","10-19.9","002","6,654"
"OH","W - White","30-39.9","90-100","007","6,654"
"OH","B - Black","90-100","90-100","009","6,645"
"OH","W - White","10-19.9","90-100","003","6,637"
"OH","W - White","30-39.9","10-19.9","002","6,606"
"OH","W - White","20-29.9","10-19.9","006","6,545"
"OH","W - White","20-29.9","90-100","001","6,515"
"OH","W - White","70-79.9","90-100","012","6,505"
"OH","W - White","30-39.9","10-19.9","004","6,450"
"OH","W - White","60-69.9","0-9.9","001","6,448"
"OH","W - White","30-39.9","90-100","015","6,408"
"OH","W - White","30-39.9","0-9.9","002","6,397"
"OH","W - White","50-59.9","0-9.9","014","6,368"
"OH","W - White","0-9.9","10-19.9","002","6,367"
"OH","W - White","30-39.9","90-100","010","6,329"
"OH","W - White","60-69.9","10-19.9","004","6,302"
"OH","W - White","40-49.9","90-100","014","6,292"
"OH","W - White","70-79.9","10-19.9","004","6,278"
"OH","W - White","80-89.9","10-19.9","006","6,233"
"OH","W - White","40-49.9","90-100","008","6,223"
"OH","W - White","40-49.9","90-100","009","6,201"
"OH","W - White","60-69.9","10-19.9","002","6,134"
"OH","W - White","40-49.9","0-9.9","005","6,116"
"OH","W - White","30-39.9","90-100","009","6,113"
"OH","W - White","20-29.9","90-100","013","6,067"
"OH","W - White","40-49.9","0-9.9","012","6,054"
"OH","W - White","50-59.9","0-9.9","015","6,033"
"OH","W - White","20-29.9","90-100","005","6,005"
"OH","W - White","10-19.9","0-9.9","004","6,002"
"OH","W - White","40-49.9","90-100","010","5,982"
"OH","W - White","50-59.9","0-9.9","009","5,966"
"OH","W - White","30-39.9","0-9.9","004","5,964"
"OH","W - White","0-9.9","10-19.9","004","5,960"
"OH","W - White","10-19.9","10-19.9","006","5,934"
"OH","W - White","30-39.9","90-100","008","5,915"
"OH","W - White","30-39.9","90-100","005","5,910"
"OH","W - White","20-29.9","20-29.9","002","5,910"
"OH","W - White","50-59.9","10-19.9","012","5,833"
"OH","W - White","60-69.9","90-100","013","5,794"
"OH","W - White","60-69.9","90-100","007","5,785"
"OH","W - White","70-79.9","10-19.9","002","5,781"
"OH","W - White","30-39.9","90-100","014","5,754"
"OH","W - White","60-69.9","90-100","014","5,728"
"OH","W - White","60-69.9","10-19.9","006","5,701"
"OH","W - White","40-49.9","10-19.9","012","5,698"
"OH","W - White","20-29.9","90-100","012","5,684"
"OH","W - White","20-29.9","0-9.9","006","5,676"
"OH","B - Black","80-89.9","90-100","013","5,664"
"OH","W - White","60-69.9","90-100","001","5,659"
"OH","W - White","50-59.9","10-19.9","005","5,652"
