"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"OK","W - White","90-100","0-9.9","005","51,460"
"OK","W - White","90-100","0-9.9","001","48,550"
"OK","W - White","80-89.9","0-9.9","005","46,741"
"OK","W - White","80-89.9","0-9.9","001","45,322"
"OK","W - White","80-89.9","0-9.9","004","43,365"
"OK","W - White","80-89.9","0-9.9","003","42,576"
"OK","W - White","90-100","0-9.9","004","39,238"
"OK","W - White","80-89.9","0-9.9","002","35,160"
"OK","W - White","90-100","0-9.9","003","34,322"
"OK","W - White","20-29.9","0-9.9","004","32,988"
"OK","W - White","20-29.9","0-9.9","003","31,074"
"OK","W - White","20-29.9","0-9.9","002","28,893"
"OK","W - White","20-29.9","0-9.9","005","26,706"
"OK","W - White","70-79.9","0-9.9","005","25,852"
"OK","W - White","30-39.9","0-9.9","004","25,488"
"OK","W - White","70-79.9","0-9.9","004","24,577"
"OK","W - White","90-100","0-9.9","002","24,053"
"OK","W - White","70-79.9","0-9.9","003","24,051"
"OK","W - White","40-49.9","0-9.9","004","24,046"
"OK","W - White","70-79.9","0-9.9","001","23,897"
"OK","W - White","30-39.9","0-9.9","003","23,708"
"OK","W - White","90-100","90-100","005","23,381"
"OK","W - White","40-49.9","0-9.9","005","23,285"
"OK","W - White","30-39.9","0-9.9","005","22,928"
"OK","W - White","40-49.9","0-9.9","003","22,800"
"OK","W - White","80-89.9","90-100","001","22,757"
"OK","W - White","80-89.9","90-100","005","22,395"
"OK","W - White","90-100","90-100","001","22,076"
"OK","W - White","20-29.9","0-9.9","001","21,817"
"OK","W - White","30-39.9","0-9.9","002","20,866"
"OK","W - White","70-79.9","0-9.9","002","20,829"
"OK","W - White","80-89.9","90-100","004","20,697"
"OK","W - White","50-59.9","0-9.9","004","20,547"
"OK","W - White","40-49.9","0-9.9","001","20,533"
"OK","W - White","60-69.9","0-9.9","005","20,522"
"OK","W - White","40-49.9","0-9.9","002","20,512"
"OK","W - White","90-100","90-100","004","20,268"
"OK","W - White","50-59.9","0-9.9","005","19,786"
"OK","W - White","30-39.9","0-9.9","001","19,776"
"OK","W - White","50-59.9","0-9.9","003","19,567"
"OK","W - White","60-69.9","0-9.9","004","19,311"
"OK","W - White","60-69.9","0-9.9","001","19,063"
"OK","W - White","50-59.9","0-9.9","001","19,028"
"OK","W - White","60-69.9","0-9.9","003","18,474"
"OK","W - White","10-19.9","0-9.9","004","18,350"
"OK","W - White","10-19.9","0-9.9","003","17,988"
"OK","W - White","50-59.9","0-9.9","002","17,860"
"OK","W - White","10-19.9","0-9.9","002","17,060"
"OK","W - White","60-69.9","0-9.9","002","16,370"
"OK","W - White","80-89.9","90-100","003","14,111"
"OK","W - White","10-19.9","0-9.9","005","13,538"
"OK","W - White","90-100","90-100","003","11,798"
"OK","W - White","70-79.9","90-100","001","11,641"
"OK","W - White","70-79.9","90-100","005","11,444"
"OK","W - White","80-89.9","90-100","002","11,412"
"OK","W - White","80-89.9","10-19.9","002","11,360"
"OK","W - White","70-79.9","90-100","004","10,754"
"OK","W - White","10-19.9","0-9.9","001","10,686"
"OK","W - White","20-29.9","10-19.9","002","9,999"
"OK","W - White","30-39.9","90-100","001","9,160"
"OK","W - White","20-29.9","90-100","001","8,968"
"OK","W - White","60-69.9","90-100","001","8,802"
"OK","W - White","90-100","90-100","002","8,647"
"OK","W - White","60-69.9","90-100","005","8,427"
"OK","W - White","40-49.9","90-100","001","8,318"
"OK","W - White","60-69.9","90-100","004","8,250"
"OK","W - White","70-79.9","90-100","003","7,758"
"OK","W - White","50-59.9","90-100","001","7,662"
"OK","W - White","20-29.9","90-100","005","7,376"
"OK","W - White","30-39.9","90-100","005","7,357"
"OK","W - White","20-29.9","90-100","004","7,267"
"OK","W - White","80-89.9","20-29.9","002","7,134"
"OK","W - White","50-59.9","90-100","005","6,872"
"OK","W - White","90-100","10-19.9","002","6,861"
"OK","W - White","70-79.9","10-19.9","002","6,853"
"OK","W - White","30-39.9","10-19.9","002","6,787"
"OK","W - White","40-49.9","90-100","005","6,762"
"OK","W - White","50-59.9","90-100","004","6,679"
"OK","W - White","10-19.9","10-19.9","002","6,668"
"OK","W - White","30-39.9","90-100","004","6,572"
"OK","W - White","0-9.9","0-9.9","004","6,513"
"OK","W - White","70-79.9","90-100","002","6,425"
"OK","W - White","40-49.9","10-19.9","002","6,379"
"OK","W - White","40-49.9","90-100","004","6,122"
"OK","W - White","0-9.9","0-9.9","003","6,091"
"OK","B - Black","80-89.9","90-100","005","5,975"
"OK","W - White","20-29.9","20-29.9","002","5,808"
"OK","W - White","0-9.9","0-9.9","002","5,762"
"OK","W - White","60-69.9","90-100","003","5,670"
"OK","W - White","20-29.9","90-100","003","5,564"
"OK","W - White","50-59.9","10-19.9","002","5,506"
"OK","W - White","10-19.9","90-100","001","5,244"
"OK","W - White","60-69.9","10-19.9","002","5,159"
"OK","B - Black","90-100","90-100","005","4,882"
"OK","W - White","50-59.9","90-100","003","4,855"
"OK","W - White","30-39.9","90-100","003","4,815"
"OK","W - White","60-69.9","90-100","002","4,748"
"OK","W - White","10-19.9","90-100","004","4,707"
"OK","W - White","40-49.9","90-100","003","4,671"
"OK","W - White","90-100","20-29.9","002","4,577"
"OK","W - White","0-9.9","0-9.9","005","4,248"
"OK","W - White","80-89.9","30-39.9","002","4,216"
"OK","W - White","10-19.9","90-100","005","4,190"
"OK","W - White","20-29.9","10-19.9","005","4,088"
"OK","W - White","70-79.9","20-29.9","002","4,078"
"OK","W - White","10-19.9","20-29.9","002","4,071"
"OK","W - White","20-29.9","10-19.9","003","3,996"
"OK","W - White","30-39.9","20-29.9","002","3,949"
"OK","W - White","50-59.9","90-100","002","3,838"
"OK","W - White","20-29.9","90-100","002","3,721"
"OK","W - White","10-19.9","90-100","003","3,707"
"OK","W - White","40-49.9","20-29.9","002","3,698"
"OK","W - White","20-29.9","10-19.9","004","3,656"
"OK","W - White","20-29.9","30-39.9","002","3,627"
"OK","B - Black","80-89.9","90-100","001","3,468"
"OK","W - White","30-39.9","10-19.9","005","3,374"
"OK","B - Black","70-79.9","90-100","005","3,267"
"OK","W - White","40-49.9","90-100","002","3,255"
"OK","W - White","20-29.9","10-19.9","001","3,202"
"OK","W - White","0-9.9","0-9.9","001","3,171"
"OK","W - White","60-69.9","20-29.9","002","3,072"
"OK","H - Hispanic or Latino","20-29.9","0-9.9","003","3,071"
"OK","W - White","30-39.9","90-100","002","3,032"
"OK","W - White","50-59.9","20-29.9","002","3,009"
"OK","W - White","80-89.9","10-19.9","005","2,981"
"OK","B - Black","20-29.9","90-100","005","2,980"
"OK","W - White","90-100","30-39.9","002","2,894"
"OK","N - Native American","20-29.9","0-9.9","002","2,801"
"OK","W - White","0-9.9","10-19.9","002","2,760"
"OK","B - Black","20-29.9","90-100","001","2,715"
"OK","W - White","30-39.9","10-19.9","003","2,699"
"OK","W - White","80-89.9","40-49.9","002","2,614"
"OK","W - White","40-49.9","10-19.9","005","2,587"
"OK","W - White","70-79.9","30-39.9","002","2,582"
"OK","W - White","10-19.9","30-39.9","002","2,576"
"OK","W - White","10-19.9","90-100","002","2,564"
"OK","W - White","30-39.9","10-19.9","001","2,533"
"OK","B - Black","60-69.9","90-100","005","2,512"
"OK","W - White","30-39.9","30-39.9","002","2,493"
"OK","W - White","30-39.9","10-19.9","004","2,485"
"OK","B - Black","30-39.9","90-100","005","2,446"
"OK","B - Black","90-100","90-100","001","2,440"
"OK","W - White","20-29.9","40-49.9","002","2,439"
"OK","B - Black","80-89.9","90-100","004","2,422"
"OK","N - Native American","80-89.9","0-9.9","002","2,352"
"OK","W - White","10-19.9","10-19.9","003","2,350"
"OK","B - Black","50-59.9","90-100","005","2,326"
"OK","H - Hispanic or Latino","20-29.9","0-9.9","004","2,321"
"OK","W - White","0-9.9","90-100","004","2,306"
"OK","W - White","20-29.9","80-89.9","005","2,218"
"OK","W - White","10-19.9","10-19.9","005","2,215"
"OK","B - Black","10-19.9","90-100","005","2,193"
"OK","W - White","20-29.9","20-29.9","001","2,187"
"OK","W - White","80-89.9","10-19.9","004","2,154"
"OK","W - White","0-9.9","90-100","001","2,111"
"OK","W - White","40-49.9","30-39.9","002","2,105"
"OK","W - White","20-29.9","80-89.9","004","2,102"
"OK","W - White","10-19.9","10-19.9","004","2,095"
"OK","B - Black","40-49.9","90-100","005","2,077"
"OK","W - White","30-39.9","80-89.9","005","2,069"
"OK","W - White","40-49.9","10-19.9","004","2,050"
"OK","H - Hispanic or Latino","20-29.9","90-100","001","2,017"
"OK","W - White","40-49.9","10-19.9","003","2,003"
"OK","H - Hispanic or Latino","30-39.9","0-9.9","003","1,992"
"OK","W - White","40-49.9","10-19.9","001","1,971"
"OK","B - Black","10-19.9","90-100","001","1,952"
"OK","H - Hispanic or Latino","20-29.9","90-100","003","1,937"
"OK","W - White","30-39.9","20-29.9","001","1,922"
"OK","B - Black","30-39.9","90-100","001","1,914"
"OK","W - White","60-69.9","30-39.9","002","1,898"
"OK","B - Black","70-79.9","90-100","001","1,894"
"OK","W - White","0-9.9","90-100","003","1,883"
"OK","W - White","90-100","10-19.9","005","1,878"
"OK","H - Hispanic or Latino","10-19.9","0-9.9","003","1,864"
"OK","N - Native American","30-39.9","0-9.9","002","1,859"
"OK","W - White","80-89.9","10-19.9","001","1,857"
"OK","N - Native American","10-19.9","0-9.9","002","1,852"
"OK","W - White","90-100","40-49.9","002","1,823"
"OK","B - Black","90-100","90-100","004","1,822"
"OK","W - White","80-89.9","10-19.9","003","1,811"
"OK","W - White","50-59.9","30-39.9","002","1,806"
"OK","W - White","40-49.9","80-89.9","005","1,804"
"OK","W - White","30-39.9","80-89.9","004","1,794"
"OK","H - Hispanic or Latino","30-39.9","90-100","003","1,791"
"OK","N - Native American","40-49.9","0-9.9","002","1,774"
"OK","W - White","70-79.9","10-19.9","005","1,774"
"OK","W - White","50-59.9","10-19.9","005","1,765"
"OK","W - White","80-89.9","20-29.9","005","1,754"
"OK","H - Hispanic or Latino","40-49.9","90-100","003","1,743"
"OK","N - Native American","70-79.9","0-9.9","002","1,729"
"OK","H - Hispanic or Latino","30-39.9","90-100","001","1,716"
"OK","W - White","0-9.9","90-100","005","1,666"
"OK","W - White","0-9.9","20-29.9","002","1,663"
"OK","B - Black","60-69.9","90-100","001","1,651"
"OK","B - Black","20-29.9","90-100","004","1,641"
"OK","B - Black","50-59.9","90-100","001","1,630"
"OK","H - Hispanic or Latino","20-29.9","0-9.9","005","1,628"
"OK","W - White","10-19.9","40-49.9","002","1,598"
"OK","W - White","20-29.9","70-79.9","004","1,587"
"OK","W - White","60-69.9","10-19.9","005","1,586"
"OK","W - White","30-39.9","40-49.9","002","1,565"
"OK","W - White","80-89.9","50-59.9","002","1,520"
"OK","W - White","70-79.9","10-19.9","004","1,519"
"OK","W - White","20-29.9","70-79.9","005","1,517"
"OK","N - Native American","50-59.9","0-9.9","002","1,514"
"OK","B - Black","40-49.9","90-100","001","1,507"
"OK","W - White","70-79.9","40-49.9","002","1,503"
"OK","H - Hispanic or Latino","30-39.9","0-9.9","004","1,501"
"OK","W - White","20-29.9","30-39.9","001","1,494"
"OK","W - White","40-49.9","80-89.9","004","1,492"
"OK","W - White","40-49.9","20-29.9","001","1,489"
"OK","W - White","10-19.9","80-89.9","004","1,486"
"OK","W - White","20-29.9","50-59.9","002","1,466"
"OK","W - White","0-9.9","90-100","002","1,460"
"OK","H - Hispanic or Latino","20-29.9","0-9.9","001","1,452"
"OK","H - Hispanic or Latino","40-49.9","0-9.9","003","1,449"
"OK","W - White","80-89.9","20-29.9","001","1,448"
"OK","W - White","10-19.9","10-19.9","001","1,446"
"OK","W - White","80-89.9","80-89.9","005","1,443"
"OK","H - Hispanic or Latino","40-49.9","90-100","001","1,443"
"OK","W - White","50-59.9","10-19.9","004","1,428"
"OK","W - White","30-39.9","70-79.9","004","1,414"
"OK","W - White","40-49.9","40-49.9","002","1,410"
"OK","H - Hispanic or Latino","10-19.9","90-100","003","1,406"
"OK","W - White","20-29.9","80-89.9","001","1,403"
"OK","W - White","50-59.9","10-19.9","003","1,376"
"OK","W - White","60-69.9","10-19.9","004","1,376"
"OK","N - Native American","20-29.9","10-19.9","002","1,375"
"OK","B - Black","70-79.9","90-100","004","1,374"
"OK","W - White","50-59.9","10-19.9","001","1,374"
"OK","W - White","20-29.9","80-89.9","003","1,371"
"OK","W - White","20-29.9","20-29.9","003","1,368"
"OK","H - Hispanic or Latino","80-89.9","90-100","003","1,343"
"OK","W - White","10-19.9","80-89.9","005","1,334"
"OK","B - Black","80-89.9","90-100","003","1,330"
"OK","W - White","90-100","10-19.9","001","1,313"
"OK","H - Hispanic or Latino","10-19.9","90-100","001","1,310"
"OK","W - White","70-79.9","10-19.9","003","1,306"
"OK","H - Hispanic or Latino","50-59.9","90-100","003","1,306"
"OK","W - White","30-39.9","30-39.9","001","1,303"
"OK","W - White","10-19.9","70-79.9","004","1,299"
"OK","W - White","20-29.9","20-29.9","005","1,299"
"OK","W - White","80-89.9","20-29.9","004","1,296"
"OK","W - White","30-39.9","80-89.9","001","1,287"
"OK","W - White","90-100","10-19.9","004","1,281"
"OK","H - Hispanic or Latino","10-19.9","0-9.9","004","1,277"
"OK","W - White","30-39.9","70-79.9","005","1,274"
"OK","N - Native American","60-69.9","0-9.9","002","1,262"
"OK","B - Black","0-9.9","90-100","005","1,260"
"OK","B - Black","30-39.9","90-100","004","1,252"
"OK","B - Black","60-69.9","90-100","004","1,251"
"OK","W - White","10-19.9","20-29.9","003","1,235"
"OK","W - White","90-100","20-29.9","005","1,232"
"OK","H - Hispanic or Latino","70-79.9","90-100","003","1,229"
"OK","H - Hispanic or Latino","80-89.9","90-100","001","1,220"
"OK","H - Hispanic or Latino","30-39.9","0-9.9","005","1,216"
"OK","B - Black","90-100","90-100","003","1,214"
"OK","W - White","80-89.9","30-39.9","001","1,211"
"OK","W - White","40-49.9","20-29.9","005","1,204"
"OK","N - Native American","80-89.9","10-19.9","002","1,195"
"OK","B - Black","20-29.9","0-9.9","005","1,190"
"OK","H - Hispanic or Latino","30-39.9","0-9.9","001","1,185"
"OK","B - Black","10-19.9","90-100","004","1,180"
"OK","W - White","30-39.9","80-89.9","003","1,177"
"OK","W - White","80-89.9","80-89.9","004","1,169"
"OK","W - White","60-69.9","10-19.9","003","1,162"
"OK","W - White","70-79.9","10-19.9","001","1,162"
"OK","W - White","80-89.9","30-39.9","005","1,160"
"OK","W - White","60-69.9","40-49.9","002","1,160"
"OK","N - Native American","90-100","0-9.9","002","1,146"
"OK","W - White","30-39.9","20-29.9","005","1,146"
"OK","W - White","50-59.9","80-89.9","005","1,132"
"OK","H - Hispanic or Latino","80-89.9","90-100","005","1,132"
"OK","W - White","20-29.9","80-89.9","002","1,131"
"OK","B - Black","0-9.9","90-100","001","1,126"
"OK","B - Black","50-59.9","90-100","004","1,122"
"OK","W - White","0-9.9","10-19.9","004","1,116"
"OK","W - White","70-79.9","20-29.9","005","1,115"
"OK","W - White","60-69.9","10-19.9","001","1,106"
"OK","W - White","80-89.9","20-29.9","003","1,105"
"OK","W - White","0-9.9","30-39.9","002","1,103"
"OK","W - White","40-49.9","80-89.9","001","1,090"
"OK","B - Black","20-29.9","0-9.9","004","1,089"
"OK","W - White","10-19.9","70-79.9","005","1,089"
"OK","H - Hispanic or Latino","20-29.9","90-100","005","1,084"
"OK","W - White","50-59.9","40-49.9","002","1,082"
"OK","W - White","10-19.9","20-29.9","001","1,081"
"OK","H - Hispanic or Latino","60-69.9","90-100","003","1,063"
