"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"OR","W - White","80-89.9","90-100","003","76,104"
"OR","W - White","90-100","90-100","003","68,946"
"OR","W - White","90-100","90-100","005","63,817"
"OR","W - White","90-100","90-100","004","58,332"
"OR","W - White","80-89.9","90-100","005","56,753"
"OR","W - White","80-89.9","90-100","004","53,739"
"OR","W - White","80-89.9","0-9.9","002","49,769"
"OR","W - White","90-100","0-9.9","002","47,913"
"OR","W - White","90-100","0-9.9","005","43,509"
"OR","W - White","80-89.9","0-9.9","005","37,751"
"OR","W - White","90-100","0-9.9","004","36,787"
"OR","W - White","80-89.9","0-9.9","004","35,330"
"OR","W - White","80-89.9","90-100","001","34,624"
"OR","W - White","90-100","90-100","001","32,997"
"OR","W - White","90-100","90-100","006","32,933"
"OR","W - White","70-79.9","90-100","003","30,963"
"OR","W - White","80-89.9","90-100","002","30,488"
"OR","W - White","80-89.9","90-100","006","29,930"
"OR","W - White","90-100","0-9.9","006","28,933"
"OR","W - White","90-100","90-100","002","28,633"
"OR","W - White","10-19.9","0-9.9","002","26,524"
"OR","W - White","30-39.9","90-100","003","26,174"
"OR","W - White","20-29.9","0-9.9","002","26,105"
"OR","W - White","40-49.9","90-100","003","26,044"
"OR","W - White","20-29.9","90-100","003","24,712"
"OR","W - White","70-79.9","90-100","005","24,599"
"OR","W - White","80-89.9","0-9.9","006","24,493"
"OR","W - White","70-79.9","0-9.9","002","24,164"
"OR","W - White","10-19.9","90-100","004","22,961"
"OR","W - White","70-79.9","90-100","004","22,155"
"OR","W - White","60-69.9","90-100","003","20,882"
"OR","W - White","50-59.9","90-100","003","20,779"
"OR","W - White","40-49.9","90-100","005","20,720"
"OR","W - White","30-39.9","90-100","005","20,386"
"OR","W - White","20-29.9","90-100","004","19,279"
"OR","W - White","20-29.9","90-100","005","18,839"
"OR","W - White","90-100","0-9.9","003","18,191"
"OR","W - White","10-19.9","0-9.9","004","18,188"
"OR","W - White","70-79.9","0-9.9","005","17,997"
"OR","W - White","20-29.9","0-9.9","004","17,967"
"OR","W - White","50-59.9","90-100","005","17,198"
"OR","W - White","30-39.9","90-100","004","17,148"
"OR","W - White","30-39.9","0-9.9","002","16,979"
"OR","W - White","40-49.9","0-9.9","002","16,923"
"OR","W - White","70-79.9","0-9.9","004","16,884"
"OR","W - White","60-69.9","90-100","005","16,808"
"OR","W - White","10-19.9","90-100","003","16,776"
"OR","W - White","0-9.9","90-100","003","16,765"
"OR","W - White","60-69.9","0-9.9","002","15,277"
"OR","W - White","80-89.9","0-9.9","003","15,023"
"OR","W - White","70-79.9","90-100","001","14,934"
"OR","W - White","40-49.9","90-100","004","14,884"
"OR","W - White","50-59.9","0-9.9","002","14,584"
"OR","W - White","60-69.9","90-100","004","14,554"
"OR","W - White","0-9.9","90-100","005","14,450"
"OR","W - White","10-19.9","90-100","005","14,415"
"OR","W - White","30-39.9","90-100","001","13,925"
"OR","W - White","10-19.9","90-100","002","13,528"
"OR","W - White","70-79.9","90-100","002","13,300"
"OR","W - White","50-59.9","90-100","004","13,088"
"OR","W - White","40-49.9","90-100","001","12,849"
"OR","W - White","20-29.9","90-100","001","12,847"
"OR","W - White","70-79.9","90-100","006","12,601"
"OR","W - White","90-100","70-79.9","001","12,534"
"OR","W - White","40-49.9","0-9.9","005","12,446"
"OR","W - White","30-39.9","0-9.9","004","12,345"
"OR","W - White","40-49.9","0-9.9","004","12,107"
"OR","W - White","20-29.9","0-9.9","005","11,901"
"OR","W - White","60-69.9","0-9.9","005","11,816"
"OR","W - White","90-100","60-69.9","001","11,794"
