"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"PA","W - White","90-100","90-100","017","81,724"
"PA","W - White","90-100","90-100","004","74,477"
"PA","W - White","90-100","90-100","012","73,911"
"PA","W - White","90-100","0-9.9","013","71,328"
"PA","W - White","90-100","0-9.9","011","69,490"
"PA","W - White","90-100","0-9.9","001","69,429"
"PA","W - White","90-100","90-100","001","67,785"
"PA","W - White","90-100","0-9.9","010","64,934"
"PA","W - White","90-100","0-9.9","015","64,552"
"PA","W - White","90-100","0-9.9","016","63,730"
"PA","W - White","90-100","0-9.9","009","62,136"
"PA","W - White","90-100","0-9.9","006","59,317"
"PA","W - White","90-100","0-9.9","017","58,967"
"PA","W - White","90-100","0-9.9","004","58,766"
"PA","W - White","90-100","90-100","006","58,201"
"PA","B - Black","80-89.9","90-100","003","57,906"
"PA","W - White","80-89.9","0-9.9","013","57,516"
"PA","W - White","80-89.9","90-100","017","53,737"
"PA","W - White","80-89.9","90-100","012","53,577"
"PA","W - White","90-100","90-100","005","53,440"
"PA","W - White","80-89.9","0-9.9","011","52,554"
"PA","W - White","80-89.9","0-9.9","015","52,546"
"PA","W - White","90-100","0-9.9","005","51,183"
"PA","W - White","80-89.9","0-9.9","009","49,947"
"PA","W - White","90-100","0-9.9","014","49,891"
"PA","W - White","80-89.9","0-9.9","016","48,294"
"PA","W - White","80-89.9","90-100","004","48,202"
"PA","W - White","90-100","90-100","016","48,060"
"PA","W - White","90-100","0-9.9","007","46,947"
"PA","W - White","90-100","90-100","007","46,680"
"PA","W - White","80-89.9","0-9.9","001","45,918"
"PA","W - White","80-89.9","90-100","001","43,253"
"PA","W - White","90-100","90-100","010","42,250"
"PA","W - White","80-89.9","90-100","003","42,016"
"PA","W - White","80-89.9","0-9.9","010","41,677"
"PA","W - White","90-100","90-100","014","40,575"
"PA","W - White","80-89.9","0-9.9","017","40,369"
"PA","B - Black","90-100","90-100","003","40,140"
"PA","W - White","90-100","0-9.9","012","39,982"
"PA","W - White","80-89.9","0-9.9","014","39,615"
"PA","W - White","80-89.9","90-100","006","38,677"
"PA","W - White","80-89.9","0-9.9","004","38,255"
"PA","W - White","80-89.9","0-9.9","006","38,122"
"PA","W - White","90-100","90-100","008","37,381"
"PA","W - White","80-89.9","90-100","005","35,776"
"PA","W - White","80-89.9","0-9.9","007","35,163"
"PA","W - White","90-100","90-100","011","34,175"
"PA","W - White","70-79.9","0-9.9","013","33,490"
"PA","W - White","80-89.9","90-100","007","33,292"
"PA","W - White","80-89.9","90-100","016","32,881"
"PA","W - White","90-100","90-100","015","32,809"
"PA","B - Black","70-79.9","90-100","003","31,783"
"PA","W - White","70-79.9","0-9.9","015","30,673"
"PA","W - White","90-100","90-100","003","30,587"
"PA","W - White","80-89.9","0-9.9","005","29,926"
"PA","W - White","90-100","90-100","013","29,701"
"PA","W - White","80-89.9","90-100","010","29,184"
"PA","W - White","90-100","90-100","009","28,273"
"PA","W - White","70-79.9","0-9.9","009","28,262"
"PA","W - White","70-79.9","0-9.9","011","28,253"
"PA","W - White","80-89.9","0-9.9","012","27,993"
"PA","B - Black","20-29.9","90-100","003","27,857"
"PA","W - White","80-89.9","90-100","014","27,615"
"PA","W - White","80-89.9","90-100","011","27,217"
"PA","W - White","70-79.9","0-9.9","016","27,038"
"PA","W - White","50-59.9","0-9.9","013","26,594"
"PA","W - White","40-49.9","0-9.9","013","26,481"
"PA","W - White","90-100","0-9.9","008","26,285"
"PA","W - White","60-69.9","0-9.9","013","25,727"
"PA","W - White","80-89.9","90-100","008","25,664"
"PA","W - White","80-89.9","90-100","002","25,507"
"PA","W - White","70-79.9","90-100","012","25,383"
"PA","W - White","40-49.9","0-9.9","015","25,174"
"PA","W - White","80-89.9","90-100","015","24,008"
"PA","W - White","50-59.9","0-9.9","015","23,761"
"PA","W - White","70-79.9","90-100","017","23,723"
"PA","B - Black","60-69.9","90-100","003","23,608"
"PA","W - White","80-89.9","0-9.9","008","23,095"
"PA","W - White","70-79.9","0-9.9","001","22,980"
"PA","W - White","60-69.9","0-9.9","015","22,755"
"PA","W - White","90-100","90-100","002","22,732"
"PA","W - White","70-79.9","0-9.9","014","22,363"
"PA","W - White","60-69.9","0-9.9","011","22,033"
"PA","W - White","80-89.9","90-100","009","21,975"
"PA","W - White","70-79.9","90-100","004","21,889"
"PA","W - White","80-89.9","90-100","013","21,815"
"PA","W - White","70-79.9","0-9.9","010","21,807"
"PA","W - White","50-59.9","0-9.9","009","21,704"
"PA","W - White","60-69.9","0-9.9","009","21,687"
"PA","W - White","70-79.9","90-100","003","21,668"
"PA","B - Black","10-19.9","90-100","003","21,634"
"PA","W - White","40-49.9","0-9.9","009","21,574"
"PA","W - White","40-49.9","0-9.9","016","21,473"
"PA","B - Black","50-59.9","90-100","003","21,337"
"PA","W - White","50-59.9","0-9.9","011","21,085"
"PA","W - White","50-59.9","0-9.9","016","20,755"
"PA","W - White","60-69.9","0-9.9","016","20,535"
"PA","B - Black","80-89.9","90-100","002","20,522"
"PA","W - White","40-49.9","0-9.9","011","20,478"
"PA","W - White","70-79.9","90-100","001","20,461"
"PA","B - Black","40-49.9","90-100","003","20,175"
"PA","W - White","70-79.9","0-9.9","017","20,100"
"PA","B - Black","30-39.9","90-100","003","20,072"
"PA","B - Black","80-89.9","90-100","005","20,036"
"PA","W - White","30-39.9","0-9.9","015","19,937"
"PA","W - White","70-79.9","0-9.9","007","19,851"
"PA","W - White","30-39.9","0-9.9","013","19,763"
"PA","W - White","70-79.9","0-9.9","004","19,690"
"PA","W - White","60-69.9","90-100","012","19,661"
"PA","W - White","70-79.9","0-9.9","006","19,002"
"PA","W - White","40-49.9","90-100","012","18,837"
"PA","W - White","70-79.9","90-100","006","18,034"
"PA","W - White","60-69.9","0-9.9","001","17,897"
"PA","W - White","20-29.9","0-9.9","013","17,619"
"PA","W - White","50-59.9","0-9.9","014","17,545"
"PA","W - White","60-69.9","0-9.9","014","17,531"
"PA","W - White","70-79.9","90-100","007","17,249"
"PA","W - White","30-39.9","90-100","012","17,222"
"PA","W - White","60-69.9","90-100","017","17,145"
"PA","W - White","20-29.9","0-9.9","015","17,134"
"PA","B - Black","0-9.9","90-100","003","17,116"
"PA","W - White","40-49.9","0-9.9","014","16,756"
"PA","W - White","70-79.9","90-100","016","16,625"
"PA","W - White","30-39.9","0-9.9","009","16,439"
"PA","W - White","60-69.9","90-100","003","16,360"
"PA","W - White","60-69.9","90-100","004","16,291"
"PA","W - White","60-69.9","0-9.9","010","16,280"
"PA","W - White","50-59.9","0-9.9","001","16,155"
"PA","W - White","60-69.9","0-9.9","007","16,086"
"PA","W - White","60-69.9","90-100","001","16,008"
"PA","W - White","70-79.9","90-100","005","15,990"
"PA","W - White","30-39.9","0-9.9","016","15,965"
"PA","W - White","10-19.9","0-9.9","013","15,911"
"PA","W - White","0-9.9","0-9.9","009","15,901"
"PA","W - White","50-59.9","90-100","012","15,599"
"PA","W - White","60-69.9","0-9.9","017","15,507"
"PA","W - White","10-19.9","0-9.9","015","15,408"
"PA","W - White","50-59.9","0-9.9","010","15,361"
"PA","W - White","50-59.9","0-9.9","007","15,172"
"PA","W - White","40-49.9","0-9.9","001","15,051"
"PA","W - White","10-19.9","0-9.9","009","15,034"
"PA","W - White","20-29.9","0-9.9","009","15,018"
"PA","W - White","60-69.9","0-9.9","004","14,997"
"PA","W - White","70-79.9","0-9.9","012","14,776"
"PA","W - White","40-49.9","90-100","003","14,704"
"PA","B - Black","90-100","90-100","005","14,557"
"PA","W - White","50-59.9","0-9.9","017","14,552"
"PA","W - White","0-9.9","0-9.9","013","14,482"
"PA","W - White","20-29.9","0-9.9","016","14,481"
"PA","W - White","70-79.9","90-100","010","14,462"
"PA","W - White","60-69.9","0-9.9","006","14,435"
"PA","W - White","0-9.9","0-9.9","015","14,394"
"PA","W - White","70-79.9","90-100","002","14,394"
"PA","W - White","70-79.9","0-9.9","005","14,293"
"PA","W - White","60-69.9","90-100","007","14,203"
"PA","W - White","40-49.9","90-100","017","14,202"
"PA","W - White","50-59.9","90-100","017","14,186"
"PA","W - White","60-69.9","90-100","006","14,102"
"PA","W - White","70-79.9","90-100","014","13,901"
"PA","W - White","30-39.9","90-100","003","13,872"
"PA","W - White","30-39.9","0-9.9","011","13,852"
"PA","W - White","40-49.9","0-9.9","007","13,793"
"PA","W - White","10-19.9","0-9.9","016","13,789"
"PA","W - White","40-49.9","0-9.9","010","13,766"
"PA","W - White","40-49.9","0-9.9","017","13,589"
"PA","W - White","50-59.9","90-100","004","13,475"
"PA","W - White","50-59.9","0-9.9","004","13,380"
"PA","W - White","70-79.9","90-100","011","13,315"
"PA","W - White","70-79.9","0-9.9","008","13,304"
"PA","W - White","50-59.9","90-100","001","13,135"
"PA","W - White","0-9.9","0-9.9","016","13,072"
"PA","W - White","50-59.9","90-100","003","13,008"
"PA","W - White","60-69.9","90-100","016","12,986"
"PA","W - White","20-29.9","0-9.9","011","12,876"
"PA","W - White","40-49.9","90-100","004","12,873"
"PA","W - White","40-49.9","90-100","001","12,844"
"PA","W - White","70-79.9","90-100","008","12,762"
"PA","W - White","10-19.9","90-100","004","12,652"
"PA","W - White","50-59.9","0-9.9","006","12,559"
"PA","W - White","70-79.9","90-100","015","12,440"
"PA","B - Black","90-100","90-100","002","12,394"
"PA","W - White","60-69.9","90-100","005","12,334"
"PA","B - Black","70-79.9","90-100","002","12,121"
"PA","W - White","40-49.9","0-9.9","004","12,008"
"PA","W - White","30-39.9","0-9.9","014","12,000"
"PA","W - White","20-29.9","90-100","003","11,930"
"PA","B - Black","20-29.9","90-100","002","11,873"
"PA","W - White","40-49.9","90-100","007","11,857"
"PA","B - Black","80-89.9","90-100","012","11,806"
"PA","W - White","10-19.9","0-9.9","011","11,787"
"PA","W - White","0-9.9","90-100","004","11,671"
"PA","W - White","60-69.9","0-9.9","012","11,664"
"PA","W - White","50-59.9","90-100","007","11,661"
"PA","W - White","40-49.9","90-100","006","11,641"
"PA","W - White","70-79.9","90-100","009","11,629"
"PA","W - White","60-69.9","90-100","010","11,587"
"PA","W - White","70-79.9","90-100","013","11,559"
"PA","W - White","50-59.9","90-100","006","11,527"
"PA","W - White","30-39.9","90-100","017","11,484"
"PA","W - White","40-49.9","90-100","005","11,464"
"PA","W - White","20-29.9","90-100","012","11,463"
"PA","W - White","10-19.9","90-100","012","11,416"
"PA","W - White","50-59.9","0-9.9","012","11,382"
"PA","W - White","40-49.9","0-9.9","006","11,351"
"PA","W - White","60-69.9","90-100","002","11,265"
"PA","W - White","50-59.9","90-100","005","11,256"
"PA","W - White","10-19.9","0-9.9","010","10,937"
"PA","W - White","10-19.9","90-100","003","10,844"
"PA","W - White","0-9.9","0-9.9","010","10,822"
"PA","B - Black","70-79.9","90-100","005","10,789"
"PA","W - White","60-69.9","0-9.9","005","10,775"
"PA","W - White","30-39.9","90-100","007","10,771"
"PA","W - White","40-49.9","0-9.9","012","10,769"
"PA","W - White","20-29.9","0-9.9","014","10,760"
"PA","W - White","50-59.9","90-100","016","10,689"
"PA","W - White","10-19.9","90-100","007","10,679"
"PA","W - White","60-69.9","0-9.9","008","10,640"
"PA","W - White","10-19.9","90-100","001","10,545"
"PA","W - White","60-69.9","90-100","011","10,507"
"PA","W - White","50-59.9","0-9.9","008","10,506"
"PA","W - White","60-69.9","90-100","014","10,504"
"PA","W - White","10-19.9","0-9.9","014","10,437"
"PA","W - White","0-9.9","90-100","012","10,368"
"PA","W - White","0-9.9","90-100","007","10,349"
"PA","W - White","0-9.9","90-100","010","10,331"
"PA","W - White","10-19.9","90-100","006","10,324"
"PA","W - White","10-19.9","90-100","010","10,243"
"PA","W - White","0-9.9","0-9.9","014","10,234"
"PA","W - White","40-49.9","0-9.9","008","10,103"
"PA","W - White","60-69.9","90-100","008","10,073"
"PA","W - White","40-49.9","90-100","016","10,010"
"PA","W - White","90-100","0-9.9","002","9,925"
"PA","W - White","60-69.9","90-100","015","9,886"
"PA","W - White","50-59.9","0-9.9","005","9,859"
"PA","W - White","10-19.9","0-9.9","007","9,831"
"PA","W - White","10-19.9","0-9.9","001","9,686"
"PA","W - White","50-59.9","90-100","010","9,672"
"PA","B - Black","60-69.9","90-100","002","9,612"
"PA","W - White","10-19.9","90-100","005","9,567"
"PA","W - White","40-49.9","90-100","010","9,542"
"PA","W - White","30-39.9","90-100","001","9,522"
"PA","W - White","30-39.9","0-9.9","007","9,506"
"PA","W - White","0-9.9","0-9.9","011","9,492"
"PA","W - White","0-9.9","90-100","016","9,480"
"PA","W - White","30-39.9","90-100","006","9,452"
"PA","W - White","30-39.9","90-100","005","9,422"
"PA","W - White","40-49.9","90-100","015","9,388"
"PA","W - White","0-9.9","90-100","006","9,381"
"PA","W - White","0-9.9","0-9.9","007","9,372"
"PA","W - White","60-69.9","90-100","013","9,363"
"PA","W - White","30-39.9","90-100","004","9,351"
"PA","W - White","0-9.9","90-100","001","9,342"
"PA","W - White","30-39.9","0-9.9","010","9,337"
"PA","W - White","40-49.9","90-100","002","9,313"
"PA","W - White","60-69.9","90-100","009","9,289"
"PA","H - Hispanic or Latino","80-89.9","90-100","002","9,282"
"PA","W - White","50-59.9","90-100","002","9,252"
"PA","W - White","40-49.9","90-100","011","9,180"
"PA","W - White","30-39.9","0-9.9","001","9,135"
"PA","B - Black","50-59.9","90-100","002","9,032"
"PA","W - White","30-39.9","90-100","015","9,002"
"PA","B - Black","90-100","90-100","012","8,992"
"PA","B - Black","10-19.9","90-100","002","8,964"
"PA","W - White","30-39.9","0-9.9","017","8,949"
"PA","B - Black","40-49.9","90-100","002","8,927"
"PA","W - White","10-19.9","90-100","017","8,907"
"PA","W - White","80-89.9","0-9.9","002","8,896"
"PA","W - White","20-29.9","90-100","007","8,822"
"PA","W - White","40-49.9","0-9.9","005","8,796"
"PA","W - White","50-59.9","90-100","011","8,784"
"PA","B - Black","30-39.9","90-100","002","8,753"
"PA","W - White","20-29.9","0-9.9","010","8,747"
"PA","W - White","20-29.9","90-100","016","8,729"
"PA","B - Black","20-29.9","90-100","005","8,719"
"PA","W - White","20-29.9","0-9.9","007","8,718"
"PA","W - White","50-59.9","90-100","015","8,707"
"PA","B - Black","60-69.9","90-100","005","8,705"
"PA","W - White","0-9.9","90-100","017","8,704"
"PA","B - Black","0-9.9","90-100","005","8,683"
"PA","W - White","30-39.9","90-100","002","8,671"
"PA","W - White","0-9.9","90-100","009","8,661"
"PA","W - White","20-29.9","90-100","015","8,636"
"PA","B - Black","10-19.9","90-100","005","8,600"
"PA","H - Hispanic or Latino","70-79.9","90-100","002","8,587"
"PA","W - White","50-59.9","90-100","014","8,564"
"PA","W - White","30-39.9","90-100","010","8,554"
"PA","W - White","0-9.9","0-9.9","001","8,528"
"PA","W - White","20-29.9","0-9.9","008","8,527"
"PA","W - White","10-19.9","90-100","016","8,520"
"PA","W - White","20-29.9","90-100","017","8,506"
"PA","H - Hispanic or Latino","20-29.9","90-100","002","8,465"
"PA","W - White","10-19.9","0-9.9","004","8,438"
"PA","W - White","30-39.9","0-9.9","008","8,403"
"PA","W - White","30-39.9","90-100","016","8,371"
"PA","W - White","20-29.9","90-100","002","8,228"
"PA","W - White","0-9.9","0-9.9","004","8,185"
"PA","W - White","50-59.9","90-100","008","8,183"
"PA","H - Hispanic or Latino","50-59.9","90-100","002","8,046"
"PA","W - White","20-29.9","90-100","001","7,983"
"PA","W - White","50-59.9","90-100","009","7,951"
"PA","W - White","10-19.9","0-9.9","006","7,938"
"PA","B - Black","30-39.9","90-100","005","7,900"
"PA","W - White","20-29.9","90-100","010","7,821"
"PA","W - White","50-59.9","90-100","013","7,819"
"PA","B - Black","40-49.9","90-100","005","7,818"
"PA","W - White","30-39.9","90-100","011","7,816"
"PA","H - Hispanic or Latino","40-49.9","90-100","002","7,766"
"PA","W - White","20-29.9","0-9.9","001","7,738"
"PA","B - Black","50-59.9","90-100","005","7,735"
"PA","W - White","40-49.9","90-100","014","7,690"
"PA","W - White","0-9.9","90-100","014","7,618"
"PA","W - White","20-29.9","90-100","006","7,609"
"PA","W - White","20-29.9","90-100","004","7,566"
"PA","W - White","0-9.9","90-100","005","7,483"
"PA","W - White","40-49.9","90-100","008","7,478"
"PA","W - White","10-19.9","0-9.9","008","7,442"
"PA","W - White","90-100","80-89.9","008","7,439"
"PA","W - White","10-19.9","90-100","011","7,354"
"PA","W - White","90-100","70-79.9","008","7,327"
"PA","W - White","40-49.9","90-100","013","7,312"
"PA","W - White","0-9.9","0-9.9","006","7,292"
"PA","B - Black","0-9.9","90-100","002","7,281"
"PA","W - White","10-19.9","90-100","015","7,258"
"PA","W - White","30-39.9","0-9.9","012","7,255"
"PA","W - White","30-39.9","0-9.9","006","7,251"
"PA","W - White","0-9.9","90-100","015","7,231"
"PA","W - White","10-19.9","0-9.9","017","7,230"
"PA","W - White","10-19.9","90-100","002","7,188"
"PA","W - White","20-29.9","90-100","013","7,172"
"PA","H - Hispanic or Latino","60-69.9","90-100","002","7,122"
"PA","W - White","30-39.9","0-9.9","004","7,121"
"PA","W - White","10-19.9","90-100","009","7,119"
"PA","W - White","20-29.9","0-9.9","017","7,048"
"PA","W - White","40-49.9","90-100","009","7,010"
"PA","W - White","0-9.9","0-9.9","017","7,003"
"PA","W - White","20-29.9","90-100","008","7,001"
"PA","W - White","0-9.9","0-9.9","008","6,996"
"PA","W - White","30-39.9","90-100","008","6,980"
"PA","W - White","20-29.9","90-100","011","6,956"
"PA","W - White","0-9.9","90-100","003","6,874"
"PA","W - White","0-9.9","90-100","011","6,861"
"PA","W - White","20-29.9","90-100","005","6,854"
"PA","W - White","0-9.9","90-100","013","6,827"
"PA","W - White","10-19.9","90-100","014","6,789"
"PA","H - Hispanic or Latino","30-39.9","90-100","002","6,780"
"PA","B - Black","30-39.9","90-100","012","6,533"
