"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"PA","W - White","90-100","90-100","031","9,169"
"PA","W - White","90-100","90-100","029","8,479"
"PA","W - White","90-100","0-9.9","178","8,184"
"PA","W - White","90-100","0-9.9","031","7,861"
"PA","W - White","90-100","0-9.9","143","7,203"
"PA","W - White","90-100","0-9.9","029","6,995"
"PA","W - White","90-100","90-100","142","6,177"
"PA","W - White","90-100","90-100","178","6,170"
"PA","W - White","90-100","0-9.9","145","6,127"
"PA","W - White","90-100","0-9.9","142","6,069"
"PA","W - White","80-89.9","90-100","175","6,049"
"PA","W - White","90-100","0-9.9","144","5,911"
"PA","W - White","90-100","90-100","140","5,558"
"PA","W - White","90-100","90-100","144","5,395"
"PA","W - White","90-100","90-100","143","5,326"
"PA","W - White","80-89.9","0-9.9","178","5,186"
"PA","W - White","80-89.9","0-9.9","143","5,112"
"PA","W - White","80-89.9","90-100","029","4,893"
"PA","W - White","90-100","90-100","141","4,854"
"PA","W - White","80-89.9","0-9.9","145","4,729"
"PA","W - White","80-89.9","90-100","031","4,621"
"PA","W - White","80-89.9","0-9.9","029","4,361"
"PA","W - White","80-89.9","0-9.9","031","4,211"
"PA","W - White","90-100","90-100","145","4,164"
"PA","W - White","80-89.9","0-9.9","144","4,124"
"PA","W - White","90-100","0-9.9","018","4,115"
"PA","B - Black","80-89.9","90-100","198","3,979"
"PA","W - White","90-100","90-100","170","3,841"
"PA","W - White","80-89.9","90-100","143","3,746"
"PA","W - White","80-89.9","90-100","140","3,731"
"PA","W - White","80-89.9","90-100","142","3,725"
"PA","B - Black","80-89.9","90-100","203","3,713"
"PA","W - White","90-100","0-9.9","053","3,711"
"PA","W - White","90-100","90-100","151","3,708"
"PA","W - White","80-89.9","90-100","144","3,707"
"PA","W - White","80-89.9","0-9.9","142","3,697"
"PA","W - White","90-100","0-9.9","140","3,685"
"PA","W - White","90-100","90-100","018","3,627"
"PA","W - White","80-89.9","90-100","141","3,506"
"PA","W - White","90-100","90-100","172","3,500"
"PA","W - White","90-100","0-9.9","151","3,495"
"PA","W - White","80-89.9","90-100","178","3,435"
"PA","W - White","80-89.9","90-100","177","3,417"
"PA","W - White","70-79.9","90-100","175","3,338"
"PA","W - White","90-100","90-100","053","3,306"
"PA","W - White","90-100","90-100","173","3,190"
"PA","W - White","90-100","90-100","175","3,115"
"PA","W - White","90-100","90-100","174","3,068"
"PA","W - White","80-89.9","90-100","145","3,018"
"PA","B - Black","90-100","90-100","198","2,885"
"PA","B - Black","80-89.9","90-100","179","2,835"
"PA","W - White","90-100","0-9.9","141","2,798"
"PA","W - White","80-89.9","90-100","018","2,737"
"PA","W - White","80-89.9","0-9.9","018","2,725"
"PA","W - White","80-89.9","90-100","170","2,658"
"PA","W - White","80-89.9","0-9.9","140","2,571"
"PA","W - White","90-100","0-9.9","170","2,570"
"PA","W - White","80-89.9","90-100","172","2,568"
"PA","B - Black","90-100","90-100","203","2,552"
"PA","W - White","80-89.9","90-100","174","2,544"
"PA","W - White","70-79.9","0-9.9","145","2,526"
"PA","W - White","60-69.9","90-100","175","2,456"
"PA","W - White","70-79.9","0-9.9","143","2,455"
"PA","W - White","70-79.9","0-9.9","178","2,360"
"PA","W - White","80-89.9","90-100","053","2,355"
"PA","W - White","80-89.9","90-100","173","2,354"
"PA","W - White","80-89.9","90-100","151","2,304"
"PA","W - White","80-89.9","0-9.9","053","2,295"
"PA","H - Hispanic or Latino","80-89.9","90-100","197","2,271"
"PA","W - White","80-89.9","0-9.9","141","2,246"
