"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"PA","W - White","90-100","90-100","112","8,970"
"PA","W - White","90-100","90-100","114","7,430"
"PA","W - White","90-100","0-9.9","187","6,298"
"PA","W - White","90-100","0-9.9","183","5,775"
"PA","W - White","90-100","0-9.9","138","5,388"
"PA","W - White","90-100","90-100","137","5,269"
"PA","W - White","80-89.9","0-9.9","139","5,211"
"PA","W - White","90-100","0-9.9","139","5,021"
"PA","W - White","90-100","90-100","113","5,018"
"PA","W - White","90-100","90-100","132","4,885"
"PA","W - White","80-89.9","90-100","112","4,849"
"PA","W - White","90-100","0-9.9","137","4,842"
"PA","W - White","90-100","0-9.9","122","4,669"
"PA","W - White","90-100","90-100","187","4,565"
"PA","W - White","80-89.9","0-9.9","138","4,510"
"PA","W - White","80-89.9","0-9.9","183","4,454"
"PA","W - White","90-100","90-100","135","4,367"
"PA","W - White","90-100","0-9.9","131","4,327"
"PA","W - White","80-89.9","0-9.9","187","4,268"
"PA","W - White","80-89.9","90-100","114","4,240"
"PA","W - White","90-100","90-100","133","4,223"
"PA","W - White","90-100","90-100","183","4,185"
"PA","W - White","90-100","0-9.9","132","4,106"
"PA","W - White","90-100","90-100","138","4,035"
"PA","W - White","80-89.9","0-9.9","122","3,958"
"PA","W - White","90-100","0-9.9","114","3,894"
"PA","W - White","90-100","90-100","118","3,866"
"PA","W - White","90-100","90-100","136","3,700"
"PA","W - White","90-100","90-100","131","3,637"
"PA","W - White","80-89.9","0-9.9","137","3,617"
"PA","W - White","80-89.9","0-9.9","176","3,608"
"PA","W - White","80-89.9","90-100","137","3,576"
"PA","W - White","90-100","90-100","122","3,425"
"PA","W - White","90-100","0-9.9","176","3,405"
"PA","W - White","80-89.9","90-100","133","3,255"
"PA","W - White","80-89.9","90-100","132","3,243"
"PA","W - White","70-79.9","0-9.9","139","3,207"
"PA","W - White","80-89.9","90-100","135","3,160"
"PA","W - White","80-89.9","90-100","183","3,060"
"PA","W - White","80-89.9","90-100","187","3,030"
"PA","W - White","80-89.9","90-100","113","3,011"
"PA","W - White","80-89.9","90-100","136","3,007"
"PA","W - White","90-100","0-9.9","112","2,987"
"PA","W - White","80-89.9","0-9.9","131","2,965"
"PA","W - White","80-89.9","90-100","138","2,920"
"PA","W - White","90-100","0-9.9","133","2,847"
"PA","W - White","80-89.9","0-9.9","114","2,771"
"PA","W - White","90-100","90-100","134","2,693"
"PA","W - White","80-89.9","0-9.9","132","2,680"
"PA","W - White","70-79.9","0-9.9","138","2,635"
"PA","W - White","70-79.9","0-9.9","183","2,573"
"PA","W - White","90-100","0-9.9","111","2,571"
"PA","W - White","80-89.9","90-100","139","2,553"
"PA","W - White","90-100","0-9.9","135","2,534"
"PA","W - White","70-79.9","0-9.9","122","2,488"
"PA","W - White","50-59.9","0-9.9","139","2,488"
"PA","W - White","90-100","0-9.9","136","2,470"
"PA","W - White","80-89.9","0-9.9","112","2,406"
"PA","W - White","90-100","90-100","139","2,395"
"PA","W - White","60-69.9","0-9.9","139","2,386"
"PA","W - White","80-89.9","90-100","122","2,378"
"PA","W - White","40-49.9","0-9.9","139","2,374"
"PA","W - White","80-89.9","90-100","176","2,373"
"PA","W - White","70-79.9","90-100","112","2,362"
"PA","W - White","90-100","0-9.9","113","2,357"
"PA","W - White","60-69.9","0-9.9","138","2,333"
"PA","W - White","90-100","90-100","176","2,307"
"PA","W - White","70-79.9","0-9.9","187","2,295"
"PA","W - White","90-100","0-9.9","118","2,279"
"PA","W - White","80-89.9","90-100","131","2,266"
"PA","W - White","80-89.9","90-100","189","2,248"
"PA","W - White","70-79.9","0-9.9","176","2,237"
"PA","W - White","90-100","90-100","189","2,223"
"PA","W - White","80-89.9","90-100","118","2,208"
"PA","W - White","90-100","0-9.9","134","2,193"
"PA","W - White","80-89.9","0-9.9","111","2,172"
