"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State Senate District","All Record Count"
"PA","W - White","90-100","90-100","017","29,726"
"PA","W - White","80-89.9","90-100","001","29,245"
"PA","W - White","90-100","90-100","010","29,004"
"PA","W - White","90-100","90-100","012","26,250"
"PA","W - White","90-100","0-9.9","016","25,512"
"PA","W - White","90-100","0-9.9","006","25,095"
"PA","W - White","90-100","0-9.9","009","23,145"
"PA","W - White","90-100","0-9.9","010","22,895"
"PA","W - White","90-100","0-9.9","044","22,864"
"PA","W - White","90-100","0-9.9","024","22,812"
"PA","W - White","90-100","0-9.9","012","22,572"
"PA","W - White","90-100","90-100","019","22,455"
"PA","W - White","90-100","90-100","006","22,383"
"PA","W - White","90-100","90-100","004","22,382"
"PA","W - White","90-100","90-100","044","22,281"
"PA","W - White","90-100","0-9.9","026","22,092"
"PA","W - White","90-100","0-9.9","048","21,804"
"PA","W - White","90-100","0-9.9","019","21,555"
"PA","B - Black","80-89.9","90-100","004","20,545"
"PA","B - Black","80-89.9","90-100","008","20,273"
"PA","B - Black","90-100","90-100","004","20,172"
"PA","B - Black","80-89.9","90-100","007","19,904"
"PA","B - Black","80-89.9","90-100","003","19,373"
"PA","W - White","90-100","90-100","009","19,200"
"PA","W - White","90-100","90-100","024","18,980"
"PA","W - White","90-100","90-100","016","18,740"
"PA","W - White","90-100","90-100","022","18,724"
"PA","W - White","80-89.9","90-100","017","18,709"
"PA","W - White","80-89.9","0-9.9","016","18,042"
"PA","W - White","90-100","90-100","018","17,615"
"PA","W - White","80-89.9","90-100","010","17,512"
"PA","W - White","90-100","90-100","001","17,458"
"PA","W - White","90-100","0-9.9","029","17,361"
"PA","W - White","90-100","90-100","026","17,358"
"PA","W - White","80-89.9","90-100","012","16,652"
"PA","W - White","80-89.9","0-9.9","024","16,419"
"PA","W - White","80-89.9","0-9.9","006","16,297"
"PA","W - White","80-89.9","0-9.9","048","15,948"
"PA","W - White","80-89.9","90-100","044","15,811"
"PA","W - White","70-79.9","90-100","001","15,425"
"PA","W - White","90-100","0-9.9","017","15,147"
"PA","W - White","80-89.9","0-9.9","044","15,090"
"PA","W - White","90-100","90-100","040","14,623"
"PA","W - White","80-89.9","90-100","019","14,418"
"PA","W - White","80-89.9","0-9.9","010","14,396"
"PA","W - White","90-100","0-9.9","018","14,309"
"PA","W - White","80-89.9","90-100","006","14,136"
"PA","W - White","80-89.9","0-9.9","009","14,078"
"PA","W - White","90-100","90-100","014","13,930"
"PA","W - White","90-100","90-100","005","13,890"
"PA","W - White","80-89.9","0-9.9","012","13,694"
