"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"RI","W - White","90-100","90-100","002","42,562"
"RI","W - White","90-100","90-100","001","41,817"
"RI","W - White","80-89.9","90-100","001","31,658"
"RI","W - White","80-89.9","90-100","002","31,305"
"RI","W - White","90-100","0-9.9","002","27,768"
"RI","W - White","80-89.9","0-9.9","002","24,044"
"RI","W - White","70-79.9","90-100","001","15,204"
"RI","W - White","90-100","0-9.9","001","15,067"
"RI","W - White","70-79.9","90-100","002","14,724"
"RI","W - White","80-89.9","0-9.9","001","13,682"
"RI","W - White","70-79.9","0-9.9","002","13,100"
"RI","W - White","60-69.9","90-100","001","10,762"
"RI","W - White","60-69.9","90-100","002","10,171"
"RI","W - White","40-49.9","90-100","001","10,140"
"RI","W - White","60-69.9","0-9.9","002","9,548"
"RI","W - White","50-59.9","90-100","001","9,467"
"RI","W - White","50-59.9","0-9.9","002","9,123"
"RI","W - White","30-39.9","90-100","001","9,046"
"RI","W - White","40-49.9","90-100","002","9,033"
"RI","W - White","50-59.9","90-100","002","8,548"
"RI","W - White","40-49.9","0-9.9","002","8,446"
"RI","W - White","20-29.9","90-100","001","8,140"
"RI","W - White","20-29.9","0-9.9","002","7,679"
"RI","W - White","30-39.9","90-100","002","7,657"
"RI","W - White","70-79.9","0-9.9","001","7,626"
"RI","W - White","20-29.9","90-100","002","7,040"
"RI","W - White","30-39.9","0-9.9","002","6,936"
"RI","W - White","10-19.9","0-9.9","002","6,279"
"RI","W - White","60-69.9","0-9.9","001","6,032"
"RI","W - White","50-59.9","0-9.9","001","5,550"
"RI","W - White","10-19.9","90-100","001","5,543"
"RI","H - Hispanic or Latino","80-89.9","90-100","001","5,384"
"RI","W - White","0-9.9","0-9.9","002","5,321"
"RI","W - White","20-29.9","0-9.9","001","5,190"
"RI","W - White","40-49.9","0-9.9","001","5,137"
"RI","W - White","10-19.9","90-100","002","5,120"
"RI","W - White","0-9.9","90-100","001","4,902"
"RI","W - White","30-39.9","0-9.9","001","4,678"
"RI","W - White","0-9.9","90-100","002","4,516"
"RI","H - Hispanic or Latino","80-89.9","90-100","002","4,005"
"RI","W - White","40-49.9","10-19.9","002","3,881"
"RI","W - White","80-89.9","10-19.9","002","3,841"
"RI","W - White","20-29.9","10-19.9","002","3,733"
"RI","W - White","10-19.9","0-9.9","001","3,682"
"RI","H - Hispanic or Latino","0-9.9","90-100","001","3,508"
"RI","H - Hispanic or Latino","70-79.9","90-100","001","3,478"
"RI","W - White","30-39.9","10-19.9","002","3,424"
"RI","H - Hispanic or Latino","20-29.9","90-100","001","3,361"
"RI","H - Hispanic or Latino","30-39.9","90-100","001","3,260"
"RI","W - White","0-9.9","0-9.9","001","3,250"
"RI","W - White","90-100","10-19.9","002","3,163"
"RI","W - White","10-19.9","10-19.9","002","3,153"
"RI","W - White","50-59.9","10-19.9","002","2,982"
"RI","H - Hispanic or Latino","60-69.9","90-100","001","2,965"
"RI","H - Hispanic or Latino","40-49.9","90-100","001","2,925"
"RI","W - White","0-9.9","10-19.9","002","2,892"
"RI","H - Hispanic or Latino","50-59.9","90-100","001","2,782"
"RI","W - White","70-79.9","10-19.9","002","2,715"
"RI","W - White","80-89.9","10-19.9","001","2,651"
"RI","W - White","60-69.9","10-19.9","002","2,624"
"RI","W - White","20-29.9","10-19.9","001","2,603"
"RI","H - Hispanic or Latino","70-79.9","90-100","002","2,584"
"RI","W - White","40-49.9","10-19.9","001","2,509"
"RI","W - White","30-39.9","10-19.9","001","2,459"
"RI","H - Hispanic or Latino","10-19.9","90-100","001","2,405"
"RI","H - Hispanic or Latino","0-9.9","90-100","002","2,254"
"RI","W - White","90-100","80-89.9","002","2,215"
"RI","H - Hispanic or Latino","30-39.9","90-100","002","2,167"
"RI","H - Hispanic or Latino","60-69.9","90-100","002","2,150"
"RI","H - Hispanic or Latino","40-49.9","90-100","002","2,148"
"RI","W - White","50-59.9","10-19.9","001","2,147"
"RI","H - Hispanic or Latino","20-29.9","90-100","002","2,122"
"RI","W - White","10-19.9","10-19.9","001","2,089"
"RI","W - White","80-89.9","80-89.9","002","2,088"
"RI","W - White","0-9.9","10-19.9","001","2,081"
"RI","W - White","90-100","10-19.9","001","2,053"
"RI","H - Hispanic or Latino","90-100","90-100","001","1,990"
"RI","H - Hispanic or Latino","50-59.9","90-100","002","1,980"
"RI","B - Black","80-89.9","90-100","001","1,963"
"RI","W - White","40-49.9","20-29.9","002","1,955"
"RI","W - White","70-79.9","10-19.9","001","1,884"
"RI","W - White","20-29.9","20-29.9","002","1,830"
"RI","W - White","60-69.9","10-19.9","001","1,812"
"RI","W - White","10-19.9","20-29.9","002","1,771"
"RI","W - White","90-100","80-89.9","001","1,727"
"RI","W - White","30-39.9","20-29.9","002","1,716"
"RI","W - White","80-89.9","80-89.9","001","1,697"
"RI","W - White","0-9.9","20-29.9","002","1,642"
