"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"SC","W - White","90-100","0-9.9","001","58,246"
"SC","W - White","90-100","0-9.9","004","57,500"
"SC","W - White","80-89.9","0-9.9","003","55,683"
"SC","W - White","90-100","0-9.9","003","55,488"
"SC","W - White","90-100","0-9.9","002","52,236"
"SC","W - White","80-89.9","0-9.9","001","47,767"
"SC","W - White","80-89.9","0-9.9","004","46,338"
"SC","W - White","90-100","0-9.9","005","44,993"
"SC","W - White","80-89.9","0-9.9","007","43,922"
"SC","W - White","90-100","0-9.9","007","43,455"
"SC","W - White","80-89.9","0-9.9","005","42,830"
"SC","W - White","80-89.9","0-9.9","002","41,949"
"SC","B - Black","80-89.9","90-100","006","38,313"
"SC","B - Black","90-100","90-100","006","29,096"
"SC","W - White","70-79.9","0-9.9","003","26,620"
"SC","W - White","70-79.9","0-9.9","004","21,147"
"SC","W - White","70-79.9","0-9.9","001","20,977"
"SC","W - White","70-79.9","0-9.9","007","20,826"
"SC","B - Black","0-9.9","90-100","006","20,328"
"SC","B - Black","70-79.9","90-100","006","19,559"
"SC","W - White","80-89.9","0-9.9","006","19,423"
"SC","W - White","90-100","0-9.9","006","19,417"
"SC","W - White","70-79.9","0-9.9","002","18,813"
"SC","B - Black","80-89.9","90-100","007","18,753"
"SC","B - Black","80-89.9","90-100","002","18,705"
"SC","W - White","70-79.9","0-9.9","005","18,428"
"SC","B - Black","80-89.9","90-100","005","18,292"
"SC","W - White","60-69.9","0-9.9","003","17,404"
"SC","B - Black","90-100","90-100","002","17,000"
"SC","B - Black","10-19.9","90-100","006","15,909"
"SC","B - Black","20-29.9","90-100","006","14,236"
"SC","W - White","60-69.9","0-9.9","007","13,497"
"SC","B - Black","90-100","90-100","005","13,488"
"SC","W - White","60-69.9","0-9.9","001","13,310"
"SC","W - White","60-69.9","0-9.9","004","13,155"
"SC","B - Black","60-69.9","90-100","006","13,141"
"SC","W - White","80-89.9","90-100","001","13,064"
"SC","B - Black","80-89.9","90-100","001","12,884"
"SC","B - Black","40-49.9","90-100","006","12,716"
"SC","W - White","50-59.9","0-9.9","003","12,642"
"SC","B - Black","30-39.9","90-100","006","12,628"
"SC","W - White","90-100","90-100","001","12,539"
"SC","B - Black","50-59.9","90-100","006","12,101"
"SC","B - Black","90-100","90-100","007","11,916"
"SC","W - White","80-89.9","90-100","006","11,809"
"SC","W - White","60-69.9","0-9.9","002","11,330"
"SC","W - White","60-69.9","0-9.9","005","11,259"
"SC","B - Black","90-100","90-100","001","10,557"
"SC","B - Black","80-89.9","90-100","003","10,470"
"SC","B - Black","0-9.9","80-89.9","006","10,468"
"SC","B - Black","80-89.9","90-100","004","10,344"
"SC","W - White","40-49.9","0-9.9","003","10,096"
"SC","B - Black","70-79.9","90-100","007","10,054"
"SC","W - White","50-59.9","0-9.9","007","9,773"
"SC","W - White","70-79.9","0-9.9","006","9,606"
"SC","W - White","80-89.9","90-100","007","9,321"
"SC","W - White","90-100","90-100","006","9,120"
"SC","W - White","50-59.9","0-9.9","001","9,021"
"SC","W - White","50-59.9","0-9.9","004","9,000"
"SC","B - Black","70-79.9","90-100","002","8,792"
"SC","B - Black","70-79.9","90-100","005","8,621"
"SC","W - White","50-59.9","0-9.9","005","8,574"
"SC","W - White","90-100","90-100","007","8,398"
"SC","W - White","80-89.9","90-100","002","8,328"
"SC","B - Black","90-100","90-100","004","8,304"
"SC","W - White","90-100","90-100","002","8,281"
"SC","W - White","40-49.9","0-9.9","007","7,956"
"SC","B - Black","0-9.9","90-100","007","7,778"
"SC","B - Black","90-100","90-100","003","7,758"
"SC","W - White","80-89.9","90-100","004","7,729"
"SC","W - White","50-59.9","0-9.9","002","7,700"
"SC","W - White","30-39.9","90-100","006","7,489"
"SC","W - White","80-89.9","90-100","005","7,482"
"SC","W - White","40-49.9","0-9.9","004","7,417"
"SC","W - White","40-49.9","0-9.9","001","7,323"
"SC","B - Black","20-29.9","90-100","002","7,289"
"SC","B - Black","10-19.9","90-100","007","7,150"
"SC","W - White","90-100","90-100","004","7,098"
"SC","W - White","0-9.9","10-19.9","003","6,998"
"SC","W - White","30-39.9","0-9.9","003","6,955"
"SC","W - White","40-49.9","0-9.9","005","6,941"
"SC","B - Black","20-29.9","90-100","007","6,821"
"SC","W - White","30-39.9","90-100","001","6,699"
"SC","W - White","40-49.9","90-100","006","6,689"
"SC","W - White","90-100","90-100","005","6,674"
"SC","B - Black","10-19.9","90-100","002","6,635"
"SC","B - Black","30-39.9","90-100","002","6,568"
"SC","B - Black","0-9.9","90-100","002","6,498"
"SC","B - Black","60-69.9","90-100","007","6,434"
