"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"SD","W - White","90-100","0-9.9","001","59,415"
"SD","W - White","80-89.9","0-9.9","001","55,463"
"SD","W - White","70-79.9","0-9.9","001","34,014"
"SD","W - White","90-100","90-100","001","31,209"
"SD","W - White","80-89.9","90-100","001","26,159"
"SD","W - White","60-69.9","0-9.9","001","25,316"
"SD","W - White","50-59.9","0-9.9","001","24,934"
"SD","W - White","40-49.9","0-9.9","001","24,388"
"SD","W - White","10-19.9","0-9.9","001","22,609"
"SD","W - White","30-39.9","0-9.9","001","21,785"
"SD","W - White","20-29.9","0-9.9","001","20,831"
"SD","W - White","70-79.9","90-100","001","14,488"
"SD","W - White","0-9.9","0-9.9","001","12,970"
"SD","W - White","60-69.9","90-100","001","11,099"
"SD","W - White","50-59.9","90-100","001","9,072"
"SD","W - White","40-49.9","90-100","001","7,589"
"SD","W - White","0-9.9","90-100","001","6,578"
"SD","W - White","20-29.9","90-100","001","6,503"
"SD","W - White","30-39.9","90-100","001","6,067"
"SD","W - White","10-19.9","90-100","001","6,036"
"SD","W - White","80-89.9","10-19.9","001","5,222"
"SD","W - White","80-89.9","20-29.9","001","4,985"
"SD","W - White","80-89.9","30-39.9","001","4,786"
"SD","W - White","90-100","30-39.9","001","4,632"
"SD","W - White","90-100","10-19.9","001","4,435"
"SD","W - White","90-100","20-29.9","001","4,421"
"SD","W - White","90-100","40-49.9","001","4,213"
"SD","W - White","80-89.9","40-49.9","001","4,146"
"SD","W - White","10-19.9","10-19.9","001","4,121"
"SD","W - White","70-79.9","10-19.9","001","3,824"
"SD","W - White","10-19.9","20-29.9","001","3,587"
"SD","W - White","90-100","50-59.9","001","3,538"
"SD","W - White","80-89.9","50-59.9","001","3,498"
"SD","W - White","20-29.9","10-19.9","001","3,469"
"SD","W - White","70-79.9","20-29.9","001","3,413"
"SD","W - White","60-69.9","10-19.9","001","3,384"
"SD","W - White","70-79.9","30-39.9","001","3,354"
"SD","W - White","50-59.9","10-19.9","001","3,345"
"SD","W - White","40-49.9","10-19.9","001","3,262"
"SD","W - White","0-9.9","10-19.9","001","3,246"
"SD","W - White","50-59.9","20-29.9","001","3,157"
"SD","W - White","30-39.9","10-19.9","001","3,006"
"SD","W - White","60-69.9","20-29.9","001","2,962"
"SD","W - White","20-29.9","20-29.9","001","2,948"
"SD","W - White","70-79.9","40-49.9","001","2,915"
"SD","W - White","0-9.9","20-29.9","001","2,836"
"SD","W - White","80-89.9","60-69.9","001","2,830"
"SD","W - White","60-69.9","30-39.9","001","2,802"
"SD","W - White","50-59.9","30-39.9","001","2,753"
"SD","W - White","90-100","60-69.9","001","2,744"
"SD","W - White","10-19.9","30-39.9","001","2,711"
"SD","N - Native American","0-9.9","90-100","001","2,616"
"SD","W - White","40-49.9","20-29.9","001","2,537"
"SD","W - White","30-39.9","20-29.9","001","2,516"
"SD","W - White","60-69.9","40-49.9","001","2,337"
"SD","W - White","70-79.9","50-59.9","001","2,318"
"SD","W - White","20-29.9","30-39.9","001","2,292"
"SD","W - White","50-59.9","40-49.9","001","2,195"
"SD","W - White","40-49.9","30-39.9","001","2,189"
"SD","N - Native American","10-19.9","90-100","001","2,135"
"SD","W - White","10-19.9","40-49.9","001","2,093"
"SD","W - White","80-89.9","70-79.9","001","2,078"
"SD","W - White","30-39.9","30-39.9","001","2,021"
"SD","W - White","0-9.9","30-39.9","001","1,969"
"SD","W - White","70-79.9","60-69.9","001","1,945"
"SD","W - White","80-89.9","80-89.9","001","1,932"
"SD","W - White","60-69.9","50-59.9","001","1,932"
"SD","W - White","20-29.9","40-49.9","001","1,916"
"SD","W - White","90-100","70-79.9","001","1,900"
"SD","W - White","90-100","80-89.9","001","1,792"
"SD","W - White","50-59.9","50-59.9","001","1,777"
"SD","W - White","40-49.9","40-49.9","001","1,775"
"SD","W - White","50-59.9","60-69.9","001","1,626"
"SD","W - White","60-69.9","60-69.9","001","1,622"
"SD","N - Native American","80-89.9","90-100","001","1,607"
"SD","W - White","10-19.9","50-59.9","001","1,588"
"SD","W - White","30-39.9","40-49.9","001","1,585"
"SD","W - White","40-49.9","50-59.9","001","1,561"
"SD","N - Native American","70-79.9","90-100","001","1,544"
"SD","W - White","70-79.9","70-79.9","001","1,515"
"SD","W - White","50-59.9","70-79.9","001","1,465"
"SD","W - White","70-79.9","80-89.9","001","1,464"
"SD","W - White","20-29.9","50-59.9","001","1,406"
"SD","W - White","50-59.9","80-89.9","001","1,406"
"SD","W - White","0-9.9","40-49.9","001","1,379"
"SD","W - White","60-69.9","70-79.9","001","1,369"
"SD","W - White","30-39.9","50-59.9","001","1,356"
"SD","W - White","60-69.9","80-89.9","001","1,348"
"SD","W - White","10-19.9","60-69.9","001","1,318"
"SD","N - Native American","40-49.9","90-100","001","1,304"
"SD","W - White","0-9.9","80-89.9","001","1,285"
"SD","N - Native American","50-59.9","90-100","001","1,253"
"SD","W - White","40-49.9","60-69.9","001","1,250"
"SD","W - White","40-49.9","80-89.9","001","1,237"
"SD","W - White","40-49.9","70-79.9","001","1,225"
"SD","N - Native American","60-69.9","90-100","001","1,222"
"SD","N - Native American","30-39.9","90-100","001","1,204"
"SD","N - Native American","20-29.9","90-100","001","1,195"
"SD","W - White","20-29.9","60-69.9","001","1,144"
"SD","W - White","10-19.9","70-79.9","001","1,094"
"SD","W - White","20-29.9","80-89.9","001","1,069"
"SD","W - White","10-19.9","80-89.9","001","1,020"
"SD","W - White","30-39.9","60-69.9","001","986"
