"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"TN","W - White","80-89.9","0-9.9","001","58,742"
"TN","W - White","90-100","0-9.9","001","57,124"
"TN","W - White","90-100","0-9.9","008","55,728"
"TN","W - White","90-100","0-9.9","005","54,973"
"TN","W - White","90-100","0-9.9","002","54,307"
"TN","W - White","90-100","0-9.9","006","49,819"
"TN","W - White","80-89.9","0-9.9","006","48,097"
"TN","W - White","80-89.9","0-9.9","008","46,880"
"TN","W - White","80-89.9","0-9.9","002","45,741"
"TN","W - White","90-100","0-9.9","003","45,199"
"TN","W - White","80-89.9","0-9.9","004","44,201"
"TN","W - White","90-100","0-9.9","004","43,680"
"TN","W - White","80-89.9","0-9.9","003","39,854"
"TN","W - White","80-89.9","0-9.9","005","38,308"
"TN","W - White","90-100","0-9.9","007","37,916"
"TN","W - White","80-89.9","0-9.9","007","36,118"
"TN","W - White","70-79.9","0-9.9","001","29,722"
"TN","B - Black","90-100","90-100","009","26,673"
"TN","B - Black","80-89.9","90-100","009","26,512"
"TN","W - White","90-100","90-100","005","24,655"
"TN","W - White","70-79.9","0-9.9","006","22,231"
"TN","W - White","80-89.9","90-100","005","22,085"
"TN","W - White","60-69.9","0-9.9","001","22,069"
"TN","W - White","70-79.9","0-9.9","008","21,466"
"TN","W - White","50-59.9","0-9.9","001","21,442"
"TN","W - White","70-79.9","0-9.9","004","20,837"
"TN","W - White","80-89.9","90-100","006","20,618"
"TN","W - White","70-79.9","0-9.9","002","20,573"
"TN","O - Other","80-89.9","90-100","009","20,460"
"TN","W - White","70-79.9","0-9.9","003","18,781"
"TN","W - White","40-49.9","0-9.9","001","18,667"
"TN","W - White","80-89.9","90-100","002","18,076"
"TN","W - White","20-29.9","0-9.9","001","17,417"
"TN","W - White","80-89.9","90-100","007","17,289"
"TN","W - White","70-79.9","0-9.9","007","17,282"
"TN","W - White","90-100","90-100","002","16,809"
"TN","W - White","90-100","90-100","006","16,504"
"TN","W - White","60-69.9","0-9.9","006","16,380"
"TN","W - White","60-69.9","0-9.9","004","15,523"
"TN","W - White","70-79.9","0-9.9","005","15,341"
"TN","B - Black","10-19.9","90-100","009","15,112"
"TN","W - White","10-19.9","0-9.9","001","15,086"
"TN","W - White","90-100","90-100","007","15,072"
"TN","W - White","60-69.9","0-9.9","008","14,976"
"TN","W - White","50-59.9","0-9.9","006","14,806"
"TN","W - White","60-69.9","0-9.9","002","14,690"
"TN","W - White","50-59.9","0-9.9","004","14,523"
"TN","O - Other","90-100","90-100","009","14,120"
"TN","W - White","40-49.9","0-9.9","004","13,711"
"TN","O - Other","20-29.9","90-100","009","13,638"
"TN","W - White","40-49.9","0-9.9","006","13,623"
"TN","W - White","50-59.9","0-9.9","008","13,614"
"TN","O - Other","10-19.9","90-100","009","13,322"
"TN","W - White","30-39.9","0-9.9","001","13,234"
"TN","W - White","60-69.9","0-9.9","003","13,202"
"TN","W - White","80-89.9","90-100","004","13,161"
"TN","B - Black","70-79.9","90-100","009","12,880"
"TN","B - Black","20-29.9","90-100","009","12,802"
"TN","O - Other","30-39.9","90-100","009","12,789"
"TN","W - White","60-69.9","0-9.9","007","12,590"
"TN","B - Black","0-9.9","90-100","009","12,525"
"TN","W - White","40-49.9","0-9.9","008","12,402"
"TN","W - White","50-59.9","0-9.9","002","12,168"
"TN","W - White","20-29.9","10-19.9","001","12,074"
"TN","O - Other","0-9.9","90-100","009","11,869"
"TN","W - White","50-59.9","0-9.9","003","11,843"
"TN","W - White","50-59.9","0-9.9","007","11,705"
"TN","O - Other","70-79.9","90-100","009","11,661"
"TN","W - White","90-100","90-100","004","11,542"
"TN","O - Other","40-49.9","90-100","009","11,535"
"TN","W - White","90-100","0-9.9","009","11,336"
"TN","O - Other","80-89.9","0-9.9","003","11,268"
"TN","W - White","20-29.9","0-9.9","006","11,268"
"TN","O - Other","90-100","0-9.9","003","11,135"
"TN","W - White","40-49.9","0-9.9","007","10,944"
"TN","W - White","20-29.9","0-9.9","004","10,894"
"TN","W - White","40-49.9","10-19.9","001","10,795"
"TN","W - White","90-100","90-100","003","10,732"
"TN","W - White","10-19.9","10-19.9","001","10,447"
"TN","O - Other","90-100","0-9.9","008","10,391"
"TN","W - White","80-89.9","90-100","003","10,305"
"TN","W - White","70-79.9","90-100","006","10,203"
"TN","W - White","40-49.9","0-9.9","003","10,172"
"TN","W - White","60-69.9","0-9.9","005","10,072"
"TN","W - White","80-89.9","90-100","001","9,921"
"TN","B - Black","40-49.9","90-100","009","9,867"
"TN","W - White","70-79.9","90-100","005","9,866"
"TN","W - White","40-49.9","0-9.9","002","9,772"
"TN","W - White","30-39.9","10-19.9","001","9,631"
"TN","W - White","30-39.9","0-9.9","006","9,542"
"TN","B - Black","60-69.9","90-100","009","9,492"
"TN","W - White","0-9.9","0-9.9","001","9,435"
"TN","W - White","30-39.9","0-9.9","004","9,380"
"TN","B - Black","50-59.9","90-100","009","9,376"
"TN","B - Black","80-89.9","90-100","008","9,217"
"TN","W - White","10-19.9","0-9.9","004","9,134"
"TN","W - White","10-19.9","0-9.9","006","9,117"
"TN","W - White","70-79.9","90-100","007","9,117"
"TN","B - Black","90-100","90-100","008","9,033"
"TN","W - White","20-29.9","0-9.9","008","8,999"
"TN","W - White","50-59.9","10-19.9","001","8,936"
"TN","W - White","20-29.9","0-9.9","007","8,887"
"TN","B - Black","80-89.9","90-100","007","8,879"
"TN","W - White","20-29.9","0-9.9","003","8,730"
"TN","O - Other","50-59.9","90-100","009","8,589"
"TN","W - White","70-79.9","90-100","002","8,488"
"TN","W - White","90-100","90-100","008","8,451"
"TN","O - Other","60-69.9","90-100","009","8,396"
"TN","W - White","20-29.9","0-9.9","002","8,345"
"TN","B - Black","90-100","90-100","007","8,287"
"TN","B - Black","30-39.9","90-100","009","8,217"
"TN","O - Other","80-89.9","90-100","003","8,185"
"TN","W - White","10-19.9","0-9.9","008","8,160"
"TN","W - White","30-39.9","0-9.9","008","7,976"
"TN","W - White","80-89.9","90-100","008","7,949"
"TN","W - White","90-100","90-100","001","7,906"
"TN","W - White","20-29.9","10-19.9","004","7,776"
"TN","W - White","40-49.9","90-100","005","7,760"
"TN","W - White","50-59.9","0-9.9","005","7,670"
"TN","W - White","30-39.9","90-100","005","7,596"
"TN","W - White","40-49.9","90-100","007","7,542"
"TN","W - White","80-89.9","10-19.9","001","7,492"
"TN","W - White","20-29.9","10-19.9","006","7,401"
"TN","W - White","30-39.9","0-9.9","003","7,398"
"TN","W - White","80-89.9","0-9.9","009","7,374"
"TN","W - White","10-19.9","0-9.9","003","7,331"
"TN","W - White","10-19.9","0-9.9","007","7,220"
"TN","W - White","30-39.9","0-9.9","002","7,199"
"TN","W - White","20-29.9","10-19.9","002","7,147"
"TN","O - Other","80-89.9","0-9.9","008","7,112"
"TN","W - White","30-39.9","0-9.9","007","7,108"
"TN","W - White","40-49.9","10-19.9","004","7,020"
"TN","W - White","20-29.9","10-19.9","007","6,990"
"TN","W - White","60-69.9","90-100","006","6,957"
"TN","W - White","0-9.9","10-19.9","001","6,915"
"TN","W - White","40-49.9","10-19.9","007","6,858"
"TN","W - White","40-49.9","10-19.9","002","6,781"
"TN","W - White","60-69.9","90-100","005","6,642"
"TN","W - White","30-39.9","90-100","007","6,606"
"TN","O - Other","30-39.9","90-100","003","6,595"
"TN","W - White","70-79.9","90-100","004","6,527"
"TN","B - Black","80-89.9","90-100","005","6,471"
"TN","W - White","10-19.9","10-19.9","004","6,463"
"TN","W - White","60-69.9","10-19.9","001","6,454"
"TN","W - White","30-39.9","90-100","002","6,444"
"TN","W - White","60-69.9","90-100","007","6,431"
"TN","W - White","50-59.9","10-19.9","002","6,425"
"TN","W - White","40-49.9","90-100","006","6,418"
"TN","W - White","40-49.9","0-9.9","005","6,382"
"TN","W - White","20-29.9","20-29.9","001","6,381"
"TN","W - White","40-49.9","10-19.9","006","6,337"
"TN","O - Other","90-100","0-9.9","002","6,292"
"TN","W - White","20-29.9","90-100","005","6,200"
"TN","B - Black","90-100","90-100","005","6,158"
"TN","W - White","10-19.9","10-19.9","006","6,116"
"TN","W - White","10-19.9","0-9.9","002","6,113"
"TN","O - Other","70-79.9","0-9.9","003","6,077"
"TN","W - White","70-79.9","10-19.9","001","6,061"
"TN","W - White","30-39.9","10-19.9","004","5,978"
"TN","W - White","10-19.9","10-19.9","007","5,910"
"TN","W - White","20-29.9","10-19.9","008","5,898"
"TN","W - White","40-49.9","90-100","002","5,888"
"TN","W - White","20-29.9","10-19.9","003","5,830"
"TN","W - White","30-39.9","10-19.9","002","5,827"
"TN","W - White","30-39.9","10-19.9","006","5,788"
