"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"TX","B - Black","80-89.9","90-100","030","30,525"
"TX","B - Black","90-100","90-100","030","28,754"
"TX","H - Hispanic or Latino","80-89.9","90-100","016","28,438"
"TX","H - Hispanic or Latino","80-89.9","90-100","034","25,169"
"TX","B - Black","80-89.9","90-100","009","24,812"
"TX","B - Black","90-100","90-100","009","23,682"
"TX","H - Hispanic or Latino","80-89.9","90-100","028","22,383"
"TX","H - Hispanic or Latino","80-89.9","90-100","015","21,654"
"TX","H - Hispanic or Latino","80-89.9","90-100","020","21,085"
"TX","B - Black","80-89.9","90-100","018","18,533"
"TX","H - Hispanic or Latino","70-79.9","90-100","034","17,281"
"TX","H - Hispanic or Latino","80-89.9","90-100","023","17,173"
"TX","H - Hispanic or Latino","70-79.9","90-100","016","17,151"
"TX","B - Black","20-29.9","90-100","030","16,556"
"TX","H - Hispanic or Latino","70-79.9","90-100","028","15,990"
"TX","B - Black","10-19.9","90-100","030","15,721"
"TX","B - Black","40-49.9","90-100","030","15,645"
"TX","B - Black","70-79.9","90-100","030","15,363"
"TX","B - Black","90-100","90-100","018","14,792"
"TX","B - Black","30-39.9","90-100","030","14,529"
"TX","H - Hispanic or Latino","70-79.9","90-100","015","14,357"
"TX","B - Black","40-49.9","90-100","009","13,723"
"TX","B - Black","0-9.9","90-100","030","13,373"
"TX","H - Hispanic or Latino","80-89.9","90-100","035","13,042"
"TX","B - Black","70-79.9","90-100","009","13,019"
"TX","H - Hispanic or Latino","70-79.9","90-100","020","12,709"
"TX","H - Hispanic or Latino","90-100","90-100","016","12,697"
"TX","H - Hispanic or Latino","20-29.9","90-100","028","12,682"
"TX","B - Black","10-19.9","90-100","009","12,364"
"TX","H - Hispanic or Latino","10-19.9","90-100","028","12,222"
"TX","H - Hispanic or Latino","80-89.9","90-100","027","12,214"
"TX","B - Black","20-29.9","90-100","009","12,175"
"TX","B - Black","30-39.9","90-100","009","12,088"
"TX","H - Hispanic or Latino","60-69.9","90-100","028","12,076"
"TX","H - Hispanic or Latino","30-39.9","90-100","035","11,936"
"TX","H - Hispanic or Latino","40-49.9","90-100","020","11,844"
"TX","B - Black","50-59.9","90-100","030","11,745"
"TX","H - Hispanic or Latino","70-79.9","90-100","023","11,715"
"TX","B - Black","40-49.9","90-100","018","11,668"
"TX","H - Hispanic or Latino","60-69.9","90-100","034","11,634"
"TX","H - Hispanic or Latino","30-39.9","90-100","028","11,590"
"TX","B - Black","60-69.9","90-100","030","11,484"
"TX","H - Hispanic or Latino","40-49.9","90-100","028","11,399"
"TX","H - Hispanic or Latino","40-49.9","90-100","035","11,374"
"TX","B - Black","20-29.9","90-100","018","11,354"
"TX","H - Hispanic or Latino","40-49.9","90-100","016","11,345"
"TX","B - Black","10-19.9","90-100","018","11,321"
"TX","H - Hispanic or Latino","30-39.9","90-100","016","11,277"
"TX","B - Black","30-39.9","90-100","018","11,125"
"TX","H - Hispanic or Latino","20-29.9","90-100","035","11,099"
"TX","H - Hispanic or Latino","30-39.9","90-100","020","11,067"
"TX","H - Hispanic or Latino","90-100","90-100","020","10,873"
"TX","H - Hispanic or Latino","10-19.9","90-100","034","10,777"
"TX","H - Hispanic or Latino","50-59.9","90-100","028","10,487"
"TX","B - Black","0-9.9","90-100","018","10,453"
"TX","H - Hispanic or Latino","20-29.9","90-100","034","10,423"
"TX","H - Hispanic or Latino","90-100","90-100","028","10,419"
"TX","B - Black","0-9.9","90-100","009","10,314"
"TX","H - Hispanic or Latino","70-79.9","90-100","035","10,218"
"TX","H - Hispanic or Latino","60-69.9","90-100","016","10,211"
"TX","B - Black","70-79.9","90-100","018","10,183"
"TX","H - Hispanic or Latino","30-39.9","90-100","034","10,172"
"TX","H - Hispanic or Latino","60-69.9","90-100","015","9,918"
"TX","H - Hispanic or Latino","20-29.9","90-100","016","9,719"
"TX","H - Hispanic or Latino","90-100","90-100","034","9,671"
"TX","H - Hispanic or Latino","80-89.9","90-100","029","9,631"
"TX","B - Black","50-59.9","90-100","009","9,618"
"TX","H - Hispanic or Latino","50-59.9","90-100","034","9,464"
"TX","B - Black","60-69.9","90-100","009","9,357"
"TX","H - Hispanic or Latino","80-89.9","90-100","037","9,345"
"TX","H - Hispanic or Latino","10-19.9","90-100","035","9,238"
"TX","H - Hispanic or Latino","40-49.9","90-100","033","9,120"
"TX","B - Black","80-89.9","90-100","033","8,850"
"TX","H - Hispanic or Latino","40-49.9","90-100","034","8,847"
"TX","H - Hispanic or Latino","80-89.9","90-100","021","8,774"
"TX","H - Hispanic or Latino","20-29.9","90-100","023","8,678"
"TX","H - Hispanic or Latino","20-29.9","90-100","020","8,648"
"TX","H - Hispanic or Latino","50-59.9","90-100","016","8,471"
"TX","H - Hispanic or Latino","40-49.9","90-100","037","8,375"
"TX","H - Hispanic or Latino","90-100","90-100","015","8,294"
"TX","H - Hispanic or Latino","20-29.9","90-100","015","8,273"
"TX","H - Hispanic or Latino","30-39.9","90-100","033","8,175"
"TX","H - Hispanic or Latino","10-19.9","90-100","015","8,159"
"TX","H - Hispanic or Latino","60-69.9","90-100","020","8,096"
"TX","H - Hispanic or Latino","30-39.9","90-100","015","8,096"
"TX","H - Hispanic or Latino","80-89.9","90-100","033","8,092"
"TX","H - Hispanic or Latino","50-59.9","90-100","015","7,969"
"TX","H - Hispanic or Latino","0-9.9","10-19.9","034","7,904"
"TX","H - Hispanic or Latino","10-19.9","90-100","023","7,886"
"TX","H - Hispanic or Latino","0-9.9","10-19.9","015","7,886"
"TX","H - Hispanic or Latino","60-69.9","90-100","035","7,849"
"TX","H - Hispanic or Latino","40-49.9","90-100","030","7,846"
"TX","H - Hispanic or Latino","30-39.9","90-100","023","7,805"
"TX","H - Hispanic or Latino","50-59.9","90-100","020","7,788"
"TX","H - Hispanic or Latino","30-39.9","90-100","037","7,762"
"TX","B - Black","50-59.9","90-100","018","7,643"
"TX","H - Hispanic or Latino","10-19.9","90-100","016","7,620"
"TX","H - Hispanic or Latino","50-59.9","90-100","035","7,588"
"TX","H - Hispanic or Latino","60-69.9","90-100","023","7,586"
"TX","H - Hispanic or Latino","30-39.9","90-100","030","7,534"
"TX","H - Hispanic or Latino","40-49.9","90-100","015","7,463"
"TX","H - Hispanic or Latino","70-79.9","90-100","037","7,295"
"TX","H - Hispanic or Latino","70-79.9","90-100","027","7,248"
"TX","B - Black","80-89.9","90-100","014","7,231"
"TX","H - Hispanic or Latino","40-49.9","90-100","023","7,227"
"TX","H - Hispanic or Latino","0-9.9","20-29.9","034","7,200"
"TX","B - Black","60-69.9","90-100","018","7,119"
"TX","H - Hispanic or Latino","40-49.9","90-100","018","7,068"
"TX","H - Hispanic or Latino","90-100","90-100","023","7,020"
"TX","B - Black","80-89.9","90-100","032","6,930"
"TX","B - Black","80-89.9","90-100","007","6,924"
"TX","H - Hispanic or Latino","70-79.9","90-100","029","6,848"
"TX","B - Black","90-100","90-100","033","6,826"
"TX","H - Hispanic or Latino","40-49.9","90-100","009","6,769"
"TX","H - Hispanic or Latino","30-39.9","90-100","018","6,715"
"TX","H - Hispanic or Latino","20-29.9","90-100","033","6,663"
"TX","H - Hispanic or Latino","10-19.9","90-100","020","6,657"
"TX","H - Hispanic or Latino","20-29.9","90-100","030","6,603"
"TX","H - Hispanic or Latino","70-79.9","90-100","033","6,595"
"TX","H - Hispanic or Latino","80-89.9","0-9.9","015","6,568"
"TX","H - Hispanic or Latino","50-59.9","90-100","023","6,567"
"TX","H - Hispanic or Latino","80-89.9","0-9.9","023","6,546"
"TX","H - Hispanic or Latino","80-89.9","0-9.9","016","6,532"
"TX","H - Hispanic or Latino","90-100","90-100","027","6,440"
"TX","B - Black","90-100","90-100","014","6,394"
"TX","H - Hispanic or Latino","40-49.9","90-100","029","6,353"
"TX","H - Hispanic or Latino","40-49.9","80-89.9","020","6,212"
"TX","H - Hispanic or Latino","0-9.9","30-39.9","034","6,206"
"TX","H - Hispanic or Latino","40-49.9","90-100","032","6,162"
"TX","B - Black","80-89.9","90-100","001","6,149"
"TX","B - Black","80-89.9","90-100","005","6,145"
"TX","H - Hispanic or Latino","30-39.9","90-100","009","6,138"
"TX","H - Hispanic or Latino","0-9.9","20-29.9","015","6,112"
"TX","H - Hispanic or Latino","20-29.9","90-100","037","6,111"
"TX","H - Hispanic or Latino","10-19.9","10-19.9","015","6,016"
"TX","B - Black","80-89.9","90-100","006","6,008"
"TX","B - Black","40-49.9","90-100","032","6,001"
"TX","H - Hispanic or Latino","40-49.9","80-89.9","016","5,955"
"TX","H - Hispanic or Latino","0-9.9","90-100","035","5,935"
"TX","H - Hispanic or Latino","0-9.9","40-49.9","034","5,893"
"TX","H - Hispanic or Latino","0-9.9","10-19.9","019","5,876"
"TX","H - Hispanic or Latino","80-89.9","0-9.9","027","5,842"
"TX","H - Hispanic or Latino","10-19.9","80-89.9","016","5,830"
"TX","H - Hispanic or Latino","20-29.9","80-89.9","016","5,825"
"TX","B - Black","40-49.9","90-100","007","5,824"
"TX","A - Asian or Pacific Islander","80-89.9","90-100","007","5,782"
"TX","H - Hispanic or Latino","0-9.9","80-89.9","016","5,778"
"TX","H - Hispanic or Latino","20-29.9","90-100","027","5,761"
"TX","H - Hispanic or Latino","80-89.9","0-9.9","021","5,758"
"TX","H - Hispanic or Latino","80-89.9","0-9.9","020","5,743"
"TX","H - Hispanic or Latino","50-59.9","90-100","037","5,742"
"TX","H - Hispanic or Latino","10-19.9","80-89.9","028","5,705"
