"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"UT","W - White","20-29.9","0-9.9","Not Available","84,148"
"UT","W - White","10-19.9","0-9.9","Not Available","54,854"
"UT","W - White","20-29.9","10-19.9","Not Available","50,426"
"UT","W - White","0-9.9","0-9.9","Not Available","49,975"
"UT","W - White","90-100","0-9.9","003","34,514"
"UT","W - White","80-89.9","0-9.9","003","34,236"
"UT","W - White","0-9.9","10-19.9","Not Available","32,674"
"UT","W - White","90-100","0-9.9","002","32,109"
"UT","W - White","10-19.9","10-19.9","Not Available","28,865"
"UT","W - White","20-29.9","20-29.9","Not Available","28,182"
"UT","W - White","80-89.9","0-9.9","002","27,008"
"UT","W - White","20-29.9","30-39.9","Not Available","22,665"
"UT","W - White","0-9.9","20-29.9","Not Available","21,474"
"UT","W - White","90-100","0-9.9","004","19,292"
"UT","W - White","0-9.9","30-39.9","Not Available","18,837"
"UT","W - White","10-19.9","20-29.9","Not Available","18,230"
"UT","W - White","80-89.9","0-9.9","004","18,180"
"UT","W - White","20-29.9","40-49.9","Not Available","16,983"
"UT","W - White","70-79.9","0-9.9","003","16,155"
"UT","W - White","10-19.9","30-39.9","Not Available","15,887"
"UT","W - White","0-9.9","40-49.9","Not Available","14,159"
"UT","W - White","30-39.9","0-9.9","Not Available","13,928"
"UT","W - White","20-29.9","50-59.9","Not Available","13,370"
"UT","W - White","70-79.9","0-9.9","002","12,094"
"UT","W - White","60-69.9","0-9.9","003","11,951"
"UT","W - White","10-19.9","40-49.9","Not Available","11,791"
"UT","W - White","90-100","80-89.9","001","11,362"
"UT","W - White","20-29.9","60-69.9","Not Available","11,233"
"UT","W - White","0-9.9","50-59.9","Not Available","9,764"
"UT","W - White","80-89.9","80-89.9","001","9,571"
"UT","W - White","90-100","90-100","001","9,336"
"UT","W - White","20-29.9","70-79.9","Not Available","9,307"
"UT","W - White","70-79.9","0-9.9","004","9,083"
"UT","W - White","90-100","70-79.9","001","8,759"
"UT","W - White","80-89.9","90-100","001","8,326"
"UT","W - White","50-59.9","0-9.9","003","8,314"
