"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"VA","W - White","90-100","0-9.9","001","82,837"
"VA","W - White","90-100","0-9.9","009","70,110"
"VA","W - White","90-100","90-100","008","66,889"
"VA","W - White","90-100","90-100","011","66,274"
"VA","W - White","90-100","0-9.9","005","65,555"
"VA","W - White","90-100","0-9.9","006","65,364"
"VA","W - White","90-100","90-100","001","56,412"
"VA","W - White","90-100","0-9.9","002","55,787"
"VA","W - White","80-89.9","90-100","008","47,625"
"VA","W - White","90-100","90-100","010","47,224"
"VA","W - White","80-89.9","0-9.9","009","45,748"
"VA","W - White","90-100","0-9.9","010","45,712"
"VA","W - White","90-100","90-100","005","43,694"
"VA","W - White","90-100","0-9.9","007","42,924"
"VA","B - Black","90-100","90-100","004","41,416"
"VA","W - White","80-89.9","0-9.9","006","36,589"
"VA","B - Black","90-100","90-100","003","35,798"
"VA","W - White","90-100","90-100","002","34,368"
"VA","W - White","80-89.9","0-9.9","005","34,063"
"VA","W - White","80-89.9","0-9.9","001","33,801"
"VA","W - White","90-100","90-100","006","33,590"
"VA","W - White","80-89.9","90-100","011","32,676"
"VA","B - Black","80-89.9","90-100","004","31,986"
"VA","W - White","90-100","90-100","007","31,256"
"VA","W - White","80-89.9","90-100","001","30,600"
"VA","W - White","90-100","90-100","004","30,418"
"VA","W - White","90-100","0-9.9","011","30,353"
"VA","W - White","90-100","0-9.9","004","29,900"
"VA","B - Black","80-89.9","90-100","003","28,566"
"VA","W - White","80-89.9","90-100","010","27,103"
"VA","W - White","80-89.9","90-100","005","26,171"
"VA","W - White","80-89.9","90-100","004","25,021"
"VA","W - White","80-89.9","0-9.9","002","24,772"
"VA","W - White","90-100","90-100","009","24,496"
"VA","W - White","90-100","90-100","003","23,618"
"VA","W - White","80-89.9","0-9.9","007","22,893"
"VA","W - White","80-89.9","90-100","006","21,744"
"VA","W - White","70-79.9","0-9.9","009","21,609"
"VA","W - White","90-100","0-9.9","003","21,281"
"VA","W - White","80-89.9","90-100","002","20,265"
"VA","W - White","80-89.9","90-100","007","20,021"
"VA","W - White","70-79.9","90-100","008","19,661"
"VA","W - White","80-89.9","0-9.9","010","19,306"
"VA","B - Black","90-100","90-100","002","17,235"
"VA","B - Black","20-29.9","90-100","003","16,814"
"VA","W - White","60-69.9","0-9.9","009","16,769"
"VA","W - White","30-39.9","90-100","008","16,529"
"VA","B - Black","20-29.9","90-100","004","15,748"
"VA","W - White","70-79.9","0-9.9","006","15,413"
"VA","B - Black","90-100","90-100","007","15,206"
"VA","W - White","90-100","0-9.9","008","14,929"
"VA","W - White","80-89.9","90-100","003","14,828"
"VA","B - Black","30-39.9","90-100","003","14,591"
"VA","W - White","80-89.9","90-100","009","14,518"
