"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"VT","W - White","80-89.9","90-100","001","61,571"
"VT","W - White","90-100","90-100","001","53,562"
"VT","W - White","70-79.9","90-100","001","27,192"
"VT","W - White","80-89.9","0-9.9","001","19,174"
"VT","W - White","90-100","0-9.9","001","17,449"
"VT","W - White","60-69.9","90-100","001","16,159"
"VT","W - White","30-39.9","90-100","001","12,365"
"VT","W - White","40-49.9","90-100","001","11,481"
"VT","W - White","20-29.9","90-100","001","10,821"
"VT","W - White","50-59.9","90-100","001","10,583"
"VT","W - White","70-79.9","0-9.9","001","8,528"
"VT","W - White","10-19.9","90-100","001","6,966"
"VT","W - White","60-69.9","0-9.9","001","5,126"
"VT","W - White","20-29.9","80-89.9","001","4,806"
"VT","W - White","30-39.9","80-89.9","001","4,644"
"VT","W - White","80-89.9","80-89.9","001","4,582"
"VT","W - White","40-49.9","80-89.9","001","4,197"
"VT","W - White","10-19.9","80-89.9","001","4,003"
"VT","W - White","70-79.9","80-89.9","001","3,863"
"VT","W - White","20-29.9","70-79.9","001","3,479"
"VT","W - White","10-19.9","20-29.9","001","3,470"
"VT","W - White","80-89.9","20-29.9","001","3,411"
"VT","W - White","50-59.9","0-9.9","001","3,390"
"VT","W - White","10-19.9","70-79.9","001","3,302"
"VT","W - White","80-89.9","70-79.9","001","3,294"
"VT","W - White","30-39.9","70-79.9","001","3,271"
"VT","W - White","40-49.9","70-79.9","001","3,263"
"VT","W - White","40-49.9","20-29.9","001","3,260"
"VT","W - White","10-19.9","60-69.9","001","3,052"
"VT","W - White","10-19.9","30-39.9","001","3,047"
"VT","W - White","60-69.9","80-89.9","001","3,011"
"VT","W - White","40-49.9","30-39.9","001","2,995"
"VT","W - White","10-19.9","10-19.9","001","2,930"
"VT","W - White","10-19.9","40-49.9","001","2,926"
"VT","W - White","20-29.9","20-29.9","001","2,908"
"VT","W - White","10-19.9","50-59.9","001","2,898"
"VT","W - White","0-9.9","90-100","001","2,893"
"VT","W - White","20-29.9","60-69.9","001","2,884"
"VT","W - White","40-49.9","50-59.9","001","2,866"
"VT","W - White","80-89.9","30-39.9","001","2,858"
"VT","W - White","50-59.9","80-89.9","001","2,854"
"VT","W - White","40-49.9","60-69.9","001","2,800"
"VT","W - White","50-59.9","20-29.9","001","2,776"
"VT","W - White","40-49.9","40-49.9","001","2,772"
"VT","W - White","80-89.9","10-19.9","001","2,752"
"VT","W - White","30-39.9","60-69.9","001","2,699"
"VT","W - White","70-79.9","70-79.9","001","2,667"
"VT","W - White","20-29.9","50-59.9","001","2,648"
"VT","W - White","70-79.9","20-29.9","001","2,637"
"VT","W - White","20-29.9","30-39.9","001","2,631"
"VT","W - White","0-9.9","20-29.9","001","2,623"
"VT","W - White","80-89.9","60-69.9","001","2,603"
"VT","W - White","60-69.9","20-29.9","001","2,577"
"VT","W - White","20-29.9","40-49.9","001","2,525"
"VT","W - White","80-89.9","50-59.9","001","2,482"
"VT","W - White","90-100","80-89.9","001","2,465"
"VT","W - White","50-59.9","30-39.9","001","2,437"
"VT","W - White","80-89.9","40-49.9","001","2,428"
"VT","W - White","60-69.9","70-79.9","001","2,414"
"VT","W - White","50-59.9","50-59.9","001","2,394"
"VT","W - White","30-39.9","50-59.9","001","2,390"
"VT","W - White","40-49.9","10-19.9","001","2,370"
"VT","W - White","50-59.9","70-79.9","001","2,356"
"VT","W - White","20-29.9","10-19.9","001","2,348"
"VT","W - White","40-49.9","0-9.9","001","2,330"
"VT","W - White","30-39.9","30-39.9","001","2,329"
"VT","W - White","30-39.9","20-29.9","001","2,320"
"VT","W - White","30-39.9","40-49.9","001","2,290"
"VT","W - White","50-59.9","40-49.9","001","2,267"
"VT","W - White","50-59.9","10-19.9","001","2,249"
"VT","W - White","70-79.9","60-69.9","001","2,243"
"VT","W - White","60-69.9","60-69.9","001","2,222"
"VT","W - White","70-79.9","30-39.9","001","2,196"
