"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"WA","W - White","90-100","90-100","007","131,332"
"WA","W - White","80-89.9","90-100","007","91,572"
"WA","W - White","90-100","90-100","006","84,885"
"WA","W - White","90-100","90-100","002","84,617"
"WA","W - White","90-100","0-9.9","005","68,084"
"WA","W - White","90-100","90-100","001","67,877"
"WA","W - White","90-100","90-100","008","66,111"
"WA","W - White","90-100","90-100","010","58,971"
"WA","W - White","90-100","90-100","003","54,909"
"WA","W - White","90-100","90-100","005","53,837"
"WA","W - White","90-100","0-9.9","004","53,274"
"WA","W - White","90-100","90-100","009","52,817"
"WA","W - White","80-89.9","90-100","002","51,192"
"WA","W - White","90-100","0-9.9","003","51,001"
"WA","W - White","90-100","0-9.9","008","49,292"
"WA","W - White","80-89.9","90-100","006","47,553"
"WA","W - White","90-100","0-9.9","006","43,870"
"WA","W - White","90-100","0-9.9","002","41,268"
"WA","W - White","80-89.9","90-100","001","39,346"
"WA","W - White","80-89.9","90-100","008","35,790"
"WA","W - White","80-89.9","0-9.9","005","35,431"
"WA","W - White","70-79.9","90-100","007","34,993"
"WA","W - White","80-89.9","90-100","003","33,731"
"WA","W - White","80-89.9","90-100","010","33,730"
"WA","W - White","80-89.9","90-100","009","33,622"
"WA","W - White","90-100","0-9.9","010","31,615"
"WA","W - White","80-89.9","0-9.9","003","31,168"
"WA","W - White","80-89.9","90-100","005","31,059"
"WA","W - White","80-89.9","0-9.9","004","27,511"
"WA","W - White","90-100","0-9.9","001","27,345"
"WA","W - White","90-100","90-100","004","26,493"
"WA","W - White","80-89.9","0-9.9","008","25,728"
"WA","W - White","30-39.9","90-100","007","23,349"
"WA","W - White","80-89.9","0-9.9","006","22,862"
"WA","W - White","80-89.9","0-9.9","002","19,217"
"WA","W - White","70-79.9","90-100","002","18,905"
"WA","W - White","40-49.9","90-100","007","18,379"
"WA","W - White","70-79.9","90-100","006","17,039"
"WA","W - White","60-69.9","90-100","007","16,104"
"WA","W - White","80-89.9","90-100","004","15,746"
"WA","W - White","20-29.9","90-100","007","15,527"
"WA","W - White","70-79.9","0-9.9","005","15,412"
"WA","W - White","80-89.9","0-9.9","010","15,241"
"WA","W - White","70-79.9","90-100","001","14,694"
"WA","W - White","90-100","0-9.9","009","14,665"
"WA","W - White","70-79.9","0-9.9","003","14,034"
"WA","W - White","50-59.9","90-100","007","13,728"
"WA","W - White","70-79.9","90-100","010","13,072"
"WA","W - White","70-79.9","90-100","003","12,628"
"WA","W - White","70-79.9","0-9.9","004","12,375"
"WA","W - White","70-79.9","90-100","008","12,266"
"WA","W - White","70-79.9","90-100","009","11,991"
"WA","A - Asian or Pacific Islander","80-89.9","90-100","009","11,661"
"WA","W - White","70-79.9","90-100","005","11,457"
"WA","W - White","70-79.9","0-9.9","008","11,381"
"WA","W - White","80-89.9","0-9.9","001","11,149"
"WA","A - Asian or Pacific Islander","80-89.9","90-100","007","11,097"
"WA","W - White","70-79.9","0-9.9","006","9,530"
"WA","W - White","60-69.9","0-9.9","005","9,183"
"WA","W - White","90-100","0-9.9","007","9,068"
"WA","W - White","60-69.9","0-9.9","003","9,037"
"WA","W - White","80-89.9","10-19.9","005","8,972"
"WA","W - White","90-100","10-19.9","005","8,822"
"WA","W - White","60-69.9","90-100","002","8,779"
"WA","W - White","30-39.9","90-100","002","8,731"
"WA","A - Asian or Pacific Islander","80-89.9","90-100","001","8,415"
"WA","W - White","30-39.9","90-100","001","7,748"
"WA","W - White","60-69.9","90-100","006","7,722"
"WA","W - White","40-49.9","90-100","001","7,609"
"WA","W - White","90-100","10-19.9","004","7,544"
"WA","W - White","70-79.9","0-9.9","002","7,515"
"WA","W - White","80-89.9","80-89.9","007","7,429"
"WA","W - White","80-89.9","10-19.9","004","7,315"
"WA","W - White","70-79.9","0-9.9","010","7,116"
"WA","W - White","60-69.9","0-9.9","004","7,095"
"WA","W - White","80-89.9","10-19.9","008","7,034"
"WA","W - White","60-69.9","0-9.9","008","6,980"
"WA","W - White","80-89.9","10-19.9","003","6,952"
"WA","W - White","80-89.9","10-19.9","006","6,894"
"WA","A - Asian or Pacific Islander","90-100","90-100","009","6,797"
"WA","W - White","40-49.9","90-100","002","6,666"
"WA","W - White","20-29.9","90-100","002","6,664"
"WA","A - Asian or Pacific Islander","90-100","90-100","007","6,571"
"WA","W - White","20-29.9","10-19.9","005","6,561"
"WA","W - White","90-100","10-19.9","008","6,475"
"WA","W - White","80-89.9","80-89.9","001","6,446"
"WA","W - White","20-29.9","10-19.9","003","6,429"
"WA","W - White","60-69.9","90-100","001","6,364"
"WA","W - White","70-79.9","10-19.9","005","6,351"
"WA","B - Black","80-89.9","90-100","009","6,292"
"WA","W - White","80-89.9","0-9.9","009","6,267"
"WA","W - White","90-100","10-19.9","006","6,200"
"WA","H - Hispanic or Latino","80-89.9","90-100","004","6,135"
"WA","W - White","30-39.9","90-100","006","6,114"
"WA","W - White","60-69.9","10-19.9","005","5,959"
"WA","W - White","70-79.9","90-100","004","5,948"
"WA","W - White","30-39.9","90-100","010","5,946"
"WA","A - Asian or Pacific Islander","70-79.9","90-100","009","5,927"
"WA","W - White","50-59.9","90-100","001","5,874"
"WA","A - Asian or Pacific Islander","70-79.9","90-100","007","5,845"
"WA","W - White","50-59.9","90-100","002","5,832"
"WA","W - White","90-100","80-89.9","007","5,829"
"WA","A - Asian or Pacific Islander","30-39.9","90-100","007","5,784"
"WA","W - White","30-39.9","80-89.9","001","5,779"
"WA","W - White","90-100","80-89.9","001","5,766"
"WA","W - White","60-69.9","90-100","010","5,689"
"WA","W - White","90-100","10-19.9","003","5,658"
"WA","W - White","20-29.9","80-89.9","007","5,611"
"WA","W - White","30-39.9","90-100","009","5,570"
"WA","W - White","30-39.9","80-89.9","007","5,547"
"WA","W - White","80-89.9","30-39.9","003","5,543"
"WA","W - White","80-89.9","20-29.9","008","5,542"
"WA","W - White","30-39.9","10-19.9","005","5,525"
"WA","W - White","80-89.9","70-79.9","001","5,513"
"WA","W - White","80-89.9","20-29.9","006","5,496"
"WA","W - White","60-69.9","90-100","003","5,449"
"WA","W - White","80-89.9","10-19.9","010","5,441"
"WA","W - White","30-39.9","90-100","005","5,430"
"WA","W - White","60-69.9","0-9.9","006","5,412"
"WA","W - White","60-69.9","10-19.9","006","5,405"
"WA","W - White","80-89.9","20-29.9","003","5,395"
"WA","W - White","70-79.9","10-19.9","006","5,328"
"WA","W - White","70-79.9","10-19.9","004","5,309"
"WA","W - White","60-69.9","10-19.9","003","5,276"
"WA","W - White","70-79.9","80-89.9","007","5,272"
"WA","W - White","80-89.9","30-39.9","008","5,267"
"WA","W - White","20-29.9","20-29.9","003","5,266"
"WA","W - White","60-69.9","90-100","008","5,245"
"WA","W - White","20-29.9","10-19.9","006","5,244"
"WA","W - White","60-69.9","90-100","005","5,235"
"WA","A - Asian or Pacific Islander","90-100","90-100","001","5,234"
"WA","W - White","80-89.9","40-49.9","003","5,215"
"WA","W - White","40-49.9","90-100","006","5,206"
"WA","H - Hispanic or Latino","80-89.9","90-100","007","5,199"
"WA","W - White","90-100","20-29.9","008","5,161"
"WA","W - White","40-49.9","90-100","009","5,148"
"WA","W - White","70-79.9","10-19.9","003","5,137"
"WA","W - White","80-89.9","20-29.9","005","5,100"
"WA","W - White","10-19.9","90-100","007","5,100"
"WA","W - White","90-100","40-49.9","008","5,092"
"WA","W - White","70-79.9","10-19.9","008","5,078"
"WA","W - White","60-69.9","90-100","009","5,072"
"WA","W - White","80-89.9","80-89.9","002","5,070"
"WA","W - White","10-19.9","10-19.9","005","5,067"
"WA","W - White","90-100","80-89.9","002","5,067"
"WA","W - White","90-100","20-29.9","006","5,039"
"WA","W - White","90-100","70-79.9","001","5,026"
"WA","W - White","50-59.9","0-9.9","005","5,018"
