"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"WI","W - White","90-100","90-100","002","45,846"
"WI","W - White","90-100","30-39.9","005","41,941"
"WI","W - White","90-100","40-49.9","005","37,148"
"WI","W - White","90-100","20-29.9","005","35,671"
"WI","W - White","90-100","80-89.9","002","31,714"
"WI","W - White","80-89.9","90-100","002","31,398"
"WI","W - White","90-100","40-49.9","006","29,081"
"WI","W - White","90-100","30-39.9","008","28,509"
"WI","W - White","90-100","40-49.9","008","27,957"
"WI","W - White","90-100","30-39.9","007","27,524"
"WI","W - White","90-100","50-59.9","005","27,511"
"WI","W - White","90-100","50-59.9","001","26,884"
"WI","W - White","90-100","50-59.9","006","26,787"
"WI","W - White","90-100","30-39.9","006","26,536"
"WI","W - White","90-100","20-29.9","007","25,120"
"WI","W - White","90-100","60-69.9","001","24,368"
"WI","W - White","90-100","70-79.9","002","24,105"
"WI","W - White","90-100","50-59.9","008","23,824"
"WI","W - White","90-100","40-49.9","007","23,806"
"WI","B - Black","80-89.9","90-100","004","23,584"
"WI","W - White","80-89.9","20-29.9","007","23,444"
"WI","W - White","90-100","40-49.9","003","23,081"
"WI","W - White","90-100","40-49.9","001","23,056"
"WI","W - White","40-49.9","90-100","002","23,038"
"WI","W - White","80-89.9","30-39.9","007","22,229"
"WI","W - White","90-100","20-29.9","008","22,164"
"WI","W - White","90-100","50-59.9","003","21,859"
"WI","W - White","80-89.9","30-39.9","005","21,195"
"WI","W - White","90-100","30-39.9","003","21,094"
"WI","W - White","90-100","90-100","004","20,726"
"WI","W - White","70-79.9","90-100","002","20,527"
"WI","W - White","90-100","20-29.9","006","20,197"
"WI","W - White","80-89.9","80-89.9","002","20,081"
"WI","W - White","80-89.9","20-29.9","005","19,491"
"WI","W - White","90-100","60-69.9","006","19,455"
"WI","W - White","90-100","10-19.9","005","19,135"
"WI","W - White","80-89.9","40-49.9","005","19,055"
"WI","W - White","80-89.9","30-39.9","008","18,607"
"WI","W - White","90-100","60-69.9","002","18,027"
"WI","W - White","80-89.9","10-19.9","007","17,826"
"WI","W - White","80-89.9","30-39.9","006","17,771"
"WI","W - White","90-100","50-59.9","007","17,671"
"WI","W - White","80-89.9","40-49.9","007","17,546"
"WI","W - White","30-39.9","90-100","002","17,529"
"WI","B - Black","90-100","90-100","004","17,524"
"WI","W - White","80-89.9","40-49.9","008","17,428"
"WI","W - White","80-89.9","40-49.9","006","17,354"
"WI","W - White","90-100","80-89.9","004","17,241"
"WI","W - White","80-89.9","90-100","004","17,234"
"WI","W - White","80-89.9","30-39.9","003","17,209"
"WI","W - White","50-59.9","90-100","002","17,157"
"WI","W - White","80-89.9","20-29.9","008","17,004"
"WI","W - White","90-100","60-69.9","003","16,970"
"WI","W - White","80-89.9","40-49.9","003","16,653"
"WI","W - White","90-100","70-79.9","001","16,238"
"WI","W - White","90-100","60-69.9","005","16,209"
"WI","W - White","80-89.9","50-59.9","001","16,049"
"WI","W - White","70-79.9","20-29.9","007","15,997"
"WI","W - White","90-100","60-69.9","008","15,926"
"WI","W - White","90-100","30-39.9","001","15,672"
"WI","W - White","80-89.9","40-49.9","001","15,602"
"WI","W - White","90-100","20-29.9","003","15,142"
"WI","W - White","80-89.9","50-59.9","006","15,116"
"WI","W - White","80-89.9","20-29.9","006","15,092"
"WI","W - White","90-100","10-19.9","007","15,037"
"WI","W - White","80-89.9","20-29.9","003","14,998"
"WI","W - White","70-79.9","30-39.9","007","14,622"
"WI","W - White","80-89.9","50-59.9","005","14,559"
"WI","W - White","70-79.9","80-89.9","002","14,427"
"WI","W - White","80-89.9","70-79.9","002","14,401"
"WI","W - White","80-89.9","50-59.9","003","14,338"
"WI","W - White","80-89.9","60-69.9","001","14,284"
"WI","W - White","60-69.9","90-100","002","14,264"
"WI","W - White","90-100","50-59.9","002","13,979"
"WI","W - White","80-89.9","50-59.9","008","13,906"
"WI","W - White","70-79.9","30-39.9","005","13,694"
"WI","W - White","90-100","70-79.9","004","13,507"
"WI","W - White","70-79.9","30-39.9","008","13,335"
"WI","W - White","70-79.9","30-39.9","003","13,053"
"WI","W - White","70-79.9","10-19.9","007","12,993"
"WI","B - Black","40-49.9","90-100","004","12,981"
"WI","W - White","80-89.9","30-39.9","001","12,920"
"WI","B - Black","70-79.9","90-100","004","12,828"
"WI","W - White","70-79.9","20-29.9","005","12,792"
"WI","B - Black","0-9.9","90-100","004","12,781"
"WI","W - White","80-89.9","80-89.9","004","12,719"
"WI","W - White","70-79.9","40-49.9","003","12,719"
"WI","W - White","80-89.9","50-59.9","007","12,316"
"WI","W - White","70-79.9","30-39.9","006","12,299"
"WI","W - White","70-79.9","20-29.9","008","12,134"
"WI","W - White","70-79.9","40-49.9","005","12,105"
"WI","W - White","70-79.9","40-49.9","008","12,099"
"WI","W - White","40-49.9","80-89.9","002","11,900"
"WI","W - White","70-79.9","40-49.9","001","11,865"
"WI","W - White","70-79.9","40-49.9","007","11,796"
"WI","W - White","70-79.9","40-49.9","006","11,752"
"WI","W - White","90-100","10-19.9","008","11,740"
"WI","W - White","80-89.9","10-19.9","005","11,693"
"WI","W - White","80-89.9","60-69.9","002","11,486"
"WI","W - White","70-79.9","20-29.9","003","11,468"
"WI","W - White","90-100","10-19.9","006","11,460"
"WI","W - White","70-79.9","50-59.9","001","11,374"
"WI","W - White","80-89.9","60-69.9","003","11,298"
"WI","W - White","80-89.9","60-69.9","006","11,240"
"WI","W - White","80-89.9","10-19.9","008","11,220"
"WI","W - White","90-100","70-79.9","006","10,994"
"WI","W - White","70-79.9","50-59.9","003","10,849"
"WI","W - White","90-100","70-79.9","003","10,715"
"WI","W - White","90-100","60-69.9","007","10,634"
"WI","W - White","60-69.9","20-29.9","007","10,593"
"WI","W - White","70-79.9","30-39.9","001","10,381"
"WI","W - White","80-89.9","70-79.9","001","10,299"
"WI","W - White","70-79.9","90-100","004","10,173"
"WI","W - White","90-100","40-49.9","002","10,160"
"WI","W - White","40-49.9","90-100","004","10,097"
"WI","W - White","70-79.9","20-29.9","006","10,060"
"WI","W - White","70-79.9","60-69.9","001","10,008"
"WI","W - White","70-79.9","70-79.9","002","9,979"
"WI","W - White","80-89.9","60-69.9","008","9,921"
"WI","W - White","80-89.9","60-69.9","005","9,904"
"WI","W - White","70-79.9","50-59.9","006","9,835"
"WI","W - White","90-100","20-29.9","001","9,814"
"WI","W - White","90-100","60-69.9","004","9,721"
"WI","W - White","60-69.9","30-39.9","007","9,651"
"WI","W - White","80-89.9","10-19.9","006","9,630"
"WI","W - White","70-79.9","50-59.9","008","9,588"
"WI","B - Black","50-59.9","90-100","004","9,556"
"WI","W - White","80-89.9","70-79.9","004","9,469"
"WI","W - White","60-69.9","80-89.9","002","9,459"
"WI","W - White","30-39.9","80-89.9","002","9,455"
"WI","W - White","80-89.9","50-59.9","002","9,351"
"WI","W - White","70-79.9","50-59.9","005","9,083"
"WI","W - White","20-29.9","90-100","002","8,999"
"WI","W - White","80-89.9","10-19.9","003","8,930"
"WI","W - White","50-59.9","80-89.9","002","8,876"
"WI","W - White","60-69.9","10-19.9","007","8,848"
"WI","W - White","40-49.9","20-29.9","007","8,828"
"WI","W - White","30-39.9","20-29.9","007","8,773"
"WI","W - White","60-69.9","30-39.9","005","8,767"
"WI","W - White","70-79.9","60-69.9","003","8,610"
"WI","W - White","50-59.9","20-29.9","007","8,527"
"WI","W - White","80-89.9","20-29.9","001","8,487"
"WI","W - White","60-69.9","30-39.9","003","8,458"
"WI","W - White","30-39.9","30-39.9","007","8,414"
"WI","W - White","70-79.9","10-19.9","008","8,386"
"WI","B - Black","60-69.9","90-100","004","8,227"
"WI","W - White","90-100","70-79.9","008","8,170"
"WI","W - White","70-79.9","80-89.9","004","8,133"
"WI","W - White","60-69.9","20-29.9","005","8,111"
"WI","W - White","70-79.9","50-59.9","007","8,013"
"WI","W - White","40-49.9","10-19.9","007","7,973"
"WI","W - White","60-69.9","30-39.9","008","7,973"
"WI","W - White","30-39.9","30-39.9","003","7,919"
"WI","W - White","50-59.9","10-19.9","007","7,903"
"WI","W - White","40-49.9","30-39.9","005","7,898"
"WI","W - White","40-49.9","30-39.9","007","7,872"
"WI","W - White","60-69.9","40-49.9","003","7,828"
"WI","W - White","60-69.9","30-39.9","006","7,791"
"WI","W - White","50-59.9","30-39.9","005","7,766"
"WI","W - White","70-79.9","60-69.9","002","7,751"
"WI","W - White","80-89.9","40-49.9","002","7,750"
"WI","W - White","90-100","10-19.9","003","7,731"
"WI","W - White","70-79.9","10-19.9","005","7,710"
"WI","W - White","30-39.9","30-39.9","005","7,698"
"WI","W - White","50-59.9","90-100","004","7,678"
"WI","W - White","60-69.9","20-29.9","008","7,663"
"WI","W - White","60-69.9","40-49.9","007","7,657"
"WI","W - White","30-39.9","90-100","004","7,653"
"WI","W - White","60-69.9","40-49.9","005","7,641"
"WI","W - White","50-59.9","30-39.9","007","7,641"
"WI","W - White","80-89.9","60-69.9","007","7,640"
"WI","B - Black","10-19.9","90-100","004","7,621"
"WI","W - White","40-49.9","40-49.9","005","7,614"
"WI","W - White","40-49.9","30-39.9","003","7,588"
"WI","W - White","30-39.9","40-49.9","003","7,562"
"WI","W - White","70-79.9","60-69.9","006","7,561"
"WI","W - White","0-9.9","10-19.9","007","7,485"
"WI","W - White","60-69.9","20-29.9","003","7,440"
"WI","W - White","90-100","70-79.9","005","7,365"
"WI","W - White","60-69.9","40-49.9","001","7,360"
"WI","W - White","40-49.9","40-49.9","003","7,314"
"WI","W - White","60-69.9","40-49.9","008","7,305"
"WI","W - White","40-49.9","30-39.9","008","7,304"
"WI","W - White","60-69.9","40-49.9","006","7,240"
"WI","W - White","40-49.9","50-59.9","001","7,234"
"WI","W - White","40-49.9","80-89.9","004","7,225"
"WI","W - White","80-89.9","70-79.9","003","7,211"
"WI","W - White","10-19.9","90-100","002","7,184"
"WI","W - White","0-9.9","20-29.9","007","7,180"
"WI","W - White","70-79.9","10-19.9","003","7,175"
"WI","W - White","40-49.9","70-79.9","002","7,172"
"WI","B - Black","30-39.9","90-100","004","7,154"
"WI","W - White","30-39.9","70-79.9","002","7,136"
"WI","W - White","50-59.9","30-39.9","003","7,115"
"WI","W - White","50-59.9","40-49.9","005","7,045"
"WI","W - White","60-69.9","50-59.9","001","7,033"
"WI","W - White","50-59.9","20-29.9","005","7,008"
"WI","W - White","30-39.9","10-19.9","007","6,985"
"WI","W - White","80-89.9","70-79.9","006","6,970"
"WI","W - White","40-49.9","20-29.9","005","6,937"
"WI","W - White","60-69.9","20-29.9","006","6,929"
"WI","W - White","40-49.9","40-49.9","001","6,910"
"WI","W - White","80-89.9","60-69.9","004","6,901"
"WI","W - White","30-39.9","20-29.9","003","6,891"
"WI","W - White","40-49.9","20-29.9","003","6,884"
"WI","W - White","50-59.9","20-29.9","003","6,855"
"WI","W - White","30-39.9","50-59.9","003","6,827"
"WI","W - White","30-39.9","40-49.9","007","6,812"
"WI","W - White","30-39.9","20-29.9","005","6,798"
"WI","W - White","30-39.9","40-49.9","005","6,778"
"WI","B - Black","0-9.9","80-89.9","004","6,778"
"WI","W - White","40-49.9","40-49.9","008","6,771"
"WI","W - White","30-39.9","30-39.9","008","6,757"
"WI","W - White","70-79.9","20-29.9","001","6,729"
"WI","W - White","30-39.9","30-39.9","006","6,727"
"WI","W - White","70-79.9","60-69.9","008","6,720"
"WI","W - White","60-69.9","90-100","004","6,698"
"WI","W - White","60-69.9","50-59.9","003","6,674"
"WI","W - White","60-69.9","30-39.9","001","6,661"
"WI","W - White","40-49.9","30-39.9","006","6,597"
"WI","W - White","40-49.9","20-29.9","008","6,595"
"WI","W - White","50-59.9","30-39.9","008","6,592"
"WI","W - White","40-49.9","60-69.9","001","6,570"
"WI","W - White","40-49.9","40-49.9","006","6,554"
"WI","W - White","30-39.9","40-49.9","001","6,552"
"WI","W - White","30-39.9","40-49.9","008","6,540"
"WI","W - White","60-69.9","70-79.9","002","6,527"
"WI","W - White","40-49.9","50-59.9","003","6,499"
"WI","W - White","70-79.9","10-19.9","006","6,487"
"WI","W - White","90-100","30-39.9","002","6,476"
"WI","W - White","70-79.9","70-79.9","001","6,462"
"WI","W - White","50-59.9","20-29.9","008","6,449"
"WI","W - White","50-59.9","40-49.9","001","6,430"
"WI","W - White","50-59.9","30-39.9","006","6,429"
"WI","W - White","70-79.9","50-59.9","002","6,396"
"WI","W - White","30-39.9","40-49.9","006","6,387"
"WI","W - White","50-59.9","50-59.9","001","6,366"
"WI","W - White","40-49.9","40-49.9","007","6,313"
"WI","W - White","50-59.9","40-49.9","003","6,311"
"WI","W - White","40-49.9","50-59.9","005","6,294"
"WI","W - White","50-59.9","40-49.9","006","6,285"
"WI","W - White","70-79.9","70-79.9","004","6,268"
"WI","W - White","30-39.9","50-59.9","001","6,256"
