"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"WV","W - White","80-89.9","0-9.9","002","61,961"
"WV","W - White","80-89.9","0-9.9","001","58,376"
"WV","W - White","90-100","0-9.9","002","45,179"
"WV","W - White","90-100","0-9.9","001","38,713"
"WV","W - White","70-79.9","0-9.9","002","37,256"
"WV","W - White","20-29.9","0-9.9","002","36,650"
"WV","W - White","40-49.9","0-9.9","002","36,249"
"WV","W - White","70-79.9","0-9.9","001","35,249"
"WV","W - White","30-39.9","0-9.9","002","33,886"
"WV","W - White","10-19.9","0-9.9","001","33,644"
"WV","W - White","20-29.9","0-9.9","001","33,599"
"WV","W - White","50-59.9","0-9.9","002","33,263"
"WV","W - White","10-19.9","0-9.9","002","32,913"
"WV","W - White","0-9.9","0-9.9","001","32,781"
"WV","W - White","30-39.9","0-9.9","001","31,983"
"WV","W - White","40-49.9","0-9.9","001","31,971"
"WV","W - White","60-69.9","0-9.9","002","30,510"
"WV","W - White","50-59.9","0-9.9","001","29,373"
"WV","W - White","0-9.9","0-9.9","002","27,561"
"WV","W - White","60-69.9","0-9.9","001","27,495"
"WV","W - White","80-89.9","90-100","002","24,674"
"WV","W - White","80-89.9","90-100","001","24,608"
"WV","W - White","90-100","90-100","002","23,574"
"WV","W - White","90-100","90-100","001","23,004"
"WV","W - White","70-79.9","90-100","002","12,335"
"WV","W - White","70-79.9","90-100","001","12,251"
"WV","W - White","60-69.9","90-100","002","8,496"
"WV","W - White","60-69.9","90-100","001","7,841"
"WV","W - White","80-89.9","10-19.9","002","7,049"
"WV","W - White","50-59.9","90-100","002","6,267"
"WV","W - White","80-89.9","80-89.9","001","6,248"
"WV","W - White","80-89.9","10-19.9","001","5,726"
"WV","W - White","50-59.9","90-100","001","5,493"
"WV","W - White","40-49.9","90-100","002","5,126"
"WV","W - White","90-100","10-19.9","002","5,006"
"WV","W - White","20-29.9","90-100","002","4,607"
"WV","W - White","30-39.9","90-100","002","4,357"
"WV","W - White","90-100","80-89.9","001","4,302"
"WV","W - White","40-49.9","90-100","001","4,278"
"WV","W - White","80-89.9","80-89.9","002","4,197"
"WV","W - White","70-79.9","10-19.9","002","4,187"
"WV","W - White","70-79.9","80-89.9","001","3,829"
"WV","W - White","20-29.9","90-100","001","3,800"
"WV","W - White","0-9.9","80-89.9","001","3,719"
"WV","W - White","10-19.9","90-100","002","3,687"
"WV","W - White","90-100","10-19.9","001","3,656"
"WV","W - White","10-19.9","10-19.9","001","3,587"
"WV","W - White","0-9.9","10-19.9","001","3,580"
"WV","W - White","10-19.9","90-100","001","3,539"
"WV","W - White","30-39.9","90-100","001","3,528"
"WV","W - White","70-79.9","10-19.9","001","3,476"
"WV","W - White","10-19.9","80-89.9","001","3,397"
"WV","W - White","90-100","80-89.9","002","3,364"
"WV","W - White","20-29.9","80-89.9","001","3,265"
"WV","W - White","40-49.9","10-19.9","002","3,261"
"WV","W - White","0-9.9","90-100","001","3,237"
"WV","W - White","60-69.9","80-89.9","001","3,229"
"WV","W - White","0-9.9","10-19.9","002","3,227"
"WV","W - White","60-69.9","10-19.9","002","3,128"
"WV","W - White","30-39.9","10-19.9","002","3,082"
"WV","W - White","20-29.9","10-19.9","002","3,070"
"WV","W - White","10-19.9","10-19.9","002","3,069"
"WV","W - White","20-29.9","80-89.9","002","3,058"
"WV","W - White","20-29.9","10-19.9","001","3,036"
"WV","W - White","80-89.9","20-29.9","002","3,031"
"WV","W - White","50-59.9","80-89.9","001","3,027"
"WV","W - White","50-59.9","10-19.9","002","3,011"
"WV","W - White","0-9.9","90-100","002","2,957"
"WV","W - White","0-9.9","80-89.9","002","2,872"
"WV","W - White","30-39.9","10-19.9","001","2,832"
"WV","W - White","10-19.9","80-89.9","002","2,799"
"WV","W - White","40-49.9","10-19.9","001","2,719"
"WV","W - White","70-79.9","80-89.9","002","2,715"
"WV","W - White","40-49.9","80-89.9","001","2,646"
"WV","W - White","60-69.9","10-19.9","001","2,614"
"WV","W - White","50-59.9","10-19.9","001","2,502"
"WV","W - White","50-59.9","80-89.9","002","2,491"
"WV","W - White","30-39.9","80-89.9","001","2,442"
"WV","W - White","60-69.9","80-89.9","002","2,412"
"WV","W - White","30-39.9","80-89.9","002","2,374"
"WV","W - White","40-49.9","80-89.9","002","2,365"
"WV","W - White","90-100","20-29.9","002","2,341"
"WV","W - White","80-89.9","20-29.9","001","2,073"
"WV","W - White","0-9.9","70-79.9","001","1,852"
"WV","W - White","70-79.9","20-29.9","002","1,745"
"WV","W - White","80-89.9","70-79.9","001","1,577"
"WV","W - White","10-19.9","20-29.9","001","1,573"
"WV","W - White","10-19.9","70-79.9","001","1,569"
"WV","W - White","80-89.9","30-39.9","002","1,534"
"WV","W - White","10-19.9","20-29.9","002","1,489"
"WV","W - White","40-49.9","20-29.9","002","1,471"
"WV","W - White","60-69.9","20-29.9","002","1,466"
"WV","W - White","20-29.9","20-29.9","002","1,434"
"WV","W - White","0-9.9","20-29.9","002","1,402"
"WV","W - White","0-9.9","20-29.9","001","1,395"
"WV","W - White","30-39.9","20-29.9","002","1,361"
"WV","W - White","90-100","20-29.9","001","1,340"
"WV","W - White","70-79.9","20-29.9","001","1,311"
"WV","W - White","50-59.9","20-29.9","002","1,292"
"WV","W - White","20-29.9","70-79.9","001","1,239"
"WV","B - Black","80-89.9","90-100","001","1,181"
"WV","W - White","20-29.9","20-29.9","001","1,149"
"WV","W - White","90-100","30-39.9","002","1,148"
"WV","W - White","30-39.9","20-29.9","001","1,132"
"WV","W - White","80-89.9","70-79.9","002","1,096"
