"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"WY","W - White","80-89.9","0-9.9","001","23,016"
"WY","W - White","90-100","0-9.9","001","21,853"
"WY","W - White","80-89.9","10-19.9","001","15,620"
"WY","W - White","70-79.9","10-19.9","001","15,201"
"WY","W - White","60-69.9","10-19.9","001","10,573"
"WY","W - White","90-100","10-19.9","001","10,060"
"WY","W - White","30-39.9","10-19.9","001","8,641"
"WY","W - White","80-89.9","90-100","001","8,440"
"WY","W - White","70-79.9","0-9.9","001","8,291"
"WY","W - White","40-49.9","10-19.9","001","7,807"
"WY","W - White","50-59.9","10-19.9","001","7,794"
"WY","W - White","70-79.9","90-100","001","7,108"
"WY","W - White","30-39.9","90-100","001","7,045"
"WY","W - White","90-100","90-100","001","6,990"
"WY","W - White","70-79.9","20-29.9","001","6,623"
"WY","W - White","30-39.9","20-29.9","001","5,431"
"WY","W - White","60-69.9","0-9.9","001","4,742"
"WY","W - White","0-9.9","10-19.9","001","4,200"
"WY","W - White","40-49.9","90-100","001","4,184"
"WY","W - White","20-29.9","10-19.9","001","3,967"
"WY","W - White","40-49.9","20-29.9","001","3,636"
"WY","W - White","60-69.9","90-100","001","3,616"
"WY","W - White","80-89.9","20-29.9","001","3,391"
"WY","W - White","60-69.9","20-29.9","001","3,222"
"WY","W - White","50-59.9","0-9.9","001","2,902"
"WY","W - White","50-59.9","90-100","001","2,781"
"WY","W - White","50-59.9","20-29.9","001","2,651"
"WY","W - White","10-19.9","10-19.9","001","2,649"
"WY","W - White","20-29.9","90-100","001","2,465"
"WY","W - White","20-29.9","20-29.9","001","2,198"
"WY","W - White","0-9.9","20-29.9","001","1,972"
"WY","W - White","0-9.9","90-100","001","1,947"
"WY","W - White","40-49.9","0-9.9","001","1,932"
"WY","W - White","90-100","20-29.9","001","1,782"
"WY","W - White","10-19.9","90-100","001","1,559"
"WY","W - White","70-79.9","30-39.9","001","1,508"
"WY","W - White","10-19.9","20-29.9","001","1,154"
"WY","W - White","80-89.9","30-39.9","001","1,133"
"WY","W - White","30-39.9","30-39.9","001","1,106"
"WY","W - White","30-39.9","0-9.9","001","1,017"
"WY","W - White","30-39.9","80-89.9","001","855"
"WY","W - White","70-79.9","40-49.9","001","834"
"WY","W - White","80-89.9","40-49.9","001","812"
"WY","W - White","80-89.9","80-89.9","001","792"
"WY","W - White","80-89.9","50-59.9","001","758"
"WY","W - White","90-100","50-59.9","001","727"
"WY","W - White","40-49.9","30-39.9","001","710"
"WY","W - White","80-89.9","70-79.9","001","706"
"WY","W - White","70-79.9","50-59.9","001","692"
"WY","H - Hispanic or Latino","30-39.9","90-100","001","690"
"WY","W - White","80-89.9","60-69.9","001","684"
"WY","H - Hispanic or Latino","70-79.9","90-100","001","677"
"WY","W - White","0-9.9","0-9.9","001","670"
"WY","H - Hispanic or Latino","80-89.9","90-100","001","665"
"WY","W - White","60-69.9","30-39.9","001","664"
"WY","W - White","20-29.9","0-9.9","001","663"
"WY","W - White","90-100","30-39.9","001","654"
"WY","W - White","30-39.9","70-79.9","001","637"
"WY","W - White","70-79.9","70-79.9","001","629"
"WY","H - Hispanic or Latino","70-79.9","10-19.9","001","615"
"WY","W - White","70-79.9","60-69.9","001","579"
"WY","W - White","90-100","80-89.9","001","577"
"WY","W - White","90-100","40-49.9","001","576"
"WY","W - White","50-59.9","30-39.9","001","573"
"WY","W - White","70-79.9","80-89.9","001","568"
"WY","W - White","90-100","60-69.9","001","540"
"WY","W - White","10-19.9","0-9.9","001","511"
"WY","W - White","20-29.9","30-39.9","001","495"
"WY","W - White","30-39.9","40-49.9","001","449"
"WY","H - Hispanic or Latino","80-89.9","0-9.9","001","428"
"WY","W - White","30-39.9","60-69.9","001","418"
"WY","W - White","30-39.9","50-59.9","001","417"
"WY","H - Hispanic or Latino","30-39.9","10-19.9","001","412"
"WY","W - White","60-69.9","40-49.9","001","405"
"WY","H - Hispanic or Latino","40-49.9","90-100","001","395"
"WY","W - White","90-100","70-79.9","001","388"
"WY","W - White","40-49.9","40-49.9","001","387"
"WY","W - White","60-69.9","80-89.9","001","379"
"WY","N - Native American","30-39.9","90-100","001","370"
"WY","W - White","0-9.9","30-39.9","001","355"
"WY","W - White","60-69.9","50-59.9","001","353"
